Symbol,Company,Industry
ADANIPORTS.NS,Adani Ports,Infrastructure
ASIANPAINT.NS,Asian Paints Ltd,Consumer Goods
AXISBANK.NS,Axis Bank,Banking
BAJAJ-AUTO.NS,Bajaj Auto,Automobile
BAJFINANCE.NS,Bajaj Finance,Financial Services
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
BHARTIARTL.NS,Bharti Airtel,Telecommunication
INFRATEL.NS,Bharti Infratel Ltd.,Telecommunication
BPCL.NS,BPCL,Energy - Oil & Gas
CIPLA.NS,Cipla,Pharmaceuticals
COALINDIA.NS,Coal India,Energy & Mining
DRREDDY.NS,Dr Reddy Lab,Pharmaceuticals
EICHERMOT.NS,Eicher Motors,Automobile
GAIL.NS,GAIL,Energy - Oil & Gas
GRASIM.NS,Grasim Industries,Cement
HCLTECH.NS,HCL Technologies,Information Technology
HDFC.NS,HDFC,Financial Services
HDFCBANK.NS,HDFC Bank,Banking
HEROMOTOCO.NS,Hero MotoCorp,Automobile
HINDALCO.NS,Hindalco Industries,Metals
HINDUNILVR.NS,Hindustan Unilever,Consumer Goods
BRITANNIA.NS,Britannia Industries,Consumer Goods
ICICIBANK.NS,ICICI Bank,Banking
INDUSINDBK.NS,IndusInd Bank,Banking
INFY.NS,Infosys,Information Technology
IOC.NS,IOC,Energy - Oil & Gas
ITC.NS,ITC Limited,Consumer Goods
JSWSTEEL.NS,JSW Steel,Metals
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
LT.NS,Larsen & Toubro,Construction
M&M.NS,Mahindra & Mahindra,Automobile
MARUTI.NS,Maruti Suzuki,Automobile
NESTLEIND.NS,Nestle India Ltd,Food Processing
NTPC.NS,NTPC Limited,Energy - Power
ONGC.NS,ONGC,Energy - Oil & Gas
POWERGRID.NS,PowerGrid Corporation of India,Energy - Power
RELIANCE.NS,Reliance Industries,Energy - Oil & Gas
SBIN.NS,State Bank of India,Banking
SUNPHARMA.NS,Sun Pharmaceutical,Pharmaceuticals
TCS.NS,Tata Consultancy Services,Information Technology
TATAMOTORS.NS,Tata Motors,Automobile
TATASTEEL.NS,Tata Steel,Metals
TECHM.NS,Tech Mahindra,Information Technology
TITAN.NS,Titan Company,Consumer Goods
ULTRACEMCO.NS,UltraTech Cement,Cement
UPL.NS,United Phosphorus Limited,Chemicals
VEDL.NS,Vedanta,Metals
WIPRO.NS,Wipro,Information Technology
SHREECEM.NS,Shree Cement,Cement
ZEEL.NS,Zee Entertainment Enterprises,Media & Entertainment
