Symbol, Date, Open, High, Low, Close, Volume 
ABC, 10/30/2015, 93.09, 98.49, 93.09, 96.5, -1 
ABC, 11/02/2015, 95.39, 98.03, 95.39, 97.82, -1 
ABC, 11/03/2015, 97.31, 98.17, 96.67, 97.65, -1 
ABC, 11/04/2015, 97.42, 97.86, 96.69, 97.47, -1 
ABC, 11/05/2015, 96.86, 98.37, 96.86, 97.84, -1 
ABC, 11/06/2015, 97.38, 98.57, 96.52, 97.62, -1 
ABC, 11/09/2015, 96.83, 97.82, 96.36, 97.4, -1 
ABC, 11/10/2015, 96.5, 98.91, 96.38, 98.88, -1 
ABC, 11/11/2015, 98.61, 99.63, 98.13, 98.21, -1 
ABC, 11/12/2015, 95.32, 98.33, 95.32, 96.9, -1 
ABC, 11/13/2015, 96.15, 97.58, 96.11, 96.57, -1 
ABC, 11/16/2015, 95.41, 98.07, 95.41, 97.29, -1 
ABC, 11/17/2015, 95.34, 99.51, 95.34, 99.19, -1 
ABC, 11/18/2015, 97.64, 100.42, 97.6, 100.29, -1 
ABC, 11/19/2015, 99.75, 100.79, 99.04, 99.15, -1 
ABC, 11/20/2015, 98.87, 99.76, 98.63, 99.07, -1 
ABC, 11/23/2015, 98.5, 98.98, 98.44, 98.73, -1 
ABC, 11/24/2015, 93.81, 98.59, 93.81, 98.5, -1 
ABC, 11/25/2015, 97.55, 99.21, 97.5, 98.93, -1 
ABC, 11/27/2015, 93.59, 99.7, 92.66, 98.99, -1 
ABC, 11/30/2015, 98.58, 99.35, 98.58, 98.64, -1 
ABC, 12/01/2015, 98.3, 99.82, 98.3, 99.49, -1 
ABC, 12/02/2015, 98.09, 100.0, 97.76, 98.85, -1 
ABC, 12/03/2015, 94.94, 99.13, 93.51, 98.7, -1 
ABC, 12/04/2015, 95.05, 100.39, 95.04, 99.83, -1 
ABC, 12/07/2015, 94.45, 100.3, 94.45, 99.97, -1 
ABC, 12/08/2015, 98.97, 100.57, 98.97, 100.44, -1 
ABC, 12/09/2015, 98.87, 101.0, 98.87, 100.68, -1 
ABC, 12/10/2015, 100.17, 102.32, 100.13, 101.95, -1 
ABC, 12/11/2015, 100.87, 102.81, 100.87, 102.08, -1 
ABC, 12/14/2015, 96.98, 102.67, 96.95, 102.55, -1 
ABC, 12/15/2015, 102.49, 103.36, 101.34, 101.7, -1 
ABC, 12/16/2015, 101.78, 102.42, 100.39, 101.57, -1 
ABC, 12/17/2015, 101.19, 102.87, 101.15, 102.3, -1 
ABC, 12/18/2015, 101.68, 102.6, 101.23, 101.83, -1 
ABC, 12/21/2015, 101.81, 102.92, 101.6, 102.9, -1 
ABC, 12/22/2015, 102.57, 103.37, 102.18, 103.16, -1 
ABC, 12/23/2015, 102.96, 104.24, 102.79, 103.93, -1 
ABC, 12/24/2015, 103.44, 104.18, 103.39, 103.95, -1 
ABC, 12/28/2015, 103.32, 104.57, 103.26, 104.2, -1 
ABC, 12/29/2015, 104.06, 105.34, 103.91, 104.73, -1 
ABC, 12/30/2015, 104.35, 105.78, 104.32, 105.03, -1 
ABC, 12/31/2015, 103.97, 105.1, 103.68, 103.68, -1 
ABC, 01/04/2016, 102.13, 102.53, 101.28, 101.89, -1 
ABC, 01/05/2016, 101.53, 103.39, 101.52, 103.36, -1 
ABC, 01/06/2016, 100.58, 102.61, 100.58, 101.78, -1 
ABC, 01/07/2016, 100.4, 101.13, 98.46, 98.54, -1 
ABC, 01/08/2016, 98.2, 99.5, 97.8, 97.94, -1 
ABC, 01/11/2016, 94.71, 95.95, 93.81, 94.09, -1 
ABC, 01/12/2016, 93.9, 95.5, 93.77, 94.17, -1 
ABC, 01/13/2016, 92.55, 94.81, 92.55, 93.14, -1 
ABC, 01/14/2016, 91.88, 94.24, 91.88, 93.71, -1 
ABC, 01/15/2016, 90.01, 92.94, 90.01, 92.77, -1 
