Symbol, Date, Open, High, Low, Close, Volume 
ADI, 10/30/2015, 57.2, 60.6, 57.2, 60.11, -1 
ADI, 11/02/2015, 57.03, 60.78, 57.03, 60.34, -1 
ADI, 11/03/2015, 60.19, 60.93, 60.19, 60.66, -1 
ADI, 11/04/2015, 57.56, 60.55, 57.51, 60.48, -1 
ADI, 11/05/2015, 60.87, 60.89, 60.05, 60.36, -1 
ADI, 11/06/2015, 57.22, 61.97, 57.22, 61.7, -1 
ADI, 11/09/2015, 59.01, 61.5, 59.01, 60.94, -1 
ADI, 11/10/2015, 59.41, 60.28, 59.41, 59.95, -1 
ADI, 11/11/2015, 60.1, 60.79, 59.78, 59.89, -1 
ADI, 11/12/2015, 58.49, 60.75, 58.49, 59.45, -1 
ADI, 11/13/2015, 59.46, 59.57, 57.8, 58.12, -1 
ADI, 11/16/2015, 55.13, 58.48, 55.13, 58.47, -1 
ADI, 11/17/2015, 57.89, 59.71, 57.89, 59.3, -1 
ADI, 11/18/2015, 58.12, 60.82, 58.12, 60.73, -1 
ADI, 11/19/2015, 59.75, 60.4, 59.41, 59.77, -1 
ADI, 11/20/2015, 59.02, 60.19, 59.0, 59.41, -1 
ADI, 11/23/2015, 58.72, 59.0, 56.5, 56.8, -1 
ADI, 11/24/2015, 58.74, 61.01, 57.39, 60.42, -1 
ADI, 11/25/2015, 59.95, 61.34, 59.83, 60.25, -1 
ADI, 11/27/2015, 57.08, 60.72, 57.08, 60.45, -1 
ADI, 11/30/2015, 60.43, 62.06, 60.3, 61.65, -1 
ADI, 12/01/2015, 61.71, 62.39, 61.28, 61.56, -1 
ADI, 12/02/2015, 58.44, 61.96, 58.44, 60.74, -1 
ADI, 12/03/2015, 60.93, 61.22, 58.8, 59.05, -1 
ADI, 12/04/2015, 57.15, 59.7, 56.77, 59.19, -1 
ADI, 12/07/2015, 58.67, 59.47, 58.33, 58.48, -1 
ADI, 12/08/2015, 57.9, 58.33, 57.5, 58.02, -1 
ADI, 12/09/2015, 57.01, 58.05, 56.44, 56.65, -1 
ADI, 12/10/2015, 56.31, 57.5, 56.31, 57.15, -1 
ADI, 12/11/2015, 56.2, 57.1, 56.2, 56.92, -1 
ADI, 12/14/2015, 56.25, 57.26, 56.25, 56.82, -1 
ADI, 12/15/2015, 55.27, 57.82, 55.27, 56.55, -1 
ADI, 12/16/2015, 56.08, 57.74, 56.07, 57.52, -1 
ADI, 12/17/2015, 57.37, 57.87, 56.11, 56.12, -1 
ADI, 12/18/2015, 55.07, 56.21, 55.07, 55.17, -1 
ADI, 12/21/2015, 55.07, 55.86, 55.07, 55.82, -1 
ADI, 12/22/2015, 56.46, 56.69, 55.84, 56.01, -1 
ADI, 12/23/2015, 56.34, 56.77, 56.22, 56.48, -1 
ADI, 12/24/2015, 55.21, 56.99, 55.21, 56.77, -1 
ADI, 12/28/2015, 55.17, 56.7, 55.17, 56.44, -1 
ADI, 12/29/2015, 56.4, 57.74, 56.4, 57.29, -1 
ADI, 12/30/2015, 52.69, 57.48, 52.69, 56.55, -1 
ADI, 12/31/2015, 54.27, 56.52, 54.27, 55.32, -1 
ADI, 01/04/2016, 53.93, 54.46, 53.6, 54.42, -1 
ADI, 01/05/2016, 53.32, 54.84, 53.32, 54.03, -1 
ADI, 01/06/2016, 52.35, 53.53, 51.42, 51.73, -1 
ADI, 01/07/2016, 50.21, 51.45, 50.03, 50.42, -1 
ADI, 01/08/2016, 50.2, 51.52, 49.98, 49.98, -1 
ADI, 01/11/2016, 50.4, 51.75, 50.39, 51.17, -1 
ADI, 01/12/2016, 51.3, 52.2, 50.95, 51.65, -1 
ADI, 01/13/2016, 51.5, 52.34, 50.02, 50.1, -1 
ADI, 01/14/2016, 50.57, 51.06, 49.9, 50.49, -1 
ADI, 01/15/2016, 48.12, 49.95, 47.23, 49.8, -1 
ADI, 01/19/2016, 50.31, 50.94, 48.49, 49.38, -1 
ADI, 01/20/2016, 48.6, 51.11, 48.6, 50.57, -1 
ADI, 01/21/2016, 51.11, 51.66, 50.09, 50.53, -1 
ADI, 01/22/2016, 50.67, 51.73, 50.67, 51.37, -1 
ADI, 01/25/2016, 47.4, 51.52, 47.4, 51.06, -1 
ADI, 01/26/2016, 47.4, 51.96, 47.4, 51.28, -1 
ADI, 01/27/2016, 50.1, 52.2, 50.1, 51.29, -1 
ADI, 01/28/2016, 51.62, 51.97, 51.12, 51.75, -1 
ADI, 01/29/2016, 51.29, 53.91, 51.29, 53.85, -1 
ADI, 02/01/2016, 51.15, 53.69, 51.15, 53.16, -1 
ADI, 02/02/2016, 51.09, 52.5, 51.09, 51.33, -1 
ADI, 02/03/2016, 51.36, 51.96, 50.45, 51.37, -1 
ADI, 02/04/2016, 51.2, 52.07, 50.88, 51.66, -1 
ADI, 02/05/2016, 46.35, 51.72, 46.35, 49.81, -1 
ADI, 02/08/2016, 49.26, 49.67, 48.28, 49.13, -1 
ADI, 02/09/2016, 48.15, 50.13, 48.14, 49.3, -1 
ADI, 02/10/2016, 49.38, 50.06, 48.92, 48.96, -1 
ADI, 02/11/2016, 45.49, 49.31, 45.49, 48.84, -1 
ADI, 02/12/2016, 49.62, 49.79, 48.67, 49.64, -1 
ADI, 02/16/2016, 49.65, 52.33, 49.65, 52.04, -1 
ADI, 02/17/2016, 50.72, 53.87, 50.59, 52.71, -1 
ADI, 02/18/2016, 52.15, 53.46, 51.91, 52.04, -1 
ADI, 02/19/2016, 46.0, 52.36, 46.0, 52.09, -1 
ADI, 02/22/2016, 52.67, 53.1, 52.1, 52.59, -1 
ADI, 02/23/2016, 49.53, 52.69, 49.53, 51.43, -1 
ADI, 02/24/2016, 48.24, 51.84, 48.24, 51.8, -1 
ADI, 02/25/2016, 47.8, 53.11, 47.8, 53.02, -1 
ADI, 02/26/2016, 52.25, 53.55, 52.12, 53.44, -1 
ADI, 02/29/2016, 48.96, 53.9, 48.95, 52.99, -1 
ADI, 03/01/2016, 50.01, 54.69, 50.01, 54.69, -1 
ADI, 03/02/2016, 53.91, 55.7, 53.91, 55.41, -1 
ADI, 03/03/2016, 54.17, 55.76, 54.17, 55.47, -1 
ADI, 03/04/2016, 55.02, 56.19, 55.02, 55.77, -1 
ADI, 03/07/2016, 55.0, 56.48, 55.0, 56.47, -1 
ADI, 03/08/2016, 51.41, 56.21, 51.4, 55.34, -1 
ADI, 03/09/2016, 53.16, 55.86, 53.16, 54.91, -1 
ADI, 03/10/2016, 53.16, 55.81, 53.16, 55.1, -1 
ADI, 03/11/2016, 53.33, 56.02, 53.33, 55.93, -1 
ADI, 03/14/2016, 54.52, 56.2, 54.52, 55.65, -1 
ADI, 03/15/2016, 54.71, 56.11, 54.71, 56.1, -1 
ADI, 03/16/2016, 54.11, 56.89, 54.1, 56.86, -1 
ADI, 03/17/2016, 53.3, 57.94, 53.29, 57.87, -1 
ADI, 03/18/2016, 57.26, 59.05, 57.26, 58.97, -1 
ADI, 03/21/2016, 56.14, 58.89, 56.14, 58.85, -1 
ADI, 03/22/2016, 57.63, 58.67, 57.62, 58.52, -1 
ADI, 03/23/2016, 56.65, 58.56, 56.65, 58.33, -1 
ADI, 03/24/2016, 56.66, 58.64, 56.66, 58.63, -1 
ADI, 03/28/2016, 57.29, 58.56, 57.29, 58.32, -1 
ADI, 03/29/2016, 56.69, 58.99, 56.69, 58.8, -1 
ADI, 03/30/2016, 57.22, 59.41, 57.22, 59.1, -1 
ADI, 03/31/2016, 56.59, 59.43, 56.59, 59.19, -1 
ADI, 04/01/2016, 56.43, 59.06, 56.43, 58.97, -1 
ADI, 04/04/2016, 57.42, 59.05, 57.42, 58.73, -1 
ADI, 04/05/2016, 57.1, 58.86, 57.1, 58.46, -1 
ADI, 04/06/2016, 56.65, 59.25, 56.65, 59.16, -1 
ADI, 04/07/2016, 56.95, 58.89, 56.95, 58.35, -1 
ADI, 04/08/2016, 58.52, 58.95, 58.27, 58.79, -1 
ADI, 04/11/2016, 59.1, 59.64, 58.57, 58.6, -1 
ADI, 04/12/2016, 58.2, 58.95, 58.05, 58.8, -1 
ADI, 04/13/2016, 58.3, 59.84, 58.3, 59.78, -1 
ADI, 04/14/2016, 59.25, 59.61, 58.67, 59.44, -1 
ADI, 04/15/2016, 58.91, 59.35, 58.64, 58.66, -1 
ADI, 04/18/2016, 58.05, 58.85, 58.05, 58.69, -1 
ADI, 04/19/2016, 58.19, 58.78, 57.75, 58.22, -1 
ADI, 04/20/2016, 57.86, 59.36, 57.86, 59.17, -1 
ADI, 04/21/2016, 58.38, 59.06, 58.24, 58.81, -1 
ADI, 04/22/2016, 58.9, 59.36, 58.19, 58.47, -1 
ADI, 04/25/2016, 57.31, 58.89, 57.31, 58.42, -1 
ADI, 04/26/2016, 56.63, 59.84, 56.63, 59.33, -1 
ADI, 04/27/2016, 56.81, 59.76, 56.81, 59.64, -1 
ADI, 04/28/2016, 58.89, 59.55, 57.55, 57.84, -1 
ADI, 04/29/2016, 57.2, 57.51, 55.88, 56.31, -1 
ADI, 05/02/2016, 53.76, 57.03, 53.76, 57.0, -1 
ADI, 05/03/2016, 56.06, 56.71, 56.06, 56.21, -1 
ADI, 05/04/2016, 54.23, 56.12, 54.23, 55.82, -1 
ADI, 05/05/2016, 55.9, 56.2, 55.38, 55.69, -1 
ADI, 05/06/2016, 54.88, 55.67, 54.84, 55.46, -1 
ADI, 05/09/2016, 54.6, 56.08, 54.6, 55.23, -1 
ADI, 05/10/2016, 55.58, 56.17, 55.15, 56.08, -1 
ADI, 05/11/2016, 55.71, 56.52, 55.52, 55.74, -1 
ADI, 05/12/2016, 55.51, 55.9, 54.46, 54.89, -1 
ADI, 05/13/2016, 54.11, 55.3, 54.11, 54.7, -1 
ADI, 05/16/2016, 54.18, 55.8, 54.18, 55.43, -1 
ADI, 05/17/2016, 54.44, 56.01, 54.37, 55.38, -1 
ADI, 05/18/2016, 53.01, 56.14, 52.9, 55.82, -1 
ADI, 05/19/2016, 55.58, 55.96, 55.02, 55.68, -1 
ADI, 05/20/2016, 53.44, 57.09, 53.44, 56.53, -1 
ADI, 05/23/2016, 54.66, 57.44, 54.66, 56.76, -1 
ADI, 05/24/2016, 57.09, 58.35, 56.9, 58.21, -1 
ADI, 05/25/2016, 57.25, 58.38, 57.25, 58.26, -1 
ADI, 05/26/2016, 53.96, 58.47, 53.96, 58.29, -1 
