Symbol, Date, Open, High, Low, Close, Volume 
ADM, 10/30/2015, 45.39, 46.09, 45.39, 45.67, -1 
ADM, 11/02/2015, 45.05, 46.27, 45.05, 46.26, -1 
ADM, 11/03/2015, 43.01, 43.64, 41.73, 43.14, -1 
ADM, 11/04/2015, 43.0, 43.17, 42.35, 43.02, -1 
ADM, 11/05/2015, 42.84, 43.21, 42.43, 43.08, -1 
ADM, 11/06/2015, 42.71, 43.04, 41.97, 42.14, -1 
ADM, 11/09/2015, 41.81, 41.97, 41.25, 41.53, -1 
ADM, 11/10/2015, 41.19, 41.63, 40.56, 40.62, -1 
ADM, 11/11/2015, 40.75, 40.83, 40.26, 40.5, -1 
ADM, 11/12/2015, 40.22, 40.25, 38.49, 38.5, -1 
ADM, 11/13/2015, 38.32, 38.47, 37.69, 37.76, -1 
ADM, 11/16/2015, 37.52, 38.41, 37.52, 38.23, -1 
ADM, 11/17/2015, 38.27, 38.39, 37.13, 37.2, -1 
ADM, 11/18/2015, 37.18, 37.67, 37.0, 37.41, -1 
ADM, 11/19/2015, 37.26, 37.49, 36.28, 36.43, -1 
ADM, 11/20/2015, 36.41, 36.82, 35.6, 35.83, -1 
ADM, 11/23/2015, 35.59, 37.02, 35.56, 36.72, -1 
ADM, 11/24/2015, 36.38, 36.58, 35.71, 36.05, -1 
ADM, 11/25/2015, 35.9, 36.74, 35.9, 36.47, -1 
ADM, 11/27/2015, 35.03, 36.55, 35.03, 36.47, -1 
ADM, 11/30/2015, 35.91, 36.61, 35.91, 36.49, -1 
ADM, 12/01/2015, 36.5, 37.01, 36.44, 36.7, -1 
ADM, 12/02/2015, 36.51, 36.85, 36.45, 36.52, -1 
ADM, 12/03/2015, 36.4, 36.73, 35.4, 35.61, -1 
ADM, 12/04/2015, 35.57, 36.13, 35.57, 35.97, -1 
ADM, 12/07/2015, 35.05, 36.02, 35.05, 35.41, -1 
ADM, 12/08/2015, 35.01, 35.61, 34.88, 35.26, -1 
ADM, 12/09/2015, 34.88, 36.01, 34.88, 35.41, -1 
ADM, 12/10/2015, 35.34, 35.7, 35.04, 35.09, -1 
ADM, 12/11/2015, 34.6, 34.63, 34.11, 34.21, -1 
ADM, 12/14/2015, 33.4, 34.5, 33.4, 34.18, -1 
ADM, 12/15/2015, 34.35, 35.1, 34.35, 34.86, -1 
ADM, 12/16/2015, 34.9, 35.45, 34.53, 35.39, -1 
ADM, 12/17/2015, 35.35, 35.39, 34.27, 34.28, -1 
ADM, 12/18/2015, 34.03, 35.13, 33.94, 34.98, -1 
ADM, 12/21/2015, 35.09, 35.74, 35.05, 35.31, -1 
ADM, 12/22/2015, 35.35, 36.58, 35.21, 36.41, -1 
ADM, 12/23/2015, 36.66, 37.16, 36.34, 36.68, -1 
ADM, 12/24/2015, 36.53, 36.87, 36.47, 36.63, -1 
ADM, 12/28/2015, 36.5, 36.72, 36.09, 36.49, -1 
ADM, 12/29/2015, 36.13, 37.14, 36.13, 37.08, -1 
ADM, 12/30/2015, 36.91, 37.16, 36.76, 36.87, -1 
ADM, 12/31/2015, 36.63, 36.9, 36.45, 36.66, -1 
ADM, 01/04/2016, 36.13, 36.13, 35.4, 35.85, -1 
ADM, 01/05/2016, 35.68, 36.26, 35.41, 36.24, -1 
ADM, 01/06/2016, 35.59, 35.82, 35.25, 35.37, -1 
ADM, 01/07/2016, 34.63, 35.09, 34.32, 34.51, -1 
