Symbol, Date, Open, High, Low, Close, Volume 
ADS, 10/30/2015, 295.85, 300.48, 295.83, 297.31, -1 
ADS, 11/02/2015, 293.01, 301.02, 293.0, 298.26, -1 
ADS, 11/03/2015, 270.57, 302.08, 267.68, 300.59, -1 
ADS, 11/04/2015, 299.58, 303.37, 299.18, 301.95, -1 
ADS, 11/05/2015, 270.85, 301.33, 270.84, 299.02, -1 
ADS, 11/06/2015, 261.82, 301.3, 259.75, 297.96, -1 
ADS, 11/09/2015, 296.28, 297.59, 292.22, 296.76, -1 
ADS, 11/10/2015, 294.31, 298.39, 294.08, 297.76, -1 
ADS, 11/11/2015, 296.43, 298.63, 293.59, 294.64, -1 
ADS, 11/12/2015, 291.15, 294.02, 290.78, 290.83, -1 
ADS, 11/13/2015, 288.18, 290.0, 285.31, 286.36, -1 
ADS, 11/16/2015, 257.76, 287.58, 257.76, 287.07, -1 
ADS, 11/17/2015, 248.91, 288.17, 248.91, 284.4, -1 
ADS, 11/18/2015, 275.66, 287.94, 275.0, 287.53, -1 
ADS, 11/19/2015, 286.27, 287.81, 284.1, 285.93, -1 
ADS, 11/20/2015, 285.6, 287.49, 285.11, 286.49, -1 
ADS, 11/23/2015, 285.18, 286.95, 285.0, 285.45, -1 
ADS, 11/24/2015, 270.47, 285.84, 270.43, 285.5, -1 
ADS, 11/25/2015, 259.18, 287.67, 259.18, 286.41, -1 
ADS, 11/27/2015, 285.13, 286.39, 283.91, 285.43, -1 
ADS, 11/30/2015, 284.96, 287.56, 283.94, 286.88, -1 
ADS, 12/01/2015, 286.32, 290.1, 286.16, 289.01, -1 
ADS, 12/02/2015, 286.65, 289.45, 284.76, 285.39, -1 
ADS, 12/03/2015, 284.05, 287.17, 279.69, 281.27, -1 
ADS, 12/04/2015, 279.83, 284.32, 279.43, 284.04, -1 
ADS, 12/07/2015, 279.81, 284.15, 279.81, 282.86, -1 
ADS, 12/08/2015, 278.39, 283.51, 277.5, 282.0, -1 
ADS, 12/09/2015, 278.38, 284.56, 277.85, 280.0, -1 
ADS, 12/10/2015, 278.62, 282.56, 278.61, 280.07, -1 
ADS, 12/11/2015, 250.45, 276.77, 250.45, 267.82, -1 
ADS, 12/14/2015, 266.95, 270.09, 265.0, 269.89, -1 
ADS, 12/15/2015, 264.25, 271.82, 264.25, 267.86, -1 
ADS, 12/16/2015, 268.45, 273.73, 267.38, 273.22, -1 
ADS, 12/17/2015, 264.29, 277.02, 264.26, 268.88, -1 
ADS, 12/18/2015, 266.75, 269.9, 265.22, 266.99, -1 
ADS, 12/21/2015, 267.96, 270.62, 267.08, 270.58, -1 
ADS, 12/22/2015, 269.53, 275.12, 269.23, 273.71, -1 
ADS, 12/23/2015, 273.69, 278.92, 273.34, 278.3, -1 
ADS, 12/24/2015, 276.16, 279.69, 276.16, 278.03, -1 
ADS, 12/28/2015, 275.07, 278.31, 274.88, 278.15, -1 
ADS, 12/29/2015, 278.8, 280.85, 277.2, 280.1, -1 
ADS, 12/30/2015, 277.88, 279.5, 276.01, 276.55, -1 
ADS, 12/31/2015, 274.0, 279.67, 273.99, 276.42, -1 
ADS, 01/04/2016, 269.68, 271.82, 267.76, 271.82, -1 
ADS, 01/05/2016, 270.93, 275.47, 270.92, 274.1, -1 
ADS, 01/06/2016, 266.99, 274.19, 266.95, 270.18, -1 
ADS, 01/07/2016, 264.27, 269.55, 261.28, 262.04, -1 
