Symbol, Date, Open, High, Low, Close, Volume 
AEE, 10/30/2015, 43.28, 43.85, 43.27, 43.67, -1 
AEE, 11/02/2015, 43.43, 44.01, 43.38, 43.89, -1 
AEE, 11/03/2015, 43.51, 43.95, 43.51, 43.88, -1 
AEE, 11/04/2015, 43.78, 44.3, 43.78, 44.22, -1 
AEE, 11/05/2015, 43.95, 44.45, 43.94, 44.01, -1 
AEE, 11/06/2015, 43.35, 44.11, 42.18, 42.54, -1 
AEE, 11/09/2015, 41.79, 43.22, 41.79, 43.12, -1 
AEE, 11/10/2015, 42.82, 43.87, 42.82, 43.83, -1 
AEE, 11/11/2015, 43.85, 44.4, 43.8, 44.21, -1 
AEE, 11/12/2015, 43.73, 44.5, 43.41, 43.5, -1 
AEE, 11/13/2015, 43.18, 44.08, 43.01, 43.12, -1 
AEE, 11/16/2015, 42.88, 43.94, 42.75, 43.92, -1 
AEE, 11/17/2015, 40.36, 44.31, 40.36, 42.84, -1 
AEE, 11/18/2015, 41.98, 43.28, 41.98, 43.21, -1 
AEE, 11/19/2015, 43.01, 43.91, 43.01, 43.69, -1 
AEE, 11/20/2015, 43.69, 44.33, 43.69, 44.11, -1 
AEE, 11/23/2015, 43.85, 44.15, 43.26, 43.33, -1 
AEE, 11/24/2015, 42.89, 43.33, 42.75, 43.21, -1 
AEE, 11/25/2015, 43.08, 43.37, 43.04, 43.15, -1 
AEE, 11/27/2015, 42.58, 43.44, 42.58, 43.28, -1 
AEE, 11/30/2015, 43.15, 44.06, 43.15, 43.75, -1 
AEE, 12/01/2015, 43.71, 44.06, 43.45, 43.81, -1 
AEE, 12/02/2015, 43.53, 43.7, 42.77, 42.82, -1 
AEE, 12/03/2015, 42.54, 42.71, 41.98, 42.25, -1 
AEE, 12/04/2015, 42.18, 43.37, 42.18, 43.33, -1 
AEE, 12/07/2015, 39.55, 43.01, 39.37, 42.98, -1 
AEE, 12/08/2015, 39.24, 43.06, 39.24, 42.74, -1 
AEE, 12/09/2015, 42.39, 43.0, 42.36, 42.58, -1 
AEE, 12/10/2015, 42.4, 42.47, 41.54, 41.71, -1 
AEE, 12/11/2015, 41.49, 42.08, 41.32, 41.72, -1 
AEE, 12/14/2015, 40.11, 41.87, 40.11, 41.81, -1 
AEE, 12/15/2015, 41.07, 42.26, 41.07, 41.93, -1 
AEE, 12/16/2015, 41.92, 43.12, 41.92, 43.0, -1 
AEE, 12/17/2015, 42.89, 44.05, 42.89, 44.03, -1 
AEE, 12/18/2015, 43.62, 43.81, 43.01, 43.19, -1 
AEE, 12/21/2015, 43.03, 43.53, 42.65, 42.84, -1 
AEE, 12/22/2015, 42.7, 43.28, 42.44, 43.19, -1 
AEE, 12/23/2015, 43.36, 43.95, 43.34, 43.83, -1 
AEE, 12/24/2015, 43.62, 43.81, 43.58, 43.66, -1 
AEE, 12/28/2015, 41.61, 44.05, 41.61, 44.03, -1 
AEE, 12/29/2015, 44.0, 44.43, 44.0, 44.1, -1 
AEE, 12/30/2015, 43.83, 44.35, 43.83, 44.0, -1 
AEE, 12/31/2015, 43.82, 43.99, 42.92, 43.22, -1 
AEE, 01/04/2016, 42.62, 43.08, 42.57, 43.02, -1 
AEE, 01/05/2016, 42.79, 43.58, 42.35, 43.54, -1 
AEE, 01/06/2016, 42.98, 43.93, 42.98, 43.81, -1 
AEE, 01/07/2016, 43.19, 44.07, 43.19, 43.85, -1 
AEE, 01/08/2016, 43.64, 44.04, 43.42, 43.5, -1 
AEE, 01/11/2016, 40.01, 43.85, 40.01, 43.52, -1 
AEE, 01/12/2016, 43.41, 43.58, 42.97, 43.38, -1 
AEE, 01/13/2016, 43.42, 43.75, 43.04, 43.12, -1 
AEE, 01/14/2016, 42.87, 43.96, 42.85, 43.69, -1 
AEE, 01/15/2016, 40.43, 43.69, 40.32, 43.5, -1 
AEE, 01/19/2016, 39.97, 43.8, 39.97, 43.45, -1 
AEE, 01/20/2016, 43.04, 43.43, 41.5, 42.33, -1 
AEE, 01/21/2016, 38.98, 42.43, 38.94, 42.11, -1 
AEE, 01/22/2016, 39.17, 43.01, 39.15, 42.95, -1 
AEE, 01/25/2016, 42.6, 43.0, 42.53, 42.67, -1 
AEE, 01/26/2016, 42.59, 43.42, 42.55, 42.76, -1 
AEE, 01/27/2016, 42.53, 43.45, 42.5, 43.19, -1 
AEE, 01/28/2016, 42.97, 44.09, 42.75, 43.85, -1 
AEE, 01/29/2016, 43.39, 44.96, 43.39, 44.91, -1 
AEE, 02/01/2016, 44.63, 45.8, 44.63, 45.64, -1 
AEE, 02/02/2016, 45.28, 46.49, 45.28, 46.37, -1 
AEE, 02/03/2016, 46.73, 47.89, 46.68, 47.33, -1 
AEE, 02/04/2016, 46.91, 47.39, 46.26, 46.51, -1 
AEE, 02/05/2016, 45.14, 46.73, 45.14, 46.48, -1 
AEE, 02/08/2016, 46.12, 46.89, 45.55, 46.17, -1 
AEE, 02/09/2016, 45.6, 46.49, 45.6, 46.07, -1 
AEE, 02/10/2016, 45.85, 46.47, 45.33, 46.19, -1 
AEE, 02/11/2016, 45.71, 46.28, 45.33, 45.35, -1 
AEE, 02/12/2016, 45.07, 45.71, 44.83, 45.23, -1 
AEE, 02/16/2016, 44.31, 45.61, 44.31, 45.57, -1 
AEE, 02/17/2016, 45.36, 45.53, 45.16, 45.31, -1 
AEE, 02/18/2016, 45.1, 46.59, 45.1, 46.25, -1 
AEE, 02/19/2016, 44.79, 46.68, 44.79, 45.6, -1 
AEE, 02/22/2016, 44.8, 46.3, 44.8, 46.22, -1 
AEE, 02/23/2016, 45.73, 46.62, 45.73, 46.51, -1 
AEE, 02/24/2016, 46.26, 47.55, 46.26, 47.47, -1 
