Symbol, Date, Open, High, Low, Close, Volume 
AET, 10/30/2015, 114.84, 115.87, 114.04, 114.78, -1 
AET, 11/02/2015, 109.08, 116.19, 109.08, 115.29, -1 
AET, 11/03/2015, 114.2, 114.88, 111.32, 111.81, -1 
AET, 11/04/2015, 111.15, 112.29, 107.39, 108.8, -1 
AET, 11/05/2015, 106.4, 111.64, 106.4, 111.26, -1 
AET, 11/06/2015, 105.31, 110.13, 105.0, 107.56, -1 
AET, 11/09/2015, 107.0, 108.02, 105.62, 108.0, -1 
AET, 11/10/2015, 107.17, 109.27, 107.17, 108.84, -1 
AET, 11/11/2015, 108.51, 109.15, 104.85, 105.08, -1 
AET, 11/12/2015, 103.02, 106.0, 103.02, 103.11, -1 
AET, 11/13/2015, 102.36, 104.23, 101.5, 102.22, -1 
AET, 11/16/2015, 101.1, 105.07, 101.1, 105.02, -1 
AET, 11/17/2015, 103.53, 107.0, 103.53, 105.29, -1 
AET, 11/18/2015, 104.34, 107.04, 104.34, 106.88, -1 
AET, 11/19/2015, 100.89, 103.54, 98.66, 99.99, -1 
AET, 11/20/2015, 101.35, 104.96, 100.55, 104.43, -1 
AET, 11/23/2015, 103.63, 106.86, 103.63, 105.71, -1 
AET, 11/24/2015, 102.2, 106.27, 102.2, 106.1, -1 
AET, 11/25/2015, 105.73, 106.35, 103.8, 103.93, -1 
AET, 11/27/2015, 102.49, 104.77, 102.49, 104.09, -1 
AET, 11/30/2015, 103.97, 104.86, 102.75, 102.86, -1 
AET, 12/01/2015, 102.7, 107.84, 102.7, 107.49, -1 
AET, 12/02/2015, 106.45, 109.41, 106.45, 106.96, -1 
AET, 12/03/2015, 106.48, 107.51, 101.41, 101.75, -1 
AET, 12/04/2015, 101.71, 106.07, 101.71, 105.17, -1 
AET, 12/07/2015, 103.19, 105.35, 103.06, 103.6, -1 
AET, 12/08/2015, 102.16, 104.16, 102.02, 103.7, -1 
AET, 12/09/2015, 102.16, 104.47, 102.16, 103.89, -1 
AET, 12/10/2015, 103.3, 105.55, 103.12, 104.82, -1 
AET, 12/11/2015, 102.69, 106.26, 102.69, 104.92, -1 
AET, 12/14/2015, 104.59, 106.48, 104.59, 105.7, -1 
AET, 12/15/2015, 105.9, 108.39, 105.9, 107.02, -1 
AET, 12/16/2015, 102.04, 108.88, 102.04, 108.74, -1 
AET, 12/17/2015, 108.55, 109.39, 107.69, 108.9, -1 
AET, 12/18/2015, 108.11, 109.82, 108.02, 108.39, -1 
AET, 12/21/2015, 108.6, 110.51, 108.5, 109.7, -1 
AET, 12/22/2015, 109.6, 110.31, 107.75, 108.91, -1 
AET, 12/23/2015, 108.33, 110.42, 108.33, 110.07, -1 
AET, 12/24/2015, 109.36, 110.5, 109.36, 109.6, -1 
AET, 12/28/2015, 108.91, 109.61, 108.21, 108.97, -1 
AET, 12/29/2015, 108.9, 110.85, 108.9, 110.19, -1 
AET, 12/30/2015, 109.68, 110.39, 108.59, 108.9, -1 
AET, 12/31/2015, 108.03, 109.51, 107.98, 108.12, -1 
AET, 01/04/2016, 106.05, 109.25, 106.02, 109.25, -1 
AET, 01/05/2016, 109.07, 111.16, 109.0, 110.75, -1 
AET, 01/06/2016, 108.94, 110.93, 108.85, 110.24, -1 
AET, 01/07/2016, 108.31, 111.22, 108.24, 110.24, -1 
AET, 01/08/2016, 109.56, 110.25, 106.24, 107.02, -1 
AET, 01/11/2016, 103.75, 108.26, 103.75, 105.33, -1 
AET, 01/12/2016, 104.17, 109.58, 104.17, 109.15, -1 
AET, 01/13/2016, 105.41, 109.85, 104.71, 104.84, -1 
AET, 01/14/2016, 103.69, 108.53, 103.69, 108.26, -1 
AET, 01/15/2016, 102.6, 108.07, 102.6, 105.04, -1 
AET, 01/19/2016, 105.08, 106.92, 104.31, 104.84, -1 
AET, 01/20/2016, 102.97, 104.85, 100.25, 104.05, -1 
AET, 01/21/2016, 103.84, 106.12, 103.63, 105.21, -1 
AET, 01/22/2016, 105.51, 108.12, 105.45, 107.59, -1 
AET, 01/25/2016, 106.48, 108.38, 105.21, 105.42, -1 
AET, 01/26/2016, 101.13, 105.74, 101.13, 104.96, -1 
AET, 01/27/2016, 102.11, 104.62, 100.54, 101.67, -1 
AET, 01/28/2016, 101.35, 102.81, 98.4, 98.82, -1 
AET, 01/29/2016, 98.51, 101.81, 98.51, 101.76, -1 
AET, 02/01/2016, 101.69, 104.85, 101.69, 103.27, -1 
AET, 02/02/2016, 101.84, 103.13, 100.93, 101.88, -1 
AET, 02/03/2016, 100.06, 102.32, 99.16, 101.18, -1 
AET, 02/04/2016, 98.12, 102.28, 98.12, 102.11, -1 
AET, 02/05/2016, 101.16, 102.5, 98.95, 99.2, -1 
AET, 02/08/2016, 98.0, 98.34, 93.26, 94.29, -1 
AET, 02/09/2016, 92.59, 98.35, 92.5, 97.18, -1 
AET, 02/10/2016, 95.41, 100.5, 95.41, 99.69, -1 
AET, 02/11/2016, 97.34, 99.0, 97.0, 97.77, -1 
AET, 02/12/2016, 97.15, 99.34, 97.15, 99.28, -1 
AET, 02/16/2016, 99.63, 102.31, 99.62, 102.16, -1 
AET, 02/17/2016, 101.47, 105.58, 101.47, 105.44, -1 
AET, 02/18/2016, 103.67, 106.23, 103.67, 104.35, -1 
AET, 02/19/2016, 103.37, 105.3, 102.52, 103.43, -1 
AET, 02/22/2016, 102.44, 106.94, 102.44, 106.55, -1 
