Symbol, Date, Open, High, Low, Close, Volume 
AIV, 10/30/2015, 39.84, 40.15, 39.16, 39.2, -1 
AIV, 11/02/2015, 39.08, 40.03, 39.0, 40.0, -1 
AIV, 11/03/2015, 39.58, 39.91, 39.19, 39.66, -1 
AIV, 11/04/2015, 36.0, 39.23, 36.0, 38.27, -1 
AIV, 11/05/2015, 38.05, 38.39, 37.99, 38.26, -1 
AIV, 11/06/2015, 37.61, 37.86, 36.75, 37.07, -1 
AIV, 11/09/2015, 36.06, 36.9, 35.9, 36.23, -1 
AIV, 11/10/2015, 35.83, 36.81, 35.83, 36.48, -1 
AIV, 11/11/2015, 36.35, 37.1, 36.35, 36.83, -1 
AIV, 11/12/2015, 36.51, 36.97, 36.51, 36.57, -1 
AIV, 11/13/2015, 31.86, 36.83, 31.85, 36.34, -1 
AIV, 11/16/2015, 32.06, 36.53, 31.55, 36.53, -1 
AIV, 11/17/2015, 33.46, 37.06, 33.45, 36.73, -1 
AIV, 11/18/2015, 36.64, 36.9, 36.34, 36.81, -1 
AIV, 11/19/2015, 36.62, 37.3, 36.62, 36.98, -1 
AIV, 11/20/2015, 36.91, 37.64, 36.91, 37.57, -1 
AIV, 11/23/2015, 37.38, 37.95, 37.38, 37.67, -1 
AIV, 11/24/2015, 34.91, 37.58, 34.71, 37.4, -1 
AIV, 11/25/2015, 37.28, 37.91, 37.28, 37.85, -1 
AIV, 11/27/2015, 37.74, 38.5, 37.74, 38.41, -1 
AIV, 11/30/2015, 36.79, 38.77, 36.79, 38.12, -1 
AIV, 12/01/2015, 38.12, 38.79, 38.11, 38.74, -1 
AIV, 12/02/2015, 37.21, 38.9, 37.01, 38.11, -1 
AIV, 12/03/2015, 36.47, 38.11, 36.47, 37.51, -1 
AIV, 12/04/2015, 37.37, 38.8, 37.31, 38.71, -1 
AIV, 12/07/2015, 38.41, 38.72, 38.28, 38.38, -1 
AIV, 12/08/2015, 37.95, 38.55, 37.95, 38.43, -1 
AIV, 12/09/2015, 37.95, 38.63, 37.89, 38.27, -1 
AIV, 12/10/2015, 38.08, 38.39, 37.62, 37.62, -1 
