Symbol, Date, Open, High, Low, Close, Volume 
ALL, 10/30/2015, 62.52, 62.9, 61.85, 61.87, -1 
ALL, 11/02/2015, 61.65, 62.33, 61.45, 61.79, -1 
ALL, 11/03/2015, 62.53, 63.36, 61.63, 63.15, -1 
ALL, 11/04/2015, 62.87, 63.24, 62.22, 62.9, -1 
ALL, 11/05/2015, 62.66, 63.71, 62.66, 63.56, -1 
ALL, 11/06/2015, 63.8, 64.49, 63.42, 64.08, -1 
ALL, 11/09/2015, 63.72, 63.9, 63.21, 63.53, -1 
ALL, 11/10/2015, 63.06, 63.63, 63.06, 63.33, -1 
ALL, 11/11/2015, 63.15, 63.54, 63.0, 63.11, -1 
ALL, 11/12/2015, 62.36, 62.87, 62.28, 62.55, -1 
ALL, 11/13/2015, 62.17, 62.83, 62.17, 62.42, -1 
ALL, 11/16/2015, 60.38, 63.11, 60.38, 63.11, -1 
ALL, 11/17/2015, 60.29, 63.48, 60.29, 62.71, -1 
ALL, 11/18/2015, 60.27, 63.61, 60.27, 63.5, -1 
ALL, 11/19/2015, 60.29, 63.6, 60.29, 63.36, -1 
ALL, 11/20/2015, 60.25, 63.91, 60.25, 63.33, -1 
ALL, 11/23/2015, 62.93, 63.37, 62.93, 63.09, -1 
ALL, 11/24/2015, 62.41, 63.16, 62.41, 62.95, -1 
ALL, 11/25/2015, 62.23, 62.94, 62.23, 62.43, -1 
ALL, 11/27/2015, 62.22, 62.9, 62.22, 62.85, -1 
ALL, 11/30/2015, 62.51, 63.15, 62.51, 62.76, -1 
ALL, 12/01/2015, 62.65, 64.21, 62.55, 63.49, -1 
ALL, 12/02/2015, 60.18, 63.66, 60.18, 62.87, -1 
ALL, 12/03/2015, 62.7, 63.27, 62.49, 62.8, -1 
ALL, 12/04/2015, 62.59, 64.57, 62.59, 64.48, -1 
ALL, 12/07/2015, 64.05, 64.68, 64.05, 64.39, -1 
ALL, 12/08/2015, 63.66, 64.36, 63.66, 63.85, -1 
ALL, 12/09/2015, 63.43, 64.08, 62.72, 62.9, -1 
ALL, 12/10/2015, 62.62, 63.07, 62.29, 62.49, -1 
ALL, 12/11/2015, 61.69, 62.11, 61.18, 61.46, -1 
ALL, 12/14/2015, 58.8, 62.09, 58.8, 61.39, -1 
ALL, 12/15/2015, 61.47, 63.0, 61.47, 62.7, -1 
ALL, 12/16/2015, 62.73, 63.5, 62.47, 63.38, -1 
ALL, 12/17/2015, 63.26, 63.42, 62.36, 62.38, -1 
ALL, 12/18/2015, 61.9, 62.11, 60.75, 61.27, -1 
ALL, 12/21/2015, 61.32, 61.71, 60.94, 61.3, -1 
ALL, 12/22/2015, 61.17, 62.66, 61.17, 62.51, -1 
ALL, 12/23/2015, 62.3, 63.02, 62.3, 62.89, -1 
ALL, 12/24/2015, 62.59, 63.44, 62.59, 63.15, -1 
ALL, 12/28/2015, 62.6, 63.05, 62.32, 62.64, -1 
ALL, 12/29/2015, 62.7, 63.47, 62.7, 63.17, -1 
ALL, 12/30/2015, 62.87, 63.34, 62.76, 62.81, -1 
ALL, 12/31/2015, 62.36, 62.76, 62.07, 62.09, -1 
ALL, 01/04/2016, 60.07, 60.93, 59.91, 60.66, -1 
ALL, 01/05/2016, 60.55, 60.95, 60.38, 60.54, -1 
ALL, 01/06/2016, 59.54, 60.2, 59.54, 59.86, -1 
ALL, 01/07/2016, 58.66, 59.65, 58.31, 58.43, -1 
ALL, 01/08/2016, 58.72, 58.94, 58.13, 58.22, -1 
ALL, 01/11/2016, 58.16, 58.62, 57.57, 57.99, -1 
ALL, 01/12/2016, 58.26, 58.73, 57.81, 58.65, -1 
ALL, 01/13/2016, 58.54, 59.34, 57.81, 57.92, -1 
ALL, 01/14/2016, 56.26, 59.18, 56.26, 58.42, -1 
ALL, 01/15/2016, 55.14, 58.56, 55.14, 58.12, -1 
ALL, 01/19/2016, 58.46, 59.34, 58.05, 58.44, -1 
ALL, 01/20/2016, 57.4, 58.48, 57.13, 57.99, -1 
ALL, 01/21/2016, 57.86, 58.65, 57.8, 58.13, -1 
ALL, 01/22/2016, 58.46, 58.97, 58.19, 58.52, -1 
ALL, 01/25/2016, 57.97, 58.38, 57.62, 57.67, -1 
ALL, 01/26/2016, 57.74, 58.67, 57.74, 58.16, -1 
ALL, 01/27/2016, 57.81, 59.37, 57.81, 58.42, -1 
ALL, 01/28/2016, 58.59, 59.49, 58.4, 59.21, -1 
ALL, 01/29/2016, 59.16, 60.6, 59.16, 60.59, -1 
ALL, 02/01/2016, 58.62, 60.83, 58.59, 60.53, -1 
ALL, 02/02/2016, 59.59, 60.49, 59.59, 59.97, -1 
ALL, 02/03/2016, 59.71, 60.22, 58.28, 59.62, -1 
ALL, 02/04/2016, 59.68, 62.2, 59.66, 62.04, -1 
ALL, 02/05/2016, 62.07, 63.51, 62.07, 63.35, -1 
ALL, 02/08/2016, 62.58, 63.54, 62.35, 63.34, -1 
ALL, 02/09/2016, 62.33, 63.25, 62.33, 63.01, -1 
ALL, 02/10/2016, 62.98, 63.93, 62.88, 62.98, -1 
ALL, 02/11/2016, 61.69, 62.65, 61.65, 62.3, -1 
ALL, 02/12/2016, 62.46, 64.3, 62.46, 63.9, -1 
ALL, 02/16/2016, 64.22, 64.71, 63.84, 64.56, -1 
ALL, 02/17/2016, 63.5, 65.28, 63.5, 65.03, -1 
ALL, 02/18/2016, 64.83, 64.91, 64.07, 64.3, -1 
ALL, 02/19/2016, 63.42, 64.43, 63.42, 63.98, -1 
ALL, 02/22/2016, 64.22, 64.59, 64.19, 64.42, -1 
ALL, 02/23/2016, 63.97, 64.23, 63.56, 63.74, -1 
ALL, 02/24/2016, 62.77, 64.12, 62.77, 63.93, -1 
ALL, 02/25/2016, 63.01, 64.43, 63.01, 64.41, -1 
ALL, 02/26/2016, 64.24, 64.71, 64.19, 64.3, -1 
ALL, 02/29/2016, 64.03, 64.3, 63.45, 63.45, -1 
ALL, 03/01/2016, 63.52, 64.8, 63.52, 64.8, -1 
ALL, 03/02/2016, 64.46, 65.41, 64.46, 65.39, -1 
ALL, 03/03/2016, 65.12, 65.44, 65.01, 65.32, -1 
ALL, 03/04/2016, 65.07, 65.58, 64.84, 65.36, -1 
ALL, 03/07/2016, 64.79, 65.31, 64.75, 65.02, -1 
ALL, 03/08/2016, 64.35, 65.03, 64.35, 64.58, -1 
ALL, 03/09/2016, 62.66, 64.91, 62.66, 64.52, -1 
ALL, 03/10/2016, 64.4, 65.01, 63.73, 64.24, -1 
ALL, 03/11/2016, 64.43, 65.71, 64.41, 65.49, -1 
ALL, 03/14/2016, 62.05, 65.34, 62.05, 64.94, -1 
ALL, 03/15/2016, 64.37, 66.05, 64.37, 65.92, -1 
ALL, 03/16/2016, 65.46, 66.52, 65.46, 66.29, -1 
ALL, 03/17/2016, 65.93, 67.45, 65.93, 67.21, -1 
ALL, 03/18/2016, 67.09, 67.77, 66.66, 67.22, -1 
ALL, 03/21/2016, 66.79, 67.15, 66.58, 66.83, -1 
ALL, 03/22/2016, 66.29, 67.23, 66.29, 66.92, -1 
ALL, 03/23/2016, 66.46, 67.0, 66.46, 66.66, -1 
ALL, 03/24/2016, 66.12, 66.36, 65.92, 66.18, -1 
ALL, 03/28/2016, 66.09, 66.98, 66.09, 66.82, -1 
ALL, 03/29/2016, 66.52, 67.24, 66.48, 67.19, -1 
ALL, 03/30/2016, 67.02, 67.89, 67.02, 67.71, -1 
ALL, 03/31/2016, 67.75, 67.92, 67.24, 67.36, -1 
ALL, 04/01/2016, 66.94, 68.32, 66.94, 68.24, -1 
ALL, 04/04/2016, 67.7, 68.2, 67.52, 67.64, -1 
ALL, 04/05/2016, 67.04, 67.38, 66.64, 66.71, -1 
ALL, 04/06/2016, 66.43, 67.16, 66.43, 67.03, -1 
ALL, 04/07/2016, 66.14, 66.81, 66.02, 66.29, -1 
ALL, 04/08/2016, 66.4, 67.44, 66.39, 66.85, -1 
ALL, 04/11/2016, 66.31, 67.46, 66.31, 66.8, -1 
ALL, 04/12/2016, 66.49, 67.39, 66.49, 67.22, -1 
ALL, 04/13/2016, 67.11, 67.88, 66.82, 67.53, -1 
ALL, 04/14/2016, 66.98, 67.3, 66.58, 66.65, -1 
ALL, 04/15/2016, 66.53, 67.1, 66.23, 66.6, -1 
ALL, 04/18/2016, 66.25, 67.32, 66.25, 67.29, -1 
ALL, 04/19/2016, 67.34, 67.9, 67.33, 67.53, -1 
ALL, 04/20/2016, 67.48, 67.66, 66.61, 66.9, -1 
ALL, 04/21/2016, 64.56, 66.57, 64.56, 65.45, -1 
ALL, 04/22/2016, 65.02, 66.06, 65.02, 65.75, -1 
ALL, 04/25/2016, 65.18, 65.74, 64.98, 65.59, -1 
ALL, 04/26/2016, 65.42, 66.0, 65.37, 65.88, -1 
ALL, 04/27/2016, 65.43, 65.92, 65.27, 65.51, -1 
ALL, 04/28/2016, 64.85, 65.55, 64.79, 64.93, -1 
ALL, 04/29/2016, 64.35, 65.23, 64.34, 65.07, -1 
ALL, 05/02/2016, 64.99, 65.56, 64.99, 65.34, -1 
ALL, 05/03/2016, 64.57, 65.59, 64.57, 65.42, -1 
ALL, 05/04/2016, 64.71, 65.54, 64.56, 65.29, -1 
ALL, 05/05/2016, 65.96, 69.17, 65.96, 67.84, -1 
ALL, 05/06/2016, 67.19, 67.54, 66.57, 67.09, -1 
ALL, 05/09/2016, 66.75, 67.64, 66.75, 67.21, -1 
ALL, 05/10/2016, 67.14, 67.99, 67.14, 67.98, -1 
ALL, 05/11/2016, 67.5, 67.97, 67.32, 67.35, -1 
ALL, 05/12/2016, 67.21, 67.75, 67.07, 67.55, -1 
ALL, 05/13/2016, 67.0, 67.77, 67.0, 67.36, -1 
ALL, 05/16/2016, 66.91, 67.78, 66.91, 67.53, -1 
ALL, 05/17/2016, 67.01, 67.69, 66.87, 67.08, -1 
ALL, 05/18/2016, 66.7, 67.59, 66.7, 67.34, -1 
ALL, 05/19/2016, 66.2, 67.24, 66.2, 66.84, -1 
ALL, 05/20/2016, 66.8, 67.7, 66.8, 67.15, -1 
ALL, 05/23/2016, 66.74, 67.15, 66.67, 66.86, -1 
ALL, 05/24/2016, 66.37, 67.74, 66.37, 67.42, -1 
ALL, 05/25/2016, 67.05, 67.82, 67.05, 67.29, -1 
ALL, 05/26/2016, 66.95, 67.57, 66.95, 67.49, -1 
ALL, 05/27/2016, 67.1, 67.83, 67.1, 67.65, -1 
ALL, 05/31/2016, 66.05, 67.89, 66.05, 67.5, -1 
ALL, 06/01/2016, 65.9, 67.5, 65.9, 67.43, -1 
ALL, 06/02/2016, 66.81, 67.42, 66.81, 67.42, -1 
ALL, 06/03/2016, 66.95, 67.7, 66.64, 67.43, -1 
ALL, 06/06/2016, 67.15, 68.0, 67.15, 67.63, -1 
ALL, 06/07/2016, 67.22, 67.87, 67.22, 67.43, -1 
ALL, 06/08/2016, 66.71, 67.87, 66.71, 67.68, -1 
ALL, 06/09/2016, 67.06, 67.96, 67.06, 67.79, -1 
ALL, 06/10/2016, 66.93, 67.85, 66.93, 67.46, -1 
