Symbol, Date, Open, High, Low, Close, Volume 
AMG, 10/30/2015, 178.2, 180.88, 178.18, 180.24, -1 
AMG, 11/02/2015, 160.32, 185.64, 160.32, 185.07, -1 
AMG, 11/03/2015, 183.95, 186.94, 182.42, 186.76, -1 
AMG, 11/04/2015, 186.07, 188.16, 185.56, 186.61, -1 
AMG, 11/05/2015, 185.53, 188.43, 185.51, 187.19, -1 
AMG, 11/06/2015, 168.47, 189.88, 168.47, 189.12, -1 
AMG, 11/09/2015, 171.0, 185.0, 171.0, 177.79, -1 
AMG, 11/10/2015, 164.97, 179.83, 164.97, 176.94, -1 
AMG, 11/11/2015, 176.56, 178.46, 176.51, 176.67, -1 
AMG, 11/12/2015, 174.71, 175.06, 171.09, 171.18, -1 
AMG, 11/13/2015, 169.68, 171.21, 166.56, 167.39, -1 
AMG, 11/16/2015, 166.06, 172.02, 165.95, 172.0, -1 
AMG, 11/17/2015, 171.63, 173.12, 170.11, 170.45, -1 
AMG, 11/18/2015, 170.46, 176.45, 170.45, 176.24, -1 
AMG, 11/19/2015, 175.47, 178.94, 175.45, 176.68, -1 
AMG, 11/20/2015, 176.46, 178.68, 174.86, 175.29, -1 
AMG, 11/23/2015, 174.47, 177.54, 174.28, 174.75, -1 
AMG, 11/24/2015, 172.8, 176.16, 172.8, 175.45, -1 
AMG, 11/25/2015, 174.91, 177.18, 174.91, 176.18, -1 
AMG, 11/27/2015, 175.27, 176.99, 174.84, 176.74, -1 
AMG, 11/30/2015, 176.35, 178.21, 176.0, 177.26, -1 
AMG, 12/01/2015, 176.95, 179.96, 176.93, 179.79, -1 
AMG, 12/02/2015, 178.55, 179.85, 175.11, 175.73, -1 
AMG, 12/03/2015, 169.69, 177.02, 169.34, 170.67, -1 
AMG, 12/04/2015, 170.65, 175.69, 170.64, 175.37, -1 
AMG, 12/07/2015, 174.3, 175.04, 171.22, 172.64, -1 
AMG, 12/08/2015, 170.0, 171.27, 168.14, 168.95, -1 
AMG, 12/09/2015, 167.41, 170.71, 165.59, 166.61, -1 
AMG, 12/10/2015, 165.51, 168.18, 165.5, 165.87, -1 
