Symbol, Date, Open, High, Low, Close, Volume 
AON, 10/30/2015, 81.34, 93.68, 81.34, 93.3, -1 
AON, 11/02/2015, 92.82, 94.83, 92.82, 94.68, -1 
AON, 11/03/2015, 93.84, 95.14, 93.77, 94.61, -1 
AON, 11/04/2015, 94.27, 95.1, 94.27, 94.48, -1 
AON, 11/05/2015, 94.09, 95.25, 94.09, 94.81, -1 
AON, 11/06/2015, 93.38, 95.33, 93.38, 93.55, -1 
AON, 11/09/2015, 88.54, 93.5, 88.54, 92.44, -1 
AON, 11/10/2015, 87.55, 93.09, 87.55, 93.0, -1 
AON, 11/11/2015, 92.68, 94.05, 92.65, 93.87, -1 
AON, 11/12/2015, 92.8, 93.72, 92.79, 92.8, -1 
AON, 11/13/2015, 92.85, 93.34, 92.32, 93.11, -1 
AON, 11/16/2015, 92.39, 94.35, 92.39, 94.34, -1 
AON, 11/17/2015, 93.88, 94.32, 93.53, 93.67, -1 
AON, 11/18/2015, 93.32, 95.04, 93.32, 94.98, -1 
AON, 11/19/2015, 90.18, 95.09, 90.16, 93.81, -1 
AON, 11/20/2015, 89.05, 95.08, 89.05, 94.85, -1 
AON, 11/23/2015, 94.14, 95.27, 94.14, 94.72, -1 
AON, 11/24/2015, 93.65, 95.16, 93.65, 94.75, -1 
AON, 11/25/2015, 94.12, 94.81, 94.12, 94.51, -1 
AON, 11/27/2015, 93.94, 94.82, 93.94, 94.68, -1 
AON, 11/30/2015, 94.17, 95.11, 94.17, 94.75, -1 
AON, 12/01/2015, 94.57, 95.81, 94.57, 95.7, -1 
AON, 12/02/2015, 95.21, 95.66, 94.32, 94.53, -1 
AON, 12/03/2015, 94.11, 94.95, 93.15, 93.71, -1 
AON, 12/04/2015, 93.4, 96.68, 93.4, 96.61, -1 
AON, 12/07/2015, 95.74, 96.89, 95.74, 96.75, -1 
AON, 12/08/2015, 95.24, 96.27, 94.93, 95.11, -1 
AON, 12/09/2015, 93.68, 95.73, 93.68, 94.2, -1 
AON, 12/10/2015, 93.81, 94.39, 93.5, 93.81, -1 
AON, 12/11/2015, 92.67, 93.99, 92.13, 93.32, -1 
AON, 12/14/2015, 88.56, 94.43, 88.56, 94.07, -1 
AON, 12/15/2015, 94.38, 96.92, 94.38, 96.66, -1 
AON, 12/16/2015, 96.92, 97.7, 95.56, 96.92, -1 
