Symbol, Date, Open, High, Low, Close, Volume 
APA, 10/30/2015, 46.63, 47.8, 46.2, 47.14, -1 
APA, 11/02/2015, 46.59, 48.13, 46.45, 47.94, -1 
APA, 11/03/2015, 47.98, 50.19, 47.98, 49.87, -1 
APA, 11/04/2015, 49.73, 50.64, 48.64, 49.39, -1 
APA, 11/05/2015, 48.0, 50.94, 48.0, 49.25, -1 
APA, 11/06/2015, 46.62, 48.88, 46.62, 47.68, -1 
APA, 11/09/2015, 53.5, 55.02, 52.04, 53.91, -1 
APA, 11/10/2015, 53.62, 56.23, 51.87, 53.35, -1 
APA, 11/11/2015, 49.79, 51.77, 48.82, 49.36, -1 
APA, 11/12/2015, 48.28, 50.05, 47.3, 48.89, -1 
APA, 11/13/2015, 47.97, 49.85, 47.96, 48.96, -1 
APA, 11/16/2015, 49.03, 50.49, 48.27, 50.47, -1 
APA, 11/17/2015, 50.04, 50.79, 49.23, 49.72, -1 
APA, 11/18/2015, 49.8, 51.08, 48.67, 50.11, -1 
APA, 11/19/2015, 48.79, 49.97, 48.48, 49.53, -1 
APA, 11/20/2015, 49.32, 49.98, 48.8, 49.1, -1 
APA, 11/23/2015, 48.17, 49.51, 48.17, 48.84, -1 
APA, 11/24/2015, 48.99, 51.44, 48.99, 50.91, -1 
APA, 11/25/2015, 50.13, 50.94, 49.89, 50.35, -1 
APA, 11/27/2015, 48.66, 50.11, 48.66, 49.43, -1 
APA, 11/30/2015, 49.56, 49.98, 48.84, 49.18, -1 
APA, 12/01/2015, 48.95, 49.62, 48.62, 49.16, -1 
APA, 12/02/2015, 48.17, 49.28, 47.0, 47.31, -1 
APA, 12/03/2015, 47.36, 48.09, 45.55, 45.76, -1 
APA, 12/04/2015, 44.59, 46.03, 43.73, 45.75, -1 
APA, 12/07/2015, 44.5, 45.08, 43.58, 44.22, -1 
APA, 12/08/2015, 42.75, 45.32, 42.75, 44.89, -1 
APA, 12/09/2015, 44.05, 45.95, 44.05, 44.96, -1 
APA, 12/10/2015, 44.5, 46.53, 44.37, 46.19, -1 
APA, 12/11/2015, 45.25, 45.48, 42.67, 42.91, -1 
APA, 12/14/2015, 42.35, 44.17, 41.59, 43.49, -1 
APA, 12/15/2015, 42.55, 45.37, 42.55, 45.26, -1 
APA, 12/16/2015, 40.66, 45.42, 40.09, 44.78, -1 
APA, 12/17/2015, 44.51, 45.05, 42.68, 42.96, -1 
APA, 12/18/2015, 42.74, 43.73, 42.55, 42.71, -1 
APA, 12/21/2015, 42.46, 43.04, 41.97, 42.49, -1 
APA, 12/22/2015, 42.37, 43.54, 42.32, 42.78, -1 
APA, 12/23/2015, 43.51, 45.8, 43.51, 45.7, -1 
APA, 12/24/2015, 45.85, 46.53, 45.13, 45.81, -1 
APA, 12/28/2015, 44.54, 45.3, 44.36, 44.92, -1 
APA, 12/29/2015, 45.58, 46.23, 45.03, 45.44, -1 
APA, 12/30/2015, 44.55, 45.61, 44.55, 44.8, -1 
APA, 12/31/2015, 44.38, 45.09, 44.37, 44.46, -1 
APA, 01/04/2016, 43.96, 45.08, 43.74, 44.43, -1 
APA, 01/05/2016, 43.35, 43.96, 42.12, 43.51, -1 
APA, 01/06/2016, 41.47, 42.1, 38.45, 38.52, -1 
APA, 01/07/2016, 37.37, 38.62, 36.23, 36.54, -1 
APA, 01/08/2016, 36.52, 37.59, 35.06, 36.63, -1 
APA, 01/11/2016, 36.43, 36.76, 34.36, 35.06, -1 
APA, 01/12/2016, 35.27, 35.6, 34.16, 35.42, -1 
APA, 01/13/2016, 35.65, 37.22, 35.36, 35.59, -1 
APA, 01/14/2016, 35.61, 37.63, 35.25, 37.01, -1 
APA, 01/15/2016, 35.02, 35.9, 33.56, 35.32, -1 
APA, 01/19/2016, 35.04, 35.66, 33.8, 34.49, -1 
APA, 01/20/2016, 33.15, 35.35, 32.18, 34.61, -1 
APA, 01/21/2016, 33.94, 37.59, 33.94, 37.24, -1 
APA, 01/22/2016, 38.57, 40.02, 37.63, 39.38, -1 
APA, 01/25/2016, 38.14, 40.62, 37.38, 37.43, -1 
APA, 01/26/2016, 38.11, 38.78, 37.08, 38.0, -1 
APA, 01/27/2016, 37.2, 40.21, 37.2, 38.62, -1 
APA, 01/28/2016, 40.27, 40.92, 38.96, 40.58, -1 
APA, 01/29/2016, 40.49, 42.53, 40.49, 42.49, -1 
APA, 02/01/2016, 41.19, 41.69, 40.22, 40.79, -1 
APA, 02/02/2016, 39.38, 40.04, 38.45, 38.55, -1 
APA, 02/03/2016, 39.0, 41.28, 37.76, 41.23, -1 
APA, 02/04/2016, 41.28, 43.78, 40.49, 40.73, -1 
APA, 02/05/2016, 39.63, 40.07, 38.46, 39.04, -1 
APA, 02/08/2016, 36.7, 38.34, 36.7, 37.57, -1 
APA, 02/09/2016, 36.09, 37.11, 34.29, 35.57, -1 
APA, 02/10/2016, 34.82, 36.31, 34.82, 35.31, -1 
APA, 02/11/2016, 33.99, 35.04, 33.21, 34.37, -1 
APA, 02/12/2016, 34.57, 36.94, 34.54, 36.52, -1 
APA, 02/16/2016, 37.02, 37.83, 36.62, 37.48, -1 
APA, 02/17/2016, 37.58, 40.32, 37.58, 40.06, -1 
APA, 02/18/2016, 40.37, 40.77, 37.91, 38.8, -1 
APA, 02/19/2016, 36.91, 37.87, 36.25, 37.31, -1 
APA, 02/22/2016, 37.85, 39.75, 37.85, 39.61, -1 
APA, 02/23/2016, 37.97, 39.76, 37.86, 37.88, -1 
APA, 02/24/2016, 36.75, 38.72, 36.19, 38.57, -1 
APA, 02/25/2016, 37.51, 38.91, 36.07, 37.77, -1 
APA, 02/26/2016, 38.91, 40.48, 38.37, 39.45, -1 
APA, 02/29/2016, 39.39, 39.45, 37.69, 38.24, -1 
APA, 03/01/2016, 38.45, 38.68, 36.25, 38.61, -1 
APA, 03/02/2016, 38.31, 42.0, 38.14, 41.95, -1 
APA, 03/03/2016, 41.91, 45.59, 41.67, 45.09, -1 
APA, 03/04/2016, 45.45, 48.93, 45.16, 48.04, -1 
APA, 03/07/2016, 47.75, 51.1, 47.61, 51.01, -1 
APA, 03/08/2016, 50.25, 50.35, 46.16, 46.18, -1 
APA, 03/09/2016, 47.07, 47.55, 45.02, 46.21, -1 
APA, 03/10/2016, 45.18, 46.63, 44.69, 46.23, -1 
APA, 03/11/2016, 47.09, 49.03, 47.09, 48.94, -1 
APA, 03/14/2016, 47.69, 48.88, 47.43, 48.18, -1 
APA, 03/15/2016, 46.56, 48.01, 46.56, 47.91, -1 
APA, 03/16/2016, 48.21, 49.97, 48.11, 49.26, -1 
APA, 03/17/2016, 49.6, 51.02, 49.38, 50.47, -1 
APA, 03/18/2016, 51.16, 51.77, 48.52, 49.61, -1 
APA, 03/21/2016, 48.92, 50.73, 48.74, 49.87, -1 
APA, 03/22/2016, 48.88, 51.31, 48.88, 50.24, -1 
APA, 03/23/2016, 48.68, 49.72, 47.64, 47.86, -1 
APA, 03/24/2016, 47.01, 48.85, 46.55, 48.85, -1 
APA, 03/28/2016, 48.56, 48.92, 47.6, 48.4, -1 
APA, 03/29/2016, 47.07, 48.61, 47.04, 48.55, -1 
APA, 03/30/2016, 48.79, 49.37, 48.05, 48.64, -1 
APA, 03/31/2016, 48.05, 49.17, 47.99, 48.79, -1 
APA, 04/01/2016, 47.29, 48.62, 47.07, 47.5, -1 
APA, 04/04/2016, 47.09, 48.29, 46.62, 46.83, -1 
APA, 04/05/2016, 46.05, 48.16, 46.04, 47.34, -1 
APA, 04/06/2016, 47.58, 49.88, 47.3, 49.77, -1 
APA, 04/07/2016, 49.16, 49.99, 48.33, 49.2, -1 
APA, 04/08/2016, 50.49, 51.64, 50.17, 50.65, -1 
APA, 04/11/2016, 50.87, 51.64, 49.93, 49.95, -1 
APA, 04/12/2016, 50.24, 53.69, 50.07, 53.27, -1 
APA, 04/13/2016, 52.53, 53.1, 51.5, 52.45, -1 
APA, 04/14/2016, 52.49, 53.44, 52.28, 52.96, -1 
APA, 04/15/2016, 52.4, 52.63, 51.52, 52.03, -1 
APA, 04/18/2016, 50.12, 53.87, 49.83, 53.42, -1 
APA, 04/19/2016, 53.58, 55.5, 53.2, 55.01, -1 
APA, 04/20/2016, 54.28, 55.43, 53.57, 54.67, -1 
APA, 04/21/2016, 54.47, 55.56, 54.3, 54.79, -1 
APA, 04/22/2016, 54.63, 56.65, 54.63, 56.19, -1 
APA, 04/25/2016, 55.37, 55.96, 53.99, 54.41, -1 
APA, 04/26/2016, 54.51, 56.0, 53.9, 55.86, -1 
APA, 04/27/2016, 55.8, 58.04, 55.8, 57.55, -1 
APA, 04/28/2016, 56.84, 57.63, 55.27, 55.43, -1 
APA, 04/29/2016, 55.52, 56.19, 53.28, 54.39, -1 
APA, 05/02/2016, 53.85, 54.97, 53.16, 54.18, -1 
APA, 05/03/2016, 52.99, 53.68, 51.4, 52.13, -1 
APA, 05/04/2016, 52.16, 52.7, 50.07, 50.74, -1 
APA, 05/05/2016, 49.44, 54.99, 49.44, 54.8, -1 
APA, 05/06/2016, 53.41, 55.53, 53.41, 53.85, -1 
APA, 05/09/2016, 52.73, 53.37, 51.68, 52.12, -1 
APA, 05/10/2016, 52.23, 53.34, 52.02, 53.07, -1 
APA, 05/11/2016, 52.54, 54.82, 51.79, 54.02, -1 
APA, 05/12/2016, 54.72, 55.55, 54.24, 54.3, -1 
APA, 05/13/2016, 53.53, 54.46, 52.46, 53.02, -1 
APA, 05/16/2016, 54.24, 55.59, 54.24, 54.81, -1 
APA, 05/17/2016, 54.54, 55.81, 54.08, 55.1, -1 
APA, 05/18/2016, 57.75, 58.1, 55.21, 56.61, -1 
APA, 05/19/2016, 55.81, 57.21, 54.26, 56.99, -1 
APA, 05/20/2016, 56.55, 57.55, 56.24, 57.1, -1 
APA, 05/23/2016, 55.08, 57.83, 55.08, 57.61, -1 
APA, 05/24/2016, 56.65, 59.13, 56.65, 58.24, -1 
APA, 05/25/2016, 57.96, 59.59, 57.85, 57.9, -1 
APA, 05/26/2016, 58.33, 58.76, 57.42, 58.01, -1 
APA, 05/27/2016, 57.26, 58.37, 57.0, 58.28, -1 
APA, 05/31/2016, 58.0, 59.21, 57.03, 57.13, -1 
APA, 06/01/2016, 55.83, 56.79, 55.16, 56.16, -1 
APA, 06/02/2016, 55.05, 56.01, 54.83, 55.82, -1 
APA, 06/03/2016, 55.8, 56.22, 54.16, 54.56, -1 
APA, 06/06/2016, 54.82, 55.84, 54.82, 55.63, -1 
APA, 06/07/2016, 56.02, 58.43, 56.02, 58.2, -1 
APA, 06/08/2016, 58.7, 59.0, 56.69, 57.01, -1 
APA, 06/09/2016, 56.3, 56.93, 55.65, 55.82, -1 
APA, 06/10/2016, 54.91, 55.55, 53.03, 53.51, -1 
APA, 06/13/2016, 52.91, 54.55, 52.5, 53.84, -1 
APA, 06/14/2016, 53.56, 55.36, 53.47, 54.74, -1 
APA, 06/15/2016, 54.06, 55.38, 53.75, 54.54, -1 
APA, 06/16/2016, 53.28, 53.54, 51.9, 52.98, -1 
APA, 06/17/2016, 53.56, 54.45, 53.53, 53.86, -1 
APA, 06/20/2016, 54.58, 55.61, 54.37, 55.3, -1 
APA, 06/21/2016, 54.42, 56.99, 54.25, 56.63, -1 
APA, 06/22/2016, 56.07, 56.85, 55.73, 56.43, -1 
APA, 06/23/2016, 56.57, 58.17, 56.4, 58.16, -1 
APA, 06/24/2016, 55.5, 56.72, 54.8, 54.9, -1 
APA, 06/27/2016, 53.22, 54.07, 51.38, 51.99, -1 
APA, 06/28/2016, 52.75, 54.19, 52.75, 54.18, -1 
APA, 06/29/2016, 54.33, 56.23, 54.33, 55.79, -1 
APA, 06/30/2016, 55.84, 56.08, 55.09, 55.67, -1 
APA, 07/01/2016, 55.03, 57.37, 55.03, 56.67, -1 
APA, 07/05/2016, 54.48, 55.97, 53.7, 54.65, -1 
APA, 07/06/2016, 53.92, 55.45, 53.92, 55.29, -1 
APA, 07/07/2016, 55.49, 56.66, 54.44, 54.91, -1 
APA, 07/08/2016, 54.94, 55.95, 54.66, 55.16, -1 
APA, 07/11/2016, 55.25, 56.24, 55.03, 55.11, -1 
APA, 07/12/2016, 56.03, 58.33, 56.03, 57.52, -1 
APA, 07/13/2016, 57.02, 57.72, 56.03, 56.53, -1 
