Symbol, Date, Open, High, Low, Close, Volume 
APC, 10/30/2015, 67.39, 67.89, 65.6, 66.9, -1 
APC, 11/02/2015, 65.49, 67.72, 65.49, 67.38, -1 
APC, 11/03/2015, 67.51, 71.71, 67.51, 70.84, -1 
APC, 11/04/2015, 70.54, 72.08, 68.85, 70.25, -1 
APC, 11/05/2015, 69.6, 71.73, 69.3, 70.11, -1 
APC, 11/06/2015, 69.19, 70.01, 67.9, 68.59, -1 
APC, 11/09/2015, 68.31, 69.88, 67.38, 67.9, -1 
APC, 11/10/2015, 67.22, 72.09, 63.0, 63.43, -1 
APC, 11/11/2015, 64.48, 64.68, 60.26, 60.98, -1 
APC, 11/12/2015, 59.35, 60.83, 58.35, 58.5, -1 
APC, 11/13/2015, 58.19, 61.07, 57.85, 60.05, -1 
APC, 11/16/2015, 59.36, 62.51, 59.36, 62.11, -1 
APC, 11/17/2015, 61.55, 61.83, 60.12, 61.14, -1 
APC, 11/18/2015, 61.29, 62.51, 60.55, 61.72, -1 
APC, 11/19/2015, 60.95, 61.3, 58.83, 59.6, -1 
APC, 11/20/2015, 59.45, 59.81, 58.49, 58.71, -1 
APC, 11/23/2015, 58.46, 60.84, 58.35, 60.36, -1 
APC, 11/24/2015, 60.77, 62.49, 60.77, 62.03, -1 
APC, 11/25/2015, 61.25, 62.24, 61.03, 61.14, -1 
APC, 11/27/2015, 60.29, 60.97, 60.1, 60.74, -1 
APC, 11/30/2015, 60.61, 62.0, 59.79, 59.91, -1 
APC, 12/01/2015, 58.77, 61.16, 58.77, 60.46, -1 
APC, 12/02/2015, 59.77, 60.8, 58.25, 58.74, -1 
APC, 12/03/2015, 59.08, 59.83, 57.77, 58.13, -1 
APC, 12/04/2015, 57.06, 57.94, 55.86, 56.79, -1 
APC, 12/07/2015, 54.73, 54.85, 52.75, 53.66, -1 
APC, 12/08/2015, 51.76, 53.1, 51.2, 51.82, -1 
APC, 12/09/2015, 51.8, 53.46, 50.35, 50.81, -1 
APC, 12/10/2015, 50.09, 52.38, 49.86, 51.22, -1 
APC, 12/11/2015, 50.02, 50.2, 48.7, 49.53, -1 
APC, 12/14/2015, 49.04, 49.58, 47.34, 47.64, -1 
APC, 12/15/2015, 48.02, 49.15, 47.71, 48.81, -1 
APC, 12/16/2015, 48.56, 49.22, 47.29, 47.67, -1 
APC, 12/17/2015, 48.5, 48.89, 45.9, 46.72, -1 
APC, 12/18/2015, 46.06, 47.38, 45.67, 45.67, -1 
APC, 12/21/2015, 45.68, 47.71, 44.5, 46.55, -1 
APC, 12/22/2015, 46.05, 48.83, 46.05, 48.56, -1 
APC, 12/23/2015, 49.07, 51.55, 48.75, 51.49, -1 
APC, 12/24/2015, 51.31, 51.74, 50.64, 51.22, -1 
APC, 12/28/2015, 49.6, 50.49, 49.05, 49.67, -1 
APC, 12/29/2015, 50.35, 50.88, 49.25, 49.7, -1 
APC, 12/30/2015, 48.61, 49.92, 48.32, 48.37, -1 
APC, 12/31/2015, 48.04, 49.04, 47.95, 48.58, -1 
APC, 01/04/2016, 48.29, 49.95, 48.04, 49.19, -1 
APC, 01/05/2016, 49.42, 49.43, 47.75, 48.5, -1 
APC, 01/06/2016, 46.51, 46.77, 43.72, 43.82, -1 
APC, 01/07/2016, 41.85, 42.89, 39.79, 40.09, -1 
APC, 01/08/2016, 40.46, 41.8, 39.8, 40.54, -1 
APC, 01/11/2016, 39.65, 40.54, 37.51, 37.75, -1 
APC, 01/12/2016, 38.37, 38.66, 36.15, 37.32, -1 
APC, 01/13/2016, 37.89, 38.29, 34.0, 34.86, -1 
APC, 01/14/2016, 34.83, 35.66, 33.65, 34.99, -1 
APC, 01/15/2016, 32.86, 33.9, 31.84, 32.02, -1 
APC, 01/19/2016, 31.42, 32.83, 30.44, 30.86, -1 
APC, 01/20/2016, 30.04, 31.18, 28.16, 30.52, -1 
APC, 01/21/2016, 30.04, 33.81, 30.03, 33.54, -1 
APC, 01/22/2016, 34.94, 36.38, 34.51, 35.47, -1 
APC, 01/25/2016, 34.14, 35.61, 32.25, 32.31, -1 
APC, 01/26/2016, 32.82, 34.7, 32.47, 34.59, -1 
APC, 01/27/2016, 33.63, 36.6, 33.51, 35.54, -1 
APC, 01/28/2016, 37.5, 38.73, 36.5, 37.24, -1 
APC, 01/29/2016, 36.19, 39.3, 36.19, 39.09, -1 
APC, 02/01/2016, 38.54, 38.66, 36.75, 38.21, -1 
APC, 02/02/2016, 37.65, 40.59, 37.63, 39.26, -1 
APC, 02/03/2016, 39.81, 42.51, 39.15, 42.47, -1 
APC, 02/04/2016, 41.97, 44.05, 40.59, 41.39, -1 
APC, 02/05/2016, 40.22, 41.7, 39.43, 40.75, -1 
APC, 02/08/2016, 37.3, 40.33, 37.3, 40.05, -1 
APC, 02/09/2016, 38.8, 39.5, 37.05, 37.23, -1 
APC, 02/10/2016, 37.15, 38.06, 36.02, 37.37, -1 
APC, 02/11/2016, 35.9, 36.53, 34.66, 35.67, -1 
APC, 02/12/2016, 36.24, 38.25, 35.76, 37.82, -1 
APC, 02/16/2016, 38.77, 39.16, 37.71, 39.07, -1 
APC, 02/17/2016, 39.2, 41.82, 39.2, 40.49, -1 
APC, 02/18/2016, 40.22, 40.75, 36.93, 37.01, -1 
APC, 02/19/2016, 35.89, 35.97, 34.24, 35.34, -1 
APC, 02/22/2016, 36.16, 37.43, 36.16, 37.33, -1 
APC, 02/23/2016, 36.75, 37.04, 35.15, 35.29, -1 
APC, 02/24/2016, 34.1, 36.37, 33.81, 36.2, -1 
APC, 02/25/2016, 37.15, 38.61, 36.82, 37.63, -1 
APC, 02/26/2016, 38.43, 39.43, 37.96, 37.99, -1 
APC, 02/29/2016, 37.63, 38.38, 36.85, 37.94, -1 
APC, 03/01/2016, 39.15, 40.63, 37.64, 40.11, -1 
APC, 03/02/2016, 39.7, 42.68, 39.7, 42.62, -1 
APC, 03/03/2016, 42.11, 43.42, 41.75, 42.98, -1 
APC, 03/04/2016, 43.17, 45.87, 42.2, 45.24, -1 
APC, 03/07/2016, 44.12, 45.73, 44.12, 45.09, -1 
APC, 03/08/2016, 44.55, 44.55, 41.0, 41.15, -1 
APC, 03/09/2016, 41.77, 43.48, 40.62, 42.3, -1 
APC, 03/10/2016, 41.63, 42.53, 40.02, 42.53, -1 
APC, 03/11/2016, 44.12, 47.12, 43.96, 46.29, -1 
APC, 03/14/2016, 45.15, 47.14, 45.04, 46.31, -1 
APC, 03/15/2016, 45.84, 47.07, 44.81, 47.01, -1 
APC, 03/16/2016, 47.06, 49.07, 46.5, 48.72, -1 
APC, 03/17/2016, 49.2, 50.39, 48.96, 49.24, -1 
APC, 03/18/2016, 49.5, 49.77, 47.81, 48.75, -1 
APC, 03/21/2016, 48.27, 49.13, 47.07, 48.6, -1 
APC, 03/22/2016, 47.83, 49.15, 47.83, 47.98, -1 
APC, 03/23/2016, 47.02, 48.29, 46.16, 46.29, -1 
APC, 03/24/2016, 44.88, 46.49, 44.33, 46.28, -1 
APC, 03/28/2016, 46.17, 46.66, 45.21, 45.67, -1 
APC, 03/29/2016, 44.7, 46.38, 44.4, 46.22, -1 
APC, 03/30/2016, 46.81, 47.41, 45.47, 46.38, -1 
APC, 03/31/2016, 45.79, 47.34, 45.79, 46.57, -1 
APC, 04/01/2016, 44.68, 46.13, 44.68, 45.81, -1 
APC, 04/04/2016, 45.6, 46.64, 44.38, 44.57, -1 
APC, 04/05/2016, 43.84, 44.97, 43.77, 44.1, -1 
APC, 04/06/2016, 43.62, 46.0, 43.51, 45.71, -1 
APC, 04/07/2016, 45.16, 46.23, 45.08, 45.74, -1 
APC, 04/08/2016, 47.11, 48.5, 47.08, 48.27, -1 
APC, 04/11/2016, 48.56, 49.12, 47.46, 47.52, -1 
APC, 04/12/2016, 47.55, 50.53, 47.55, 50.1, -1 
APC, 04/13/2016, 49.66, 50.46, 48.67, 49.32, -1 
APC, 04/14/2016, 49.41, 49.79, 48.6, 49.45, -1 
APC, 04/15/2016, 49.14, 49.83, 48.27, 48.92, -1 
APC, 04/18/2016, 46.76, 50.61, 46.75, 50.11, -1 
APC, 04/19/2016, 50.11, 51.85, 50.11, 50.52, -1 
APC, 04/20/2016, 50.04, 51.62, 49.73, 50.65, -1 
APC, 04/21/2016, 50.48, 50.91, 49.11, 50.03, -1 
APC, 04/22/2016, 48.88, 52.72, 48.88, 52.54, -1 
APC, 04/25/2016, 51.67, 52.35, 50.4, 51.08, -1 
APC, 04/26/2016, 51.11, 52.65, 50.75, 52.36, -1 
APC, 04/27/2016, 52.73, 55.45, 52.73, 54.79, -1 
APC, 04/28/2016, 53.94, 55.42, 53.01, 53.2, -1 
APC, 04/29/2016, 53.51, 54.55, 51.62, 52.74, -1 
APC, 05/02/2016, 52.43, 52.65, 50.9, 51.92, -1 
APC, 05/03/2016, 50.6, 52.11, 49.1, 50.1, -1 
APC, 05/04/2016, 49.1, 50.38, 46.92, 47.04, -1 
APC, 05/05/2016, 47.97, 48.3, 45.86, 46.09, -1 
APC, 05/06/2016, 45.25, 47.68, 45.2, 46.57, -1 
APC, 05/09/2016, 46.0, 46.45, 44.8, 44.99, -1 
APC, 05/10/2016, 44.94, 47.04, 44.94, 47.0, -1 
APC, 05/11/2016, 44.54, 48.79, 44.54, 47.92, -1 
APC, 05/12/2016, 48.5, 49.62, 47.43, 48.25, -1 
APC, 05/13/2016, 46.36, 49.1, 46.27, 47.72, -1 
APC, 05/16/2016, 48.5, 49.84, 48.5, 49.18, -1 
APC, 05/17/2016, 49.12, 50.43, 48.92, 49.73, -1 
APC, 05/18/2016, 49.14, 50.18, 48.5, 48.93, -1 
APC, 05/19/2016, 47.54, 49.52, 47.51, 49.21, -1 
APC, 05/20/2016, 49.06, 49.77, 48.7, 49.3, -1 
APC, 05/23/2016, 48.31, 49.48, 48.28, 49.2, -1 
APC, 05/24/2016, 48.57, 50.43, 48.57, 50.23, -1 
APC, 05/25/2016, 50.51, 52.26, 50.51, 52.08, -1 
APC, 05/26/2016, 52.46, 52.94, 52.0, 52.27, -1 
APC, 05/27/2016, 51.74, 51.97, 51.01, 51.52, -1 
APC, 05/31/2016, 51.28, 52.97, 51.28, 51.86, -1 
APC, 06/01/2016, 50.71, 52.5, 50.71, 52.4, -1 
APC, 06/02/2016, 51.39, 51.8, 50.59, 51.67, -1 
APC, 06/03/2016, 51.2, 52.19, 50.74, 51.45, -1 
