Symbol, Date, Open, High, Low, Close, Volume 
AVB, 10/30/2015, 177.13, 178.28, 174.24, 174.67, -1 
AVB, 11/02/2015, 167.29, 180.18, 167.28, 180.07, -1 
AVB, 11/03/2015, 178.7, 180.27, 176.38, 177.67, -1 
AVB, 11/04/2015, 167.69, 178.65, 167.69, 178.06, -1 
AVB, 11/05/2015, 168.22, 177.75, 165.14, 177.33, -1 
AVB, 11/06/2015, 163.45, 176.11, 163.45, 172.88, -1 
AVB, 11/09/2015, 166.09, 172.41, 166.09, 170.14, -1 
AVB, 11/10/2015, 155.24, 174.09, 155.24, 172.43, -1 
AVB, 11/11/2015, 171.85, 174.95, 171.85, 173.89, -1 
AVB, 11/12/2015, 172.21, 175.79, 172.17, 173.83, -1 
AVB, 11/13/2015, 157.73, 174.9, 156.48, 172.64, -1 
AVB, 11/16/2015, 163.18, 174.64, 162.56, 174.42, -1 
AVB, 11/17/2015, 164.39, 176.6, 162.77, 175.07, -1 
AVB, 11/18/2015, 174.58, 176.4, 173.72, 176.27, -1 
AVB, 11/19/2015, 175.56, 178.18, 175.56, 177.41, -1 
AVB, 11/20/2015, 176.83, 180.34, 176.83, 179.95, -1 
AVB, 11/23/2015, 178.63, 181.67, 178.63, 181.5, -1 
AVB, 11/24/2015, 179.7, 180.82, 177.78, 179.79, -1 
AVB, 11/25/2015, 178.54, 182.18, 178.53, 181.01, -1 
AVB, 11/27/2015, 179.73, 183.4, 179.65, 182.28, -1 
AVB, 11/30/2015, 181.79, 185.0, 181.13, 181.97, -1 
AVB, 12/01/2015, 181.68, 184.86, 181.68, 184.76, -1 
AVB, 12/02/2015, 175.48, 184.83, 175.46, 180.94, -1 
AVB, 12/03/2015, 171.64, 180.96, 171.64, 176.3, -1 
AVB, 12/04/2015, 175.84, 182.19, 175.82, 181.97, -1 
AVB, 12/07/2015, 179.24, 181.86, 178.14, 179.06, -1 
AVB, 12/08/2015, 169.27, 179.9, 169.27, 179.25, -1 
AVB, 12/09/2015, 177.59, 179.75, 176.06, 177.13, -1 
AVB, 12/10/2015, 176.38, 177.64, 173.79, 173.89, -1 
AVB, 12/11/2015, 172.99, 175.5, 172.23, 174.85, -1 
AVB, 12/14/2015, 166.03, 175.57, 165.99, 174.37, -1 
AVB, 12/15/2015, 171.12, 178.48, 171.12, 176.91, -1 
AVB, 12/16/2015, 176.68, 181.36, 176.68, 180.83, -1 
AVB, 12/17/2015, 180.36, 180.63, 177.81, 178.99, -1 
AVB, 12/18/2015, 177.46, 179.82, 177.12, 178.25, -1 
AVB, 12/21/2015, 177.74, 181.04, 177.74, 179.98, -1 
AVB, 12/22/2015, 171.72, 182.72, 171.72, 180.86, -1 
AVB, 12/23/2015, 171.61, 183.13, 171.61, 183.0, -1 
AVB, 12/24/2015, 181.64, 183.61, 181.31, 182.79, -1 
AVB, 12/28/2015, 172.64, 184.03, 172.6, 183.88, -1 
AVB, 12/29/2015, 174.53, 185.55, 174.53, 185.44, -1 
AVB, 12/30/2015, 184.96, 186.34, 184.23, 185.28, -1 
AVB, 12/31/2015, 184.2, 186.2, 183.8, 184.05, -1 
AVB, 01/04/2016, 182.01, 182.44, 179.23, 180.82, -1 
AVB, 01/05/2016, 156.72, 185.05, 156.72, 184.55, -1 
AVB, 01/06/2016, 183.0, 183.95, 182.37, 183.57, -1 
AVB, 01/07/2016, 180.55, 184.19, 180.55, 182.69, -1 
AVB, 01/08/2016, 150.48, 184.36, 150.48, 179.49, -1 
AVB, 01/11/2016, 170.27, 181.71, 170.27, 180.55, -1 
AVB, 01/12/2016, 177.37, 180.86, 177.37, 179.57, -1 
AVB, 01/13/2016, 179.13, 181.98, 176.93, 176.99, -1 
AVB, 01/14/2016, 175.94, 179.18, 175.8, 175.92, -1 
AVB, 01/15/2016, 157.19, 177.9, 157.19, 175.72, -1 
AVB, 01/19/2016, 162.89, 179.03, 162.89, 178.35, -1 
AVB, 01/20/2016, 175.99, 177.89, 169.25, 171.5, -1 
AVB, 01/21/2016, 162.18, 173.33, 162.18, 171.2, -1 
AVB, 01/22/2016, 162.58, 174.85, 162.58, 174.26, -1 
