Symbol, Date, Open, High, Low, Close, Volume 
AVY, 10/30/2015, 64.82, 65.64, 64.77, 65.0, -1 
AVY, 11/02/2015, 64.81, 65.99, 64.51, 65.69, -1 
AVY, 11/03/2015, 65.3, 65.96, 65.07, 65.12, -1 
AVY, 11/04/2015, 64.92, 65.27, 64.13, 64.42, -1 
AVY, 11/05/2015, 64.08, 65.04, 64.04, 64.81, -1 
AVY, 11/06/2015, 61.5, 65.07, 61.48, 65.07, -1 
AVY, 11/09/2015, 64.6, 65.55, 64.42, 65.35, -1 
AVY, 11/10/2015, 64.89, 65.47, 63.06, 64.02, -1 
AVY, 11/11/2015, 63.86, 65.54, 63.54, 65.24, -1 
AVY, 11/12/2015, 64.58, 64.99, 62.77, 62.88, -1 
AVY, 11/13/2015, 62.46, 63.02, 62.03, 62.35, -1 
AVY, 11/16/2015, 62.01, 63.54, 62.01, 63.34, -1 
AVY, 11/17/2015, 63.1, 64.14, 63.07, 63.57, -1 
AVY, 11/18/2015, 63.44, 65.47, 63.44, 65.37, -1 
AVY, 11/19/2015, 64.94, 66.2, 64.89, 66.01, -1 
AVY, 11/20/2015, 65.77, 66.62, 65.42, 65.95, -1 
AVY, 11/23/2015, 65.64, 66.39, 65.42, 65.71, -1 
AVY, 11/24/2015, 64.96, 66.19, 64.91, 66.09, -1 
AVY, 11/25/2015, 65.84, 66.4, 65.52, 66.17, -1 
AVY, 11/27/2015, 65.89, 66.44, 65.5, 66.18, -1 
AVY, 11/30/2015, 65.07, 66.32, 65.03, 65.94, -1 
AVY, 12/01/2015, 65.76, 66.62, 65.76, 66.14, -1 
AVY, 12/02/2015, 65.7, 66.55, 65.24, 65.32, -1 
AVY, 12/03/2015, 65.17, 65.5, 63.47, 63.99, -1 
AVY, 12/04/2015, 63.71, 65.74, 63.71, 65.53, -1 
AVY, 12/07/2015, 65.08, 65.94, 64.7, 65.09, -1 
AVY, 12/08/2015, 64.15, 64.92, 63.9, 64.23, -1 
AVY, 12/09/2015, 63.74, 64.91, 63.17, 63.62, -1 
AVY, 12/10/2015, 63.3, 64.4, 63.3, 63.71, -1 
AVY, 12/11/2015, 62.88, 63.73, 62.75, 62.93, -1 
AVY, 12/14/2015, 62.67, 63.81, 62.47, 62.82, -1 
AVY, 12/15/2015, 63.01, 63.64, 62.76, 63.29, -1 
AVY, 12/16/2015, 60.09, 64.72, 60.09, 64.56, -1 
AVY, 12/17/2015, 64.41, 64.56, 63.06, 63.07, -1 
AVY, 12/18/2015, 62.63, 62.9, 61.98, 62.04, -1 
AVY, 12/21/2015, 62.11, 63.3, 62.11, 62.9, -1 
AVY, 12/22/2015, 62.65, 63.27, 62.29, 63.08, -1 
AVY, 12/23/2015, 63.17, 63.95, 62.94, 63.92, -1 
AVY, 12/24/2015, 63.46, 64.32, 63.46, 64.03, -1 
AVY, 12/28/2015, 63.53, 64.17, 63.26, 63.99, -1 
AVY, 12/29/2015, 64.03, 64.39, 63.23, 63.59, -1 
AVY, 12/30/2015, 62.99, 63.84, 62.98, 63.33, -1 
AVY, 12/31/2015, 62.86, 63.66, 62.62, 62.65, -1 
AVY, 01/04/2016, 59.22, 61.47, 59.22, 61.19, -1 
AVY, 01/05/2016, 60.98, 61.76, 60.95, 61.63, -1 
AVY, 01/06/2016, 60.57, 61.49, 60.52, 60.94, -1 
AVY, 01/07/2016, 59.71, 60.41, 59.08, 59.09, -1 
AVY, 01/08/2016, 59.25, 60.43, 59.21, 59.72, -1 
AVY, 01/11/2016, 59.58, 60.2, 58.76, 59.69, -1 
AVY, 01/12/2016, 56.67, 60.49, 56.67, 59.91, -1 
AVY, 01/13/2016, 59.79, 60.51, 58.44, 58.64, -1 
AVY, 01/14/2016, 58.54, 60.49, 58.54, 59.93, -1 
AVY, 01/15/2016, 58.23, 59.18, 57.84, 58.94, -1 
AVY, 01/19/2016, 59.13, 59.59, 58.31, 58.95, -1 
AVY, 01/20/2016, 53.38, 59.49, 53.38, 59.02, -1 
AVY, 01/21/2016, 58.94, 59.49, 58.58, 58.88, -1 
AVY, 01/22/2016, 55.89, 60.79, 55.89, 60.74, -1 
AVY, 01/25/2016, 59.87, 60.29, 57.94, 58.15, -1 
AVY, 01/26/2016, 53.51, 59.91, 53.51, 59.6, -1 
AVY, 01/27/2016, 59.03, 60.2, 59.0, 59.7, -1 
AVY, 01/28/2016, 59.77, 60.15, 59.15, 59.34, -1 
AVY, 01/29/2016, 59.25, 60.97, 59.23, 60.88, -1 
AVY, 02/01/2016, 60.32, 61.17, 60.18, 61.0, -1 
AVY, 02/02/2016, 60.01, 60.52, 59.35, 59.86, -1 
AVY, 02/03/2016, 59.31, 66.1, 59.31, 63.72, -1 
AVY, 02/04/2016, 57.06, 64.78, 57.05, 64.4, -1 
AVY, 02/05/2016, 63.68, 64.64, 62.92, 63.16, -1 
AVY, 02/08/2016, 62.34, 62.47, 60.63, 61.33, -1 
AVY, 02/09/2016, 60.35, 63.47, 60.33, 62.88, -1 
AVY, 02/10/2016, 62.98, 64.48, 62.92, 63.02, -1 
AVY, 02/11/2016, 61.7, 62.64, 61.54, 62.26, -1 
AVY, 02/12/2016, 62.59, 64.06, 62.54, 63.97, -1 
AVY, 02/16/2016, 64.18, 64.96, 63.66, 64.81, -1 
AVY, 02/17/2016, 64.82, 65.54, 64.06, 64.18, -1 
AVY, 02/18/2016, 63.94, 64.33, 63.67, 64.16, -1 
AVY, 02/19/2016, 63.51, 64.83, 63.48, 64.56, -1 
AVY, 02/22/2016, 64.72, 65.67, 64.42, 65.01, -1 
AVY, 02/23/2016, 64.41, 65.11, 63.8, 63.97, -1 
AVY, 02/24/2016, 63.1, 64.88, 62.95, 64.78, -1 
AVY, 02/25/2016, 64.59, 66.27, 64.55, 66.23, -1 
AVY, 02/26/2016, 64.67, 66.88, 64.67, 66.44, -1 
AVY, 02/29/2016, 63.78, 66.53, 63.78, 65.12, -1 
AVY, 03/01/2016, 64.74, 67.52, 64.74, 66.79, -1 
AVY, 03/02/2016, 66.24, 67.86, 66.11, 67.44, -1 
AVY, 03/03/2016, 67.12, 68.32, 67.09, 68.22, -1 
AVY, 03/04/2016, 67.57, 68.2, 67.45, 67.84, -1 
AVY, 03/07/2016, 67.17, 67.92, 67.15, 67.91, -1 
AVY, 03/08/2016, 66.98, 68.72, 66.98, 68.18, -1 
AVY, 03/09/2016, 68.01, 69.7, 67.99, 69.1, -1 
AVY, 03/10/2016, 69.04, 70.02, 68.93, 69.64, -1 
AVY, 03/11/2016, 69.71, 69.94, 69.01, 69.84, -1 
AVY, 03/14/2016, 66.84, 69.74, 66.83, 69.24, -1 
AVY, 03/15/2016, 68.49, 69.41, 68.34, 68.99, -1 
AVY, 03/16/2016, 65.52, 69.48, 65.51, 69.2, -1 
AVY, 03/17/2016, 68.76, 69.99, 68.76, 69.8, -1 
AVY, 03/18/2016, 69.55, 70.73, 69.55, 70.48, -1 
AVY, 03/21/2016, 69.92, 71.06, 69.9, 70.97, -1 
AVY, 03/22/2016, 70.7, 71.93, 70.7, 71.45, -1 
AVY, 03/23/2016, 70.85, 71.85, 70.85, 71.35, -1 
AVY, 03/24/2016, 70.64, 71.48, 70.64, 70.95, -1 
AVY, 03/28/2016, 70.83, 71.53, 70.83, 71.26, -1 
AVY, 03/29/2016, 70.81, 72.48, 70.81, 72.43, -1 
AVY, 03/30/2016, 72.29, 72.62, 71.68, 72.39, -1 
AVY, 03/31/2016, 72.11, 72.48, 71.78, 72.12, -1 
AVY, 04/01/2016, 71.25, 72.95, 71.25, 72.85, -1 
AVY, 04/04/2016, 72.56, 73.21, 72.29, 72.79, -1 
AVY, 04/05/2016, 72.06, 72.71, 71.62, 72.04, -1 
AVY, 04/06/2016, 71.92, 73.15, 71.84, 73.03, -1 
AVY, 04/07/2016, 72.22, 72.61, 71.33, 71.58, -1 
AVY, 04/08/2016, 71.52, 72.47, 71.5, 71.7, -1 
AVY, 04/11/2016, 71.69, 71.87, 71.25, 71.35, -1 
AVY, 04/12/2016, 70.87, 71.8, 70.87, 71.58, -1 
AVY, 04/13/2016, 68.63, 72.38, 68.63, 72.3, -1 
AVY, 04/14/2016, 71.86, 72.58, 71.86, 72.01, -1 
AVY, 04/15/2016, 71.63, 72.64, 71.63, 72.58, -1 
AVY, 04/18/2016, 69.28, 73.38, 69.28, 73.37, -1 
AVY, 04/19/2016, 73.09, 74.32, 73.09, 73.34, -1 
AVY, 04/20/2016, 70.13, 73.58, 70.13, 73.02, -1 
AVY, 04/21/2016, 72.63, 73.7, 72.63, 72.82, -1 
AVY, 04/22/2016, 72.38, 73.56, 72.38, 73.53, -1 
AVY, 04/25/2016, 72.83, 73.25, 72.54, 72.8, -1 
AVY, 04/26/2016, 72.44, 72.95, 72.44, 72.75, -1 
AVY, 04/27/2016, 73.22, 75.13, 73.22, 74.48, -1 
AVY, 04/28/2016, 70.41, 73.81, 70.41, 73.42, -1 
AVY, 04/29/2016, 70.55, 73.04, 70.55, 72.63, -1 
AVY, 05/02/2016, 69.8, 74.48, 69.8, 74.37, -1 
AVY, 05/03/2016, 73.62, 75.18, 73.19, 75.14, -1 
AVY, 05/04/2016, 74.47, 75.02, 73.37, 73.98, -1 
AVY, 05/05/2016, 73.73, 74.44, 73.72, 74.07, -1 
AVY, 05/06/2016, 73.33, 74.88, 73.33, 74.86, -1 
AVY, 05/09/2016, 74.4, 75.4, 74.4, 75.19, -1 
AVY, 05/10/2016, 74.87, 76.44, 74.87, 76.43, -1 
AVY, 05/11/2016, 75.97, 76.44, 75.25, 75.78, -1 
AVY, 05/12/2016, 75.66, 76.74, 75.66, 76.36, -1 
AVY, 05/13/2016, 75.86, 76.74, 75.21, 75.57, -1 
AVY, 05/16/2016, 75.2, 76.95, 75.2, 76.74, -1 
AVY, 05/17/2016, 76.02, 76.47, 74.81, 75.31, -1 
AVY, 05/18/2016, 74.59, 75.12, 74.11, 74.45, -1 
AVY, 05/19/2016, 73.8, 74.72, 73.67, 74.61, -1 
AVY, 05/20/2016, 73.9, 74.27, 73.28, 73.31, -1 
AVY, 05/23/2016, 72.77, 74.15, 72.77, 73.46, -1 
AVY, 05/24/2016, 71.57, 74.63, 71.57, 74.48, -1 
AVY, 05/25/2016, 74.23, 75.42, 74.23, 74.9, -1 
AVY, 05/26/2016, 74.59, 75.1, 74.31, 74.36, -1 
AVY, 05/27/2016, 71.29, 74.64, 71.29, 74.63, -1 
AVY, 05/31/2016, 74.24, 74.71, 73.82, 74.37, -1 
AVY, 06/01/2016, 73.4, 74.31, 73.4, 74.17, -1 
AVY, 06/02/2016, 73.37, 75.27, 73.37, 75.25, -1 
AVY, 06/03/2016, 74.59, 75.83, 74.59, 75.74, -1 
AVY, 06/06/2016, 75.43, 76.34, 75.43, 75.98, -1 
AVY, 06/07/2016, 76.01, 76.49, 75.81, 76.03, -1 
AVY, 06/08/2016, 75.54, 76.6, 75.54, 76.47, -1 
AVY, 06/09/2016, 75.77, 76.74, 75.76, 76.59, -1 
AVY, 06/10/2016, 75.91, 77.25, 75.91, 77.11, -1 
AVY, 06/13/2016, 76.31, 77.01, 75.66, 75.71, -1 
AVY, 06/14/2016, 74.86, 76.08, 74.83, 75.88, -1 
AVY, 06/15/2016, 74.06, 76.47, 74.06, 75.64, -1 
AVY, 06/16/2016, 74.89, 75.95, 74.89, 75.87, -1 
AVY, 06/17/2016, 75.41, 75.78, 74.31, 75.04, -1 
AVY, 06/20/2016, 75.28, 76.71, 75.28, 76.21, -1 
AVY, 06/21/2016, 75.84, 76.75, 75.84, 76.32, -1 
AVY, 06/22/2016, 76.3, 76.68, 76.11, 76.38, -1 
AVY, 06/23/2016, 76.39, 77.35, 76.39, 77.1, -1 
AVY, 06/24/2016, 74.03, 75.83, 73.26, 73.6, -1 
AVY, 06/27/2016, 72.65, 72.94, 70.91, 71.11, -1 
AVY, 06/28/2016, 71.07, 72.0, 71.07, 71.99, -1 
AVY, 06/29/2016, 72.03, 73.05, 72.03, 72.8, -1 
AVY, 06/30/2016, 72.45, 74.74, 72.45, 74.73, -1 
AVY, 07/01/2016, 72.46, 73.35, 71.23, 72.6, -1 
AVY, 07/05/2016, 71.56, 72.1, 70.81, 71.13, -1 
AVY, 07/06/2016, 70.28, 72.14, 70.28, 71.82, -1 
AVY, 07/07/2016, 71.29, 72.79, 71.29, 72.17, -1 
AVY, 07/08/2016, 72.07, 73.36, 72.07, 73.28, -1 
AVY, 07/11/2016, 72.95, 73.56, 72.68, 72.99, -1 
AVY, 07/12/2016, 72.32, 73.44, 72.32, 72.95, -1 
AVY, 07/13/2016, 72.51, 73.75, 72.51, 73.16, -1 
AVY, 07/14/2016, 73.08, 73.96, 73.08, 73.36, -1 
AVY, 07/15/2016, 73.04, 74.15, 73.04, 73.52, -1 
AVY, 07/18/2016, 72.63, 74.25, 72.63, 73.79, -1 
AVY, 07/19/2016, 66.73, 73.5, 66.73, 72.9, -1 
AVY, 07/20/2016, 72.49, 73.74, 72.49, 73.44, -1 
AVY, 07/21/2016, 72.94, 73.46, 72.19, 72.36, -1 
AVY, 07/22/2016, 71.95, 72.92, 71.95, 72.57, -1 
AVY, 07/25/2016, 72.04, 72.72, 71.83, 72.22, -1 
AVY, 07/26/2016, 72.82, 76.44, 72.82, 76.37, -1 
AVY, 07/27/2016, 76.37, 78.81, 76.37, 78.56, -1 
AVY, 07/28/2016, 77.95, 78.81, 77.32, 78.15, -1 
AVY, 07/29/2016, 77.61, 78.1, 76.98, 77.87, -1 
AVY, 08/01/2016, 77.51, 78.27, 77.51, 78.13, -1 
AVY, 08/02/2016, 69.06, 78.64, 69.06, 77.85, -1 
AVY, 08/03/2016, 77.35, 77.85, 76.72, 77.21, -1 
AVY, 08/04/2016, 76.7, 77.88, 76.7, 77.37, -1 
AVY, 08/05/2016, 77.08, 78.93, 77.08, 78.43, -1 
AVY, 08/08/2016, 78.05, 78.98, 77.97, 78.72, -1 
AVY, 08/09/2016, 78.52, 79.03, 78.48, 78.73, -1 
AVY, 08/10/2016, 78.21, 79.26, 77.96, 78.67, -1 
AVY, 08/11/2016, 78.34, 79.0, 77.86, 78.32, -1 
AVY, 08/12/2016, 77.57, 78.33, 77.57, 78.2, -1 
AVY, 08/15/2016, 77.72, 78.64, 77.72, 78.18, -1 
AVY, 08/16/2016, 77.57, 78.07, 77.3, 77.3, -1 
AVY, 08/17/2016, 76.43, 77.41, 76.43, 77.28, -1 
AVY, 08/18/2016, 76.7, 77.25, 76.7, 76.94, -1 
AVY, 08/19/2016, 76.2, 77.62, 76.2, 77.44, -1 
AVY, 08/22/2016, 76.67, 77.18, 76.42, 77.15, -1 
