Symbol, Date, Open, High, Low, Close, Volume 
AZO, 10/30/2015, 712.59, 788.7, 712.59, 784.49, -1 
AZO, 11/02/2015, 780.0, 789.38, 773.53, 784.92, -1 
AZO, 11/03/2015, 761.0, 794.52, 761.0, 791.82, -1 
AZO, 11/04/2015, 772.98, 796.22, 772.98, 788.73, -1 
AZO, 11/05/2015, 724.38, 798.0, 724.38, 795.52, -1 
AZO, 11/06/2015, 713.61, 802.87, 713.61, 797.28, -1 
AZO, 11/09/2015, 761.0, 796.39, 761.0, 783.5, -1 
AZO, 11/10/2015, 701.27, 790.77, 701.27, 789.95, -1 
AZO, 11/11/2015, 777.17, 792.61, 777.17, 786.96, -1 
AZO, 11/12/2015, 772.0, 783.25, 772.0, 774.78, -1 
AZO, 11/13/2015, 700.0, 775.73, 700.0, 755.04, -1 
AZO, 11/16/2015, 740.51, 775.75, 740.51, 775.05, -1 
AZO, 11/17/2015, 759.0, 781.21, 759.0, 772.44, -1 
AZO, 11/18/2015, 721.7, 783.94, 721.7, 782.59, -1 
AZO, 11/19/2015, 764.37, 785.78, 764.37, 778.75, -1 
AZO, 11/20/2015, 721.7, 785.84, 721.7, 784.14, -1 
AZO, 11/23/2015, 721.7, 787.67, 721.7, 781.45, -1 
AZO, 11/24/2015, 775.0, 782.27, 771.49, 779.78, -1 
AZO, 11/25/2015, 721.7, 790.32, 721.7, 786.07, -1 
AZO, 11/27/2015, 721.7, 789.5, 721.7, 786.13, -1 
AZO, 11/30/2015, 721.7, 789.68, 721.7, 785.41, -1 
AZO, 12/01/2015, 778.86, 792.0, 773.35, 778.39, -1 
AZO, 12/02/2015, 721.7, 781.53, 721.7, 769.36, -1 
AZO, 12/03/2015, 721.7, 770.07, 721.7, 757.27, -1 
AZO, 12/04/2015, 721.7, 761.39, 721.7, 760.19, -1 
AZO, 12/07/2015, 760.84, 763.0, 748.5, 752.87, -1 
AZO, 12/08/2015, 755.0, 798.29, 752.17, 795.66, -1 
AZO, 12/09/2015, 741.94, 797.0, 741.94, 782.75, -1 
AZO, 12/10/2015, 775.0, 786.0, 775.0, 777.75, -1 
AZO, 12/11/2015, 721.7, 773.99, 721.7, 755.64, -1 
AZO, 12/14/2015, 753.15, 761.05, 747.36, 760.83, -1 
AZO, 12/15/2015, 762.1, 764.01, 723.59, 761.03, -1 
AZO, 12/16/2015, 721.7, 765.33, 721.7, 764.09, -1 
AZO, 12/17/2015, 761.12, 761.83, 752.45, 755.6, -1 
AZO, 12/18/2015, 745.5, 750.73, 740.54, 741.57, -1 
AZO, 12/21/2015, 742.36, 749.3, 703.49, 742.7, -1 
AZO, 12/22/2015, 742.22, 747.19, 737.65, 744.83, -1 
AZO, 12/23/2015, 744.67, 747.81, 740.4, 743.9, -1 
AZO, 12/24/2015, 738.76, 743.47, 734.5, 739.73, -1 
AZO, 12/28/2015, 733.51, 742.17, 733.51, 741.91, -1 
AZO, 12/29/2015, 738.47, 752.52, 738.47, 749.18, -1 
AZO, 12/30/2015, 739.5, 754.82, 739.5, 750.03, -1 
AZO, 12/31/2015, 744.78, 751.02, 741.84, 741.91, -1 
AZO, 01/04/2016, 657.1, 738.02, 657.1, 735.7, -1 
AZO, 01/05/2016, 732.53, 741.97, 730.9, 738.59, -1 
AZO, 01/06/2016, 727.07, 737.6, 690.93, 729.48, -1 
AZO, 01/07/2016, 705.0, 739.58, 705.0, 735.98, -1 
AZO, 01/08/2016, 731.28, 736.45, 708.37, 712.16, -1 
AZO, 01/11/2016, 710.33, 725.0, 709.22, 718.89, -1 
AZO, 01/12/2016, 720.86, 730.32, 707.07, 728.89, -1 
AZO, 01/13/2016, 728.43, 731.38, 702.12, 703.75, -1 
AZO, 01/14/2016, 701.57, 717.88, 698.56, 712.06, -1 
AZO, 01/15/2016, 674.0, 709.55, 674.0, 704.3, -1 
AZO, 01/19/2016, 708.96, 716.78, 683.83, 715.51, -1 
AZO, 01/20/2016, 687.0, 717.96, 678.56, 713.9, -1 
AZO, 01/21/2016, 711.71, 724.56, 710.0, 717.52, -1 
AZO, 01/22/2016, 719.12, 732.66, 719.12, 728.25, -1 
AZO, 01/25/2016, 703.5, 735.68, 703.5, 728.53, -1 
