Symbol, Date, Open, High, Low, Close, Volume 
BBBY, 10/30/2015, 57.3, 59.72, 57.3, 59.62, -1 
BBBY, 11/02/2015, 58.54, 60.21, 58.54, 59.93, -1 
BBBY, 11/03/2015, 59.25, 61.37, 59.25, 61.31, -1 
BBBY, 11/04/2015, 59.26, 61.45, 59.26, 60.22, -1 
BBBY, 11/05/2015, 59.99, 60.95, 59.69, 60.93, -1 
BBBY, 11/06/2015, 59.01, 61.31, 59.01, 61.25, -1 
BBBY, 11/09/2015, 61.07, 61.23, 60.0, 60.1, -1 
BBBY, 11/10/2015, 59.4, 60.12, 58.52, 59.55, -1 
BBBY, 11/11/2015, 59.2, 59.56, 56.85, 57.04, -1 
BBBY, 11/12/2015, 54.72, 57.51, 54.72, 56.67, -1 
BBBY, 11/13/2015, 55.56, 56.04, 53.46, 53.53, -1 
BBBY, 11/16/2015, 52.09, 54.05, 52.09, 53.36, -1 
BBBY, 11/17/2015, 53.03, 53.5, 52.53, 53.06, -1 
BBBY, 11/18/2015, 52.44, 54.16, 52.44, 54.09, -1 
BBBY, 11/19/2015, 50.01, 54.21, 50.01, 53.8, -1 
BBBY, 11/20/2015, 52.53, 54.0, 52.53, 53.61, -1 
BBBY, 11/23/2015, 53.63, 53.79, 52.62, 52.89, -1 
BBBY, 11/24/2015, 50.01, 54.53, 50.01, 54.13, -1 
BBBY, 11/25/2015, 53.76, 55.61, 53.76, 55.12, -1 
BBBY, 11/27/2015, 55.0, 55.51, 55.0, 55.41, -1 
BBBY, 11/30/2015, 55.43, 55.48, 54.13, 54.5, -1 
BBBY, 12/01/2015, 51.54, 54.6, 51.54, 53.88, -1 
BBBY, 12/02/2015, 52.86, 54.84, 52.86, 53.74, -1 
BBBY, 12/03/2015, 52.17, 53.68, 52.17, 53.35, -1 
BBBY, 12/04/2015, 53.25, 54.65, 53.19, 54.39, -1 
BBBY, 12/07/2015, 50.97, 54.7, 50.97, 54.31, -1 
BBBY, 12/08/2015, 50.7, 54.69, 50.69, 53.85, -1 
BBBY, 12/09/2015, 50.48, 54.88, 50.48, 53.42, -1 
BBBY, 12/10/2015, 50.14, 54.38, 50.14, 53.88, -1 
BBBY, 12/11/2015, 50.46, 53.36, 50.46, 52.63, -1 
BBBY, 12/14/2015, 52.9, 53.31, 51.64, 52.18, -1 
BBBY, 12/15/2015, 52.55, 53.16, 52.29, 52.79, -1 
BBBY, 12/16/2015, 52.48, 53.68, 52.48, 53.57, -1 
BBBY, 12/17/2015, 50.1, 53.43, 50.1, 51.7, -1 
BBBY, 12/18/2015, 51.09, 51.49, 49.98, 50.15, -1 
BBBY, 12/21/2015, 50.37, 50.7, 50.07, 50.36, -1 
BBBY, 12/22/2015, 50.48, 51.47, 50.07, 51.31, -1 
BBBY, 12/23/2015, 47.99, 49.55, 47.98, 48.97, -1 
BBBY, 12/24/2015, 48.52, 49.48, 48.1, 48.95, -1 
BBBY, 12/28/2015, 48.44, 48.99, 48.25, 48.72, -1 
BBBY, 12/29/2015, 48.15, 49.48, 48.15, 48.87, -1 
