Symbol, Date, Open, High, Low, Close, Volume 
BBY, 10/30/2015, 34.53, 35.19, 34.28, 35.04, -1 
BBY, 11/02/2015, 34.92, 35.53, 34.92, 35.42, -1 
BBY, 11/03/2015, 35.25, 36.5, 35.23, 35.72, -1 
BBY, 11/04/2015, 35.47, 35.6, 34.41, 34.47, -1 
BBY, 11/05/2015, 34.46, 35.03, 34.2, 35.02, -1 
BBY, 11/06/2015, 34.56, 35.67, 34.56, 35.41, -1 
BBY, 11/09/2015, 35.2, 35.59, 35.01, 35.36, -1 
BBY, 11/10/2015, 35.19, 35.53, 34.33, 34.66, -1 
BBY, 11/11/2015, 34.51, 34.78, 34.21, 34.34, -1 
BBY, 11/12/2015, 33.58, 34.48, 33.58, 34.0, -1 
BBY, 11/13/2015, 33.04, 33.74, 31.53, 32.04, -1 
BBY, 11/16/2015, 31.0, 32.02, 30.83, 31.63, -1 
BBY, 11/17/2015, 30.91, 31.43, 30.33, 30.7, -1 
BBY, 11/18/2015, 30.77, 31.74, 30.77, 31.33, -1 
BBY, 11/19/2015, 29.2, 31.31, 28.65, 30.66, -1 
BBY, 11/20/2015, 31.06, 31.09, 29.8, 30.51, -1 
BBY, 11/23/2015, 30.35, 30.89, 30.32, 30.78, -1 
BBY, 11/24/2015, 30.09, 31.81, 30.09, 31.53, -1 
BBY, 11/25/2015, 31.1, 32.22, 31.1, 31.94, -1 
BBY, 11/27/2015, 32.0, 32.12, 31.44, 31.49, -1 
BBY, 11/30/2015, 31.71, 32.31, 31.5, 31.78, -1 
BBY, 12/01/2015, 31.71, 31.87, 30.93, 31.38, -1 
BBY, 12/02/2015, 30.99, 31.61, 30.71, 30.9, -1 
BBY, 12/03/2015, 30.52, 31.48, 30.19, 31.3, -1 
BBY, 12/04/2015, 31.37, 31.5, 30.89, 31.01, -1 
BBY, 12/07/2015, 30.85, 31.14, 30.35, 30.91, -1 
BBY, 12/08/2015, 30.26, 31.36, 30.26, 30.85, -1 
BBY, 12/09/2015, 30.51, 31.45, 30.29, 30.5, -1 
BBY, 12/10/2015, 30.41, 30.85, 30.23, 30.32, -1 
BBY, 12/11/2015, 29.84, 30.29, 29.7, 29.8, -1 
BBY, 12/14/2015, 29.75, 30.44, 29.53, 29.9, -1 
BBY, 12/15/2015, 29.96, 30.41, 29.79, 30.04, -1 
BBY, 12/16/2015, 30.1, 30.78, 30.04, 30.7, -1 
BBY, 12/17/2015, 30.65, 30.67, 29.77, 29.79, -1 
BBY, 12/18/2015, 29.59, 29.63, 28.9, 29.03, -1 
BBY, 12/21/2015, 29.09, 29.44, 28.88, 29.15, -1 
BBY, 12/22/2015, 29.14, 30.42, 29.14, 30.16, -1 
BBY, 12/23/2015, 29.85, 30.87, 29.85, 30.6, -1 
BBY, 12/24/2015, 30.41, 30.85, 30.41, 30.49, -1 
BBY, 12/28/2015, 30.31, 30.71, 30.22, 30.54, -1 
BBY, 12/29/2015, 30.56, 31.05, 30.56, 30.73, -1 
BBY, 12/30/2015, 30.79, 31.13, 30.43, 30.46, -1 
BBY, 12/31/2015, 30.26, 30.73, 30.25, 30.44, -1 
BBY, 01/04/2016, 29.83, 31.07, 29.64, 30.65, -1 
BBY, 01/05/2016, 30.58, 31.2, 30.49, 31.12, -1 
BBY, 01/06/2016, 30.5, 30.69, 29.74, 29.89, -1 
BBY, 01/07/2016, 29.56, 30.67, 29.38, 30.21, -1 
BBY, 01/08/2016, 29.25, 29.76, 28.64, 28.96, -1 
BBY, 01/11/2016, 28.94, 29.59, 28.94, 29.42, -1 
BBY, 01/12/2016, 29.54, 30.33, 29.39, 30.13, -1 
BBY, 01/13/2016, 30.2, 30.2, 29.07, 29.25, -1 
BBY, 01/14/2016, 27.03, 27.16, 25.6, 26.42, -1 
BBY, 01/15/2016, 25.3, 27.36, 25.3, 27.11, -1 
BBY, 01/19/2016, 26.94, 27.08, 25.4, 25.85, -1 
BBY, 01/20/2016, 25.32, 26.9, 25.32, 26.53, -1 
BBY, 01/21/2016, 26.11, 27.69, 26.11, 27.27, -1 
BBY, 01/22/2016, 27.49, 27.99, 27.07, 27.25, -1 
BBY, 01/25/2016, 25.29, 27.43, 25.26, 27.05, -1 
BBY, 01/26/2016, 25.6, 28.12, 25.6, 28.04, -1 
BBY, 01/27/2016, 27.82, 28.43, 27.2, 27.27, -1 
BBY, 01/28/2016, 27.2, 27.56, 26.9, 26.96, -1 
BBY, 01/29/2016, 26.71, 28.13, 26.71, 27.91, -1 
BBY, 02/01/2016, 27.59, 28.69, 27.59, 28.55, -1 
BBY, 02/02/2016, 28.13, 28.59, 27.91, 28.32, -1 
BBY, 02/03/2016, 27.09, 28.45, 27.09, 28.32, -1 
BBY, 02/04/2016, 27.14, 28.52, 27.14, 28.35, -1 
BBY, 02/05/2016, 28.09, 28.65, 27.76, 28.2, -1 
BBY, 02/08/2016, 27.61, 28.83, 27.61, 28.62, -1 
BBY, 02/09/2016, 28.16, 28.82, 27.5, 27.93, -1 
BBY, 02/10/2016, 27.56, 28.18, 27.24, 27.3, -1 
BBY, 02/11/2016, 26.69, 27.4, 26.69, 26.92, -1 
BBY, 02/12/2016, 26.0, 28.18, 26.0, 28.12, -1 
BBY, 02/16/2016, 28.26, 29.57, 28.02, 29.46, -1 
BBY, 02/17/2016, 29.64, 30.32, 29.64, 30.01, -1 
BBY, 02/18/2016, 28.92, 30.91, 28.92, 30.67, -1 
BBY, 02/19/2016, 29.68, 30.27, 29.34, 29.94, -1 
BBY, 02/22/2016, 29.91, 31.19, 29.91, 30.73, -1 
BBY, 02/23/2016, 30.72, 31.44, 30.64, 30.91, -1 
BBY, 02/24/2016, 30.07, 31.58, 29.39, 31.48, -1 
BBY, 02/25/2016, 31.92, 32.45, 30.48, 32.24, -1 
BBY, 02/26/2016, 32.06, 32.66, 31.38, 32.45, -1 
BBY, 02/29/2016, 32.44, 32.83, 32.07, 32.39, -1 
BBY, 03/01/2016, 32.59, 33.06, 32.34, 33.05, -1 
BBY, 03/02/2016, 32.88, 33.22, 32.44, 33.09, -1 
BBY, 03/03/2016, 33.21, 33.55, 32.71, 33.52, -1 
BBY, 03/04/2016, 33.03, 33.96, 33.03, 33.57, -1 
BBY, 03/07/2016, 33.14, 34.59, 33.14, 34.33, -1 
BBY, 03/08/2016, 33.94, 34.93, 33.75, 34.0, -1 
BBY, 03/09/2016, 34.19, 34.42, 33.84, 34.12, -1 
BBY, 03/10/2016, 34.07, 34.45, 33.74, 34.36, -1 
BBY, 03/11/2016, 34.5, 34.59, 33.82, 34.1, -1 
BBY, 03/14/2016, 33.8, 34.03, 33.36, 33.46, -1 
BBY, 03/15/2016, 32.52, 32.66, 31.7, 31.79, -1 
BBY, 03/16/2016, 31.56, 32.16, 31.56, 32.03, -1 
BBY, 03/17/2016, 31.6, 32.57, 31.6, 32.23, -1 
BBY, 03/18/2016, 32.15, 32.56, 32.15, 32.5, -1 
BBY, 03/21/2016, 32.27, 32.57, 32.05, 32.21, -1 
BBY, 03/22/2016, 32.2, 32.24, 31.51, 31.77, -1 
BBY, 03/23/2016, 31.97, 31.97, 31.39, 31.42, -1 
BBY, 03/24/2016, 31.23, 31.66, 31.0, 31.27, -1 
BBY, 03/28/2016, 31.2, 31.71, 31.2, 31.41, -1 
