Symbol, Date, Open, High, Low, Close, Volume 
BEN, 10/30/2015, 40.15, 40.82, 40.01, 40.75, -1 
BEN, 11/02/2015, 40.64, 41.36, 40.6, 41.15, -1 
BEN, 11/03/2015, 40.64, 41.53, 40.6, 41.39, -1 
BEN, 11/04/2015, 41.45, 41.55, 41.06, 41.14, -1 
BEN, 11/05/2015, 40.97, 41.63, 40.97, 41.59, -1 
BEN, 11/06/2015, 41.43, 42.01, 40.69, 40.85, -1 
BEN, 11/09/2015, 39.74, 40.84, 39.58, 40.65, -1 
BEN, 11/10/2015, 39.85, 40.85, 39.85, 40.8, -1 
BEN, 11/11/2015, 40.71, 41.03, 40.67, 40.83, -1 
BEN, 11/12/2015, 39.02, 40.81, 39.0, 40.41, -1 
BEN, 11/13/2015, 40.16, 40.61, 39.6, 39.63, -1 
BEN, 11/16/2015, 39.22, 40.51, 39.22, 40.5, -1 
BEN, 11/17/2015, 40.29, 40.79, 40.09, 40.42, -1 
BEN, 11/18/2015, 38.79, 41.5, 38.79, 41.42, -1 
BEN, 11/19/2015, 41.19, 41.68, 41.19, 41.58, -1 
BEN, 11/20/2015, 41.55, 41.99, 41.17, 41.34, -1 
BEN, 11/23/2015, 41.1, 41.65, 41.1, 41.19, -1 
BEN, 11/24/2015, 38.04, 41.54, 38.01, 41.29, -1 
BEN, 11/25/2015, 41.19, 41.92, 41.19, 41.8, -1 
BEN, 11/27/2015, 41.57, 41.87, 41.32, 41.59, -1 
BEN, 11/30/2015, 41.08, 41.99, 41.08, 41.9, -1 
BEN, 12/01/2015, 41.78, 42.18, 41.48, 41.81, -1 
BEN, 12/02/2015, 41.64, 41.88, 40.87, 41.02, -1 
BEN, 12/03/2015, 41.08, 41.21, 40.24, 40.43, -1 
BEN, 12/04/2015, 40.36, 41.24, 40.36, 41.12, -1 
BEN, 12/07/2015, 40.85, 41.21, 40.61, 40.83, -1 
BEN, 12/08/2015, 38.07, 40.08, 38.07, 39.32, -1 
BEN, 12/09/2015, 38.92, 39.66, 38.41, 38.51, -1 
BEN, 12/10/2015, 38.33, 39.04, 38.33, 38.47, -1 
BEN, 12/11/2015, 36.49, 37.85, 35.92, 36.17, -1 
BEN, 12/14/2015, 36.0, 36.23, 34.62, 35.12, -1 
BEN, 12/15/2015, 35.16, 36.2, 35.16, 35.59, -1 
BEN, 12/16/2015, 33.17, 36.22, 33.17, 36.15, -1 
BEN, 12/17/2015, 36.15, 36.33, 35.08, 35.45, -1 
BEN, 12/18/2015, 35.14, 35.27, 34.79, 34.99, -1 
BEN, 12/21/2015, 34.36, 35.51, 34.36, 35.24, -1 
BEN, 12/22/2015, 35.06, 35.94, 34.91, 35.83, -1 
BEN, 12/23/2015, 36.05, 37.49, 36.01, 37.35, -1 
BEN, 12/24/2015, 36.83, 37.41, 36.8, 36.96, -1 
BEN, 12/28/2015, 36.6, 36.96, 36.59, 36.92, -1 
BEN, 12/29/2015, 37.0, 37.54, 37.0, 37.38, -1 
BEN, 12/30/2015, 37.06, 37.54, 36.99, 37.03, -1 
BEN, 12/31/2015, 36.72, 37.26, 36.67, 36.81, -1 
BEN, 01/04/2016, 35.24, 36.2, 35.24, 36.18, -1 
BEN, 01/05/2016, 36.05, 36.43, 35.69, 36.13, -1 
BEN, 01/06/2016, 34.69, 35.65, 34.69, 35.2, -1 
BEN, 01/07/2016, 34.11, 34.95, 33.9, 34.08, -1 
