Symbol, Date, Open, High, Low, Close, Volume 
BLL, 10/30/2015, 59.88, 69.34, 59.55, 68.51, -1 
BLL, 11/02/2015, 68.26, 70.48, 68.26, 70.25, -1 
BLL, 11/03/2015, 69.79, 70.04, 67.74, 67.8, -1 
BLL, 11/04/2015, 64.38, 68.03, 64.37, 67.42, -1 
BLL, 11/05/2015, 64.0, 67.97, 63.98, 67.79, -1 
BLL, 11/06/2015, 64.0, 68.0, 63.99, 67.78, -1 
BLL, 11/09/2015, 64.14, 67.41, 64.07, 66.33, -1 
BLL, 11/10/2015, 66.32, 67.78, 66.06, 67.77, -1 
BLL, 11/11/2015, 67.59, 68.3, 67.5, 68.19, -1 
BLL, 11/12/2015, 67.44, 67.65, 65.39, 65.42, -1 
BLL, 11/13/2015, 64.09, 66.21, 64.09, 65.93, -1 
BLL, 11/16/2015, 62.2, 66.48, 62.2, 66.26, -1 
BLL, 11/17/2015, 62.73, 66.73, 62.72, 66.12, -1 
BLL, 11/18/2015, 63.04, 68.43, 63.01, 68.34, -1 
BLL, 11/19/2015, 62.63, 68.51, 62.63, 68.4, -1 
BLL, 11/20/2015, 64.94, 69.75, 64.94, 69.43, -1 
BLL, 11/23/2015, 65.84, 70.04, 65.84, 68.75, -1 
BLL, 11/24/2015, 59.42, 69.37, 58.64, 69.29, -1 
BLL, 11/25/2015, 65.8, 69.39, 65.8, 68.78, -1 
BLL, 11/27/2015, 62.43, 69.2, 62.43, 69.03, -1 
BLL, 11/30/2015, 67.38, 69.52, 67.38, 69.41, -1 
BLL, 12/01/2015, 63.49, 69.87, 62.72, 68.82, -1 
BLL, 12/02/2015, 68.17, 69.3, 67.35, 67.49, -1 
BLL, 12/03/2015, 68.27, 68.94, 67.47, 67.9, -1 
BLL, 12/04/2015, 63.14, 69.85, 63.14, 69.79, -1 
BLL, 12/07/2015, 68.29, 69.5, 68.12, 68.75, -1 
BLL, 12/08/2015, 63.0, 68.24, 62.88, 67.42, -1 
BLL, 12/09/2015, 68.0, 69.92, 67.56, 68.84, -1 
BLL, 12/10/2015, 69.2, 72.46, 69.1, 71.91, -1 
BLL, 12/11/2015, 70.75, 72.12, 70.03, 71.33, -1 
BLL, 12/14/2015, 70.97, 71.49, 70.27, 70.84, -1 
BLL, 12/15/2015, 70.91, 71.46, 70.54, 71.16, -1 
BLL, 12/16/2015, 71.27, 71.86, 70.5, 71.65, -1 
BLL, 12/17/2015, 71.57, 71.92, 70.31, 70.52, -1 
BLL, 12/18/2015, 69.96, 70.43, 69.53, 69.8, -1 
BLL, 12/21/2015, 69.88, 70.58, 69.18, 70.33, -1 
BLL, 12/22/2015, 70.24, 71.26, 69.65, 70.95, -1 
BLL, 12/23/2015, 67.34, 72.7, 67.2, 72.56, -1 
BLL, 12/24/2015, 71.81, 72.86, 71.81, 72.55, -1 
BLL, 12/28/2015, 71.76, 72.93, 71.76, 72.75, -1 
BLL, 12/29/2015, 67.0, 73.86, 66.3, 73.81, -1 
BLL, 12/30/2015, 70.03, 74.22, 70.03, 73.33, -1 
BLL, 12/31/2015, 67.8, 73.34, 67.49, 72.71, -1 
BLL, 01/04/2016, 70.14, 72.14, 70.14, 72.11, -1 
BLL, 01/05/2016, 71.82, 72.99, 71.82, 72.94, -1 
BLL, 01/06/2016, 71.81, 72.63, 71.75, 72.26, -1 
BLL, 01/07/2016, 70.77, 71.42, 70.17, 70.4, -1 
BLL, 01/08/2016, 69.17, 70.68, 69.17, 69.78, -1 
BLL, 01/11/2016, 69.72, 70.26, 68.31, 69.14, -1 
BLL, 01/12/2016, 69.39, 71.01, 69.39, 70.58, -1 
BLL, 01/13/2016, 70.51, 70.92, 68.45, 68.63, -1 
BLL, 01/14/2016, 68.46, 69.16, 67.31, 68.8, -1 
BLL, 01/15/2016, 66.32, 69.08, 66.32, 68.97, -1 
BLL, 01/19/2016, 69.03, 70.31, 68.38, 69.32, -1 
BLL, 01/20/2016, 67.37, 69.16, 66.66, 68.61, -1 
BLL, 01/21/2016, 68.07, 68.79, 67.01, 67.04, -1 
BLL, 01/22/2016, 67.07, 68.86, 67.07, 68.74, -1 
BLL, 01/25/2016, 67.85, 68.24, 66.21, 66.62, -1 
BLL, 01/26/2016, 66.51, 68.09, 66.51, 67.83, -1 
BLL, 01/27/2016, 65.06, 67.63, 65.06, 66.09, -1 
BLL, 01/28/2016, 60.76, 67.23, 60.32, 66.86, -1 
BLL, 01/29/2016, 64.67, 67.21, 64.67, 66.83, -1 
BLL, 02/01/2016, 65.16, 67.41, 65.16, 67.21, -1 
BLL, 02/02/2016, 64.4, 66.42, 64.37, 65.57, -1 
BLL, 02/03/2016, 65.33, 66.31, 64.81, 66.11, -1 
BLL, 02/04/2016, 64.91, 68.13, 64.91, 67.84, -1 
