Symbol, Date, Open, High, Low, Close, Volume 
BMY, 10/30/2015, 67.19, 67.38, 65.95, 65.95, -1 
BMY, 11/02/2015, 65.96, 66.88, 65.57, 65.75, -1 
BMY, 11/03/2015, 65.19, 66.24, 65.1, 66.09, -1 
BMY, 11/04/2015, 65.53, 66.12, 65.01, 65.64, -1 
BMY, 11/05/2015, 65.2, 65.98, 65.2, 65.55, -1 
BMY, 11/06/2015, 65.19, 65.56, 64.14, 65.43, -1 
BMY, 11/09/2015, 65.01, 65.43, 64.53, 64.99, -1 
BMY, 11/10/2015, 64.66, 65.57, 64.66, 65.06, -1 
BMY, 11/11/2015, 64.92, 65.39, 64.19, 64.22, -1 
BMY, 11/12/2015, 63.91, 64.68, 63.69, 63.72, -1 
BMY, 11/13/2015, 63.47, 64.53, 63.47, 64.17, -1 
BMY, 11/16/2015, 63.08, 65.13, 63.08, 65.03, -1 
BMY, 11/17/2015, 64.38, 66.6, 64.38, 65.72, -1 
BMY, 11/18/2015, 65.83, 67.71, 65.83, 67.61, -1 
BMY, 11/19/2015, 67.26, 67.87, 66.73, 66.93, -1 
BMY, 11/20/2015, 67.02, 68.86, 67.02, 67.82, -1 
BMY, 11/23/2015, 67.76, 68.45, 67.41, 67.99, -1 
BMY, 11/24/2015, 67.44, 67.91, 67.22, 67.84, -1 
BMY, 11/25/2015, 67.55, 68.44, 67.55, 68.1, -1 
BMY, 11/27/2015, 67.56, 68.43, 67.56, 67.87, -1 
BMY, 11/30/2015, 67.62, 67.95, 66.85, 67.02, -1 
BMY, 12/01/2015, 67.07, 68.36, 66.92, 68.25, -1 
BMY, 12/02/2015, 68.62, 69.7, 67.65, 67.79, -1 
BMY, 12/03/2015, 67.42, 68.01, 66.14, 66.47, -1 
BMY, 12/04/2015, 66.14, 69.31, 66.14, 69.08, -1 
BMY, 12/07/2015, 68.89, 69.43, 68.47, 68.84, -1 
BMY, 12/08/2015, 68.22, 69.84, 68.12, 69.41, -1 
BMY, 12/09/2015, 69.1, 69.38, 68.27, 68.57, -1 
BMY, 12/10/2015, 68.34, 69.42, 68.16, 68.93, -1 
BMY, 12/11/2015, 68.1, 68.45, 67.47, 67.6, -1 
BMY, 12/14/2015, 67.49, 68.69, 67.34, 68.63, -1 
BMY, 12/15/2015, 69.16, 70.48, 69.16, 70.2, -1 
BMY, 12/16/2015, 70.12, 70.83, 69.05, 70.7, -1 
BMY, 12/17/2015, 70.61, 70.79, 69.21, 69.24, -1 
BMY, 12/18/2015, 68.71, 68.86, 67.63, 67.66, -1 
BMY, 12/21/2015, 67.73, 68.61, 67.31, 68.04, -1 
BMY, 12/22/2015, 67.9, 68.37, 67.36, 68.31, -1 
BMY, 12/23/2015, 68.32, 69.1, 68.24, 69.0, -1 
BMY, 12/24/2015, 68.8, 69.24, 68.44, 68.95, -1 
BMY, 12/28/2015, 68.37, 69.18, 68.37, 69.17, -1 
BMY, 12/29/2015, 69.34, 70.12, 69.3, 69.7, -1 
BMY, 12/30/2015, 69.23, 70.03, 69.23, 69.52, -1 
BMY, 12/31/2015, 69.02, 69.72, 68.79, 68.79, -1 
BMY, 01/04/2016, 67.45, 67.85, 66.37, 67.03, -1 
BMY, 01/05/2016, 67.27, 68.89, 67.27, 68.34, -1 
BMY, 01/06/2016, 67.18, 68.28, 66.84, 67.15, -1 
BMY, 01/07/2016, 65.75, 66.69, 64.95, 65.26, -1 
BMY, 01/08/2016, 65.59, 65.74, 63.5, 63.61, -1 
BMY, 01/11/2016, 63.38, 63.9, 61.98, 62.95, -1 
BMY, 01/12/2016, 63.09, 63.79, 62.11, 63.43, -1 
BMY, 01/13/2016, 63.53, 64.48, 61.18, 61.19, -1 
BMY, 01/14/2016, 61.32, 63.9, 60.89, 63.49, -1 
BMY, 01/15/2016, 61.63, 62.91, 61.06, 62.77, -1 
BMY, 01/19/2016, 63.37, 64.41, 62.56, 63.22, -1 
BMY, 01/20/2016, 62.23, 64.56, 61.79, 63.55, -1 
BMY, 01/21/2016, 63.75, 63.97, 62.47, 63.12, -1 
BMY, 01/22/2016, 63.59, 64.8, 63.59, 64.4, -1 
BMY, 01/25/2016, 63.13, 64.36, 62.63, 62.9, -1 
BMY, 01/26/2016, 62.27, 63.04, 61.92, 62.69, -1 
BMY, 01/27/2016, 62.35, 62.96, 61.14, 61.75, -1 
BMY, 01/28/2016, 63.67, 64.12, 60.0, 61.15, -1 
BMY, 01/29/2016, 61.43, 62.61, 61.16, 62.09, -1 
BMY, 02/01/2016, 61.77, 62.36, 60.04, 60.8, -1 
BMY, 02/02/2016, 60.03, 60.29, 58.46, 58.86, -1 
BMY, 02/03/2016, 59.0, 60.17, 57.93, 60.1, -1 
BMY, 02/04/2016, 59.43, 60.72, 59.19, 59.69, -1 
BMY, 02/05/2016, 59.23, 60.05, 58.99, 59.64, -1 
BMY, 02/08/2016, 58.8, 61.17, 58.76, 60.72, -1 
