Symbol, Date, Open, High, Low, Close, Volume 
BXP, 10/30/2015, 120.72, 126.79, 120.71, 125.78, -1 
BXP, 11/02/2015, 125.3, 129.88, 125.14, 129.78, -1 
BXP, 11/03/2015, 108.01, 129.61, 108.01, 128.6, -1 
BXP, 11/04/2015, 127.96, 129.03, 126.62, 127.13, -1 
BXP, 11/05/2015, 126.71, 127.98, 126.57, 127.87, -1 
BXP, 11/06/2015, 120.04, 126.4, 120.03, 124.2, -1 
BXP, 11/09/2015, 117.52, 123.8, 117.51, 122.65, -1 
BXP, 11/10/2015, 122.2, 124.07, 122.2, 123.97, -1 
BXP, 11/11/2015, 123.49, 124.74, 123.34, 124.29, -1 
BXP, 11/12/2015, 123.09, 124.34, 122.52, 123.18, -1 
BXP, 11/13/2015, 109.92, 125.29, 109.92, 122.83, -1 
BXP, 11/16/2015, 118.09, 123.75, 118.09, 123.72, -1 
BXP, 11/17/2015, 118.09, 124.73, 116.66, 123.43, -1 
BXP, 11/18/2015, 122.95, 124.31, 122.77, 124.14, -1 
BXP, 11/19/2015, 117.82, 124.84, 117.8, 124.37, -1 
BXP, 11/20/2015, 124.02, 126.6, 124.02, 126.51, -1 
BXP, 11/23/2015, 125.63, 127.3, 125.42, 125.93, -1 
BXP, 11/24/2015, 124.81, 125.34, 123.39, 124.63, -1 
BXP, 11/25/2015, 124.31, 125.1, 124.13, 124.73, -1 
BXP, 11/27/2015, 118.29, 126.15, 117.84, 125.77, -1 
BXP, 11/30/2015, 125.69, 126.43, 124.61, 125.02, -1 
BXP, 12/01/2015, 124.93, 126.75, 124.93, 126.63, -1 
BXP, 12/02/2015, 125.07, 126.4, 123.18, 123.49, -1 
BXP, 12/03/2015, 117.2, 123.19, 117.2, 122.39, -1 
BXP, 12/04/2015, 116.65, 124.95, 116.64, 124.79, -1 
BXP, 12/07/2015, 119.07, 125.21, 118.59, 125.02, -1 
BXP, 12/08/2015, 123.77, 125.3, 123.77, 124.81, -1 
BXP, 12/09/2015, 118.71, 124.84, 118.08, 123.52, -1 
BXP, 12/10/2015, 122.91, 124.46, 121.91, 122.93, -1 
BXP, 12/11/2015, 121.61, 123.45, 121.0, 123.21, -1 
BXP, 12/14/2015, 118.28, 125.54, 118.27, 125.38, -1 
BXP, 12/15/2015, 125.52, 127.85, 125.52, 127.05, -1 
BXP, 12/16/2015, 120.55, 130.63, 120.55, 130.13, -1 
BXP, 12/17/2015, 129.67, 130.48, 128.72, 130.0, -1 
BXP, 12/18/2015, 128.88, 130.0, 127.08, 127.08, -1 
BXP, 12/21/2015, 127.1, 129.2, 126.08, 127.06, -1 
BXP, 12/22/2015, 126.71, 128.85, 126.67, 127.24, -1 
BXP, 12/23/2015, 127.04, 128.98, 127.04, 128.94, -1 
BXP, 12/24/2015, 128.37, 129.61, 128.1, 129.0, -1 
BXP, 12/28/2015, 124.0, 129.69, 124.0, 129.63, -1 
BXP, 12/29/2015, 123.01, 129.89, 123.01, 129.78, -1 
BXP, 12/30/2015, 128.55, 129.96, 128.46, 128.61, -1 
BXP, 12/31/2015, 128.02, 128.97, 127.49, 127.54, -1 
BXP, 01/04/2016, 123.43, 125.73, 122.89, 124.2, -1 
BXP, 01/05/2016, 123.37, 127.67, 123.37, 127.27, -1 
BXP, 01/06/2016, 126.08, 127.26, 126.08, 127.24, -1 
BXP, 01/07/2016, 122.76, 127.14, 122.76, 124.98, -1 
BXP, 01/08/2016, 118.62, 125.67, 118.62, 121.48, -1 
BXP, 01/11/2016, 116.82, 123.2, 116.82, 122.64, -1 
BXP, 01/12/2016, 122.41, 123.17, 120.45, 121.01, -1 
BXP, 01/13/2016, 120.81, 122.26, 118.57, 118.72, -1 
BXP, 01/14/2016, 118.29, 121.0, 118.29, 119.87, -1 
BXP, 01/15/2016, 117.55, 118.77, 116.62, 118.45, -1 
BXP, 01/19/2016, 118.82, 120.34, 118.12, 119.29, -1 
BXP, 01/20/2016, 117.39, 118.24, 113.82, 115.81, -1 
BXP, 01/21/2016, 110.74, 117.61, 110.2, 116.0, -1 
BXP, 01/22/2016, 116.51, 119.71, 116.51, 119.2, -1 
BXP, 01/25/2016, 117.84, 119.91, 117.59, 117.82, -1 
BXP, 01/26/2016, 117.83, 120.59, 117.81, 120.3, -1 
