Symbol, Date, Open, High, Low, Close, Volume 
CAG, 10/30/2015, 40.54, 41.08, 40.42, 40.54, -1 
CAG, 11/02/2015, 41.1, 41.72, 40.67, 40.89, -1 
CAG, 11/03/2015, 40.94, 41.08, 40.5, 40.97, -1 
CAG, 11/04/2015, 40.86, 41.29, 40.86, 41.01, -1 
CAG, 11/05/2015, 40.87, 41.36, 40.87, 41.26, -1 
CAG, 11/06/2015, 40.02, 40.98, 40.02, 40.68, -1 
CAG, 11/09/2015, 40.27, 41.44, 40.27, 41.32, -1 
CAG, 11/10/2015, 40.06, 41.77, 40.06, 41.14, -1 
CAG, 11/11/2015, 40.57, 41.36, 40.57, 40.88, -1 
CAG, 11/12/2015, 40.37, 40.58, 39.19, 39.19, -1 
CAG, 11/13/2015, 39.04, 39.37, 38.57, 38.84, -1 
CAG, 11/16/2015, 38.6, 39.77, 38.6, 39.77, -1 
CAG, 11/17/2015, 39.04, 39.89, 39.04, 39.34, -1 
CAG, 11/18/2015, 40.0, 41.46, 39.8, 40.93, -1 
CAG, 11/19/2015, 40.04, 41.23, 40.04, 41.09, -1 
CAG, 11/20/2015, 41.05, 41.6, 40.77, 40.85, -1 
CAG, 11/23/2015, 40.69, 41.69, 40.69, 41.58, -1 
CAG, 11/24/2015, 41.17, 41.69, 40.91, 41.54, -1 
CAG, 11/25/2015, 40.62, 41.77, 40.62, 41.6, -1 
CAG, 11/27/2015, 40.62, 41.76, 40.62, 41.65, -1 
CAG, 11/30/2015, 41.23, 41.64, 40.91, 40.92, -1 
CAG, 12/01/2015, 40.91, 41.2, 40.79, 40.89, -1 
CAG, 12/02/2015, 40.71, 41.11, 40.56, 40.81, -1 
CAG, 12/03/2015, 40.76, 41.46, 39.78, 39.99, -1 
CAG, 12/04/2015, 39.91, 41.16, 39.87, 41.14, -1 
CAG, 12/07/2015, 40.91, 41.35, 40.52, 40.77, -1 
CAG, 12/08/2015, 40.27, 40.58, 40.01, 40.55, -1 
CAG, 12/09/2015, 40.12, 40.85, 39.97, 40.39, -1 
CAG, 12/10/2015, 40.24, 40.7, 39.99, 40.32, -1 
CAG, 12/11/2015, 39.82, 39.93, 39.07, 39.28, -1 
CAG, 12/14/2015, 39.24, 39.73, 38.97, 39.29, -1 
CAG, 12/15/2015, 39.44, 39.9, 39.28, 39.61, -1 
CAG, 12/16/2015, 38.89, 41.06, 38.89, 40.8, -1 
