Symbol, Date, Open, High, Low, Close, Volume 
CAT, 10/30/2015, 71.61, 73.27, 71.59, 72.96, -1 
CAT, 11/02/2015, 72.87, 74.63, 72.75, 74.35, -1 
CAT, 11/03/2015, 74.44, 75.3, 74.2, 74.76, -1 
CAT, 11/04/2015, 75.21, 75.92, 74.32, 74.55, -1 
CAT, 11/05/2015, 74.32, 75.55, 73.21, 74.22, -1 
CAT, 11/06/2015, 73.3, 73.83, 72.32, 73.83, -1 
CAT, 11/09/2015, 73.06, 73.52, 71.48, 71.88, -1 
CAT, 11/10/2015, 71.8, 72.57, 71.63, 72.45, -1 
CAT, 11/11/2015, 72.34, 72.78, 71.82, 71.9, -1 
CAT, 11/12/2015, 70.65, 70.92, 68.41, 68.65, -1 
CAT, 11/13/2015, 68.6, 70.12, 68.38, 69.6, -1 
CAT, 11/16/2015, 69.39, 70.61, 69.23, 70.4, -1 
CAT, 11/17/2015, 69.71, 70.29, 69.03, 69.38, -1 
CAT, 11/18/2015, 69.18, 70.43, 69.18, 70.31, -1 
CAT, 11/19/2015, 69.08, 70.1, 68.6, 70.01, -1 
CAT, 11/20/2015, 70.13, 71.21, 70.1, 71.14, -1 
CAT, 11/23/2015, 70.62, 71.88, 70.62, 71.03, -1 
CAT, 11/24/2015, 70.68, 71.7, 70.41, 71.41, -1 
CAT, 11/25/2015, 71.62, 71.88, 70.72, 71.48, -1 
CAT, 11/27/2015, 70.91, 71.47, 70.69, 71.23, -1 
CAT, 11/30/2015, 71.15, 72.78, 71.15, 72.64, -1 
CAT, 12/01/2015, 72.32, 72.62, 70.85, 71.54, -1 
CAT, 12/02/2015, 70.99, 72.13, 70.62, 71.01, -1 
CAT, 12/03/2015, 70.72, 71.16, 69.36, 69.67, -1 
CAT, 12/04/2015, 69.02, 70.02, 68.77, 69.96, -1 
CAT, 12/07/2015, 68.5, 68.71, 67.72, 68.36, -1 
CAT, 12/08/2015, 66.64, 67.14, 66.17, 66.53, -1 
CAT, 12/09/2015, 66.18, 67.01, 65.16, 65.91, -1 
CAT, 12/10/2015, 65.64, 67.09, 65.6, 66.37, -1 
CAT, 12/11/2015, 65.09, 66.1, 64.46, 65.42, -1 
CAT, 12/14/2015, 65.57, 66.18, 64.72, 66.13, -1 
CAT, 12/15/2015, 65.37, 66.97, 65.23, 66.76, -1 
CAT, 12/16/2015, 66.1, 67.87, 66.1, 67.71, -1 
CAT, 12/17/2015, 67.17, 67.5, 64.88, 64.89, -1 
CAT, 12/18/2015, 64.53, 65.87, 64.08, 65.1, -1 
CAT, 12/21/2015, 65.21, 65.82, 64.37, 65.24, -1 
CAT, 12/22/2015, 66.2, 68.78, 66.11, 68.42, -1 
CAT, 12/23/2015, 69.34, 70.49, 68.97, 69.87, -1 
CAT, 12/24/2015, 69.56, 69.88, 69.06, 69.37, -1 
CAT, 12/28/2015, 68.83, 69.13, 68.03, 68.57, -1 
CAT, 12/29/2015, 69.22, 69.48, 68.62, 69.17, -1 
CAT, 12/30/2015, 68.53, 69.58, 68.53, 68.67, -1 
CAT, 12/31/2015, 68.45, 69.08, 67.94, 67.94, -1 
CAT, 01/04/2016, 66.3, 68.08, 65.72, 68.0, -1 
CAT, 01/05/2016, 68.01, 68.39, 66.42, 67.26, -1 
CAT, 01/06/2016, 65.82, 66.85, 65.61, 66.23, -1 
CAT, 01/07/2016, 64.91, 65.52, 63.66, 63.92, -1 
CAT, 01/08/2016, 64.26, 64.47, 62.92, 63.28, -1 
CAT, 01/11/2016, 63.46, 63.66, 60.85, 61.45, -1 
CAT, 01/12/2016, 62.44, 62.44, 60.39, 61.58, -1 
CAT, 01/13/2016, 61.89, 62.75, 60.37, 60.89, -1 
CAT, 01/14/2016, 61.15, 62.93, 60.37, 62.25, -1 
CAT, 01/15/2016, 59.51, 60.08, 58.74, 59.86, -1 
CAT, 01/19/2016, 60.17, 60.54, 58.48, 59.04, -1 
CAT, 01/20/2016, 57.94, 59.38, 56.35, 58.81, -1 
CAT, 01/21/2016, 58.67, 60.42, 58.25, 59.68, -1 
CAT, 01/22/2016, 61.06, 62.55, 60.6, 60.98, -1 
CAT, 01/25/2016, 58.76, 59.32, 57.76, 57.9, -1 
CAT, 01/26/2016, 58.17, 59.66, 58.08, 59.22, -1 
CAT, 01/27/2016, 58.32, 59.88, 57.45, 58.33, -1 
CAT, 01/28/2016, 62.0, 62.43, 58.56, 61.06, -1 
CAT, 01/29/2016, 61.52, 62.28, 60.75, 62.24, -1 
CAT, 02/01/2016, 61.66, 63.08, 61.37, 62.66, -1 
CAT, 02/02/2016, 61.2, 61.55, 60.48, 60.68, -1 
CAT, 02/03/2016, 61.2, 63.59, 59.77, 63.26, -1 
CAT, 02/04/2016, 63.6, 66.98, 63.57, 65.95, -1 
