Symbol, Date, Open, High, Low, Close, Volume 
CA, 10/30/2015, 24.84, 27.9, 24.84, 27.7, -1 
CA, 11/02/2015, 26.3, 27.74, 26.3, 27.56, -1 
CA, 11/03/2015, 27.58, 28.0, 27.48, 27.85, -1 
CA, 11/04/2015, 26.3, 28.04, 26.3, 27.6, -1 
CA, 11/05/2015, 26.48, 27.72, 26.48, 27.43, -1 
CA, 11/06/2015, 26.98, 27.49, 26.98, 27.39, -1 
CA, 11/09/2015, 27.25, 27.31, 26.83, 27.07, -1 
CA, 11/10/2015, 25.88, 27.08, 25.88, 27.06, -1 
CA, 11/11/2015, 26.15, 27.29, 26.15, 27.19, -1 
CA, 11/12/2015, 25.11, 27.2, 25.11, 26.79, -1 
CA, 11/13/2015, 26.75, 26.86, 26.35, 26.53, -1 
CA, 11/16/2015, 26.57, 26.99, 26.49, 26.88, -1 
CA, 11/17/2015, 26.25, 27.06, 26.25, 26.89, -1 
CA, 11/18/2015, 26.26, 28.12, 26.26, 28.04, -1 
CA, 11/19/2015, 26.26, 28.5, 26.26, 28.34, -1 
CA, 11/20/2015, 26.26, 28.53, 26.26, 28.27, -1 
CA, 11/23/2015, 28.07, 28.5, 28.07, 28.18, -1 
CA, 11/24/2015, 26.26, 28.31, 26.25, 28.19, -1 
CA, 11/25/2015, 28.19, 28.22, 28.06, 28.07, -1 
CA, 11/27/2015, 26.26, 28.29, 26.26, 28.2, -1 
CA, 11/30/2015, 28.3, 28.3, 27.83, 28.1, -1 
CA, 12/01/2015, 26.26, 28.34, 26.26, 28.18, -1 
CA, 12/02/2015, 26.26, 28.33, 26.26, 28.04, -1 
CA, 12/03/2015, 26.26, 28.66, 26.26, 28.28, -1 
CA, 12/04/2015, 27.41, 29.15, 27.41, 28.98, -1 
CA, 12/07/2015, 28.61, 29.03, 28.2, 28.44, -1 
CA, 12/08/2015, 26.32, 28.37, 26.32, 27.94, -1 
CA, 12/09/2015, 26.26, 28.19, 26.26, 27.56, -1 
CA, 12/10/2015, 26.26, 27.87, 26.26, 27.69, -1 
CA, 12/11/2015, 26.25, 27.57, 26.25, 27.15, -1 
CA, 12/14/2015, 27.18, 27.76, 27.13, 27.74, -1 
CA, 12/15/2015, 27.74, 28.33, 27.74, 28.12, -1 
CA, 12/16/2015, 28.46, 28.61, 28.15, 28.59, -1 
CA, 12/17/2015, 25.31, 28.66, 25.31, 28.5, -1 
CA, 12/18/2015, 25.32, 28.46, 25.32, 28.2, -1 
CA, 12/21/2015, 24.89, 28.49, 24.89, 28.09, -1 
CA, 12/22/2015, 26.75, 28.66, 26.75, 28.65, -1 
CA, 12/23/2015, 26.51, 29.21, 26.51, 29.18, -1 
CA, 12/24/2015, 25.76, 29.2, 25.76, 28.96, -1 
CA, 12/28/2015, 24.73, 28.95, 24.73, 28.94, -1 
CA, 12/29/2015, 26.67, 29.45, 26.67, 29.34, -1 
CA, 12/30/2015, 27.84, 29.45, 27.84, 29.11, -1 
CA, 12/31/2015, 27.18, 29.01, 27.18, 28.56, -1 
CA, 01/04/2016, 27.99, 28.19, 27.77, 28.16, -1 
CA, 01/05/2016, 27.01, 28.25, 27.01, 27.86, -1 
CA, 01/06/2016, 27.01, 27.58, 27.01, 27.27, -1 
CA, 01/07/2016, 26.55, 26.99, 26.37, 26.38, -1 
CA, 01/08/2016, 26.32, 26.77, 26.31, 26.35, -1 
CA, 01/11/2016, 26.46, 26.58, 25.87, 26.19, -1 
CA, 01/12/2016, 26.6, 27.07, 26.41, 26.77, -1 
CA, 01/13/2016, 25.68, 27.09, 25.68, 26.35, -1 
CA, 01/14/2016, 26.26, 27.21, 26.16, 27.06, -1 
CA, 01/15/2016, 26.24, 26.62, 25.91, 26.52, -1 
CA, 01/19/2016, 26.79, 26.81, 25.77, 26.09, -1 
CA, 01/20/2016, 25.63, 26.0, 25.18, 25.82, -1 
CA, 01/21/2016, 25.96, 26.42, 25.59, 26.16, -1 
CA, 01/22/2016, 26.21, 26.79, 26.21, 26.73, -1 
CA, 01/25/2016, 26.17, 26.66, 26.15, 26.24, -1 
CA, 01/26/2016, 26.16, 27.04, 26.16, 26.87, -1 
CA, 01/27/2016, 27.12, 28.14, 27.11, 27.72, -1 
CA, 01/28/2016, 27.52, 28.2, 27.52, 28.19, -1 
CA, 01/29/2016, 27.1, 28.93, 27.1, 28.72, -1 
CA, 02/01/2016, 27.51, 28.61, 27.51, 28.44, -1 
CA, 02/02/2016, 28.0, 28.13, 27.4, 27.62, -1 
CA, 02/03/2016, 27.86, 27.94, 27.2, 27.87, -1 
CA, 02/04/2016, 26.69, 28.39, 26.69, 28.14, -1 
CA, 02/05/2016, 25.97, 28.31, 25.97, 28.31, -1 
CA, 02/08/2016, 28.02, 28.36, 26.9, 27.44, -1 
CA, 02/09/2016, 27.09, 27.88, 27.0, 27.57, -1 
CA, 02/10/2016, 27.71, 28.31, 27.67, 27.69, -1 
CA, 02/11/2016, 25.97, 27.46, 25.97, 27.14, -1 
CA, 02/12/2016, 27.35, 27.7, 27.16, 27.69, -1 
CA, 02/16/2016, 27.16, 28.35, 27.16, 28.35, -1 
CA, 02/17/2016, 28.51, 28.93, 28.44, 28.79, -1 
CA, 02/18/2016, 28.36, 29.21, 28.36, 29.15, -1 
CA, 02/19/2016, 28.56, 30.14, 28.56, 30.01, -1 
CA, 02/22/2016, 30.22, 30.22, 29.41, 29.52, -1 
CA, 02/23/2016, 29.0, 29.52, 29.0, 29.23, -1 
CA, 02/24/2016, 28.36, 29.56, 28.36, 29.5, -1 
CA, 02/25/2016, 28.36, 29.78, 28.36, 29.78, -1 
CA, 02/26/2016, 28.81, 29.91, 28.81, 29.37, -1 
CA, 02/29/2016, 28.49, 29.67, 28.49, 29.29, -1 
CA, 03/01/2016, 29.48, 30.07, 29.48, 30.06, -1 
CA, 03/02/2016, 28.37, 30.02, 28.37, 29.61, -1 
CA, 03/03/2016, 28.36, 29.84, 28.36, 29.8, -1 
CA, 03/04/2016, 28.36, 29.82, 28.36, 29.55, -1 
CA, 03/07/2016, 27.86, 29.94, 27.86, 29.77, -1 
CA, 03/08/2016, 27.86, 29.83, 27.86, 29.59, -1 
