Symbol, Date, Open, High, Low, Close, Volume 
CBS, 10/30/2015, 44.13, 46.83, 44.11, 46.52, -1 
CBS, 11/02/2015, 46.34, 48.16, 46.34, 47.85, -1 
CBS, 11/03/2015, 47.63, 49.04, 47.62, 48.22, -1 
CBS, 11/04/2015, 49.52, 50.98, 47.43, 47.95, -1 
CBS, 11/05/2015, 48.01, 48.46, 46.59, 47.77, -1 
CBS, 11/06/2015, 46.85, 48.75, 46.85, 48.64, -1 
CBS, 11/09/2015, 47.06, 48.82, 47.06, 48.55, -1 
CBS, 11/10/2015, 48.1, 49.81, 48.1, 49.76, -1 
CBS, 11/11/2015, 49.8, 50.53, 49.5, 50.3, -1 
CBS, 11/12/2015, 49.63, 50.62, 49.63, 50.35, -1 
CBS, 11/13/2015, 50.03, 50.6, 49.74, 49.88, -1 
CBS, 11/16/2015, 49.59, 51.03, 49.58, 50.94, -1 
CBS, 11/17/2015, 50.38, 51.51, 50.38, 50.77, -1 
CBS, 11/18/2015, 50.64, 51.43, 50.64, 51.32, -1 
CBS, 11/19/2015, 51.06, 51.8, 51.02, 51.73, -1 
CBS, 11/20/2015, 51.08, 52.18, 51.08, 51.6, -1 
CBS, 11/23/2015, 51.49, 51.81, 50.93, 50.99, -1 
CBS, 11/24/2015, 50.44, 50.86, 50.31, 50.54, -1 
CBS, 11/25/2015, 49.87, 51.09, 49.87, 50.96, -1 
CBS, 11/27/2015, 50.61, 50.91, 50.16, 50.75, -1 
CBS, 11/30/2015, 50.45, 50.95, 50.35, 50.49, -1 
CBS, 12/01/2015, 49.87, 51.25, 49.87, 51.06, -1 
CBS, 12/02/2015, 50.21, 51.09, 49.55, 50.06, -1 
CBS, 12/03/2015, 49.52, 50.44, 48.83, 49.32, -1 
CBS, 12/04/2015, 48.48, 50.23, 48.48, 49.98, -1 
CBS, 12/07/2015, 48.99, 50.56, 48.99, 50.44, -1 
CBS, 12/08/2015, 48.98, 50.33, 48.98, 49.84, -1 
CBS, 12/09/2015, 49.22, 49.39, 47.89, 48.37, -1 
CBS, 12/10/2015, 47.39, 49.04, 47.39, 48.52, -1 
CBS, 12/11/2015, 47.89, 48.05, 46.73, 46.84, -1 
CBS, 12/14/2015, 46.44, 47.25, 45.71, 46.35, -1 
CBS, 12/15/2015, 46.5, 47.26, 46.5, 46.83, -1 
CBS, 12/16/2015, 46.93, 47.78, 46.38, 47.49, -1 
CBS, 12/17/2015, 46.61, 47.67, 46.43, 46.49, -1 
CBS, 12/18/2015, 46.14, 46.49, 45.59, 45.62, -1 
CBS, 12/21/2015, 45.79, 46.16, 45.35, 45.78, -1 
CBS, 12/22/2015, 45.76, 46.92, 45.76, 46.59, -1 
CBS, 12/23/2015, 46.33, 47.38, 46.33, 47.21, -1 
CBS, 12/24/2015, 46.94, 48.01, 46.94, 47.44, -1 
CBS, 12/28/2015, 47.02, 47.51, 46.6, 46.83, -1 
CBS, 12/29/2015, 46.95, 47.4, 46.74, 47.23, -1 
CBS, 12/30/2015, 47.01, 47.43, 46.71, 46.76, -1 
CBS, 12/31/2015, 46.42, 47.52, 46.32, 47.11, -1 
CBS, 01/04/2016, 46.16, 46.89, 46.07, 46.67, -1 
CBS, 01/05/2016, 46.54, 46.75, 45.94, 46.11, -1 
CBS, 01/06/2016, 45.25, 46.85, 45.25, 46.11, -1 
