Symbol, Date, Open, High, Low, Close, Volume 
CF, 10/30/2015, 51.16, 51.83, 50.5, 50.78, -1 
CF, 11/02/2015, 50.63, 52.65, 50.56, 52.36, -1 
CF, 11/03/2015, 47.79, 53.1, 47.79, 51.96, -1 
CF, 11/04/2015, 51.85, 52.85, 51.26, 51.79, -1 
CF, 11/05/2015, 48.13, 48.75, 45.67, 46.81, -1 
CF, 11/06/2015, 46.8, 47.35, 46.0, 46.51, -1 
CF, 11/09/2015, 46.04, 48.3, 46.04, 48.18, -1 
CF, 11/10/2015, 47.47, 48.31, 47.14, 47.34, -1 
CF, 11/11/2015, 47.24, 48.05, 46.07, 47.62, -1 
CF, 11/12/2015, 46.59, 47.84, 46.59, 47.11, -1 
CF, 11/13/2015, 46.79, 48.63, 46.71, 48.06, -1 
CF, 11/16/2015, 47.7, 48.27, 46.94, 47.97, -1 
CF, 11/17/2015, 48.86, 50.83, 48.21, 49.49, -1 
CF, 11/18/2015, 49.28, 50.34, 49.03, 49.56, -1 
CF, 11/19/2015, 48.41, 48.97, 46.44, 46.54, -1 
CF, 11/20/2015, 45.65, 46.57, 43.57, 43.88, -1 
CF, 11/23/2015, 43.02, 45.46, 43.02, 45.0, -1 
CF, 11/24/2015, 43.79, 46.0, 43.79, 45.79, -1 
CF, 11/25/2015, 44.96, 46.15, 44.96, 45.38, -1 
CF, 11/27/2015, 45.09, 45.31, 44.59, 45.1, -1 
CF, 11/30/2015, 44.05, 46.61, 44.05, 46.15, -1 
CF, 12/01/2015, 45.57, 46.62, 44.8, 45.01, -1 
CF, 12/02/2015, 45.66, 45.85, 44.25, 45.06, -1 
CF, 12/03/2015, 42.73, 46.63, 42.73, 45.86, -1 
CF, 12/04/2015, 45.08, 45.69, 44.12, 44.42, -1 
CF, 12/07/2015, 43.76, 44.11, 42.36, 43.24, -1 
CF, 12/08/2015, 42.3, 43.38, 41.83, 42.06, -1 
CF, 12/09/2015, 41.61, 43.77, 41.61, 43.12, -1 
CF, 12/10/2015, 42.91, 43.63, 42.09, 42.2, -1 
CF, 12/11/2015, 41.03, 42.32, 40.31, 41.1, -1 
CF, 12/14/2015, 40.17, 41.37, 39.64, 40.08, -1 
CF, 12/15/2015, 40.19, 41.48, 40.15, 40.81, -1 
CF, 12/16/2015, 41.04, 42.01, 40.15, 41.42, -1 
CF, 12/17/2015, 39.11, 41.94, 39.11, 41.23, -1 
CF, 12/18/2015, 40.96, 42.97, 40.96, 41.61, -1 
CF, 12/21/2015, 41.25, 43.65, 41.11, 41.31, -1 
CF, 12/22/2015, 41.16, 43.02, 40.95, 42.75, -1 
CF, 12/23/2015, 42.72, 44.59, 42.69, 44.17, -1 
CF, 12/24/2015, 43.74, 44.27, 43.2, 43.24, -1 
CF, 12/28/2015, 42.92, 43.39, 42.08, 42.23, -1 
CF, 12/29/2015, 41.82, 42.99, 41.8, 42.62, -1 
CF, 12/30/2015, 42.32, 42.59, 41.05, 41.15, -1 
CF, 12/31/2015, 40.14, 41.28, 40.14, 40.79, -1 
CF, 01/04/2016, 39.87, 40.96, 39.8, 40.5, -1 
CF, 01/05/2016, 39.37, 40.6, 39.14, 39.23, -1 
CF, 01/06/2016, 38.54, 38.64, 35.26, 35.83, -1 
CF, 01/07/2016, 35.21, 36.63, 33.69, 34.14, -1 
CF, 01/08/2016, 34.3, 35.08, 33.71, 33.82, -1 
CF, 01/11/2016, 33.64, 34.05, 32.25, 32.43, -1 
CF, 01/12/2016, 32.74, 33.35, 31.66, 32.55, -1 
CF, 01/13/2016, 32.59, 33.39, 31.55, 31.75, -1 
CF, 01/14/2016, 31.81, 33.13, 31.17, 32.6, -1 
CF, 01/15/2016, 31.21, 32.43, 30.89, 31.56, -1 
CF, 01/19/2016, 31.35, 32.02, 29.87, 30.24, -1 
CF, 01/20/2016, 29.62, 29.7, 26.09, 29.22, -1 
CF, 01/21/2016, 29.02, 31.1, 29.02, 30.26, -1 
CF, 01/22/2016, 30.9, 32.0, 29.66, 29.95, -1 
CF, 01/25/2016, 28.08, 29.51, 28.05, 28.6, -1 
CF, 01/26/2016, 28.45, 29.84, 28.0, 29.48, -1 
CF, 01/27/2016, 28.81, 30.95, 28.81, 30.07, -1 
CF, 01/28/2016, 28.77, 30.49, 28.77, 30.32, -1 
CF, 01/29/2016, 30.06, 30.84, 29.72, 29.99, -1 
CF, 02/01/2016, 28.21, 30.63, 28.21, 30.22, -1 
CF, 02/02/2016, 29.63, 30.01, 28.72, 29.45, -1 
CF, 02/03/2016, 28.05, 30.23, 28.05, 30.04, -1 
CF, 02/04/2016, 29.88, 30.81, 29.59, 30.58, -1 
CF, 02/05/2016, 29.93, 30.66, 29.41, 29.95, -1 
CF, 02/08/2016, 28.67, 29.32, 26.74, 28.0, -1 
CF, 02/09/2016, 27.11, 29.72, 27.11, 28.47, -1 
CF, 02/10/2016, 27.98, 29.04, 27.76, 27.81, -1 
CF, 02/11/2016, 26.64, 29.41, 26.28, 29.03, -1 
CF, 02/12/2016, 27.48, 30.63, 27.48, 30.01, -1 
CF, 02/16/2016, 30.21, 31.62, 29.68, 31.16, -1 
CF, 02/17/2016, 28.04, 32.26, 28.01, 31.7, -1 
CF, 02/18/2016, 32.77, 34.48, 32.72, 34.38, -1 
CF, 02/19/2016, 33.84, 34.04, 32.8, 33.0, -1 
CF, 02/22/2016, 33.23, 34.03, 33.13, 33.52, -1 
CF, 02/23/2016, 33.04, 33.43, 32.1, 32.12, -1 
CF, 02/24/2016, 31.58, 31.91, 30.03, 31.75, -1 
CF, 02/25/2016, 31.67, 33.63, 31.56, 33.15, -1 
CF, 02/26/2016, 33.25, 35.13, 33.24, 34.94, -1 
CF, 02/29/2016, 34.73, 37.13, 34.73, 36.46, -1 
CF, 03/01/2016, 36.86, 37.61, 35.82, 36.24, -1 
CF, 03/02/2016, 33.81, 35.9, 33.8, 34.72, -1 
CF, 03/03/2016, 35.31, 36.39, 34.74, 36.18, -1 
CF, 03/04/2016, 36.38, 36.87, 34.51, 34.6, -1 
CF, 03/07/2016, 34.17, 37.07, 34.17, 36.88, -1 
