Symbol, Date, Open, High, Low, Close, Volume 
CINF, 10/30/2015, 58.07, 61.27, 58.07, 60.21, -1 
CINF, 11/02/2015, 59.33, 60.87, 59.33, 60.55, -1 
CINF, 11/03/2015, 59.4, 60.69, 59.4, 60.34, -1 
CINF, 11/04/2015, 57.28, 60.58, 57.28, 60.45, -1 
CINF, 11/05/2015, 60.36, 60.76, 60.31, 60.58, -1 
CINF, 11/06/2015, 57.45, 61.05, 57.45, 60.83, -1 
CINF, 11/09/2015, 55.68, 60.75, 55.68, 60.21, -1 
CINF, 11/10/2015, 57.04, 60.56, 57.04, 60.55, -1 
CINF, 11/11/2015, 57.49, 60.9, 57.49, 60.65, -1 
CINF, 11/12/2015, 57.5, 60.65, 57.5, 59.95, -1 
CINF, 11/13/2015, 59.24, 60.12, 59.24, 59.52, -1 
CINF, 11/16/2015, 56.49, 60.26, 56.49, 60.24, -1 
CINF, 11/17/2015, 57.21, 60.44, 57.21, 59.99, -1 
CINF, 11/18/2015, 56.87, 60.69, 56.87, 60.53, -1 
CINF, 11/19/2015, 57.46, 60.78, 57.46, 60.74, -1 
CINF, 11/20/2015, 60.75, 61.07, 60.71, 61.0, -1 
CINF, 11/23/2015, 60.01, 61.51, 60.01, 61.44, -1 
CINF, 11/24/2015, 60.01, 61.38, 60.01, 61.27, -1 
CINF, 11/25/2015, 58.16, 61.55, 58.16, 60.83, -1 
CINF, 11/27/2015, 59.5, 61.09, 59.5, 61.07, -1 
CINF, 11/30/2015, 60.91, 61.26, 60.69, 61.09, -1 
CINF, 12/01/2015, 57.99, 61.46, 57.99, 61.44, -1 
CINF, 12/02/2015, 60.08, 61.41, 60.08, 60.95, -1 
CINF, 12/03/2015, 60.46, 61.07, 59.77, 60.04, -1 
CINF, 12/04/2015, 58.12, 61.53, 58.12, 61.48, -1 
CINF, 12/07/2015, 60.24, 61.55, 60.24, 61.38, -1 
CINF, 12/08/2015, 58.12, 61.29, 58.12, 61.03, -1 
CINF, 12/09/2015, 58.12, 61.28, 58.12, 60.22, -1 
CINF, 12/10/2015, 59.39, 60.33, 59.39, 59.99, -1 
