Symbol, Date, Open, High, Low, Close, Volume 
CMA, 10/30/2015, 43.93, 44.31, 43.21, 43.39, -1 
CMA, 11/02/2015, 41.59, 45.0, 41.59, 44.86, -1 
CMA, 11/03/2015, 44.41, 45.09, 44.41, 44.59, -1 
CMA, 11/04/2015, 44.44, 44.98, 44.44, 44.7, -1 
CMA, 11/05/2015, 44.51, 45.67, 44.51, 45.43, -1 
CMA, 11/06/2015, 46.05, 47.43, 46.05, 46.79, -1 
CMA, 11/09/2015, 42.7, 47.16, 42.68, 46.34, -1 
CMA, 11/10/2015, 46.04, 46.6, 45.74, 46.32, -1 
CMA, 11/11/2015, 46.33, 46.69, 46.14, 46.3, -1 
CMA, 11/12/2015, 45.78, 45.95, 45.21, 45.23, -1 
CMA, 11/13/2015, 41.59, 45.37, 41.57, 44.77, -1 
CMA, 11/16/2015, 41.61, 45.56, 41.6, 45.53, -1 
CMA, 11/17/2015, 41.68, 46.31, 41.58, 45.53, -1 
CMA, 11/18/2015, 45.5, 46.9, 45.5, 46.7, -1 
CMA, 11/19/2015, 41.41, 46.74, 40.58, 46.33, -1 
CMA, 11/20/2015, 42.42, 46.72, 42.4, 46.39, -1 
CMA, 11/23/2015, 46.19, 46.68, 46.1, 46.18, -1 
CMA, 11/24/2015, 45.6, 46.54, 45.6, 46.26, -1 
CMA, 11/25/2015, 46.03, 46.57, 46.03, 46.37, -1 
CMA, 11/27/2015, 42.44, 46.66, 42.42, 46.38, -1 
CMA, 11/30/2015, 46.23, 46.56, 46.02, 46.36, -1 
CMA, 12/01/2015, 42.01, 47.1, 41.41, 46.73, -1 
CMA, 12/02/2015, 41.37, 46.97, 40.93, 45.84, -1 
CMA, 12/03/2015, 44.96, 46.24, 44.96, 45.25, -1 
CMA, 12/04/2015, 44.86, 46.46, 44.86, 46.36, -1 
CMA, 12/07/2015, 45.95, 46.19, 43.9, 44.33, -1 
CMA, 12/08/2015, 43.32, 43.9, 42.75, 42.99, -1 
CMA, 12/09/2015, 42.62, 43.47, 42.05, 42.48, -1 
CMA, 12/10/2015, 42.27, 43.16, 42.15, 42.62, -1 
CMA, 12/11/2015, 38.41, 42.21, 37.76, 41.76, -1 
CMA, 12/14/2015, 41.82, 42.32, 40.68, 41.21, -1 
CMA, 12/15/2015, 41.67, 43.47, 41.63, 42.96, -1 
CMA, 12/16/2015, 42.96, 43.48, 42.2, 43.26, -1 
CMA, 12/17/2015, 42.48, 43.34, 42.28, 42.3, -1 
CMA, 12/18/2015, 41.7, 41.84, 40.49, 40.5, -1 
CMA, 12/21/2015, 37.11, 41.15, 37.11, 41.14, -1 
