Symbol, Date, Open, High, Low, Close, Volume 
COH, 10/30/2015, 30.71, 31.38, 30.71, 31.21, -1 
COH, 11/02/2015, 31.03, 31.83, 30.78, 31.74, -1 
COH, 11/03/2015, 31.79, 32.81, 31.79, 32.54, -1 
COH, 11/04/2015, 32.55, 32.7, 31.88, 32.27, -1 
COH, 11/05/2015, 31.94, 32.96, 31.94, 32.71, -1 
COH, 11/06/2015, 32.27, 32.69, 31.89, 32.06, -1 
COH, 11/09/2015, 31.8, 32.03, 30.67, 30.87, -1 
COH, 11/10/2015, 30.55, 31.45, 30.32, 31.38, -1 
COH, 11/11/2015, 31.15, 31.24, 29.82, 30.23, -1 
COH, 11/12/2015, 29.98, 30.89, 29.9, 30.01, -1 
COH, 11/13/2015, 29.44, 29.61, 28.73, 29.22, -1 
COH, 11/16/2015, 29.12, 29.81, 28.94, 29.38, -1 
COH, 11/17/2015, 28.89, 29.5, 28.7, 28.92, -1 
COH, 11/18/2015, 28.84, 29.62, 28.75, 29.59, -1 
COH, 11/19/2015, 29.29, 30.12, 29.29, 29.67, -1 
COH, 11/20/2015, 29.7, 30.55, 29.69, 30.52, -1 
COH, 11/23/2015, 30.34, 31.58, 30.34, 31.56, -1 
COH, 11/24/2015, 30.99, 32.31, 30.99, 32.17, -1 
COH, 11/25/2015, 32.0, 32.59, 31.97, 32.4, -1 
COH, 11/27/2015, 32.13, 32.54, 31.75, 31.81, -1 
COH, 11/30/2015, 31.6, 32.27, 31.18, 31.76, -1 
COH, 12/01/2015, 31.87, 32.2, 31.36, 31.56, -1 
COH, 12/02/2015, 30.99, 31.55, 30.77, 30.88, -1 
COH, 12/03/2015, 30.02, 30.95, 29.66, 29.87, -1 
COH, 12/04/2015, 29.65, 30.71, 29.65, 30.58, -1 
COH, 12/07/2015, 30.31, 31.14, 30.05, 31.07, -1 
COH, 12/08/2015, 30.62, 31.35, 30.62, 31.22, -1 
COH, 12/09/2015, 29.4, 31.63, 29.4, 30.51, -1 
COH, 12/10/2015, 30.02, 31.26, 30.02, 31.11, -1 
COH, 12/11/2015, 30.68, 30.97, 30.28, 30.37, -1 
COH, 12/14/2015, 31.02, 31.25, 30.3, 31.1, -1 
COH, 12/15/2015, 31.81, 32.6, 31.77, 32.37, -1 
COH, 12/16/2015, 32.34, 33.43, 32.34, 33.34, -1 
COH, 12/17/2015, 33.28, 33.44, 32.51, 32.63, -1 
COH, 12/18/2015, 32.34, 32.64, 31.62, 31.98, -1 
COH, 12/21/2015, 32.12, 32.71, 31.86, 32.7, -1 
COH, 12/22/2015, 32.42, 33.18, 32.42, 33.03, -1 
COH, 12/23/2015, 31.83, 33.45, 31.83, 33.27, -1 
COH, 12/24/2015, 33.04, 33.18, 32.55, 32.61, -1 
COH, 12/28/2015, 32.34, 33.05, 32.34, 32.62, -1 
COH, 12/29/2015, 32.7, 33.22, 32.7, 32.98, -1 
COH, 12/30/2015, 32.58, 33.01, 32.58, 32.66, -1 
COH, 12/31/2015, 32.5, 32.89, 32.46, 32.72, -1 
COH, 01/04/2016, 32.0, 33.65, 32.0, 33.64, -1 
COH, 01/05/2016, 33.38, 34.18, 33.3, 33.98, -1 
COH, 01/06/2016, 32.68, 33.46, 32.37, 32.79, -1 
COH, 01/07/2016, 31.85, 33.26, 31.85, 32.88, -1 
COH, 01/08/2016, 32.92, 33.19, 31.87, 31.93, -1 
COH, 01/11/2016, 31.99, 32.89, 31.94, 32.76, -1 
COH, 01/12/2016, 32.98, 33.46, 31.84, 32.58, -1 
COH, 01/13/2016, 32.7, 32.94, 31.38, 31.51, -1 
COH, 01/14/2016, 31.46, 32.14, 30.48, 31.75, -1 
