Symbol, Date, Open, High, Low, Close, Volume 
CTSH, 10/30/2015, 67.62, 69.06, 67.62, 68.09, -1 
CTSH, 11/02/2015, 67.51, 68.58, 67.51, 68.41, -1 
CTSH, 11/03/2015, 68.19, 68.9, 68.06, 68.13, -1 
CTSH, 11/04/2015, 66.5, 67.31, 65.31, 66.82, -1 
CTSH, 11/05/2015, 67.01, 67.63, 66.55, 67.16, -1 
CTSH, 11/06/2015, 66.16, 69.22, 66.16, 69.03, -1 
CTSH, 11/09/2015, 68.71, 68.75, 67.46, 67.97, -1 
CTSH, 11/10/2015, 65.06, 68.17, 65.06, 68.09, -1 
CTSH, 11/11/2015, 68.24, 68.95, 67.68, 67.89, -1 
CTSH, 11/12/2015, 66.28, 68.04, 66.28, 67.11, -1 
CTSH, 11/13/2015, 66.68, 67.16, 65.8, 65.9, -1 
CTSH, 11/16/2015, 65.8, 66.28, 65.35, 65.85, -1 
CTSH, 11/17/2015, 64.87, 65.49, 63.26, 64.09, -1 
CTSH, 11/18/2015, 64.04, 65.35, 63.87, 65.25, -1 
CTSH, 11/19/2015, 64.29, 65.57, 64.29, 65.23, -1 
CTSH, 11/20/2015, 65.25, 65.9, 65.04, 65.11, -1 
CTSH, 11/23/2015, 64.62, 65.06, 63.93, 64.23, -1 
CTSH, 11/24/2015, 63.16, 64.76, 63.16, 64.58, -1 
CTSH, 11/25/2015, 64.56, 64.82, 64.2, 64.48, -1 
CTSH, 11/27/2015, 63.01, 65.41, 63.01, 64.73, -1 
CTSH, 11/30/2015, 64.97, 64.97, 64.28, 64.58, -1 
CTSH, 12/01/2015, 64.01, 65.23, 64.01, 65.19, -1 
CTSH, 12/02/2015, 63.19, 65.18, 63.19, 64.04, -1 
CTSH, 12/03/2015, 63.24, 64.26, 61.17, 61.69, -1 
CTSH, 12/04/2015, 61.63, 63.04, 61.53, 62.94, -1 
CTSH, 12/07/2015, 60.91, 62.74, 60.91, 61.99, -1 
CTSH, 12/08/2015, 61.31, 62.61, 61.3, 62.01, -1 
CTSH, 12/09/2015, 61.41, 62.28, 59.84, 60.32, -1 
CTSH, 12/10/2015, 60.35, 60.92, 60.12, 60.37, -1 
CTSH, 12/11/2015, 59.01, 59.82, 58.14, 58.29, -1 
CTSH, 12/14/2015, 58.87, 59.76, 58.66, 59.75, -1 
CTSH, 12/15/2015, 60.0, 61.05, 60.0, 60.51, -1 
CTSH, 12/16/2015, 60.8, 62.51, 60.8, 62.41, -1 
CTSH, 12/17/2015, 62.21, 62.28, 60.13, 60.42, -1 
CTSH, 12/18/2015, 58.76, 60.36, 58.75, 58.8, -1 
CTSH, 12/21/2015, 58.67, 59.91, 58.67, 59.74, -1 
CTSH, 12/22/2015, 59.61, 60.2, 59.4, 60.09, -1 
CTSH, 12/23/2015, 59.15, 60.58, 59.15, 60.39, -1 
CTSH, 12/24/2015, 60.01, 60.99, 60.01, 60.72, -1 
CTSH, 12/28/2015, 60.06, 60.7, 59.85, 60.5, -1 
CTSH, 12/29/2015, 59.9, 61.64, 59.9, 61.4, -1 
CTSH, 12/30/2015, 60.65, 61.71, 60.65, 61.0, -1 
CTSH, 12/31/2015, 60.58, 61.02, 60.0, 60.0, -1 
CTSH, 01/04/2016, 58.55, 58.8, 57.46, 58.13, -1 
CTSH, 01/05/2016, 57.87, 58.67, 57.87, 58.12, -1 
CTSH, 01/06/2016, 56.22, 57.88, 56.22, 57.13, -1 
CTSH, 01/07/2016, 55.34, 57.94, 55.34, 56.64, -1 
CTSH, 01/08/2016, 56.53, 56.92, 55.7, 55.76, -1 
CTSH, 01/11/2016, 56.07, 56.44, 55.58, 56.11, -1 
CTSH, 01/12/2016, 57.5, 59.92, 57.45, 59.65, -1 
CTSH, 01/13/2016, 59.65, 59.95, 57.38, 57.77, -1 
CTSH, 01/14/2016, 58.14, 61.08, 58.0, 60.2, -1 
CTSH, 01/15/2016, 57.92, 59.32, 57.8, 58.71, -1 
CTSH, 01/19/2016, 59.57, 60.23, 58.3, 59.95, -1 
CTSH, 01/20/2016, 58.39, 59.94, 58.02, 59.25, -1 
CTSH, 01/21/2016, 59.43, 60.15, 58.61, 59.05, -1 
CTSH, 01/22/2016, 59.52, 60.63, 59.33, 60.5, -1 
CTSH, 01/25/2016, 59.84, 61.8, 59.84, 60.93, -1 
