Symbol, Date, Open, High, Low, Close, Volume 
CVS, 10/30/2015, 99.47, 100.22, 96.4, 98.74, -1 
CVS, 11/02/2015, 98.87, 100.34, 98.2, 100.3, -1 
CVS, 11/03/2015, 99.4, 100.31, 99.21, 99.98, -1 
CVS, 11/04/2015, 100.17, 101.0, 98.35, 99.56, -1 
CVS, 11/05/2015, 99.22, 100.33, 98.89, 99.56, -1 
CVS, 11/06/2015, 99.03, 99.58, 98.27, 98.71, -1 
CVS, 11/09/2015, 98.25, 98.34, 96.99, 97.99, -1 
CVS, 11/10/2015, 97.13, 98.28, 97.01, 97.87, -1 
CVS, 11/11/2015, 97.56, 97.98, 94.63, 94.83, -1 
CVS, 11/12/2015, 94.1, 94.6, 92.76, 93.17, -1 
CVS, 11/13/2015, 92.51, 92.67, 91.46, 91.8, -1 
CVS, 11/16/2015, 91.45, 93.61, 91.45, 93.61, -1 
CVS, 11/17/2015, 92.7, 94.95, 92.64, 93.8, -1 
CVS, 11/18/2015, 93.68, 95.35, 93.64, 95.18, -1 
CVS, 11/19/2015, 94.66, 95.3, 92.13, 92.47, -1 
CVS, 11/20/2015, 92.89, 93.16, 91.79, 91.93, -1 
CVS, 11/23/2015, 91.83, 92.1, 90.1, 91.54, -1 
CVS, 11/24/2015, 90.79, 92.58, 90.79, 92.26, -1 
CVS, 11/25/2015, 92.08, 94.44, 92.08, 93.9, -1 
CVS, 11/27/2015, 93.2, 95.05, 93.2, 94.63, -1 
CVS, 11/30/2015, 94.09, 95.86, 94.0, 94.09, -1 
CVS, 12/01/2015, 94.06, 95.55, 94.06, 95.44, -1 
CVS, 12/02/2015, 94.79, 95.55, 94.4, 94.51, -1 
CVS, 12/03/2015, 94.18, 95.16, 92.64, 92.88, -1 
CVS, 12/04/2015, 92.85, 95.66, 92.85, 95.4, -1 
CVS, 12/07/2015, 95.12, 96.49, 95.12, 96.35, -1 
CVS, 12/08/2015, 95.47, 96.37, 94.91, 95.67, -1 
CVS, 12/09/2015, 94.85, 96.44, 94.11, 94.98, -1 
CVS, 12/10/2015, 94.8, 95.55, 94.4, 94.73, -1 
CVS, 12/11/2015, 93.89, 94.35, 92.53, 93.23, -1 
CVS, 12/14/2015, 93.12, 94.23, 92.36, 94.13, -1 
CVS, 12/15/2015, 94.82, 95.42, 92.49, 92.57, -1 
CVS, 12/16/2015, 94.01, 97.8, 93.46, 97.56, -1 
CVS, 12/17/2015, 96.29, 97.17, 94.72, 94.74, -1 
CVS, 12/18/2015, 94.1, 95.49, 93.51, 94.86, -1 
CVS, 12/21/2015, 95.28, 96.32, 95.01, 95.95, -1 
CVS, 12/22/2015, 96.78, 98.56, 96.32, 98.29, -1 
CVS, 12/23/2015, 98.31, 99.03, 98.06, 98.52, -1 
CVS, 12/24/2015, 98.16, 99.25, 98.01, 98.84, -1 
CVS, 12/28/2015, 98.1, 98.97, 98.04, 98.42, -1 
CVS, 12/29/2015, 98.47, 99.52, 98.47, 99.33, -1 
CVS, 12/30/2015, 98.44, 99.58, 98.44, 98.73, -1 
CVS, 12/31/2015, 98.24, 98.72, 97.74, 97.74, -1 
CVS, 01/04/2016, 95.86, 96.56, 95.34, 96.49, -1 
