Symbol, Date, Open, High, Low, Close, Volume 
DFS, 10/30/2015, 56.67, 56.94, 56.22, 56.22, -1 
DFS, 11/02/2015, 55.25, 56.63, 55.23, 56.28, -1 
DFS, 11/03/2015, 55.15, 56.61, 55.15, 56.34, -1 
DFS, 11/04/2015, 56.22, 56.65, 56.22, 56.38, -1 
DFS, 11/05/2015, 56.14, 56.92, 56.11, 56.9, -1 
DFS, 11/06/2015, 57.59, 57.78, 57.17, 57.6, -1 
DFS, 11/09/2015, 57.51, 57.53, 56.88, 57.14, -1 
DFS, 11/10/2015, 55.19, 57.15, 55.19, 57.06, -1 
DFS, 11/11/2015, 56.96, 57.44, 56.75, 56.91, -1 
DFS, 11/12/2015, 56.49, 56.74, 55.92, 56.01, -1 
DFS, 11/13/2015, 55.61, 56.15, 55.5, 55.7, -1 
DFS, 11/16/2015, 54.7, 56.53, 54.7, 56.53, -1 
DFS, 11/17/2015, 54.89, 56.8, 54.89, 55.94, -1 
DFS, 11/18/2015, 55.37, 57.08, 55.37, 57.03, -1 
DFS, 11/19/2015, 56.78, 57.8, 56.74, 57.64, -1 
DFS, 11/20/2015, 57.51, 58.08, 56.76, 57.03, -1 
DFS, 11/23/2015, 56.77, 57.4, 56.66, 56.91, -1 
DFS, 11/24/2015, 56.31, 56.97, 56.18, 56.81, -1 
DFS, 11/25/2015, 56.64, 57.02, 56.56, 56.86, -1 
DFS, 11/27/2015, 55.18, 57.01, 55.18, 56.86, -1 
DFS, 11/30/2015, 53.86, 56.97, 53.83, 56.76, -1 
DFS, 12/01/2015, 56.46, 57.4, 56.45, 57.12, -1 
DFS, 12/02/2015, 56.32, 57.19, 55.91, 56.01, -1 
DFS, 12/03/2015, 55.97, 56.18, 55.1, 55.32, -1 
DFS, 12/04/2015, 55.16, 56.55, 55.15, 56.39, -1 
DFS, 12/07/2015, 56.04, 56.41, 55.88, 56.28, -1 
DFS, 12/08/2015, 55.6, 55.94, 54.97, 54.99, -1 
DFS, 12/09/2015, 53.96, 55.26, 53.92, 54.08, -1 
DFS, 12/10/2015, 53.89, 54.94, 53.89, 54.27, -1 
DFS, 12/11/2015, 53.51, 53.76, 52.66, 52.75, -1 
DFS, 12/14/2015, 52.63, 53.21, 51.93, 52.56, -1 
DFS, 12/15/2015, 52.79, 54.07, 52.79, 53.86, -1 
DFS, 12/16/2015, 54.41, 55.0, 53.91, 54.9, -1 
DFS, 12/17/2015, 54.62, 55.15, 53.72, 53.88, -1 
DFS, 12/18/2015, 53.4, 53.54, 52.28, 52.42, -1 
DFS, 12/21/2015, 52.51, 53.38, 52.51, 53.34, -1 
DFS, 12/22/2015, 53.03, 54.17, 53.0, 53.98, -1 
DFS, 12/23/2015, 54.12, 54.93, 54.12, 54.79, -1 
DFS, 12/24/2015, 54.59, 54.99, 54.33, 54.79, -1 
DFS, 12/28/2015, 54.41, 54.67, 53.86, 54.36, -1 
DFS, 12/29/2015, 54.56, 54.91, 54.47, 54.76, -1 
DFS, 12/30/2015, 54.38, 54.94, 54.17, 54.23, -1 
DFS, 12/31/2015, 54.0, 54.4, 53.62, 53.62, -1 
DFS, 01/04/2016, 52.17, 52.77, 52.09, 52.72, -1 
DFS, 01/05/2016, 52.24, 53.08, 52.21, 52.58, -1 
DFS, 01/06/2016, 51.17, 52.35, 51.17, 51.56, -1 
