Symbol, Date, Open, High, Low, Close, Volume 
DGX, 10/30/2015, 66.4, 68.2, 66.4, 67.95, -1 
DGX, 11/02/2015, 67.69, 69.59, 67.69, 69.26, -1 
DGX, 11/03/2015, 65.53, 69.39, 65.52, 69.0, -1 
DGX, 11/04/2015, 68.82, 69.43, 68.56, 69.11, -1 
DGX, 11/05/2015, 65.61, 69.23, 65.59, 68.65, -1 
DGX, 11/06/2015, 68.18, 68.47, 67.93, 68.19, -1 
DGX, 11/09/2015, 67.85, 68.06, 67.17, 67.75, -1 
DGX, 11/10/2015, 64.12, 68.47, 64.09, 68.43, -1 
DGX, 11/11/2015, 68.24, 68.69, 67.12, 67.18, -1 
DGX, 11/12/2015, 66.5, 66.88, 66.03, 66.38, -1 
DGX, 11/13/2015, 65.85, 67.67, 65.85, 67.23, -1 
DGX, 11/16/2015, 66.85, 67.91, 66.85, 67.51, -1 
DGX, 11/17/2015, 67.02, 68.51, 66.97, 68.03, -1 
DGX, 11/18/2015, 67.92, 69.32, 67.89, 69.11, -1 
DGX, 11/19/2015, 68.66, 69.07, 67.6, 67.82, -1 
DGX, 11/20/2015, 67.55, 68.47, 67.55, 67.94, -1 
DGX, 11/23/2015, 67.58, 68.9, 67.55, 68.58, -1 
DGX, 11/24/2015, 67.77, 68.43, 67.74, 68.26, -1 
DGX, 11/25/2015, 67.91, 68.95, 67.91, 68.53, -1 
DGX, 11/27/2015, 68.25, 69.23, 68.25, 68.76, -1 
DGX, 11/30/2015, 68.61, 68.87, 68.03, 68.31, -1 
DGX, 12/01/2015, 68.29, 69.24, 68.17, 69.1, -1 
DGX, 12/02/2015, 65.6, 69.47, 65.58, 68.68, -1 
DGX, 12/03/2015, 68.54, 68.73, 65.45, 66.2, -1 
DGX, 12/04/2015, 66.27, 68.81, 66.27, 68.56, -1 
DGX, 12/07/2015, 68.04, 68.92, 67.8, 68.84, -1 
DGX, 12/08/2015, 67.9, 68.89, 67.9, 68.43, -1 
