Symbol, Date, Open, High, Low, Close, Volume 
DISCA, 10/30/2015, 27.21, 29.6, 27.21, 29.43, -1 
DISCA, 11/02/2015, 28.09, 30.24, 28.09, 30.06, -1 
DISCA, 11/03/2015, 30.1, 31.79, 30.1, 31.08, -1 
DISCA, 11/04/2015, 28.42, 31.5, 28.42, 30.29, -1 
DISCA, 11/05/2015, 29.42, 30.34, 29.14, 29.5, -1 
DISCA, 11/06/2015, 27.32, 29.44, 27.32, 29.0, -1 
DISCA, 11/09/2015, 28.11, 29.34, 28.11, 29.0, -1 
DISCA, 11/10/2015, 27.21, 30.08, 27.21, 30.05, -1 
DISCA, 11/11/2015, 30.13, 31.35, 30.09, 30.61, -1 
DISCA, 11/12/2015, 27.98, 30.75, 27.98, 30.16, -1 
DISCA, 11/13/2015, 29.86, 30.44, 29.85, 29.98, -1 
DISCA, 11/16/2015, 29.79, 30.61, 29.78, 30.59, -1 
DISCA, 11/17/2015, 27.99, 30.96, 27.98, 30.1, -1 
DISCA, 11/18/2015, 30.01, 30.79, 30.01, 30.77, -1 
DISCA, 11/19/2015, 27.28, 30.88, 27.28, 30.55, -1 
DISCA, 11/20/2015, 30.07, 31.01, 30.07, 30.76, -1 
DISCA, 11/23/2015, 28.12, 31.33, 28.12, 30.69, -1 
DISCA, 11/24/2015, 30.56, 31.15, 30.39, 30.93, -1 
DISCA, 11/25/2015, 28.31, 31.25, 28.31, 31.11, -1 
DISCA, 11/27/2015, 30.32, 31.33, 30.32, 31.08, -1 
DISCA, 11/30/2015, 31.14, 31.34, 30.7, 31.14, -1 
DISCA, 12/01/2015, 30.92, 31.32, 30.87, 31.06, -1 
DISCA, 12/02/2015, 28.43, 31.07, 28.43, 30.18, -1 
DISCA, 12/03/2015, 29.33, 30.59, 29.33, 30.11, -1 
DISCA, 12/04/2015, 29.74, 30.84, 29.74, 30.72, -1 
DISCA, 12/07/2015, 27.35, 30.84, 27.35, 30.69, -1 
DISCA, 12/08/2015, 27.73, 30.39, 27.73, 29.42, -1 
DISCA, 12/09/2015, 28.75, 29.42, 28.32, 28.44, -1 
DISCA, 12/10/2015, 27.51, 28.82, 27.51, 28.38, -1 
DISCA, 12/11/2015, 27.45, 28.11, 27.14, 27.36, -1 
DISCA, 12/14/2015, 27.35, 27.66, 25.99, 26.45, -1 
DISCA, 12/15/2015, 26.5, 27.48, 26.31, 26.51, -1 
DISCA, 12/16/2015, 25.63, 27.41, 25.63, 27.18, -1 
DISCA, 12/17/2015, 25.58, 27.34, 25.57, 26.48, -1 
DISCA, 12/18/2015, 25.66, 26.47, 25.66, 26.2, -1 
DISCA, 12/21/2015, 25.57, 26.58, 25.57, 26.27, -1 
DISCA, 12/22/2015, 25.65, 27.04, 25.65, 26.86, -1 
DISCA, 12/23/2015, 26.46, 27.23, 26.46, 27.13, -1 
DISCA, 12/24/2015, 25.61, 27.29, 25.61, 27.08, -1 
DISCA, 12/28/2015, 25.66, 27.05, 25.66, 26.83, -1 
DISCA, 12/29/2015, 25.62, 27.18, 25.62, 26.89, -1 
DISCA, 12/30/2015, 25.7, 27.05, 25.7, 26.56, -1 
DISCA, 12/31/2015, 25.62, 26.91, 25.62, 26.66, -1 
DISCA, 01/04/2016, 25.51, 26.84, 25.51, 26.41, -1 
DISCA, 01/05/2016, 26.41, 26.63, 26.14, 26.46, -1 
DISCA, 01/06/2016, 25.69, 26.63, 25.69, 26.28, -1 
DISCA, 01/07/2016, 25.64, 26.03, 25.23, 25.48, -1 
DISCA, 01/08/2016, 25.47, 26.17, 25.38, 26.0, -1 
DISCA, 01/11/2016, 24.84, 26.3, 24.84, 25.83, -1 
DISCA, 01/12/2016, 25.11, 26.63, 25.11, 26.33, -1 
DISCA, 01/13/2016, 24.89, 26.69, 24.89, 25.53, -1 
DISCA, 01/14/2016, 25.56, 26.55, 25.43, 26.29, -1 
