Symbol, Date, Open, High, Low, Close, Volume 
DISCK, 10/30/2015, 25.07, 27.78, 25.07, 27.51, -1 
DISCK, 11/02/2015, 26.25, 28.28, 26.25, 27.97, -1 
DISCK, 11/03/2015, 28.16, 29.59, 28.16, 29.06, -1 
DISCK, 11/04/2015, 26.88, 29.41, 26.88, 28.61, -1 
DISCK, 11/05/2015, 28.04, 28.7, 27.6, 27.94, -1 
DISCK, 11/06/2015, 25.07, 27.9, 25.07, 27.52, -1 
DISCK, 11/09/2015, 26.91, 27.79, 26.69, 27.57, -1 
DISCK, 11/10/2015, 27.45, 28.55, 27.45, 28.54, -1 
DISCK, 11/11/2015, 28.16, 29.74, 28.16, 29.21, -1 
DISCK, 11/12/2015, 25.22, 29.35, 25.22, 28.87, -1 
DISCK, 11/13/2015, 28.01, 29.06, 28.01, 28.68, -1 
DISCK, 11/16/2015, 28.4, 29.3, 28.4, 29.15, -1 
DISCK, 11/17/2015, 26.06, 29.47, 26.06, 28.7, -1 
DISCK, 11/18/2015, 27.26, 29.47, 27.26, 29.43, -1 
DISCK, 11/19/2015, 26.95, 29.52, 26.94, 28.86, -1 
DISCK, 11/20/2015, 27.32, 29.35, 27.32, 29.07, -1 
DISCK, 11/23/2015, 26.01, 29.75, 26.01, 29.19, -1 
DISCK, 11/24/2015, 27.8, 29.45, 27.8, 29.24, -1 
DISCK, 11/25/2015, 29.24, 29.54, 29.04, 29.32, -1 
DISCK, 11/27/2015, 28.8, 29.56, 28.8, 29.45, -1 
DISCK, 11/30/2015, 29.51, 29.67, 29.06, 29.56, -1 
DISCK, 12/01/2015, 28.17, 29.7, 28.16, 29.53, -1 
DISCK, 12/02/2015, 27.03, 29.64, 27.03, 28.78, -1 
DISCK, 12/03/2015, 27.98, 29.21, 27.98, 28.69, -1 
DISCK, 12/04/2015, 28.71, 29.51, 28.48, 29.38, -1 
DISCK, 12/07/2015, 26.96, 29.52, 26.96, 29.38, -1 
DISCK, 12/08/2015, 26.57, 29.09, 26.56, 28.18, -1 
DISCK, 12/09/2015, 27.33, 28.22, 27.21, 27.29, -1 
DISCK, 12/10/2015, 24.56, 27.65, 24.55, 27.18, -1 
DISCK, 12/11/2015, 23.24, 26.97, 23.24, 26.24, -1 
DISCK, 12/14/2015, 26.3, 26.54, 24.97, 25.34, -1 
DISCK, 12/15/2015, 25.64, 26.4, 25.31, 25.47, -1 
DISCK, 12/16/2015, 22.24, 26.35, 22.24, 26.1, -1 
DISCK, 12/17/2015, 23.55, 26.24, 23.55, 25.38, -1 
DISCK, 12/18/2015, 22.82, 25.34, 22.82, 24.96, -1 
DISCK, 12/21/2015, 20.74, 25.38, 20.74, 25.13, -1 
DISCK, 12/22/2015, 25.19, 25.88, 25.19, 25.51, -1 
DISCK, 12/23/2015, 23.57, 25.82, 23.57, 25.72, -1 
DISCK, 12/24/2015, 23.12, 25.81, 23.11, 25.55, -1 
DISCK, 12/28/2015, 21.85, 25.54, 21.85, 25.33, -1 
DISCK, 12/29/2015, 23.49, 25.66, 23.48, 25.37, -1 
DISCK, 12/30/2015, 22.78, 25.51, 22.78, 25.04, -1 
DISCK, 12/31/2015, 24.91, 25.49, 24.85, 25.22, -1 
DISCK, 01/04/2016, 24.14, 25.29, 24.14, 25.16, -1 
DISCK, 01/05/2016, 22.68, 25.46, 22.68, 25.27, -1 
DISCK, 01/06/2016, 22.4, 25.39, 22.4, 25.1, -1 
DISCK, 01/07/2016, 24.22, 24.88, 24.15, 24.32, -1 
DISCK, 01/08/2016, 23.7, 25.04, 23.7, 24.98, -1 
DISCK, 01/11/2016, 23.67, 25.26, 23.67, 24.84, -1 
DISCK, 01/12/2016, 23.65, 25.56, 23.65, 25.24, -1 
DISCK, 01/13/2016, 21.74, 25.69, 21.74, 24.62, -1 
DISCK, 01/14/2016, 24.71, 25.67, 24.54, 25.42, -1 
DISCK, 01/15/2016, 24.82, 25.33, 24.53, 25.07, -1 
DISCK, 01/19/2016, 25.35, 25.66, 24.9, 25.23, -1 
DISCK, 01/20/2016, 24.74, 25.22, 24.21, 25.01, -1 
DISCK, 01/21/2016, 23.76, 25.82, 23.76, 25.54, -1 
DISCK, 01/22/2016, 25.26, 26.55, 25.26, 26.42, -1 
DISCK, 01/25/2016, 22.6, 26.41, 22.55, 25.92, -1 
DISCK, 01/26/2016, 25.95, 27.18, 25.95, 27.11, -1 
DISCK, 01/27/2016, 26.61, 27.69, 26.61, 26.79, -1 
DISCK, 01/28/2016, 26.19, 27.07, 25.93, 26.43, -1 
DISCK, 01/29/2016, 26.58, 27.28, 26.4, 27.2, -1 
