Symbol, Date, Open, High, Low, Close, Volume 
DLTR, 10/30/2015, 64.08, 65.76, 64.08, 65.49, -1 
DLTR, 11/02/2015, 64.32, 66.34, 64.32, 66.21, -1 
DLTR, 11/03/2015, 66.5, 69.02, 66.5, 67.54, -1 
DLTR, 11/04/2015, 66.27, 67.79, 66.27, 67.15, -1 
DLTR, 11/05/2015, 67.38, 67.79, 66.67, 67.71, -1 
DLTR, 11/06/2015, 68.04, 69.18, 67.65, 67.96, -1 
DLTR, 11/09/2015, 67.02, 67.71, 66.33, 67.59, -1 
DLTR, 11/10/2015, 66.03, 68.13, 66.03, 67.85, -1 
DLTR, 11/11/2015, 66.72, 68.28, 65.73, 66.5, -1 
DLTR, 11/12/2015, 64.19, 67.06, 64.19, 66.57, -1 
DLTR, 11/13/2015, 65.95, 66.01, 61.95, 62.21, -1 
DLTR, 11/16/2015, 61.8, 62.89, 61.32, 62.79, -1 
DLTR, 11/17/2015, 63.55, 65.45, 63.08, 64.22, -1 
DLTR, 11/18/2015, 62.76, 66.79, 62.76, 66.62, -1 
DLTR, 11/19/2015, 66.5, 67.59, 66.5, 67.14, -1 
DLTR, 11/20/2015, 66.55, 69.17, 66.55, 68.4, -1 
DLTR, 11/23/2015, 68.5, 69.81, 68.11, 69.54, -1 
DLTR, 11/24/2015, 68.51, 75.18, 68.51, 74.16, -1 
DLTR, 11/25/2015, 74.51, 76.0, 74.21, 74.93, -1 
DLTR, 11/27/2015, 74.0, 75.19, 74.0, 75.08, -1 
DLTR, 11/30/2015, 75.19, 75.71, 73.86, 75.46, -1 
DLTR, 12/01/2015, 74.37, 76.92, 74.36, 75.96, -1 
DLTR, 12/02/2015, 75.01, 76.55, 75.01, 76.01, -1 
DLTR, 12/03/2015, 75.52, 76.74, 73.71, 74.09, -1 
DLTR, 12/04/2015, 74.72, 77.89, 74.34, 77.21, -1 
DLTR, 12/07/2015, 77.33, 78.58, 75.82, 78.44, -1 
DLTR, 12/08/2015, 76.63, 80.02, 76.62, 79.46, -1 
DLTR, 12/09/2015, 78.33, 79.97, 78.19, 78.45, -1 
DLTR, 12/10/2015, 77.86, 78.87, 77.31, 77.8, -1 
DLTR, 12/11/2015, 76.53, 77.45, 75.9, 76.44, -1 
DLTR, 12/14/2015, 75.14, 78.08, 75.14, 77.65, -1 
DLTR, 12/15/2015, 77.28, 78.31, 76.75, 77.34, -1 
DLTR, 12/16/2015, 75.19, 79.17, 75.19, 78.86, -1 
DLTR, 12/17/2015, 77.6, 79.12, 76.51, 76.58, -1 
DLTR, 12/18/2015, 75.8, 76.39, 74.65, 76.09, -1 
DLTR, 12/21/2015, 75.1, 77.12, 75.1, 76.87, -1 
DLTR, 12/22/2015, 77.12, 78.15, 76.39, 77.85, -1 
DLTR, 12/23/2015, 78.44, 78.49, 76.94, 77.03, -1 
DLTR, 12/24/2015, 76.75, 77.34, 76.6, 76.67, -1 
DLTR, 12/28/2015, 74.9, 77.43, 74.9, 77.25, -1 
DLTR, 12/29/2015, 77.52, 78.58, 77.42, 78.0, -1 
DLTR, 12/30/2015, 74.99, 78.36, 74.99, 77.62, -1 
DLTR, 12/31/2015, 77.38, 78.22, 77.1, 77.22, -1 
DLTR, 01/04/2016, 76.22, 78.81, 76.04, 78.8, -1 
DLTR, 01/05/2016, 76.03, 80.78, 76.03, 79.98, -1 
DLTR, 01/06/2016, 77.94, 80.57, 77.93, 80.56, -1 
DLTR, 01/07/2016, 78.7, 81.42, 78.3, 78.45, -1 
DLTR, 01/08/2016, 78.3, 79.43, 77.58, 77.78, -1 
DLTR, 01/11/2016, 76.04, 78.28, 76.04, 77.36, -1 
DLTR, 01/12/2016, 77.07, 78.78, 77.07, 78.68, -1 
DLTR, 01/13/2016, 78.7, 78.71, 75.33, 75.48, -1 
DLTR, 01/14/2016, 75.76, 76.5, 74.15, 75.69, -1 
DLTR, 01/15/2016, 73.72, 75.65, 73.56, 75.28, -1 
DLTR, 01/19/2016, 76.54, 77.93, 75.5, 76.86, -1 
DLTR, 01/20/2016, 75.98, 76.66, 73.68, 76.01, -1 
DLTR, 01/21/2016, 76.38, 78.73, 75.57, 76.99, -1 
