Symbol, Date, Open, High, Low, Close, Volume 
DUK, 10/30/2015, 71.58, 71.84, 71.26, 71.48, -1 
DUK, 11/02/2015, 71.36, 72.29, 71.09, 72.16, -1 
DUK, 11/03/2015, 71.78, 72.37, 71.5, 72.22, -1 
DUK, 11/04/2015, 71.95, 72.54, 71.7, 71.94, -1 
DUK, 11/05/2015, 71.55, 71.81, 70.69, 71.46, -1 
DUK, 11/06/2015, 69.81, 70.05, 67.06, 67.78, -1 
DUK, 11/09/2015, 67.53, 68.85, 67.33, 67.98, -1 
DUK, 11/10/2015, 67.18, 67.79, 67.12, 67.38, -1 
DUK, 11/11/2015, 67.13, 68.43, 67.13, 68.24, -1 
DUK, 11/12/2015, 67.64, 68.8, 67.28, 67.28, -1 
DUK, 11/13/2015, 67.17, 67.92, 66.68, 66.9, -1 
DUK, 11/16/2015, 66.33, 67.72, 66.33, 67.72, -1 
DUK, 11/17/2015, 67.23, 68.01, 65.64, 65.83, -1 
DUK, 11/18/2015, 65.8, 67.29, 65.8, 67.17, -1 
DUK, 11/19/2015, 67.24, 68.52, 67.24, 68.48, -1 
DUK, 11/20/2015, 68.45, 69.45, 68.45, 69.1, -1 
DUK, 11/23/2015, 67.33, 69.22, 67.33, 67.99, -1 
DUK, 11/24/2015, 67.54, 68.19, 67.36, 68.09, -1 
DUK, 11/25/2015, 67.9, 68.11, 67.58, 67.72, -1 
DUK, 11/27/2015, 67.54, 68.26, 67.5, 67.51, -1 
DUK, 11/30/2015, 67.4, 68.23, 67.4, 67.76, -1 
DUK, 12/01/2015, 67.79, 68.42, 67.39, 68.05, -1 
DUK, 12/02/2015, 67.78, 67.88, 66.05, 66.14, -1 
DUK, 12/03/2015, 65.94, 66.72, 65.5, 66.23, -1 
DUK, 12/04/2015, 66.13, 67.1, 66.13, 67.0, -1 
DUK, 12/07/2015, 66.74, 68.56, 66.74, 68.5, -1 
DUK, 12/08/2015, 67.7, 68.59, 67.7, 68.43, -1 
DUK, 12/09/2015, 68.17, 69.49, 67.85, 68.61, -1 
DUK, 12/10/2015, 68.21, 68.45, 67.3, 67.41, -1 
DUK, 12/11/2015, 67.05, 67.97, 66.97, 67.83, -1 
DUK, 12/14/2015, 67.36, 68.49, 67.24, 68.46, -1 
DUK, 12/15/2015, 68.45, 69.52, 68.16, 68.85, -1 
DUK, 12/16/2015, 68.78, 70.28, 68.78, 70.03, -1 
DUK, 12/17/2015, 69.98, 71.01, 69.7, 70.51, -1 
DUK, 12/18/2015, 69.89, 70.35, 68.78, 69.62, -1 
DUK, 12/21/2015, 69.65, 70.25, 69.32, 69.8, -1 
DUK, 12/22/2015, 69.66, 71.14, 69.65, 70.95, -1 
DUK, 12/23/2015, 70.76, 72.3, 70.76, 72.0, -1 
DUK, 12/24/2015, 71.64, 72.36, 71.63, 72.05, -1 
DUK, 12/28/2015, 71.63, 72.25, 71.58, 71.91, -1 
DUK, 12/29/2015, 71.76, 72.74, 71.76, 72.35, -1 
DUK, 12/30/2015, 72.04, 72.57, 72.04, 72.2, -1 
DUK, 12/31/2015, 71.87, 72.15, 70.73, 71.37, -1 
DUK, 01/04/2016, 70.58, 71.2, 70.15, 71.2, -1 
DUK, 01/05/2016, 70.97, 71.85, 70.17, 71.7, -1 
DUK, 01/06/2016, 70.77, 72.17, 70.77, 71.88, -1 
DUK, 01/07/2016, 71.05, 71.76, 70.88, 71.21, -1 
DUK, 01/08/2016, 70.95, 71.68, 70.9, 71.02, -1 
DUK, 01/11/2016, 70.93, 72.04, 70.93, 71.8, -1 
DUK, 01/12/2016, 71.92, 72.06, 70.6, 71.26, -1 
DUK, 01/13/2016, 71.18, 72.34, 71.18, 71.7, -1 
DUK, 01/14/2016, 71.72, 72.83, 71.12, 72.35, -1 
DUK, 01/15/2016, 71.48, 72.29, 71.01, 72.06, -1 
DUK, 01/19/2016, 71.96, 73.35, 71.96, 73.15, -1 
DUK, 01/20/2016, 71.39, 72.96, 70.65, 71.42, -1 
DUK, 01/21/2016, 71.19, 72.08, 70.35, 71.08, -1 
DUK, 01/22/2016, 71.14, 72.24, 70.9, 72.17, -1 
DUK, 01/25/2016, 71.95, 72.28, 71.5, 71.82, -1 
DUK, 01/26/2016, 71.69, 73.19, 71.69, 72.21, -1 
DUK, 01/27/2016, 71.75, 72.89, 71.63, 72.41, -1 
DUK, 01/28/2016, 72.08, 73.96, 71.8, 73.46, -1 
DUK, 01/29/2016, 73.1, 75.4, 73.1, 75.27, -1 
DUK, 02/01/2016, 74.64, 77.68, 74.64, 77.0, -1 
DUK, 02/02/2016, 76.13, 76.93, 76.03, 76.75, -1 
DUK, 02/03/2016, 76.49, 78.71, 76.49, 78.53, -1 
DUK, 02/04/2016, 78.16, 79.02, 77.87, 78.56, -1 
DUK, 02/05/2016, 78.07, 79.22, 77.32, 79.02, -1 
DUK, 02/08/2016, 78.55, 80.04, 78.55, 79.19, -1 
DUK, 02/09/2016, 78.51, 79.79, 78.24, 78.91, -1 
DUK, 02/10/2016, 77.17, 78.54, 76.39, 78.11, -1 
DUK, 02/11/2016, 77.55, 78.27, 76.77, 76.79, -1 
DUK, 02/12/2016, 76.89, 77.25, 75.51, 76.21, -1 
DUK, 02/16/2016, 76.09, 76.48, 75.44, 76.26, -1 
DUK, 02/17/2016, 75.8, 76.52, 75.26, 75.51, -1 
DUK, 02/18/2016, 74.24, 76.66, 74.24, 76.18, -1 
DUK, 02/19/2016, 75.54, 75.88, 74.19, 74.5, -1 
DUK, 02/22/2016, 74.55, 75.21, 74.26, 74.84, -1 
DUK, 02/23/2016, 74.45, 75.16, 74.21, 74.81, -1 
DUK, 02/24/2016, 74.54, 75.43, 74.34, 74.94, -1 
DUK, 02/25/2016, 74.77, 76.44, 74.77, 76.44, -1 
DUK, 02/26/2016, 76.04, 76.22, 73.94, 74.0, -1 
DUK, 02/29/2016, 73.73, 74.94, 73.73, 74.25, -1 
DUK, 03/01/2016, 74.21, 74.72, 72.7, 73.25, -1 
DUK, 03/02/2016, 73.33, 73.87, 72.48, 73.64, -1 
DUK, 03/03/2016, 73.5, 74.41, 72.93, 74.33, -1 
DUK, 03/04/2016, 73.77, 75.54, 73.63, 75.14, -1 
DUK, 03/07/2016, 75.0, 76.25, 74.73, 76.25, -1 
DUK, 03/08/2016, 76.11, 77.3, 75.9, 77.26, -1 
DUK, 03/09/2016, 76.9, 77.81, 76.62, 77.49, -1 
DUK, 03/10/2016, 76.38, 77.87, 76.38, 77.26, -1 
DUK, 03/11/2016, 77.29, 78.14, 77.29, 77.74, -1 
DUK, 03/14/2016, 77.33, 78.01, 77.2, 77.72, -1 
DUK, 03/15/2016, 77.27, 78.26, 77.25, 78.03, -1 
DUK, 03/16/2016, 77.57, 79.07, 77.08, 78.94, -1 
DUK, 03/17/2016, 78.56, 80.22, 78.56, 79.97, -1 
DUK, 03/18/2016, 79.73, 80.33, 79.42, 79.55, -1 
DUK, 03/21/2016, 78.25, 79.95, 78.25, 79.49, -1 
DUK, 03/22/2016, 79.3, 79.8, 78.84, 78.89, -1 
DUK, 03/23/2016, 78.45, 80.0, 78.38, 79.8, -1 
DUK, 03/24/2016, 79.38, 80.11, 79.32, 79.76, -1 
DUK, 03/28/2016, 79.54, 80.32, 79.3, 79.47, -1 
DUK, 03/29/2016, 79.31, 80.45, 79.05, 80.43, -1 
DUK, 03/30/2016, 80.19, 80.58, 79.78, 80.34, -1 
DUK, 03/31/2016, 80.32, 80.71, 79.81, 80.67, -1 
DUK, 04/01/2016, 80.26, 81.31, 80.26, 81.15, -1 
DUK, 04/04/2016, 80.81, 81.36, 80.39, 81.1, -1 
DUK, 04/05/2016, 80.64, 81.34, 79.77, 79.89, -1 
DUK, 04/06/2016, 79.37, 79.75, 78.66, 79.35, -1 
DUK, 04/07/2016, 79.03, 80.0, 79.03, 79.29, -1 
DUK, 04/08/2016, 79.16, 80.34, 79.16, 79.76, -1 
DUK, 04/11/2016, 79.78, 80.18, 79.4, 79.44, -1 
DUK, 04/12/2016, 79.33, 80.39, 79.33, 80.22, -1 
DUK, 04/13/2016, 80.02, 80.27, 79.13, 79.62, -1 
DUK, 04/14/2016, 79.17, 79.74, 79.04, 79.41, -1 
DUK, 04/15/2016, 79.2, 80.17, 79.2, 79.99, -1 
DUK, 04/18/2016, 79.45, 80.4, 79.45, 80.39, -1 
DUK, 04/19/2016, 80.42, 80.58, 79.31, 79.78, -1 
DUK, 04/20/2016, 79.39, 80.25, 78.13, 78.19, -1 
DUK, 04/21/2016, 78.12, 78.19, 76.2, 76.31, -1 
DUK, 04/22/2016, 76.19, 77.12, 76.19, 77.01, -1 
DUK, 04/25/2016, 76.64, 77.14, 76.42, 76.74, -1 
DUK, 04/26/2016, 76.82, 77.2, 76.5, 76.94, -1 
DUK, 04/27/2016, 76.61, 78.56, 76.61, 78.04, -1 
DUK, 04/28/2016, 77.16, 78.43, 77.01, 78.34, -1 
DUK, 04/29/2016, 77.8, 78.84, 77.2, 78.77, -1 
DUK, 05/02/2016, 78.45, 79.63, 78.45, 78.95, -1 
DUK, 05/03/2016, 77.52, 79.57, 77.52, 78.82, -1 
DUK, 05/04/2016, 78.51, 80.6, 78.5, 80.0, -1 
DUK, 05/05/2016, 79.47, 80.72, 79.47, 80.17, -1 
DUK, 05/06/2016, 79.67, 80.08, 78.36, 79.38, -1 
DUK, 05/09/2016, 79.03, 80.42, 79.03, 80.07, -1 
DUK, 05/10/2016, 79.83, 80.48, 79.8, 80.06, -1 
DUK, 05/11/2016, 79.86, 80.49, 79.55, 80.48, -1 
DUK, 05/12/2016, 79.94, 81.27, 79.9, 81.09, -1 
DUK, 05/13/2016, 80.55, 81.14, 80.25, 80.76, -1 
DUK, 05/16/2016, 80.38, 81.0, 80.1, 80.99, -1 
DUK, 05/17/2016, 80.51, 80.87, 79.05, 79.49, -1 
DUK, 05/18/2016, 78.17, 78.46, 76.36, 76.56, -1 
DUK, 05/19/2016, 76.16, 77.0, 75.7, 76.97, -1 
DUK, 05/20/2016, 76.8, 77.22, 76.44, 76.98, -1 
DUK, 05/23/2016, 76.63, 77.05, 76.08, 76.16, -1 
DUK, 05/24/2016, 76.11, 77.08, 76.11, 76.99, -1 
DUK, 05/25/2016, 76.95, 77.11, 76.3, 76.93, -1 
DUK, 05/26/2016, 76.89, 78.0, 76.89, 77.95, -1 
DUK, 05/27/2016, 77.35, 78.13, 77.35, 77.97, -1 
DUK, 05/31/2016, 77.55, 78.37, 77.55, 78.23, -1 
DUK, 06/01/2016, 77.83, 79.02, 77.83, 78.99, -1 
DUK, 06/02/2016, 78.63, 79.01, 77.96, 78.92, -1 
DUK, 06/03/2016, 79.28, 80.46, 79.28, 80.06, -1 
DUK, 06/06/2016, 79.6, 80.43, 79.56, 79.86, -1 
