Symbol, Date, Open, High, Low, Close, Volume 
DVA, 10/30/2015, 77.46, 78.24, 77.3, 77.49, -1 
DVA, 11/02/2015, 77.29, 78.21, 77.29, 78.15, -1 
DVA, 11/03/2015, 74.0, 78.49, 74.0, 77.58, -1 
DVA, 11/04/2015, 70.76, 78.8, 70.75, 77.45, -1 
DVA, 11/05/2015, 77.07, 77.87, 76.91, 77.75, -1 
DVA, 11/06/2015, 77.15, 77.67, 77.15, 77.28, -1 
DVA, 11/09/2015, 76.51, 77.21, 75.36, 75.59, -1 
DVA, 11/10/2015, 74.97, 76.29, 74.97, 76.12, -1 
DVA, 11/11/2015, 75.88, 76.41, 74.86, 74.94, -1 
DVA, 11/12/2015, 74.13, 74.71, 73.23, 73.24, -1 
DVA, 11/13/2015, 72.73, 73.54, 72.5, 72.58, -1 
DVA, 11/16/2015, 72.15, 73.53, 72.15, 73.49, -1 
DVA, 11/17/2015, 72.15, 73.78, 72.15, 73.14, -1 
DVA, 11/18/2015, 71.42, 74.09, 71.42, 73.99, -1 
DVA, 11/19/2015, 70.85, 73.71, 70.85, 73.17, -1 
DVA, 11/20/2015, 72.83, 73.64, 72.83, 73.51, -1 
DVA, 11/23/2015, 73.13, 73.97, 73.13, 73.4, -1 
DVA, 11/24/2015, 72.69, 73.7, 72.62, 73.52, -1 
DVA, 11/25/2015, 73.17, 73.9, 73.14, 73.74, -1 
DVA, 11/27/2015, 73.52, 74.39, 73.5, 74.29, -1 
DVA, 11/30/2015, 74.37, 74.82, 72.96, 73.03, -1 
DVA, 12/01/2015, 72.96, 73.91, 72.96, 73.49, -1 
DVA, 12/02/2015, 73.23, 73.68, 72.64, 72.76, -1 
DVA, 12/03/2015, 72.58, 73.0, 71.31, 71.67, -1 
DVA, 12/04/2015, 71.49, 72.7, 71.46, 72.19, -1 
DVA, 12/07/2015, 71.88, 72.26, 71.38, 71.55, -1 
DVA, 12/08/2015, 70.71, 71.57, 70.71, 71.36, -1 
DVA, 12/09/2015, 70.69, 71.94, 70.6, 70.85, -1 
DVA, 12/10/2015, 70.43, 71.28, 70.43, 70.98, -1 
DVA, 12/11/2015, 70.29, 70.59, 69.52, 69.7, -1 
DVA, 12/14/2015, 69.61, 70.0, 67.33, 68.05, -1 
DVA, 12/15/2015, 68.23, 68.85, 67.92, 68.01, -1 
DVA, 12/16/2015, 67.93, 68.35, 67.63, 68.12, -1 
DVA, 12/17/2015, 68.0, 68.81, 68.0, 68.11, -1 
DVA, 12/18/2015, 67.7, 68.1, 67.7, 67.79, -1 
DVA, 12/21/2015, 66.74, 69.55, 66.74, 69.1, -1 
DVA, 12/22/2015, 68.14, 69.78, 68.14, 69.55, -1 
DVA, 12/23/2015, 69.49, 70.46, 69.49, 70.28, -1 
DVA, 12/24/2015, 69.98, 70.47, 69.98, 70.14, -1 
DVA, 12/28/2015, 69.75, 70.26, 69.75, 70.21, -1 
DVA, 12/29/2015, 70.03, 70.85, 70.03, 70.6, -1 
DVA, 12/30/2015, 70.25, 70.58, 69.96, 70.02, -1 
DVA, 12/31/2015, 69.58, 70.29, 69.53, 69.69, -1 
DVA, 01/04/2016, 68.54, 68.87, 68.28, 68.67, -1 
DVA, 01/05/2016, 68.27, 69.52, 68.27, 69.11, -1 
DVA, 01/06/2016, 67.88, 69.17, 67.88, 68.36, -1 
DVA, 01/07/2016, 67.19, 68.1, 67.19, 67.61, -1 
DVA, 01/08/2016, 67.47, 68.58, 67.47, 67.63, -1 
DVA, 01/11/2016, 67.55, 68.29, 66.66, 67.22, -1 
DVA, 01/12/2016, 67.36, 68.42, 66.61, 67.45, -1 
DVA, 01/13/2016, 67.42, 67.73, 65.93, 66.13, -1 
DVA, 01/14/2016, 65.97, 67.83, 65.76, 67.45, -1 
DVA, 01/15/2016, 65.62, 66.86, 65.62, 66.45, -1 
DVA, 01/19/2016, 66.64, 67.05, 64.9, 65.72, -1 
DVA, 01/20/2016, 64.59, 65.87, 63.38, 65.4, -1 
DVA, 01/21/2016, 65.3, 65.95, 64.69, 65.19, -1 
DVA, 01/22/2016, 62.97, 67.04, 62.97, 66.87, -1 
DVA, 01/25/2016, 63.73, 67.02, 63.73, 65.96, -1 
DVA, 01/26/2016, 65.87, 66.63, 65.7, 66.51, -1 
DVA, 01/27/2016, 66.0, 66.95, 65.14, 65.69, -1 
DVA, 01/28/2016, 65.85, 66.44, 64.3, 64.42, -1 
DVA, 01/29/2016, 64.41, 67.11, 64.41, 67.11, -1 
DVA, 02/01/2016, 66.43, 67.5, 66.43, 67.4, -1 
DVA, 02/02/2016, 66.55, 67.1, 65.89, 66.25, -1 
DVA, 02/03/2016, 66.28, 66.5, 64.51, 65.42, -1 
