Symbol, Date, Open, High, Low, Close, Volume 
EMN, 10/30/2015, 69.79, 72.67, 69.78, 72.15, -1 
EMN, 11/02/2015, 68.02, 72.73, 68.01, 72.21, -1 
EMN, 11/03/2015, 68.02, 73.26, 68.01, 72.69, -1 
EMN, 11/04/2015, 68.69, 73.07, 67.93, 71.27, -1 
EMN, 11/05/2015, 68.02, 71.35, 68.01, 70.67, -1 
EMN, 11/06/2015, 68.02, 71.19, 68.02, 71.08, -1 
EMN, 11/09/2015, 70.51, 71.07, 68.97, 69.26, -1 
EMN, 11/10/2015, 68.74, 69.5, 67.8, 68.61, -1 
EMN, 11/11/2015, 68.31, 68.82, 66.82, 67.41, -1 
EMN, 11/12/2015, 65.54, 67.83, 65.5, 67.41, -1 
EMN, 11/13/2015, 67.04, 68.92, 66.92, 68.6, -1 
EMN, 11/16/2015, 68.25, 69.65, 68.25, 69.61, -1 
EMN, 11/17/2015, 65.54, 70.54, 65.5, 69.58, -1 
EMN, 11/18/2015, 63.6, 71.69, 63.6, 71.61, -1 
EMN, 11/19/2015, 71.16, 72.08, 70.53, 70.89, -1 
EMN, 11/20/2015, 71.06, 71.59, 70.75, 71.2, -1 
EMN, 11/23/2015, 70.56, 71.83, 70.5, 71.39, -1 
EMN, 11/24/2015, 70.56, 72.36, 70.5, 72.17, -1 
EMN, 11/25/2015, 70.56, 72.19, 70.56, 70.91, -1 
EMN, 11/27/2015, 70.56, 71.67, 70.5, 71.27, -1 
EMN, 11/30/2015, 71.15, 72.72, 71.02, 72.65, -1 
EMN, 12/01/2015, 70.56, 72.95, 70.56, 72.53, -1 
EMN, 12/02/2015, 70.58, 72.84, 70.5, 71.77, -1 
EMN, 12/03/2015, 71.62, 72.46, 70.94, 71.13, -1 
EMN, 12/04/2015, 68.94, 73.71, 68.94, 73.31, -1 
EMN, 12/07/2015, 68.91, 72.68, 68.9, 70.89, -1 
EMN, 12/08/2015, 68.97, 70.51, 68.76, 68.95, -1 
EMN, 12/09/2015, 67.45, 71.39, 67.45, 70.91, -1 
EMN, 12/10/2015, 66.25, 70.41, 65.59, 69.39, -1 
EMN, 12/11/2015, 65.78, 69.18, 65.75, 67.47, -1 
EMN, 12/14/2015, 65.64, 67.51, 65.59, 66.71, -1 
EMN, 12/15/2015, 67.13, 67.91, 66.6, 67.21, -1 
EMN, 12/16/2015, 67.2, 68.53, 66.95, 68.51, -1 
EMN, 12/17/2015, 64.65, 68.45, 64.65, 66.78, -1 
EMN, 12/18/2015, 66.17, 67.89, 66.14, 66.56, -1 
EMN, 12/21/2015, 65.0, 67.71, 65.0, 66.74, -1 
EMN, 12/22/2015, 66.7, 68.15, 66.5, 67.49, -1 
EMN, 12/23/2015, 65.11, 69.27, 65.11, 69.24, -1 
EMN, 12/24/2015, 68.75, 69.4, 68.71, 68.89, -1 
EMN, 12/28/2015, 67.27, 68.4, 67.27, 68.2, -1 
EMN, 12/29/2015, 68.34, 69.38, 68.34, 69.05, -1 
EMN, 12/30/2015, 65.55, 68.7, 65.55, 67.77, -1 
EMN, 12/31/2015, 67.26, 68.25, 67.21, 67.49, -1 
EMN, 01/04/2016, 65.98, 66.64, 65.12, 66.63, -1 
EMN, 01/05/2016, 67.04, 67.6, 66.07, 67.12, -1 
EMN, 01/06/2016, 64.1, 66.7, 64.1, 65.82, -1 
EMN, 01/07/2016, 57.9, 65.69, 57.9, 64.76, -1 
EMN, 01/08/2016, 64.93, 65.68, 63.45, 63.65, -1 
EMN, 01/11/2016, 63.84, 64.13, 61.72, 62.24, -1 
EMN, 01/12/2016, 62.6, 63.44, 61.42, 63.02, -1 
EMN, 01/13/2016, 62.82, 63.9, 62.31, 62.7, -1 
EMN, 01/14/2016, 62.74, 64.24, 62.12, 63.95, -1 
EMN, 01/15/2016, 61.41, 62.8, 60.68, 61.71, -1 
EMN, 01/19/2016, 61.24, 62.74, 60.29, 61.19, -1 
EMN, 01/20/2016, 59.71, 61.39, 58.83, 60.78, -1 
EMN, 01/21/2016, 58.98, 62.47, 58.98, 61.22, -1 
EMN, 01/22/2016, 62.13, 63.92, 61.98, 62.55, -1 
EMN, 01/25/2016, 60.95, 62.6, 60.63, 60.75, -1 
EMN, 01/26/2016, 59.02, 62.72, 59.02, 62.68, -1 
EMN, 01/27/2016, 60.12, 63.19, 60.12, 61.99, -1 
EMN, 01/28/2016, 62.46, 63.76, 62.38, 63.01, -1 
EMN, 01/29/2016, 57.01, 61.42, 56.02, 61.2, -1 
EMN, 02/01/2016, 56.44, 61.37, 56.44, 60.45, -1 
EMN, 02/02/2016, 58.45, 59.39, 58.13, 58.73, -1 
EMN, 02/03/2016, 57.53, 61.51, 57.53, 61.29, -1 
EMN, 02/04/2016, 61.08, 62.42, 61.02, 61.36, -1 
EMN, 02/05/2016, 58.32, 62.06, 58.28, 60.39, -1 
EMN, 02/08/2016, 57.61, 60.17, 57.36, 58.77, -1 
EMN, 02/09/2016, 57.0, 59.05, 57.0, 58.42, -1 
EMN, 02/10/2016, 55.97, 59.74, 55.97, 58.69, -1 
EMN, 02/11/2016, 51.35, 58.81, 51.35, 58.42, -1 
EMN, 02/12/2016, 57.38, 60.79, 57.38, 60.65, -1 
EMN, 02/16/2016, 61.13, 62.39, 60.59, 62.35, -1 
EMN, 02/17/2016, 62.64, 64.38, 62.64, 63.86, -1 
EMN, 02/18/2016, 63.82, 63.86, 62.5, 63.46, -1 
EMN, 02/19/2016, 55.32, 63.02, 55.32, 62.4, -1 
EMN, 02/22/2016, 62.83, 64.54, 62.83, 64.52, -1 
EMN, 02/23/2016, 55.69, 64.45, 55.69, 62.91, -1 
EMN, 02/24/2016, 61.83, 63.9, 61.46, 63.86, -1 
EMN, 02/25/2016, 63.64, 64.55, 63.0, 64.54, -1 
EMN, 02/26/2016, 64.53, 65.75, 64.52, 65.15, -1 
EMN, 02/29/2016, 64.95, 65.75, 64.13, 64.14, -1 
EMN, 03/01/2016, 64.4, 66.72, 64.4, 66.46, -1 
EMN, 03/02/2016, 65.42, 67.42, 65.38, 67.32, -1 
EMN, 03/03/2016, 67.01, 68.59, 67.0, 68.49, -1 
EMN, 03/04/2016, 68.2, 70.21, 68.12, 69.67, -1 
EMN, 03/07/2016, 69.09, 70.62, 69.03, 70.4, -1 
EMN, 03/08/2016, 60.56, 69.87, 60.24, 68.88, -1 
EMN, 03/09/2016, 68.98, 70.38, 68.93, 70.35, -1 
EMN, 03/10/2016, 64.13, 70.41, 64.13, 69.38, -1 
EMN, 03/11/2016, 65.1, 71.53, 65.1, 71.4, -1 
