Symbol, Date, Open, High, Low, Close, Volume 
EQIX, 10/30/2015, 287.01, 298.25, 287.0, 296.53, -1 
EQIX, 11/02/2015, 288.61, 304.45, 288.61, 303.57, -1 
EQIX, 11/03/2015, 296.6, 302.47, 296.6, 299.17, -1 
EQIX, 11/04/2015, 297.31, 300.51, 292.92, 295.92, -1 
EQIX, 11/05/2015, 294.82, 296.92, 291.22, 295.8, -1 
EQIX, 11/06/2015, 280.57, 296.45, 280.57, 290.21, -1 
EQIX, 11/09/2015, 288.06, 292.56, 286.67, 292.2, -1 
EQIX, 11/10/2015, 288.6, 297.54, 288.6, 297.49, -1 
EQIX, 11/11/2015, 298.01, 301.5, 293.04, 296.87, -1 
EQIX, 11/12/2015, 293.92, 297.85, 293.92, 294.73, -1 
EQIX, 11/13/2015, 294.08, 295.78, 290.12, 291.06, -1 
EQIX, 11/16/2015, 270.0, 295.4, 270.0, 295.25, -1 
EQIX, 11/17/2015, 291.74, 302.4, 291.74, 298.86, -1 
EQIX, 11/18/2015, 295.6, 298.09, 287.35, 293.09, -1 
EQIX, 11/19/2015, 287.75, 288.31, 282.8, 286.06, -1 
EQIX, 11/20/2015, 283.12, 298.37, 283.12, 298.19, -1 
EQIX, 11/23/2015, 289.75, 300.73, 289.75, 297.55, -1 
EQIX, 11/24/2015, 292.83, 297.39, 292.83, 293.21, -1 
EQIX, 11/25/2015, 290.0, 296.25, 290.0, 295.1, -1 
EQIX, 11/27/2015, 293.06, 298.18, 293.06, 297.63, -1 
EQIX, 11/30/2015, 297.43, 298.58, 292.72, 296.49, -1 
EQIX, 12/01/2015, 296.5, 300.71, 295.39, 300.48, -1 
EQIX, 12/02/2015, 292.02, 303.0, 292.02, 299.66, -1 
EQIX, 12/03/2015, 296.25, 299.63, 293.82, 295.26, -1 
EQIX, 12/04/2015, 296.16, 301.66, 290.82, 300.92, -1 
EQIX, 12/07/2015, 288.32, 301.56, 288.32, 297.58, -1 
EQIX, 12/08/2015, 293.55, 301.01, 293.55, 298.1, -1 
EQIX, 12/09/2015, 288.31, 300.53, 288.31, 298.26, -1 
EQIX, 12/10/2015, 290.47, 298.67, 288.31, 295.64, -1 
EQIX, 12/11/2015, 288.31, 295.16, 287.26, 289.57, -1 
EQIX, 12/14/2015, 284.04, 294.31, 279.43, 293.37, -1 
EQIX, 12/15/2015, 294.12, 295.0, 289.81, 290.02, -1 
EQIX, 12/16/2015, 280.6, 296.43, 280.6, 295.35, -1 
EQIX, 12/17/2015, 294.03, 296.88, 292.35, 293.33, -1 
EQIX, 12/18/2015, 274.79, 294.37, 274.78, 289.31, -1 
EQIX, 12/21/2015, 288.8, 296.08, 288.8, 295.73, -1 
EQIX, 12/22/2015, 295.34, 298.46, 292.59, 296.93, -1 
EQIX, 12/23/2015, 281.77, 297.41, 281.77, 297.17, -1 
EQIX, 12/24/2015, 282.96, 298.32, 282.96, 297.09, -1 
EQIX, 12/28/2015, 268.32, 301.52, 268.31, 300.91, -1 
EQIX, 12/29/2015, 285.58, 304.86, 285.58, 304.6, -1 
EQIX, 12/30/2015, 273.08, 304.73, 273.08, 302.69, -1 
EQIX, 12/31/2015, 301.89, 304.28, 299.56, 302.39, -1 
EQIX, 01/04/2016, 296.74, 300.47, 293.16, 295.92, -1 
EQIX, 01/05/2016, 297.03, 304.42, 293.22, 303.16, -1 
EQIX, 01/06/2016, 286.79, 310.16, 280.09, 309.16, -1 
EQIX, 01/07/2016, 295.2, 306.52, 295.2, 303.29, -1 
EQIX, 01/08/2016, 299.33, 312.1, 299.33, 309.79, -1 
EQIX, 01/11/2016, 299.62, 318.15, 299.61, 312.88, -1 
EQIX, 01/12/2016, 295.68, 315.99, 295.68, 314.92, -1 
EQIX, 01/13/2016, 301.44, 316.2, 301.44, 305.52, -1 
EQIX, 01/14/2016, 305.69, 315.23, 297.07, 310.99, -1 
EQIX, 01/15/2016, 304.0, 309.28, 299.05, 303.13, -1 
EQIX, 01/19/2016, 299.52, 308.22, 289.72, 294.97, -1 
EQIX, 01/20/2016, 289.78, 297.14, 281.85, 294.17, -1 
EQIX, 01/21/2016, 286.01, 295.36, 286.01, 289.61, -1 
EQIX, 01/22/2016, 286.56, 298.36, 286.56, 296.88, -1 
EQIX, 01/25/2016, 281.16, 306.3, 281.16, 299.9, -1 
EQIX, 01/26/2016, 301.18, 305.93, 299.45, 303.47, -1 
EQIX, 01/27/2016, 283.68, 305.69, 283.68, 299.41, -1 
EQIX, 01/28/2016, 301.09, 302.92, 295.41, 300.03, -1 
EQIX, 01/29/2016, 296.0, 310.36, 296.0, 310.12, -1 
EQIX, 02/01/2016, 296.12, 315.66, 296.12, 311.3, -1 
EQIX, 02/02/2016, 296.0, 313.66, 296.0, 312.57, -1 
EQIX, 02/03/2016, 313.01, 313.17, 304.33, 309.44, -1 
EQIX, 02/04/2016, 312.16, 313.32, 305.34, 308.45, -1 
EQIX, 02/05/2016, 302.0, 306.94, 288.07, 288.23, -1 
EQIX, 02/08/2016, 285.0, 285.75, 261.71, 268.81, -1 
EQIX, 02/09/2016, 266.4, 269.91, 255.45, 264.96, -1 
EQIX, 02/10/2016, 263.52, 278.27, 263.52, 273.31, -1 
EQIX, 02/11/2016, 265.01, 278.89, 265.01, 274.93, -1 
EQIX, 02/12/2016, 276.89, 285.07, 276.26, 284.79, -1 
EQIX, 02/16/2016, 282.0, 291.5, 282.0, 291.17, -1 
EQIX, 02/17/2016, 288.13, 294.95, 285.95, 290.56, -1 
EQIX, 02/18/2016, 284.76, 293.35, 284.76, 290.26, -1 
EQIX, 02/19/2016, 285.0, 303.87, 282.54, 299.08, -1 
EQIX, 02/22/2016, 290.5, 304.7, 290.48, 299.66, -1 
EQIX, 02/23/2016, 282.83, 298.85, 282.83, 291.94, -1 
EQIX, 02/24/2016, 280.0, 296.31, 280.0, 294.86, -1 
EQIX, 02/25/2016, 288.0, 307.59, 288.0, 307.36, -1 
EQIX, 02/26/2016, 300.0, 314.82, 300.0, 306.75, -1 
EQIX, 02/29/2016, 299.26, 307.34, 299.26, 303.58, -1 
EQIX, 03/01/2016, 302.01, 308.4, 302.01, 308.28, -1 
EQIX, 03/02/2016, 302.15, 307.47, 299.3, 303.75, -1 
EQIX, 03/03/2016, 298.24, 310.7, 298.24, 310.5, -1 
EQIX, 03/04/2016, 303.51, 311.06, 303.09, 309.62, -1 
