Symbol, Date, Open, High, Low, Close, Volume 
EQR, 10/30/2015, 77.78, 78.15, 77.03, 77.31, -1 
EQR, 11/02/2015, 76.51, 80.07, 76.51, 80.04, -1 
EQR, 11/03/2015, 79.47, 79.83, 78.61, 79.44, -1 
EQR, 11/04/2015, 79.1, 79.79, 78.75, 79.13, -1 
EQR, 11/05/2015, 78.88, 79.2, 78.26, 79.16, -1 
EQR, 11/06/2015, 77.5, 77.9, 76.11, 76.89, -1 
EQR, 11/09/2015, 75.23, 76.55, 75.23, 76.17, -1 
EQR, 11/10/2015, 71.99, 78.08, 71.4, 77.57, -1 
EQR, 11/11/2015, 77.31, 78.87, 77.31, 78.37, -1 
EQR, 11/12/2015, 77.63, 78.59, 77.6, 77.71, -1 
EQR, 11/13/2015, 74.61, 78.16, 74.6, 77.3, -1 
EQR, 11/16/2015, 74.05, 78.27, 74.04, 78.26, -1 
EQR, 11/17/2015, 78.02, 79.3, 78.02, 78.66, -1 
EQR, 11/18/2015, 78.28, 78.94, 77.53, 78.71, -1 
EQR, 11/19/2015, 78.41, 79.78, 78.41, 79.11, -1 
EQR, 11/20/2015, 79.19, 79.94, 79.17, 79.64, -1 
EQR, 11/23/2015, 79.6, 80.47, 79.29, 79.76, -1 
EQR, 11/24/2015, 78.95, 79.34, 78.13, 79.08, -1 
EQR, 11/25/2015, 78.82, 80.24, 78.82, 79.85, -1 
EQR, 11/27/2015, 79.31, 81.04, 79.31, 80.61, -1 
EQR, 11/30/2015, 80.3, 81.58, 79.42, 79.81, -1 
EQR, 12/01/2015, 79.77, 81.15, 79.76, 81.11, -1 
EQR, 12/02/2015, 78.04, 81.48, 78.04, 79.93, -1 
EQR, 12/03/2015, 75.62, 79.87, 75.24, 77.64, -1 
EQR, 12/04/2015, 77.37, 79.94, 77.37, 79.63, -1 
EQR, 12/07/2015, 79.25, 79.97, 78.82, 79.13, -1 
EQR, 12/08/2015, 75.6, 79.68, 75.59, 78.65, -1 
EQR, 12/09/2015, 77.86, 78.65, 77.15, 77.57, -1 
EQR, 12/10/2015, 77.05, 77.99, 76.97, 77.21, -1 
EQR, 12/11/2015, 76.65, 78.3, 76.59, 77.52, -1 
EQR, 12/14/2015, 74.3, 78.27, 74.3, 78.18, -1 
EQR, 12/15/2015, 78.22, 79.94, 78.22, 79.33, -1 
EQR, 12/16/2015, 79.38, 81.08, 79.36, 80.81, -1 
EQR, 12/17/2015, 80.42, 80.8, 80.1, 80.57, -1 
EQR, 12/18/2015, 79.92, 80.71, 79.79, 79.9, -1 
EQR, 12/21/2015, 79.88, 80.9, 79.67, 80.1, -1 
EQR, 12/22/2015, 80.24, 81.25, 79.78, 80.04, -1 
EQR, 12/23/2015, 75.79, 80.89, 75.48, 80.76, -1 
