Symbol, Date, Open, High, Low, Close, Volume 
ESV, 10/30/2015, 15.92, 16.89, 15.79, 16.62, -1 
ESV, 11/02/2015, 16.41, 17.99, 16.38, 17.95, -1 
ESV, 11/03/2015, 17.55, 18.91, 17.55, 18.24, -1 
ESV, 11/04/2015, 18.18, 18.5, 17.95, 18.33, -1 
ESV, 11/05/2015, 18.05, 18.55, 17.81, 18.3, -1 
ESV, 11/06/2015, 18.05, 18.57, 17.83, 18.05, -1 
ESV, 11/09/2015, 17.94, 18.59, 17.79, 18.29, -1 
ESV, 11/10/2015, 17.85, 18.68, 17.85, 18.29, -1 
ESV, 11/11/2015, 18.02, 18.38, 17.09, 17.39, -1 
ESV, 11/12/2015, 16.32, 17.47, 16.32, 17.02, -1 
ESV, 11/13/2015, 16.86, 17.63, 16.86, 17.5, -1 
ESV, 11/16/2015, 17.36, 17.91, 17.27, 17.75, -1 
ESV, 11/17/2015, 17.41, 17.8, 17.16, 17.2, -1 
ESV, 11/18/2015, 16.38, 18.31, 16.38, 17.91, -1 
ESV, 11/19/2015, 16.29, 17.9, 16.29, 17.2, -1 
ESV, 11/20/2015, 17.14, 17.44, 16.7, 16.82, -1 
ESV, 11/23/2015, 16.74, 17.11, 16.55, 16.93, -1 
ESV, 11/24/2015, 17.11, 17.74, 16.93, 17.26, -1 
ESV, 11/25/2015, 16.31, 17.46, 16.27, 17.36, -1 
ESV, 11/27/2015, 16.74, 17.39, 16.63, 16.73, -1 
ESV, 11/30/2015, 16.31, 17.42, 16.31, 17.11, -1 
ESV, 12/01/2015, 16.82, 17.51, 16.82, 17.24, -1 
ESV, 12/02/2015, 17.01, 17.39, 16.28, 16.34, -1 
ESV, 12/03/2015, 16.3, 16.9, 16.3, 16.55, -1 
ESV, 12/04/2015, 15.95, 16.37, 15.56, 15.8, -1 
ESV, 12/07/2015, 15.11, 15.56, 15.0, 15.54, -1 
ESV, 12/08/2015, 14.89, 15.63, 14.89, 15.16, -1 
ESV, 12/09/2015, 15.22, 15.55, 14.5, 14.86, -1 
ESV, 12/10/2015, 14.6, 15.26, 14.6, 15.07, -1 
ESV, 12/11/2015, 14.72, 15.15, 14.52, 14.96, -1 
ESV, 12/14/2015, 14.28, 15.28, 14.28, 15.19, -1 
ESV, 12/15/2015, 15.31, 16.56, 15.24, 16.41, -1 
ESV, 12/16/2015, 15.78, 16.53, 15.78, 16.01, -1 
ESV, 12/17/2015, 15.02, 16.06, 15.02, 15.39, -1 
ESV, 12/18/2015, 15.24, 15.33, 14.17, 14.3, -1 
ESV, 12/21/2015, 13.89, 14.76, 13.89, 14.39, -1 
ESV, 12/22/2015, 14.35, 15.4, 14.35, 15.31, -1 
ESV, 12/23/2015, 15.39, 16.46, 15.39, 16.41, -1 
ESV, 12/24/2015, 16.33, 16.48, 15.89, 15.97, -1 
ESV, 12/28/2015, 15.36, 15.62, 14.89, 14.96, -1 
ESV, 12/29/2015, 15.31, 15.57, 14.98, 15.27, -1 
ESV, 12/30/2015, 14.55, 15.41, 14.55, 14.89, -1 
ESV, 12/31/2015, 14.74, 15.45, 14.74, 15.38, -1 
ESV, 01/04/2016, 15.19, 16.09, 15.06, 15.89, -1 
ESV, 01/05/2016, 15.4, 15.73, 14.77, 14.9, -1 
ESV, 01/06/2016, 14.21, 14.29, 12.59, 13.49, -1 
ESV, 01/07/2016, 12.82, 13.18, 12.59, 13.0, -1 
ESV, 01/08/2016, 13.0, 13.13, 12.58, 12.78, -1 
ESV, 01/11/2016, 12.68, 12.81, 11.42, 11.76, -1 
ESV, 01/12/2016, 11.84, 12.07, 10.72, 11.33, -1 
ESV, 01/13/2016, 11.54, 11.8, 10.59, 10.62, -1 
ESV, 01/14/2016, 10.52, 11.2, 10.26, 11.01, -1 
ESV, 01/15/2016, 10.29, 10.53, 9.88, 10.3, -1 
ESV, 01/19/2016, 10.18, 10.27, 9.23, 9.41, -1 
ESV, 01/20/2016, 8.75, 9.97, 8.75, 9.85, -1 
ESV, 01/21/2016, 9.45, 10.41, 9.45, 9.97, -1 
ESV, 01/22/2016, 10.3, 10.56, 8.97, 9.56, -1 
ESV, 01/25/2016, 9.2, 9.51, 8.81, 8.85, -1 
ESV, 01/26/2016, 9.02, 9.39, 8.76, 9.17, -1 
ESV, 01/27/2016, 9.0, 9.35, 8.84, 8.98, -1 
