Symbol, Date, Open, High, Low, Close, Volume 
ES, 10/30/2015, 50.46, 51.17, 50.46, 50.93, -1 
ES, 11/02/2015, 50.71, 51.11, 50.48, 50.9, -1 
ES, 11/03/2015, 46.01, 51.53, 46.0, 51.45, -1 
ES, 11/04/2015, 51.19, 51.96, 51.19, 51.59, -1 
ES, 11/05/2015, 51.25, 51.82, 51.24, 51.49, -1 
ES, 11/06/2015, 50.54, 50.7, 48.84, 49.02, -1 
ES, 11/09/2015, 48.11, 49.42, 48.11, 49.34, -1 
ES, 11/10/2015, 48.94, 50.44, 48.94, 50.37, -1 
ES, 11/11/2015, 48.02, 51.14, 48.0, 51.05, -1 
ES, 11/12/2015, 48.05, 51.37, 48.03, 50.23, -1 
ES, 11/13/2015, 49.24, 50.73, 49.24, 49.82, -1 
ES, 11/16/2015, 49.49, 51.01, 49.49, 50.97, -1 
ES, 11/17/2015, 49.05, 51.21, 49.03, 49.65, -1 
ES, 11/18/2015, 49.42, 50.67, 49.4, 50.58, -1 
ES, 11/19/2015, 49.05, 51.29, 49.04, 51.04, -1 
ES, 11/20/2015, 50.97, 51.9, 50.97, 51.42, -1 
ES, 11/23/2015, 51.16, 51.61, 50.97, 51.12, -1 
ES, 11/24/2015, 50.59, 50.89, 50.38, 50.64, -1 
ES, 11/25/2015, 50.45, 50.58, 50.2, 50.37, -1 
ES, 11/27/2015, 50.06, 50.84, 50.06, 50.52, -1 
ES, 11/30/2015, 50.29, 51.54, 50.29, 50.95, -1 
ES, 12/01/2015, 49.14, 51.17, 49.12, 50.76, -1 
ES, 12/02/2015, 50.24, 50.63, 49.65, 49.71, -1 
ES, 12/03/2015, 49.06, 49.72, 49.06, 49.33, -1 
ES, 12/04/2015, 49.1, 50.66, 49.1, 50.61, -1 
ES, 12/07/2015, 49.06, 51.19, 49.04, 51.17, -1 
ES, 12/08/2015, 50.54, 51.29, 50.54, 51.12, -1 
ES, 12/09/2015, 50.65, 51.68, 50.65, 50.84, -1 
ES, 12/10/2015, 49.06, 50.34, 48.73, 48.84, -1 
ES, 12/11/2015, 48.41, 49.32, 48.11, 48.9, -1 
ES, 12/14/2015, 47.06, 49.21, 47.06, 49.17, -1 
ES, 12/15/2015, 49.23, 50.02, 49.19, 49.71, -1 
ES, 12/16/2015, 49.46, 51.3, 49.46, 51.16, -1 
ES, 12/17/2015, 50.86, 51.91, 50.86, 51.7, -1 
ES, 12/18/2015, 51.17, 51.55, 50.39, 50.42, -1 
ES, 12/21/2015, 49.05, 50.72, 49.05, 50.07, -1 
ES, 12/22/2015, 49.47, 50.83, 49.47, 50.68, -1 
ES, 12/23/2015, 50.64, 51.8, 50.6, 51.64, -1 
ES, 12/24/2015, 50.05, 51.91, 50.05, 51.75, -1 
ES, 12/28/2015, 51.33, 51.86, 51.33, 51.84, -1 
ES, 12/29/2015, 51.77, 52.23, 51.75, 51.9, -1 
ES, 12/30/2015, 51.08, 52.18, 51.08, 51.85, -1 
ES, 12/31/2015, 51.06, 51.77, 50.54, 51.06, -1 
ES, 01/04/2016, 49.04, 50.88, 49.04, 50.87, -1 
ES, 01/05/2016, 50.04, 51.43, 50.0, 51.33, -1 
ES, 01/06/2016, 50.04, 51.65, 50.04, 51.46, -1 
ES, 01/07/2016, 50.07, 51.29, 50.07, 51.13, -1 
ES, 01/08/2016, 50.99, 51.48, 50.71, 50.79, -1 
ES, 01/11/2016, 50.33, 51.31, 50.33, 51.01, -1 
ES, 01/12/2016, 51.0, 51.28, 50.37, 51.11, -1 
ES, 01/13/2016, 50.89, 51.73, 50.89, 51.28, -1 
ES, 01/14/2016, 50.54, 52.22, 50.54, 51.85, -1 
ES, 01/15/2016, 51.07, 51.71, 50.8, 51.38, -1 
ES, 01/19/2016, 51.1, 52.74, 51.1, 52.59, -1 
ES, 01/20/2016, 52.02, 52.53, 50.51, 51.15, -1 
ES, 01/21/2016, 50.05, 51.39, 50.05, 50.57, -1 
ES, 01/22/2016, 50.05, 51.63, 50.05, 51.57, -1 
ES, 01/25/2016, 51.16, 51.96, 51.16, 51.63, -1 
ES, 01/26/2016, 51.65, 52.68, 51.64, 52.16, -1 
ES, 01/27/2016, 51.44, 52.67, 51.44, 52.33, -1 
ES, 01/28/2016, 52.07, 53.52, 51.75, 53.07, -1 
ES, 01/29/2016, 51.44, 54.12, 51.44, 53.79, -1 
