Symbol, Date, Open, High, Low, Close, Volume 
EXPD, 10/30/2015, 48.01, 50.37, 48.01, 49.77, -1 
EXPD, 11/02/2015, 48.0, 50.85, 48.0, 50.77, -1 
EXPD, 11/03/2015, 49.05, 50.51, 49.05, 49.76, -1 
EXPD, 11/04/2015, 48.84, 49.64, 48.84, 49.07, -1 
EXPD, 11/05/2015, 49.37, 49.61, 48.76, 49.15, -1 
EXPD, 11/06/2015, 48.11, 49.53, 48.11, 49.48, -1 
EXPD, 11/09/2015, 45.17, 49.3, 45.17, 48.95, -1 
EXPD, 11/10/2015, 45.17, 50.17, 45.17, 49.59, -1 
EXPD, 11/11/2015, 48.7, 50.06, 48.7, 49.63, -1 
EXPD, 11/12/2015, 45.18, 49.6, 45.18, 48.64, -1 
EXPD, 11/13/2015, 48.52, 49.0, 47.85, 48.05, -1 
EXPD, 11/16/2015, 45.18, 48.45, 45.18, 48.42, -1 
EXPD, 11/17/2015, 47.43, 49.32, 47.43, 49.03, -1 
EXPD, 11/18/2015, 45.18, 49.53, 45.18, 49.48, -1 
EXPD, 11/19/2015, 45.18, 49.93, 45.18, 49.24, -1 
EXPD, 11/20/2015, 49.33, 49.73, 48.97, 49.16, -1 
EXPD, 11/23/2015, 47.83, 49.43, 47.83, 49.09, -1 
EXPD, 11/24/2015, 48.8, 49.39, 48.8, 49.23, -1 
EXPD, 11/25/2015, 49.26, 49.31, 48.94, 49.16, -1 
EXPD, 11/27/2015, 47.47, 49.79, 47.47, 49.49, -1 
EXPD, 11/30/2015, 47.75, 49.54, 47.75, 48.54, -1 
EXPD, 12/01/2015, 47.69, 49.16, 47.69, 48.89, -1 
EXPD, 12/02/2015, 47.71, 48.58, 47.12, 47.24, -1 
EXPD, 12/03/2015, 46.11, 47.91, 46.11, 46.58, -1 
EXPD, 12/04/2015, 46.59, 47.97, 46.59, 47.82, -1 
EXPD, 12/07/2015, 45.18, 47.85, 45.18, 47.16, -1 
EXPD, 12/08/2015, 45.17, 47.08, 45.17, 46.68, -1 
EXPD, 12/09/2015, 45.18, 47.19, 45.18, 46.29, -1 
EXPD, 12/10/2015, 45.76, 47.41, 45.76, 46.89, -1 
EXPD, 12/11/2015, 45.18, 46.87, 45.18, 46.59, -1 
EXPD, 12/14/2015, 46.69, 46.8, 46.1, 46.75, -1 
