Symbol, Date, Open, High, Low, Close, Volume 
FISV, 10/30/2015, 96.65, 97.33, 96.51, 96.51, -1 
FISV, 11/02/2015, 95.07, 97.07, 95.07, 96.75, -1 
FISV, 11/03/2015, 96.94, 96.94, 95.03, 95.63, -1 
FISV, 11/04/2015, 95.0, 96.43, 95.0, 95.74, -1 
FISV, 11/05/2015, 95.0, 96.3, 95.0, 95.94, -1 
FISV, 11/06/2015, 95.0, 96.23, 95.0, 95.89, -1 
FISV, 11/09/2015, 95.0, 95.79, 94.71, 95.3, -1 
FISV, 11/10/2015, 94.4, 96.42, 94.4, 96.39, -1 
FISV, 11/11/2015, 94.27, 97.11, 94.27, 96.46, -1 
FISV, 11/12/2015, 91.93, 96.31, 91.93, 95.43, -1 
FISV, 11/13/2015, 95.09, 95.53, 94.27, 94.35, -1 
FISV, 11/16/2015, 89.57, 95.59, 89.57, 95.55, -1 
FISV, 11/17/2015, 90.51, 96.24, 90.51, 95.58, -1 
FISV, 11/18/2015, 90.6, 96.19, 90.6, 96.01, -1 
FISV, 11/19/2015, 91.12, 96.99, 91.12, 96.64, -1 
FISV, 11/20/2015, 96.73, 97.41, 96.64, 96.77, -1 
FISV, 11/23/2015, 94.9, 97.22, 94.9, 96.25, -1 
FISV, 11/24/2015, 95.36, 96.14, 94.57, 95.23, -1 
FISV, 11/25/2015, 91.31, 95.68, 91.31, 95.42, -1 
FISV, 11/27/2015, 90.55, 96.11, 90.55, 95.72, -1 
FISV, 11/30/2015, 95.07, 96.29, 94.86, 96.21, -1 
FISV, 12/01/2015, 94.63, 97.67, 94.63, 97.19, -1 
FISV, 12/02/2015, 96.8, 96.97, 95.68, 95.87, -1 
FISV, 12/03/2015, 91.0, 96.19, 91.0, 93.77, -1 
FISV, 12/04/2015, 91.74, 95.45, 91.74, 95.41, -1 
FISV, 12/07/2015, 95.22, 95.43, 93.81, 94.59, -1 
FISV, 12/08/2015, 91.94, 94.86, 91.94, 94.65, -1 
FISV, 12/09/2015, 89.51, 94.9, 89.5, 93.18, -1 
FISV, 12/10/2015, 92.98, 94.2, 92.7, 93.63, -1 
FISV, 12/11/2015, 90.71, 93.15, 90.71, 91.74, -1 
FISV, 12/14/2015, 91.78, 93.49, 91.78, 93.41, -1 
FISV, 12/15/2015, 93.2, 94.43, 93.2, 93.91, -1 
FISV, 12/16/2015, 89.14, 94.87, 89.14, 93.64, -1 
FISV, 12/17/2015, 84.64, 94.24, 84.64, 92.9, -1 
FISV, 12/18/2015, 87.04, 92.5, 87.04, 91.29, -1 
FISV, 12/21/2015, 91.52, 92.37, 91.52, 92.36, -1 
FISV, 12/22/2015, 92.77, 93.14, 91.79, 92.95, -1 
FISV, 12/23/2015, 83.89, 93.55, 83.89, 93.44, -1 
FISV, 12/24/2015, 88.49, 93.41, 88.49, 93.05, -1 
FISV, 12/28/2015, 87.97, 93.15, 87.97, 93.13, -1 
FISV, 12/29/2015, 89.49, 94.67, 89.49, 94.18, -1 
FISV, 12/30/2015, 89.34, 94.32, 89.33, 92.96, -1 
FISV, 12/31/2015, 92.73, 92.88, 91.45, 91.46, -1 
FISV, 01/04/2016, 89.89, 90.43, 88.11, 89.5, -1 
FISV, 01/05/2016, 88.88, 90.17, 88.61, 89.9, -1 
FISV, 01/06/2016, 86.43, 89.58, 86.43, 89.23, -1 
FISV, 01/07/2016, 85.06, 88.68, 85.06, 88.21, -1 
FISV, 01/08/2016, 86.2, 89.01, 86.2, 87.53, -1 
FISV, 01/11/2016, 85.06, 88.35, 85.06, 87.94, -1 
FISV, 01/12/2016, 85.06, 89.45, 85.06, 89.28, -1 
FISV, 01/13/2016, 88.95, 89.48, 86.58, 86.83, -1 
FISV, 01/14/2016, 87.16, 89.81, 86.72, 89.0, -1 
FISV, 01/15/2016, 86.02, 87.93, 86.02, 87.33, -1 
FISV, 01/19/2016, 87.86, 89.45, 87.64, 89.04, -1 
FISV, 01/20/2016, 87.38, 89.6, 86.32, 88.95, -1 
FISV, 01/21/2016, 86.97, 90.51, 86.97, 89.64, -1 
FISV, 01/22/2016, 86.01, 91.83, 86.01, 91.48, -1 
FISV, 01/25/2016, 86.59, 91.47, 86.59, 90.17, -1 
FISV, 01/26/2016, 90.45, 91.83, 90.08, 91.4, -1 
FISV, 01/27/2016, 82.86, 92.21, 82.86, 90.47, -1 
FISV, 01/28/2016, 91.2, 91.61, 90.26, 91.02, -1 
FISV, 01/29/2016, 86.36, 94.63, 86.36, 94.55, -1 
FISV, 02/01/2016, 88.89, 94.92, 88.88, 94.34, -1 
FISV, 02/02/2016, 88.13, 93.84, 87.97, 93.02, -1 
FISV, 02/03/2016, 92.51, 95.16, 92.51, 94.79, -1 
FISV, 02/04/2016, 94.62, 96.56, 94.62, 96.5, -1 
