Symbol, Date, Open, High, Low, Close, Volume 
FIS, 10/30/2015, 72.53, 73.01, 72.38, 72.93, -1 
FIS, 11/02/2015, 65.44, 73.6, 64.84, 73.48, -1 
FIS, 11/03/2015, 65.95, 69.2, 64.05, 64.46, -1 
FIS, 11/04/2015, 64.19, 67.76, 64.19, 65.53, -1 
FIS, 11/05/2015, 64.02, 66.68, 64.02, 66.17, -1 
FIS, 11/06/2015, 65.73, 67.42, 65.69, 67.16, -1 
FIS, 11/09/2015, 66.71, 67.41, 66.04, 66.36, -1 
FIS, 11/10/2015, 65.72, 66.69, 65.72, 66.53, -1 
FIS, 11/11/2015, 65.11, 67.36, 65.11, 67.08, -1 
FIS, 11/12/2015, 66.05, 66.97, 66.01, 66.32, -1 
FIS, 11/13/2015, 65.83, 66.3, 65.08, 65.11, -1 
FIS, 11/16/2015, 64.72, 65.6, 64.72, 65.49, -1 
FIS, 11/17/2015, 65.34, 66.11, 65.3, 65.61, -1 
FIS, 11/18/2015, 65.56, 66.25, 65.49, 66.13, -1 
FIS, 11/19/2015, 65.79, 66.5, 65.75, 66.06, -1 
FIS, 11/20/2015, 65.94, 66.61, 65.92, 66.37, -1 
FIS, 11/23/2015, 66.12, 66.57, 65.37, 65.54, -1 
FIS, 11/24/2015, 64.84, 65.3, 63.94, 64.76, -1 
FIS, 11/25/2015, 64.54, 64.78, 64.12, 64.52, -1 
FIS, 11/27/2015, 64.28, 64.88, 64.24, 64.7, -1 
FIS, 11/30/2015, 64.52, 64.83, 63.57, 63.67, -1 
FIS, 12/01/2015, 57.91, 64.75, 57.25, 64.47, -1 
FIS, 12/02/2015, 64.26, 65.95, 64.15, 64.96, -1 
FIS, 12/03/2015, 64.84, 65.18, 63.61, 64.05, -1 
FIS, 12/04/2015, 63.94, 65.27, 63.94, 65.01, -1 
FIS, 12/07/2015, 64.57, 64.89, 63.12, 63.48, -1 
FIS, 12/08/2015, 62.74, 63.11, 62.28, 63.02, -1 
FIS, 12/09/2015, 62.54, 64.1, 62.49, 63.46, -1 
FIS, 12/10/2015, 63.16, 63.56, 62.77, 62.86, -1 
FIS, 12/11/2015, 59.44, 62.05, 58.93, 61.17, -1 
FIS, 12/14/2015, 58.09, 61.65, 58.09, 61.12, -1 
FIS, 12/15/2015, 61.36, 61.87, 61.06, 61.64, -1 
FIS, 12/16/2015, 61.04, 62.32, 60.82, 62.01, -1 
FIS, 12/17/2015, 61.26, 62.03, 59.74, 59.87, -1 
FIS, 12/18/2015, 59.42, 59.63, 58.48, 58.51, -1 
FIS, 12/21/2015, 58.75, 59.76, 58.61, 59.16, -1 
FIS, 12/22/2015, 59.19, 60.04, 59.19, 59.87, -1 
FIS, 12/23/2015, 59.81, 61.51, 59.81, 61.19, -1 
FIS, 12/24/2015, 57.95, 61.42, 57.95, 61.11, -1 
FIS, 12/28/2015, 60.52, 60.99, 60.26, 60.99, -1 
FIS, 12/29/2015, 60.93, 62.12, 60.93, 61.57, -1 
FIS, 12/30/2015, 58.47, 61.62, 58.43, 60.97, -1 
FIS, 12/31/2015, 57.89, 61.33, 57.89, 60.56, -1 
FIS, 01/04/2016, 59.4, 59.96, 58.92, 59.93, -1 
FIS, 01/05/2016, 59.67, 61.08, 59.67, 60.3, -1 
FIS, 01/06/2016, 59.14, 59.71, 58.9, 59.18, -1 
FIS, 01/07/2016, 58.06, 59.58, 58.05, 59.18, -1 
FIS, 01/08/2016, 59.3, 59.54, 58.03, 58.09, -1 
FIS, 01/11/2016, 58.22, 59.26, 58.05, 58.95, -1 
FIS, 01/12/2016, 59.36, 60.19, 58.94, 60.0, -1 
FIS, 01/13/2016, 60.01, 60.68, 58.92, 59.12, -1 
FIS, 01/14/2016, 59.06, 60.62, 58.91, 60.29, -1 
FIS, 01/15/2016, 58.33, 59.24, 57.62, 58.45, -1 
FIS, 01/19/2016, 58.68, 59.32, 58.28, 58.73, -1 
FIS, 01/20/2016, 57.48, 58.35, 56.78, 57.89, -1 
FIS, 01/21/2016, 57.7, 58.92, 57.64, 58.05, -1 
FIS, 01/22/2016, 58.53, 59.55, 58.53, 59.44, -1 
FIS, 01/25/2016, 58.83, 59.65, 58.75, 58.85, -1 
FIS, 01/26/2016, 58.67, 60.09, 58.67, 60.05, -1 
FIS, 01/27/2016, 59.57, 60.35, 58.42, 58.82, -1 
FIS, 01/28/2016, 58.56, 59.31, 58.05, 58.21, -1 
FIS, 01/29/2016, 58.21, 59.75, 58.17, 59.67, -1 
FIS, 02/01/2016, 59.11, 61.03, 59.09, 60.66, -1 
FIS, 02/02/2016, 59.91, 60.08, 59.28, 59.54, -1 
FIS, 02/03/2016, 59.47, 59.91, 58.85, 59.64, -1 
FIS, 02/04/2016, 59.21, 60.26, 59.21, 60.16, -1 
FIS, 02/05/2016, 59.56, 60.35, 58.28, 58.54, -1 
FIS, 02/08/2016, 52.96, 57.31, 52.96, 56.04, -1 
FIS, 02/09/2016, 56.1, 59.31, 56.1, 57.95, -1 
FIS, 02/10/2016, 57.35, 58.66, 57.3, 57.39, -1 
FIS, 02/11/2016, 55.97, 56.86, 55.97, 56.45, -1 
FIS, 02/12/2016, 51.64, 57.63, 51.64, 57.58, -1 
FIS, 02/16/2016, 58.08, 58.91, 58.08, 58.65, -1 
FIS, 02/17/2016, 58.92, 59.54, 58.82, 59.51, -1 
FIS, 02/18/2016, 59.17, 59.76, 58.92, 59.15, -1 
FIS, 02/19/2016, 58.56, 59.74, 58.56, 59.69, -1 
FIS, 02/22/2016, 59.58, 60.7, 59.58, 59.97, -1 
FIS, 02/23/2016, 59.57, 59.98, 58.89, 58.99, -1 
FIS, 02/24/2016, 58.23, 59.23, 57.79, 59.17, -1 
FIS, 02/25/2016, 59.1, 60.06, 58.93, 60.05, -1 
FIS, 02/26/2016, 59.95, 60.6, 59.38, 59.49, -1 
FIS, 02/29/2016, 59.31, 59.68, 58.23, 58.23, -1 
FIS, 03/01/2016, 58.43, 60.01, 58.43, 59.99, -1 
FIS, 03/02/2016, 57.0, 59.94, 57.0, 59.92, -1 
FIS, 03/03/2016, 57.63, 60.46, 57.63, 60.33, -1 
FIS, 03/04/2016, 60.06, 60.84, 59.93, 60.8, -1 
FIS, 03/07/2016, 60.18, 60.61, 59.83, 60.06, -1 
FIS, 03/08/2016, 59.5, 59.75, 59.13, 59.18, -1 
FIS, 03/09/2016, 59.4, 60.04, 59.1, 60.03, -1 
FIS, 03/10/2016, 59.93, 61.75, 59.93, 61.57, -1 
FIS, 03/11/2016, 61.6, 63.0, 61.24, 62.8, -1 
FIS, 03/14/2016, 62.44, 62.91, 62.16, 62.8, -1 
FIS, 03/15/2016, 59.3, 62.69, 59.3, 62.43, -1 
FIS, 03/16/2016, 62.15, 62.99, 62.15, 62.77, -1 
FIS, 03/17/2016, 62.25, 63.36, 62.25, 63.06, -1 
FIS, 03/18/2016, 61.75, 62.84, 61.25, 62.56, -1 
FIS, 03/21/2016, 62.12, 62.92, 62.11, 62.75, -1 
FIS, 03/22/2016, 62.28, 62.73, 62.28, 62.44, -1 
FIS, 03/23/2016, 62.09, 63.02, 62.09, 62.87, -1 
FIS, 03/24/2016, 62.36, 62.71, 61.94, 62.62, -1 
FIS, 03/28/2016, 62.54, 62.84, 62.24, 62.43, -1 
FIS, 03/29/2016, 61.98, 62.94, 61.98, 62.9, -1 
FIS, 03/30/2016, 62.73, 63.4, 62.73, 63.2, -1 
FIS, 03/31/2016, 61.37, 63.72, 61.37, 63.3, -1 
FIS, 04/01/2016, 62.28, 65.11, 62.28, 65.0, -1 
FIS, 04/04/2016, 64.61, 65.3, 64.25, 64.34, -1 
FIS, 04/05/2016, 63.59, 64.14, 63.37, 63.44, -1 
FIS, 04/06/2016, 63.1, 64.57, 63.1, 64.5, -1 
FIS, 04/07/2016, 63.55, 64.36, 63.46, 63.9, -1 
FIS, 04/08/2016, 63.76, 64.38, 63.75, 63.98, -1 
FIS, 04/11/2016, 63.9, 64.82, 63.9, 64.09, -1 
FIS, 04/12/2016, 63.7, 64.36, 63.7, 64.02, -1 
FIS, 04/13/2016, 63.99, 64.45, 63.76, 64.27, -1 
FIS, 04/14/2016, 63.92, 64.48, 63.92, 64.17, -1 
FIS, 04/15/2016, 62.25, 64.56, 62.25, 64.06, -1 
FIS, 04/18/2016, 63.76, 65.03, 63.76, 64.99, -1 
