Symbol, Date, Open, High, Low, Close, Volume 
FLR, 10/30/2015, 42.04, 48.47, 42.04, 47.81, -1 
FLR, 11/02/2015, 46.54, 49.75, 46.54, 49.32, -1 
FLR, 11/03/2015, 48.56, 50.71, 48.56, 50.2, -1 
FLR, 11/04/2015, 47.59, 50.89, 47.58, 50.19, -1 
FLR, 11/05/2015, 47.59, 50.9, 47.58, 50.45, -1 
FLR, 11/06/2015, 47.62, 50.32, 47.62, 49.13, -1 
FLR, 11/09/2015, 48.77, 49.35, 48.48, 49.13, -1 
FLR, 11/10/2015, 48.75, 49.28, 48.18, 48.84, -1 
FLR, 11/11/2015, 48.62, 49.27, 48.48, 49.16, -1 
FLR, 11/12/2015, 45.09, 48.66, 45.06, 46.99, -1 
FLR, 11/13/2015, 46.31, 47.34, 46.31, 46.71, -1 
FLR, 11/16/2015, 46.3, 47.84, 46.3, 47.83, -1 
FLR, 11/17/2015, 47.56, 47.8, 46.83, 47.01, -1 
FLR, 11/18/2015, 45.66, 48.5, 45.66, 48.4, -1 
FLR, 11/19/2015, 45.37, 48.89, 45.36, 48.87, -1 
FLR, 11/20/2015, 46.24, 49.38, 46.24, 48.15, -1 
FLR, 11/23/2015, 45.16, 48.44, 45.16, 48.06, -1 
FLR, 11/24/2015, 46.0, 48.73, 46.0, 48.4, -1 
FLR, 11/25/2015, 46.1, 48.38, 46.1, 47.84, -1 
FLR, 11/27/2015, 46.56, 48.66, 46.56, 48.34, -1 
FLR, 11/30/2015, 47.78, 48.99, 47.46, 48.61, -1 
FLR, 12/01/2015, 48.54, 48.96, 48.35, 48.92, -1 
FLR, 12/02/2015, 47.54, 49.4, 47.54, 48.29, -1 
FLR, 12/03/2015, 45.97, 49.02, 45.97, 48.32, -1 
FLR, 12/04/2015, 45.97, 48.37, 45.97, 48.09, -1 
FLR, 12/07/2015, 47.04, 47.91, 47.04, 47.34, -1 
FLR, 12/08/2015, 46.25, 46.88, 45.42, 45.88, -1 
FLR, 12/09/2015, 41.85, 46.61, 41.85, 45.3, -1 
FLR, 12/10/2015, 45.04, 45.73, 45.04, 45.47, -1 
FLR, 12/11/2015, 40.78, 45.25, 40.78, 45.01, -1 
FLR, 12/14/2015, 41.38, 44.98, 41.38, 44.95, -1 
FLR, 12/15/2015, 45.08, 46.67, 45.08, 46.39, -1 
FLR, 12/16/2015, 46.31, 47.21, 46.04, 47.1, -1 
FLR, 12/17/2015, 45.41, 46.91, 45.41, 46.1, -1 
FLR, 12/18/2015, 45.68, 46.58, 45.65, 45.73, -1 
FLR, 12/21/2015, 43.49, 46.36, 43.49, 46.28, -1 
FLR, 12/22/2015, 46.15, 47.29, 46.15, 47.11, -1 
FLR, 12/23/2015, 47.28, 48.76, 47.28, 48.65, -1 
FLR, 12/24/2015, 48.44, 49.12, 48.44, 48.72, -1 
FLR, 12/28/2015, 48.18, 48.44, 47.82, 48.11, -1 
FLR, 12/29/2015, 44.04, 48.67, 44.04, 48.33, -1 
FLR, 12/30/2015, 44.23, 48.53, 44.23, 47.77, -1 
FLR, 12/31/2015, 47.41, 47.95, 47.22, 47.22, -1 
FLR, 01/04/2016, 43.61, 47.76, 43.61, 47.72, -1 
FLR, 01/05/2016, 43.25, 47.99, 43.21, 46.78, -1 
FLR, 01/06/2016, 44.68, 46.14, 44.68, 45.49, -1 
FLR, 01/07/2016, 43.07, 45.23, 43.07, 44.45, -1 
FLR, 01/08/2016, 43.82, 45.09, 43.2, 43.29, -1 
FLR, 01/11/2016, 43.06, 43.57, 41.52, 41.82, -1 
FLR, 01/12/2016, 40.81, 42.65, 40.81, 42.38, -1 
FLR, 01/13/2016, 42.54, 43.24, 41.43, 41.65, -1 
FLR, 01/14/2016, 41.72, 42.64, 41.05, 42.07, -1 
FLR, 01/15/2016, 40.57, 42.09, 40.57, 41.95, -1 
FLR, 01/19/2016, 42.17, 42.55, 40.73, 41.17, -1 
FLR, 01/20/2016, 40.09, 41.62, 39.47, 41.11, -1 
FLR, 01/21/2016, 40.9, 41.92, 40.69, 41.31, -1 
FLR, 01/22/2016, 41.91, 43.52, 41.91, 42.89, -1 
FLR, 01/25/2016, 39.18, 42.93, 39.18, 42.36, -1 
FLR, 01/26/2016, 42.42, 44.0, 42.39, 43.99, -1 
FLR, 01/27/2016, 40.05, 43.94, 40.05, 42.91, -1 
FLR, 01/28/2016, 43.24, 44.11, 43.24, 43.54, -1 
FLR, 01/29/2016, 39.85, 44.96, 39.85, 44.88, -1 
FLR, 02/01/2016, 44.06, 44.93, 43.59, 44.61, -1 
FLR, 02/02/2016, 40.51, 44.56, 40.49, 43.88, -1 
FLR, 02/03/2016, 40.17, 44.57, 40.15, 43.44, -1 
FLR, 02/04/2016, 43.17, 45.26, 43.17, 44.94, -1 
FLR, 02/05/2016, 43.09, 45.32, 43.09, 44.84, -1 
FLR, 02/08/2016, 43.93, 44.34, 42.19, 42.78, -1 
FLR, 02/09/2016, 40.04, 43.58, 40.01, 43.15, -1 
FLR, 02/10/2016, 39.5, 43.62, 39.49, 42.71, -1 
FLR, 02/11/2016, 38.74, 42.3, 38.49, 41.73, -1 
FLR, 02/12/2016, 39.79, 43.88, 39.79, 43.64, -1 
FLR, 02/16/2016, 42.92, 45.15, 42.92, 45.0, -1 
FLR, 02/17/2016, 44.91, 46.86, 44.91, 46.44, -1 
FLR, 02/18/2016, 46.21, 47.1, 46.01, 46.47, -1 
FLR, 02/19/2016, 42.31, 45.6, 42.3, 45.37, -1 
FLR, 02/22/2016, 45.59, 47.59, 45.59, 46.99, -1 
FLR, 02/23/2016, 45.83, 47.04, 45.83, 46.06, -1 
FLR, 02/24/2016, 41.88, 46.17, 41.87, 46.12, -1 
FLR, 02/25/2016, 45.08, 46.22, 45.08, 46.0, -1 
FLR, 02/26/2016, 45.55, 47.44, 45.55, 46.8, -1 
FLR, 02/29/2016, 43.46, 46.8, 43.46, 46.04, -1 
FLR, 03/01/2016, 46.27, 48.19, 46.26, 47.73, -1 
FLR, 03/02/2016, 47.41, 48.67, 47.34, 48.64, -1 
FLR, 03/03/2016, 44.53, 49.27, 44.5, 48.89, -1 
FLR, 03/04/2016, 48.68, 49.51, 48.42, 49.17, -1 
FLR, 03/07/2016, 48.68, 51.77, 48.65, 51.75, -1 
FLR, 03/08/2016, 49.18, 51.66, 49.18, 51.0, -1 
FLR, 03/09/2016, 47.95, 51.19, 47.12, 50.21, -1 
FLR, 03/10/2016, 47.76, 50.4, 47.45, 49.84, -1 
FLR, 03/11/2016, 50.02, 51.8, 50.02, 51.42, -1 
FLR, 03/14/2016, 48.72, 51.99, 48.71, 51.7, -1 
FLR, 03/15/2016, 47.12, 51.19, 47.07, 51.14, -1 
FLR, 03/16/2016, 50.6, 52.77, 50.6, 52.61, -1 
FLR, 03/17/2016, 52.38, 54.99, 52.38, 54.79, -1 
FLR, 03/18/2016, 54.65, 55.45, 54.64, 55.22, -1 
