Symbol, Date, Open, High, Low, Close, Volume 
FLS, 10/30/2015, 40.58, 47.06, 40.55, 46.36, -1 
FLS, 11/02/2015, 45.78, 47.09, 45.78, 46.71, -1 
FLS, 11/03/2015, 43.52, 48.25, 43.51, 48.04, -1 
FLS, 11/04/2015, 47.71, 48.63, 47.71, 47.92, -1 
FLS, 11/05/2015, 43.85, 48.15, 43.83, 47.58, -1 
FLS, 11/06/2015, 45.82, 47.58, 45.82, 47.4, -1 
FLS, 11/09/2015, 47.06, 47.33, 46.03, 46.43, -1 
FLS, 11/10/2015, 45.72, 46.73, 45.72, 46.73, -1 
FLS, 11/11/2015, 46.63, 46.86, 46.27, 46.44, -1 
FLS, 11/12/2015, 42.96, 46.27, 42.95, 44.98, -1 
FLS, 11/13/2015, 44.66, 45.57, 44.55, 44.79, -1 
FLS, 11/16/2015, 44.59, 45.53, 44.59, 45.48, -1 
FLS, 11/17/2015, 44.6, 45.55, 44.45, 44.7, -1 
FLS, 11/18/2015, 41.04, 45.67, 41.03, 45.62, -1 
FLS, 11/19/2015, 45.16, 45.87, 45.16, 45.83, -1 
FLS, 11/20/2015, 45.78, 46.3, 45.61, 45.74, -1 
FLS, 11/23/2015, 45.51, 46.28, 45.51, 45.74, -1 
FLS, 11/24/2015, 41.92, 46.8, 41.91, 46.64, -1 
FLS, 11/25/2015, 44.96, 46.9, 44.96, 46.35, -1 
FLS, 11/27/2015, 42.44, 46.4, 42.43, 46.18, -1 
FLS, 11/30/2015, 45.8, 46.74, 45.8, 46.24, -1 
FLS, 12/01/2015, 42.34, 46.94, 42.33, 46.39, -1 
FLS, 12/02/2015, 42.5, 46.42, 42.49, 45.4, -1 
FLS, 12/03/2015, 45.27, 45.66, 44.52, 44.94, -1 
FLS, 12/04/2015, 44.1, 45.2, 44.1, 44.93, -1 
FLS, 12/07/2015, 44.01, 44.44, 43.43, 43.6, -1 
FLS, 12/08/2015, 40.04, 42.86, 40.03, 42.06, -1 
FLS, 12/09/2015, 38.71, 42.81, 38.53, 42.1, -1 
FLS, 12/10/2015, 39.85, 42.5, 39.85, 42.14, -1 
FLS, 12/11/2015, 40.66, 41.63, 40.66, 41.25, -1 
FLS, 12/14/2015, 41.1, 41.44, 40.68, 41.41, -1 
FLS, 12/15/2015, 41.53, 41.66, 40.85, 41.06, -1 
FLS, 12/16/2015, 38.01, 41.91, 37.63, 41.85, -1 
FLS, 12/17/2015, 41.55, 41.82, 40.79, 40.8, -1 
FLS, 12/18/2015, 40.48, 40.99, 40.29, 40.65, -1 
FLS, 12/21/2015, 40.46, 41.06, 40.1, 40.4, -1 
FLS, 12/22/2015, 40.28, 40.95, 40.13, 40.65, -1 
FLS, 12/23/2015, 39.22, 42.71, 39.22, 42.49, -1 
FLS, 12/24/2015, 42.18, 43.05, 42.18, 42.88, -1 
FLS, 12/28/2015, 39.45, 42.57, 39.45, 42.15, -1 
FLS, 12/29/2015, 42.24, 43.04, 42.24, 42.88, -1 
FLS, 12/30/2015, 39.4, 43.08, 39.2, 42.56, -1 
FLS, 12/31/2015, 42.17, 42.81, 42.06, 42.06, -1 
FLS, 01/04/2016, 41.23, 42.02, 40.89, 42.02, -1 
FLS, 01/05/2016, 41.02, 42.02, 40.75, 41.13, -1 
FLS, 01/06/2016, 40.04, 40.73, 39.97, 40.28, -1 
FLS, 01/07/2016, 39.51, 39.72, 39.01, 39.28, -1 
FLS, 01/08/2016, 36.73, 39.43, 36.54, 38.04, -1 
FLS, 01/11/2016, 37.89, 38.16, 37.27, 37.81, -1 
FLS, 01/12/2016, 38.03, 38.32, 37.22, 38.01, -1 
FLS, 01/13/2016, 37.95, 38.78, 37.36, 37.4, -1 
FLS, 01/14/2016, 37.22, 37.74, 36.72, 37.17, -1 
FLS, 01/15/2016, 35.85, 36.22, 35.65, 36.0, -1 
FLS, 01/19/2016, 35.56, 36.59, 34.89, 35.39, -1 
FLS, 01/20/2016, 33.05, 35.72, 33.05, 35.52, -1 
FLS, 01/21/2016, 32.06, 36.33, 32.01, 35.83, -1 
FLS, 01/22/2016, 36.37, 37.53, 36.37, 37.0, -1 
FLS, 01/25/2016, 33.8, 36.98, 33.8, 35.92, -1 
FLS, 01/26/2016, 35.91, 37.47, 35.91, 37.36, -1 
FLS, 01/27/2016, 37.03, 37.99, 36.77, 37.01, -1 
FLS, 01/28/2016, 37.76, 38.16, 36.89, 37.52, -1 
FLS, 01/29/2016, 37.56, 38.69, 37.56, 38.64, -1 
FLS, 02/01/2016, 35.25, 38.52, 35.21, 38.35, -1 
FLS, 02/02/2016, 33.98, 37.31, 33.98, 37.05, -1 
FLS, 02/03/2016, 33.93, 38.51, 33.89, 38.41, -1 
FLS, 02/04/2016, 34.98, 41.14, 34.42, 40.29, -1 
FLS, 02/05/2016, 36.88, 41.0, 36.86, 40.72, -1 
FLS, 02/08/2016, 37.55, 40.82, 37.55, 40.38, -1 
FLS, 02/09/2016, 37.52, 40.38, 37.49, 39.59, -1 
FLS, 02/10/2016, 37.49, 40.15, 37.49, 39.21, -1 
FLS, 02/11/2016, 37.54, 40.06, 37.54, 39.8, -1 
FLS, 02/12/2016, 37.52, 41.52, 37.52, 40.8, -1 
FLS, 02/16/2016, 41.2, 41.95, 40.49, 41.91, -1 
FLS, 02/17/2016, 41.96, 43.4, 41.96, 43.17, -1 
FLS, 02/18/2016, 38.98, 43.35, 38.95, 43.14, -1 
FLS, 02/19/2016, 41.52, 42.1, 40.49, 41.39, -1 
FLS, 02/22/2016, 37.78, 43.29, 37.48, 43.29, -1 
FLS, 02/23/2016, 40.87, 43.6, 40.87, 42.22, -1 
FLS, 02/24/2016, 41.26, 41.98, 40.63, 41.9, -1 
FLS, 02/25/2016, 41.67, 42.3, 41.22, 41.6, -1 
FLS, 02/26/2016, 41.77, 42.82, 41.62, 42.28, -1 
FLS, 02/29/2016, 39.09, 42.64, 39.09, 42.0, -1 
FLS, 03/01/2016, 42.21, 43.09, 41.88, 42.8, -1 
FLS, 03/02/2016, 42.38, 43.15, 42.38, 43.1, -1 
FLS, 03/03/2016, 41.89, 43.68, 41.89, 43.51, -1 
FLS, 03/04/2016, 43.23, 44.65, 43.23, 44.13, -1 
FLS, 03/07/2016, 43.7, 45.63, 43.7, 45.61, -1 
FLS, 03/08/2016, 41.4, 45.02, 41.4, 44.02, -1 
FLS, 03/09/2016, 44.13, 44.34, 43.73, 43.93, -1 
FLS, 03/10/2016, 42.61, 43.94, 42.61, 43.89, -1 
FLS, 03/11/2016, 44.19, 45.22, 44.19, 45.17, -1 
FLS, 03/14/2016, 41.29, 45.53, 41.27, 45.18, -1 
FLS, 03/15/2016, 41.12, 44.41, 41.12, 43.91, -1 
FLS, 03/16/2016, 43.57, 44.93, 43.55, 44.61, -1 
FLS, 03/17/2016, 44.31, 46.19, 44.31, 45.99, -1 
FLS, 03/18/2016, 46.11, 47.1, 46.11, 46.82, -1 
FLS, 03/21/2016, 46.36, 47.32, 46.36, 47.21, -1 
FLS, 03/22/2016, 43.93, 47.21, 43.93, 46.68, -1 
FLS, 03/23/2016, 44.65, 46.38, 44.45, 44.45, -1 
FLS, 03/24/2016, 42.82, 44.13, 42.82, 44.12, -1 
FLS, 03/28/2016, 43.97, 44.23, 43.44, 43.91, -1 
FLS, 03/29/2016, 42.7, 44.18, 42.7, 44.13, -1 
FLS, 03/30/2016, 44.2, 44.58, 43.68, 44.03, -1 
FLS, 03/31/2016, 43.78, 44.44, 43.53, 44.4, -1 
FLS, 04/01/2016, 41.05, 44.07, 41.05, 43.91, -1 
FLS, 04/04/2016, 42.05, 43.36, 42.05, 42.55, -1 
FLS, 04/05/2016, 41.78, 42.27, 41.68, 42.05, -1 
FLS, 04/06/2016, 42.01, 42.38, 41.51, 42.29, -1 
FLS, 04/07/2016, 41.87, 42.41, 41.87, 42.11, -1 
FLS, 04/08/2016, 39.66, 43.4, 39.66, 42.17, -1 
FLS, 04/11/2016, 41.38, 42.88, 41.38, 42.23, -1 
FLS, 04/12/2016, 39.65, 43.62, 39.65, 43.28, -1 
FLS, 04/13/2016, 42.72, 44.47, 42.72, 44.42, -1 
FLS, 04/14/2016, 41.26, 44.79, 41.26, 44.4, -1 
FLS, 04/15/2016, 43.86, 44.46, 43.86, 44.27, -1 
FLS, 04/18/2016, 42.72, 44.49, 42.72, 44.44, -1 
FLS, 04/19/2016, 44.27, 46.22, 44.27, 46.02, -1 
FLS, 04/20/2016, 45.72, 47.02, 45.72, 46.84, -1 
FLS, 04/21/2016, 46.46, 46.97, 46.46, 46.59, -1 
FLS, 04/22/2016, 46.33, 47.09, 46.33, 47.01, -1 
FLS, 04/25/2016, 45.78, 47.13, 45.78, 46.15, -1 
FLS, 04/26/2016, 46.05, 46.97, 46.0, 46.88, -1 
