Symbol, Date, Open, High, Low, Close, Volume 
GD, 10/30/2015, 149.49, 150.56, 147.26, 148.59, -1 
GD, 11/02/2015, 148.8, 149.28, 147.65, 148.74, -1 
GD, 11/03/2015, 147.34, 148.0, 146.17, 147.13, -1 
GD, 11/04/2015, 146.47, 147.83, 146.47, 147.28, -1 
GD, 11/05/2015, 146.52, 147.65, 145.5, 147.09, -1 
GD, 11/06/2015, 135.1, 146.87, 135.1, 145.89, -1 
GD, 11/09/2015, 145.26, 145.38, 143.64, 144.28, -1 
GD, 11/10/2015, 143.55, 144.64, 142.5, 143.95, -1 
GD, 11/11/2015, 143.61, 144.77, 143.26, 143.33, -1 
GD, 11/12/2015, 142.06, 142.68, 141.47, 141.83, -1 
GD, 11/13/2015, 140.74, 142.11, 140.18, 140.54, -1 
GD, 11/16/2015, 138.25, 143.35, 138.25, 143.28, -1 
GD, 11/17/2015, 142.46, 144.44, 142.46, 142.85, -1 
GD, 11/18/2015, 142.94, 143.97, 142.26, 143.72, -1 
GD, 11/19/2015, 143.04, 145.83, 143.04, 145.22, -1 
GD, 11/20/2015, 144.86, 146.7, 144.86, 145.5, -1 
GD, 11/23/2015, 145.52, 145.76, 144.35, 144.61, -1 
GD, 11/24/2015, 141.5, 145.99, 141.5, 145.56, -1 
GD, 11/25/2015, 145.27, 145.86, 144.9, 145.15, -1 
GD, 11/27/2015, 144.34, 145.8, 144.34, 145.54, -1 
GD, 11/30/2015, 145.66, 147.5, 145.66, 146.46, -1 
GD, 12/01/2015, 146.35, 148.35, 146.35, 147.53, -1 
GD, 12/02/2015, 146.82, 147.49, 145.23, 145.36, -1 
GD, 12/03/2015, 144.96, 145.66, 141.57, 141.97, -1 
GD, 12/04/2015, 141.89, 144.26, 141.89, 143.73, -1 
GD, 12/07/2015, 143.52, 144.1, 141.53, 143.1, -1 
GD, 12/08/2015, 141.5, 142.56, 140.85, 141.98, -1 
GD, 12/09/2015, 140.89, 142.55, 139.27, 140.13, -1 
GD, 12/10/2015, 139.56, 140.96, 139.5, 139.96, -1 
GD, 12/11/2015, 137.36, 139.18, 137.35, 137.88, -1 
GD, 12/14/2015, 135.04, 139.28, 135.04, 139.21, -1 
GD, 12/15/2015, 139.37, 140.22, 137.95, 137.98, -1 
GD, 12/16/2015, 134.88, 140.08, 134.88, 139.6, -1 
GD, 12/17/2015, 139.32, 140.02, 138.0, 138.17, -1 
GD, 12/18/2015, 137.35, 138.0, 136.05, 136.62, -1 
GD, 12/21/2015, 136.23, 139.02, 136.23, 138.09, -1 
GD, 12/22/2015, 138.0, 140.5, 138.0, 139.95, -1 
GD, 12/23/2015, 139.99, 140.33, 139.42, 139.87, -1 
GD, 12/24/2015, 138.9, 140.15, 138.9, 139.8, -1 
GD, 12/28/2015, 139.33, 140.12, 138.29, 139.59, -1 
GD, 12/29/2015, 139.75, 141.21, 139.72, 140.27, -1 
GD, 12/30/2015, 139.61, 140.61, 138.77, 139.21, -1 
GD, 12/31/2015, 138.28, 138.58, 136.6, 137.32, -1 
GD, 01/04/2016, 135.02, 136.08, 134.8, 136.07, -1 
GD, 01/05/2016, 135.68, 137.34, 135.5, 136.61, -1 
GD, 01/06/2016, 134.3, 136.15, 134.06, 135.24, -1 
GD, 01/07/2016, 132.45, 133.94, 130.41, 130.76, -1 
GD, 01/08/2016, 130.78, 132.13, 129.87, 130.14, -1 
GD, 01/11/2016, 131.34, 132.01, 130.14, 131.29, -1 
GD, 01/12/2016, 131.74, 132.87, 131.0, 132.49, -1 
GD, 01/13/2016, 125.77, 132.83, 125.77, 129.03, -1 
GD, 01/14/2016, 128.96, 130.15, 127.34, 129.02, -1 
GD, 01/15/2016, 125.03, 127.06, 124.56, 125.96, -1 
GD, 01/19/2016, 125.61, 128.06, 125.61, 127.36, -1 
