Symbol, Date, Open, High, Low, Close, Volume 
GM, 10/30/2015, 34.7, 35.19, 34.46, 34.91, -1 
GM, 11/02/2015, 34.87, 35.74, 34.86, 35.56, -1 
GM, 11/03/2015, 35.23, 35.98, 35.22, 35.77, -1 
GM, 11/04/2015, 35.76, 35.91, 35.38, 35.42, -1 
GM, 11/05/2015, 35.29, 35.54, 35.19, 35.44, -1 
GM, 11/06/2015, 35.24, 35.79, 35.24, 35.75, -1 
GM, 11/09/2015, 35.98, 36.11, 35.44, 35.67, -1 
GM, 11/10/2015, 35.48, 35.62, 35.15, 35.62, -1 
GM, 11/11/2015, 35.63, 36.0, 35.52, 35.54, -1 
GM, 11/12/2015, 35.33, 35.48, 35.02, 35.08, -1 
GM, 11/13/2015, 34.97, 35.17, 34.18, 34.3, -1 
GM, 11/16/2015, 34.09, 35.21, 34.09, 35.17, -1 
GM, 11/17/2015, 35.22, 35.58, 35.01, 35.2, -1 
GM, 11/18/2015, 35.11, 36.47, 35.11, 36.46, -1 
GM, 11/19/2015, 36.26, 36.47, 36.07, 36.13, -1 
GM, 11/20/2015, 36.19, 36.42, 36.01, 36.33, -1 
GM, 11/23/2015, 36.38, 36.86, 36.06, 36.07, -1 
GM, 11/24/2015, 35.66, 36.32, 35.66, 36.23, -1 
GM, 11/25/2015, 36.12, 36.41, 36.11, 36.34, -1 
GM, 11/27/2015, 36.35, 36.48, 36.22, 36.37, -1 
GM, 11/30/2015, 36.42, 36.87, 36.19, 36.2, -1 
GM, 12/01/2015, 35.94, 36.34, 35.8, 36.27, -1 
GM, 12/02/2015, 36.23, 36.33, 35.62, 35.71, -1 
GM, 12/03/2015, 35.83, 35.99, 35.22, 35.47, -1 
GM, 12/04/2015, 35.48, 36.33, 35.36, 36.24, -1 
GM, 12/07/2015, 36.46, 36.52, 35.99, 36.13, -1 
GM, 12/08/2015, 35.74, 35.87, 35.23, 35.47, -1 
GM, 12/09/2015, 35.2, 35.69, 34.85, 35.44, -1 
GM, 12/10/2015, 35.22, 35.89, 35.17, 35.62, -1 
GM, 12/11/2015, 35.13, 35.4, 34.27, 34.55, -1 
GM, 12/14/2015, 34.49, 34.84, 34.04, 34.37, -1 
GM, 12/15/2015, 34.76, 34.81, 34.3, 34.54, -1 
GM, 12/16/2015, 34.28, 35.16, 34.21, 35.13, -1 
GM, 12/17/2015, 35.06, 35.27, 34.06, 34.09, -1 
GM, 12/18/2015, 33.86, 34.05, 33.54, 33.65, -1 
GM, 12/21/2015, 33.78, 34.05, 33.59, 33.83, -1 
GM, 12/22/2015, 33.93, 34.49, 33.93, 34.28, -1 
GM, 12/23/2015, 34.39, 34.93, 34.38, 34.78, -1 
GM, 12/24/2015, 34.66, 34.74, 34.5, 34.59, -1 
GM, 12/28/2015, 34.35, 34.67, 34.3, 34.49, -1 
GM, 12/29/2015, 34.62, 34.67, 34.16, 34.49, -1 
GM, 12/30/2015, 34.16, 34.55, 34.16, 34.33, -1 
GM, 12/31/2015, 34.21, 34.29, 34.0, 34.02, -1 
GM, 01/04/2016, 33.41, 33.49, 32.83, 33.31, -1 
GM, 01/05/2016, 33.32, 33.41, 32.18, 32.43, -1 
GM, 01/06/2016, 31.95, 31.98, 31.01, 31.26, -1 
GM, 01/07/2016, 30.16, 30.81, 29.82, 29.98, -1 
GM, 01/08/2016, 30.42, 30.69, 29.42, 29.52, -1 
GM, 01/11/2016, 30.38, 30.42, 29.68, 30.24, -1 
GM, 01/12/2016, 30.63, 30.74, 29.8, 30.31, -1 
GM, 01/13/2016, 31.83, 31.89, 30.08, 30.47, -1 
GM, 01/14/2016, 30.79, 30.88, 29.45, 30.29, -1 
GM, 01/15/2016, 29.46, 29.67, 28.8, 29.57, -1 
GM, 01/19/2016, 29.9, 29.96, 28.91, 29.39, -1 
GM, 01/20/2016, 28.7, 29.9, 28.32, 29.42, -1 
GM, 01/21/2016, 29.3, 30.13, 29.06, 29.54, -1 
GM, 01/22/2016, 30.12, 30.28, 29.03, 29.27, -1 
GM, 01/25/2016, 29.19, 29.58, 29.01, 29.23, -1 
GM, 01/26/2016, 29.26, 29.74, 29.03, 29.64, -1 
GM, 01/27/2016, 29.44, 29.9, 29.0, 29.2, -1 
GM, 01/28/2016, 29.25, 29.35, 28.4, 29.01, -1 
GM, 01/29/2016, 29.11, 29.57, 29.02, 29.55, -1 
GM, 02/01/2016, 29.38, 30.23, 29.1, 30.11, -1 
GM, 02/02/2016, 29.92, 30.19, 28.86, 29.64, -1 
GM, 02/03/2016, 30.1, 30.21, 28.18, 28.93, -1 
GM, 02/04/2016, 28.94, 29.21, 28.1, 28.63, -1 
GM, 02/05/2016, 28.64, 29.2, 28.41, 28.52, -1 
GM, 02/08/2016, 28.12, 28.83, 28.05, 28.68, -1 
GM, 02/09/2016, 28.15, 28.87, 27.77, 27.87, -1 
GM, 02/10/2016, 28.02, 28.63, 27.69, 27.7, -1 
GM, 02/11/2016, 27.32, 28.08, 26.69, 26.89, -1 
GM, 02/12/2016, 27.17, 27.73, 27.05, 27.7, -1 
GM, 02/16/2016, 28.0, 28.58, 27.76, 28.57, -1 
GM, 02/17/2016, 28.65, 29.34, 28.65, 29.26, -1 
GM, 02/18/2016, 29.32, 29.54, 28.91, 29.02, -1 
GM, 02/19/2016, 28.84, 28.94, 28.37, 28.77, -1 
GM, 02/22/2016, 29.1, 29.63, 29.1, 29.62, -1 
GM, 02/23/2016, 29.37, 29.82, 29.28, 29.37, -1 
GM, 02/24/2016, 28.67, 28.89, 27.81, 28.81, -1 
GM, 02/25/2016, 28.79, 29.5, 28.55, 29.5, -1 
GM, 02/26/2016, 29.65, 29.96, 29.53, 29.62, -1 
GM, 02/29/2016, 29.35, 29.79, 29.28, 29.43, -1 
GM, 03/01/2016, 29.97, 30.22, 28.92, 30.0, -1 
GM, 03/02/2016, 29.89, 30.31, 29.83, 30.14, -1 
GM, 03/03/2016, 30.17, 31.21, 30.16, 31.06, -1 
GM, 03/04/2016, 31.12, 31.73, 31.06, 31.36, -1 
GM, 03/07/2016, 31.3, 31.77, 31.19, 31.57, -1 
GM, 03/08/2016, 31.4, 31.4, 30.46, 30.67, -1 
GM, 03/09/2016, 30.46, 30.62, 30.2, 30.53, -1 
GM, 03/10/2016, 30.48, 30.87, 30.27, 30.81, -1 
GM, 03/11/2016, 31.0, 31.32, 30.97, 31.25, -1 
GM, 03/14/2016, 31.1, 31.38, 30.9, 31.17, -1 
GM, 03/15/2016, 30.8, 31.07, 30.43, 31.04, -1 
GM, 03/16/2016, 30.83, 31.75, 30.78, 31.69, -1 
GM, 03/17/2016, 31.73, 32.09, 31.63, 31.93, -1 
GM, 03/18/2016, 32.07, 32.37, 31.91, 31.96, -1 
GM, 03/21/2016, 32.11, 32.18, 31.75, 32.08, -1 
GM, 03/22/2016, 32.06, 32.2, 31.76, 31.9, -1 
GM, 03/23/2016, 31.77, 31.92, 31.17, 31.3, -1 
GM, 03/24/2016, 30.82, 30.97, 30.39, 30.95, -1 
GM, 03/28/2016, 30.97, 31.24, 30.94, 31.02, -1 
GM, 03/29/2016, 30.85, 31.27, 30.58, 31.19, -1 
GM, 03/30/2016, 31.33, 31.66, 30.95, 31.0, -1 
GM, 03/31/2016, 30.97, 31.58, 30.97, 31.42, -1 
GM, 04/01/2016, 31.17, 31.2, 30.32, 30.46, -1 
GM, 04/04/2016, 30.38, 30.48, 29.75, 29.89, -1 
GM, 04/05/2016, 29.62, 29.72, 29.35, 29.59, -1 
GM, 04/06/2016, 29.66, 29.94, 29.3, 29.93, -1 
GM, 04/07/2016, 29.65, 29.95, 29.18, 29.41, -1 
GM, 04/08/2016, 29.58, 29.75, 29.23, 29.36, -1 
GM, 04/11/2016, 29.5, 30.03, 29.46, 29.53, -1 
GM, 04/12/2016, 29.5, 29.72, 29.27, 29.7, -1 
GM, 04/13/2016, 29.94, 30.86, 29.92, 30.78, -1 
GM, 04/14/2016, 30.82, 31.04, 30.63, 30.71, -1 
GM, 04/15/2016, 30.68, 30.85, 30.4, 30.55, -1 
GM, 04/18/2016, 30.76, 31.36, 30.61, 31.3, -1 
GM, 04/19/2016, 31.61, 32.15, 31.6, 31.97, -1 
GM, 04/20/2016, 32.0, 32.4, 32.0, 32.19, -1 
