Symbol, Date, Open, High, Low, Close, Volume 
GOOGL, 10/30/2015, 745.05, 746.04, 736.47, 737.24, -1 
GOOGL, 11/02/2015, 738.0, 748.01, 731.2, 747.29, -1 
GOOGL, 11/03/2015, 745.0, 751.51, 741.05, 748.44, -1 
GOOGL, 11/04/2015, 748.64, 759.79, 747.49, 755.31, -1 
GOOGL, 11/05/2015, 757.05, 766.19, 757.0, 760.67, -1 
GOOGL, 11/06/2015, 758.79, 763.0, 755.0, 761.44, -1 
GOOGL, 11/09/2015, 758.54, 762.93, 749.0, 754.54, -1 
GOOGL, 11/10/2015, 751.74, 760.48, 748.32, 758.25, -1 
GOOGL, 11/11/2015, 761.17, 769.0, 759.62, 765.25, -1 
GOOGL, 11/12/2015, 759.4, 765.56, 755.86, 756.53, -1 
GOOGL, 11/13/2015, 754.05, 754.62, 739.44, 739.84, -1 
GOOGL, 11/16/2015, 737.85, 751.53, 734.33, 750.42, -1 
GOOGL, 11/17/2015, 751.2, 754.76, 743.43, 745.98, -1 
GOOGL, 11/18/2015, 748.64, 760.91, 747.3, 759.81, -1 
GOOGL, 11/19/2015, 759.03, 763.04, 757.15, 759.61, -1 
GOOGL, 11/20/2015, 766.0, 779.23, 763.99, 776.99, -1 
GOOGL, 11/23/2015, 777.27, 782.75, 773.39, 776.5, -1 
GOOGL, 11/24/2015, 772.53, 775.56, 758.04, 769.62, -1 
GOOGL, 11/25/2015, 770.0, 772.6, 766.26, 769.25, -1 
GOOGL, 11/27/2015, 769.0, 773.88, 766.81, 771.97, -1 
GOOGL, 11/30/2015, 771.38, 774.94, 761.12, 762.84, -1 
GOOGL, 12/01/2015, 765.01, 784.99, 765.01, 783.78, -1 
GOOGL, 12/02/2015, 784.0, 793.0, 776.14, 777.84, -1 
GOOGL, 12/03/2015, 780.56, 783.84, 762.43, 768.19, -1 
GOOGL, 12/04/2015, 769.15, 782.0, 765.3, 778.81, -1 
GOOGL, 12/07/2015, 779.5, 780.69, 766.57, 772.69, -1 
GOOGL, 12/08/2015, 764.35, 778.42, 762.39, 775.02, -1 
GOOGL, 12/09/2015, 769.84, 775.75, 752.0, 762.45, -1 
GOOGL, 12/10/2015, 762.52, 765.93, 755.0, 759.82, -1 
GOOGL, 12/11/2015, 749.0, 757.15, 748.56, 750.15, -1 
GOOGL, 12/14/2015, 750.66, 763.84, 736.2, 762.54, -1 
GOOGL, 12/15/2015, 767.78, 774.72, 757.9, 760.0, -1 
GOOGL, 12/16/2015, 764.14, 780.97, 756.79, 776.58, -1 
GOOGL, 12/17/2015, 780.5, 781.29, 769.29, 769.83, -1 
GOOGL, 12/18/2015, 765.59, 773.65, 756.52, 756.85, -1 
GOOGL, 12/21/2015, 762.1, 765.99, 754.14, 760.44, -1 
GOOGL, 12/22/2015, 763.25, 770.04, 761.2, 767.12, -1 
GOOGL, 12/23/2015, 769.62, 771.83, 757.57, 768.35, -1 
GOOGL, 12/24/2015, 767.51, 768.74, 764.05, 765.49, -1 
GOOGL, 12/28/2015, 767.01, 782.74, 767.01, 782.21, -1 
GOOGL, 12/29/2015, 785.3, 798.65, 785.3, 793.87, -1 
GOOGL, 12/30/2015, 792.5, 796.23, 787.0, 789.95, -1 
GOOGL, 12/31/2015, 787.37, 788.13, 777.17, 777.93, -1 
GOOGL, 01/04/2016, 759.1, 760.53, 747.51, 759.4, -1 
GOOGL, 01/05/2016, 761.82, 768.97, 755.55, 761.48, -1 
GOOGL, 01/06/2016, 749.0, 765.51, 748.0, 759.3, -1 
GOOGL, 01/07/2016, 746.0, 754.8, 735.28, 741.0, -1 
GOOGL, 01/08/2016, 748.5, 749.88, 728.7, 730.4, -1 
GOOGL, 01/11/2016, 732.34, 735.0, 719.5, 733.06, -1 
GOOGL, 01/12/2016, 739.5, 748.26, 736.3, 745.34, -1 
GOOGL, 01/13/2016, 749.0, 752.47, 716.67, 719.56, -1 
GOOGL, 01/14/2016, 722.36, 739.72, 705.25, 731.28, -1 
GOOGL, 01/15/2016, 708.5, 723.38, 701.26, 710.3, -1 
GOOGL, 01/19/2016, 719.35, 724.9, 709.51, 718.69, -1 
GOOGL, 01/20/2016, 704.93, 726.3, 687.48, 718.29, -1 
GOOGL, 01/21/2016, 720.0, 737.09, 711.11, 726.17, -1 
GOOGL, 01/22/2016, 741.1, 748.29, 740.0, 745.08, -1 
GOOGL, 01/25/2016, 742.87, 752.1, 732.41, 733.61, -1 
GOOGL, 01/26/2016, 735.45, 739.18, 726.76, 733.79, -1 
GOOGL, 01/27/2016, 729.73, 735.33, 713.3, 717.58, -1 
GOOGL, 01/28/2016, 737.1, 751.05, 730.5, 748.2, -1 
GOOGL, 01/29/2016, 745.3, 764.98, 744.0, 759.92, -1 
GOOGL, 02/01/2016, 769.16, 777.57, 761.35, 769.75, -1 
GOOGL, 02/02/2016, 799.0, 810.2, 780.59, 780.68, -1 
GOOGL, 02/03/2016, 786.0, 791.09, 736.13, 749.31, -1 
GOOGL, 02/04/2016, 744.21, 745.01, 722.55, 729.72, -1 
GOOGL, 02/05/2016, 725.5, 725.94, 700.1, 703.7, -1 
GOOGL, 02/08/2016, 686.75, 704.2, 682.0, 703.78, -1 
GOOGL, 02/09/2016, 692.59, 720.53, 688.5, 700.83, -1 
GOOGL, 02/10/2016, 711.71, 722.83, 705.39, 706.85, -1 
GOOGL, 02/11/2016, 696.0, 712.0, 691.0, 705.75, -1 
GOOGL, 02/12/2016, 712.21, 715.01, 701.47, 706.41, -1 
GOOGL, 02/16/2016, 715.74, 722.48, 710.1, 717.06, -1 
GOOGL, 02/17/2016, 726.17, 733.54, 716.6, 731.72, -1 
GOOGL, 02/18/2016, 732.99, 735.24, 715.36, 717.0, -1 
GOOGL, 02/19/2016, 715.36, 724.0, 713.0, 722.2, -1 
GOOGL, 02/22/2016, 729.5, 734.5, 723.35, 728.94, -1 
GOOGL, 02/23/2016, 724.0, 730.37, 715.6, 717.19, -1 
GOOGL, 02/24/2016, 710.55, 721.11, 702.0, 720.89, -1 
GOOGL, 02/25/2016, 722.57, 729.1, 713.13, 728.7, -1 
GOOGL, 02/26/2016, 732.5, 735.91, 721.65, 724.59, -1 
GOOGL, 02/29/2016, 721.0, 730.17, 717.0, 717.24, -1 
GOOGL, 03/01/2016, 720.12, 742.22, 718.39, 742.16, -1 
GOOGL, 03/02/2016, 742.93, 742.99, 733.2, 739.03, -1 
GOOGL, 03/03/2016, 736.1, 741.0, 729.56, 731.35, -1 
GOOGL, 03/04/2016, 731.15, 734.83, 725.32, 730.05, -1 
GOOGL, 03/07/2016, 724.42, 726.8, 705.14, 712.77, -1 
GOOGL, 03/08/2016, 707.51, 722.02, 704.0, 713.16, -1 
GOOGL, 03/09/2016, 714.54, 726.1, 712.61, 725.16, -1 
GOOGL, 03/10/2016, 727.3, 736.08, 723.0, 732.16, -1 
GOOGL, 03/11/2016, 739.93, 744.89, 736.49, 744.62, -1 
GOOGL, 03/14/2016, 745.31, 753.83, 743.0, 750.06, -1 
GOOGL, 03/15/2016, 745.46, 753.0, 742.83, 750.36, -1 
GOOGL, 03/16/2016, 748.0, 758.69, 746.37, 757.54, -1 
GOOGL, 03/17/2016, 757.26, 765.13, 757.26, 758.47, -1 
GOOGL, 03/18/2016, 760.62, 762.0, 751.79, 755.38, -1 
GOOGL, 03/21/2016, 753.55, 763.11, 751.2, 761.97, -1 
GOOGL, 03/22/2016, 757.4, 764.54, 756.7, 759.82, -1 
GOOGL, 03/23/2016, 761.24, 764.67, 755.54, 757.55, -1 
GOOGL, 03/24/2016, 751.2, 756.92, 750.45, 754.7, -1 
GOOGL, 03/28/2016, 756.17, 757.84, 752.01, 753.27, -1 
GOOGL, 03/29/2016, 751.51, 767.16, 748.11, 765.76, -1 
GOOGL, 03/30/2016, 770.57, 777.14, 767.52, 768.34, -1 
GOOGL, 03/31/2016, 766.6, 769.05, 758.25, 762.57, -1 
GOOGL, 04/01/2016, 758.0, 769.91, 755.0, 769.08, -1 
GOOGL, 04/04/2016, 768.6, 771.85, 761.52, 764.7, -1 
GOOGL, 04/05/2016, 757.3, 762.64, 755.41, 758.56, -1 
GOOGL, 04/06/2016, 756.04, 768.24, 755.8, 767.72, -1 
GOOGL, 04/07/2016, 764.98, 769.2, 757.5, 760.09, -1 
GOOGL, 04/08/2016, 764.55, 767.0, 755.74, 759.29, -1 
GOOGL, 04/11/2016, 763.2, 767.1, 757.11, 757.53, -1 
