Symbol, Date, Open, High, Low, Close, Volume 
GPS, 10/30/2015, 26.4, 27.28, 26.38, 27.21, -1 
GPS, 11/02/2015, 26.99, 27.35, 26.46, 27.26, -1 
GPS, 11/03/2015, 26.52, 28.42, 26.52, 28.25, -1 
GPS, 11/04/2015, 28.2, 28.46, 27.86, 28.01, -1 
GPS, 11/05/2015, 28.12, 28.38, 27.91, 28.36, -1 
GPS, 11/06/2015, 27.65, 28.64, 27.65, 28.49, -1 
GPS, 11/09/2015, 28.25, 28.44, 27.45, 27.69, -1 
GPS, 11/10/2015, 25.93, 27.38, 25.93, 27.27, -1 
GPS, 11/11/2015, 27.09, 27.14, 25.88, 26.62, -1 
GPS, 11/12/2015, 26.22, 26.93, 26.15, 26.52, -1 
GPS, 11/13/2015, 26.16, 26.2, 25.08, 25.22, -1 
GPS, 11/16/2015, 24.13, 25.54, 24.13, 25.38, -1 
GPS, 11/17/2015, 24.27, 25.49, 24.27, 25.05, -1 
GPS, 11/18/2015, 24.97, 25.45, 24.96, 25.39, -1 
GPS, 11/19/2015, 25.17, 25.57, 25.04, 25.09, -1 
GPS, 11/20/2015, 25.77, 27.01, 25.77, 26.96, -1 
GPS, 11/23/2015, 26.77, 27.1, 26.74, 27.07, -1 
GPS, 11/24/2015, 27.13, 27.85, 27.11, 27.8, -1 
GPS, 11/25/2015, 27.43, 28.34, 27.43, 28.04, -1 
GPS, 11/27/2015, 27.56, 28.19, 27.3, 27.35, -1 
GPS, 11/30/2015, 27.05, 27.5, 26.5, 26.72, -1 
GPS, 12/01/2015, 26.59, 26.99, 26.43, 26.67, -1 
GPS, 12/02/2015, 26.47, 26.91, 26.19, 26.21, -1 
GPS, 12/03/2015, 25.51, 26.41, 25.48, 26.1, -1 
GPS, 12/04/2015, 25.11, 26.48, 25.11, 26.19, -1 
GPS, 12/07/2015, 25.92, 26.48, 25.67, 26.29, -1 
GPS, 12/08/2015, 25.98, 26.61, 25.96, 26.48, -1 
GPS, 12/09/2015, 26.27, 27.3, 26.27, 26.51, -1 
GPS, 12/10/2015, 26.38, 27.03, 26.38, 26.43, -1 
GPS, 12/11/2015, 25.99, 26.22, 25.9, 26.05, -1 
GPS, 12/14/2015, 25.97, 26.77, 25.53, 25.73, -1 
GPS, 12/15/2015, 25.78, 26.29, 25.71, 25.76, -1 
GPS, 12/16/2015, 25.8, 26.35, 25.8, 26.29, -1 
GPS, 12/17/2015, 26.28, 26.58, 25.19, 25.19, -1 
GPS, 12/18/2015, 25.07, 25.1, 24.54, 24.94, -1 
GPS, 12/21/2015, 24.98, 25.27, 24.59, 24.76, -1 
GPS, 12/22/2015, 24.76, 25.8, 24.76, 25.58, -1 
GPS, 12/23/2015, 25.63, 25.91, 25.19, 25.72, -1 
GPS, 12/24/2015, 25.63, 25.74, 25.3, 25.35, -1 
GPS, 12/28/2015, 25.14, 25.37, 24.88, 25.1, -1 
GPS, 12/29/2015, 25.1, 25.87, 25.1, 25.62, -1 
GPS, 12/30/2015, 25.5, 25.81, 25.19, 25.23, -1 
GPS, 12/31/2015, 25.06, 25.2, 24.69, 24.69, -1 
GPS, 01/04/2016, 23.89, 25.6, 23.86, 25.51, -1 
GPS, 01/05/2016, 25.48, 26.42, 25.42, 26.28, -1 
GPS, 01/06/2016, 25.82, 26.28, 25.07, 25.28, -1 
GPS, 01/07/2016, 23.77, 26.79, 23.77, 26.72, -1 
GPS, 01/08/2016, 24.97, 25.28, 22.63, 22.9, -1 
GPS, 01/11/2016, 23.0, 23.01, 22.35, 22.67, -1 
GPS, 01/12/2016, 22.57, 23.21, 22.36, 22.84, -1 
GPS, 01/13/2016, 22.89, 23.21, 22.43, 22.48, -1 
GPS, 01/14/2016, 22.42, 23.62, 22.26, 23.22, -1 
GPS, 01/15/2016, 22.47, 23.71, 22.47, 23.26, -1 
GPS, 01/19/2016, 22.95, 23.33, 22.38, 22.7, -1 
GPS, 01/20/2016, 22.32, 22.78, 21.56, 22.45, -1 
GPS, 01/21/2016, 22.42, 23.22, 22.42, 22.99, -1 
GPS, 01/22/2016, 23.1, 23.69, 22.96, 23.66, -1 
GPS, 01/25/2016, 23.41, 24.09, 22.93, 23.05, -1 
GPS, 01/26/2016, 23.04, 24.19, 22.96, 23.89, -1 
GPS, 01/27/2016, 23.58, 24.28, 23.46, 23.75, -1 
GPS, 01/28/2016, 23.86, 24.2, 23.73, 24.01, -1 
GPS, 01/29/2016, 23.92, 24.8, 23.92, 24.71, -1 
GPS, 02/01/2016, 24.37, 24.85, 24.14, 24.73, -1 
GPS, 02/02/2016, 24.33, 25.04, 24.05, 24.29, -1 
GPS, 02/03/2016, 24.3, 24.68, 23.79, 24.45, -1 
GPS, 02/04/2016, 23.67, 24.42, 23.67, 23.89, -1 
GPS, 02/05/2016, 23.67, 24.02, 23.13, 23.77, -1 
GPS, 02/08/2016, 23.21, 24.07, 23.21, 23.98, -1 
GPS, 02/09/2016, 23.92, 24.75, 23.06, 23.27, -1 
GPS, 02/10/2016, 23.32, 23.49, 22.4, 22.54, -1 
GPS, 02/11/2016, 22.07, 22.78, 22.03, 22.42, -1 
GPS, 02/12/2016, 22.16, 23.76, 22.16, 23.72, -1 
GPS, 02/16/2016, 23.82, 24.53, 23.39, 24.51, -1 
GPS, 02/17/2016, 24.49, 25.74, 24.49, 25.44, -1 
GPS, 02/18/2016, 25.33, 26.18, 25.0, 26.17, -1 
GPS, 02/19/2016, 25.47, 26.45, 25.16, 26.23, -1 
GPS, 02/22/2016, 25.75, 27.26, 25.75, 27.06, -1 
GPS, 02/23/2016, 26.19, 27.51, 26.19, 27.26, -1 
GPS, 02/24/2016, 26.64, 27.5, 26.31, 27.27, -1 
GPS, 02/25/2016, 27.08, 27.68, 26.64, 27.6, -1 
GPS, 02/26/2016, 26.93, 27.87, 26.19, 27.22, -1 
GPS, 02/29/2016, 27.12, 27.91, 27.12, 27.64, -1 
GPS, 03/01/2016, 27.63, 28.24, 27.63, 28.14, -1 
GPS, 03/02/2016, 28.13, 28.36, 27.93, 28.36, -1 
GPS, 03/03/2016, 28.29, 28.57, 27.99, 28.53, -1 
GPS, 03/04/2016, 28.56, 29.93, 28.55, 29.28, -1 
GPS, 03/07/2016, 28.91, 30.16, 28.91, 29.43, -1 
GPS, 03/08/2016, 29.3, 30.3, 29.3, 29.68, -1 
GPS, 03/09/2016, 29.9, 30.08, 29.49, 29.69, -1 
GPS, 03/10/2016, 29.7, 30.24, 29.13, 29.58, -1 
GPS, 03/11/2016, 29.91, 30.22, 29.65, 30.17, -1 
GPS, 03/14/2016, 29.88, 30.38, 29.88, 30.17, -1 
GPS, 03/15/2016, 29.93, 30.16, 29.05, 29.71, -1 
GPS, 03/16/2016, 28.53, 29.35, 28.53, 29.29, -1 
GPS, 03/17/2016, 28.99, 29.96, 28.99, 29.88, -1 
