Symbol, Date, Open, High, Low, Close, Volume 
HAL, 10/30/2015, 38.19, 38.73, 37.7, 38.38, -1 
HAL, 11/02/2015, 38.01, 39.43, 38.01, 39.3, -1 
HAL, 11/03/2015, 39.46, 40.3, 39.29, 40.03, -1 
HAL, 11/04/2015, 40.0, 40.14, 38.67, 39.21, -1 
HAL, 11/05/2015, 38.81, 39.52, 38.17, 38.41, -1 
HAL, 11/06/2015, 37.74, 39.38, 37.74, 39.37, -1 
HAL, 11/09/2015, 39.04, 39.46, 38.59, 39.11, -1 
HAL, 11/10/2015, 38.88, 39.49, 38.64, 38.93, -1 
HAL, 11/11/2015, 38.76, 38.84, 37.43, 38.1, -1 
HAL, 11/12/2015, 37.34, 38.32, 37.18, 37.49, -1 
HAL, 11/13/2015, 37.22, 38.04, 36.77, 37.4, -1 
HAL, 11/16/2015, 37.26, 38.58, 37.17, 38.49, -1 
HAL, 11/17/2015, 37.85, 38.57, 37.85, 38.13, -1 
HAL, 11/18/2015, 38.28, 39.24, 38.28, 38.91, -1 
HAL, 11/19/2015, 38.55, 39.07, 37.85, 38.04, -1 
HAL, 11/20/2015, 37.93, 38.31, 37.54, 38.0, -1 
HAL, 11/23/2015, 37.55, 38.45, 37.55, 38.35, -1 
HAL, 11/24/2015, 38.51, 40.23, 38.5, 39.75, -1 
HAL, 11/25/2015, 39.29, 39.99, 39.0, 39.31, -1 
HAL, 11/27/2015, 38.79, 39.34, 38.75, 39.15, -1 
HAL, 11/30/2015, 39.24, 40.15, 39.07, 39.85, -1 
HAL, 12/01/2015, 39.4, 40.41, 39.39, 40.38, -1 
HAL, 12/02/2015, 39.86, 40.51, 38.89, 38.95, -1 
HAL, 12/03/2015, 39.01, 39.37, 37.61, 38.0, -1 
HAL, 12/04/2015, 37.2, 38.03, 36.91, 37.89, -1 
HAL, 12/07/2015, 36.65, 37.08, 35.88, 36.57, -1 
HAL, 12/08/2015, 35.56, 37.36, 35.56, 36.27, -1 
HAL, 12/09/2015, 36.32, 38.3, 36.3, 38.3, -1 
HAL, 12/10/2015, 37.98, 38.77, 37.68, 38.15, -1 
HAL, 12/11/2015, 37.56, 37.85, 36.88, 36.95, -1 
HAL, 12/14/2015, 36.68, 37.41, 36.03, 36.57, -1 
HAL, 12/15/2015, 36.89, 38.44, 35.5, 37.1, -1 
HAL, 12/16/2015, 36.8, 37.04, 35.65, 35.83, -1 
HAL, 12/17/2015, 35.72, 35.96, 34.09, 34.17, -1 
HAL, 12/18/2015, 33.89, 34.03, 33.29, 33.44, -1 
HAL, 12/21/2015, 33.19, 34.08, 33.14, 33.4, -1 
HAL, 12/22/2015, 33.3, 34.35, 33.3, 34.03, -1 
HAL, 12/23/2015, 34.81, 35.45, 34.72, 35.44, -1 
HAL, 12/24/2015, 35.37, 35.5, 34.92, 35.13, -1 
HAL, 12/28/2015, 34.5, 34.76, 34.06, 34.3, -1 
HAL, 12/29/2015, 34.7, 35.17, 34.2, 34.48, -1 
HAL, 12/30/2015, 33.85, 34.62, 33.85, 34.13, -1 
HAL, 12/31/2015, 33.82, 34.47, 33.82, 34.03, -1 
HAL, 01/04/2016, 33.73, 34.59, 33.56, 34.49, -1 
HAL, 01/05/2016, 34.34, 34.71, 33.75, 34.4, -1 
HAL, 01/06/2016, 33.49, 34.18, 33.06, 33.42, -1 
HAL, 01/07/2016, 32.64, 33.74, 32.64, 32.91, -1 
HAL, 01/08/2016, 32.95, 33.19, 32.27, 32.44, -1 
HAL, 01/11/2016, 32.3, 32.49, 30.83, 31.53, -1 
HAL, 01/12/2016, 31.45, 32.1, 30.61, 31.47, -1 
HAL, 01/13/2016, 31.49, 32.09, 30.38, 30.45, -1 
HAL, 01/14/2016, 30.45, 32.04, 29.63, 31.83, -1 
HAL, 01/15/2016, 30.38, 31.29, 30.25, 30.84, -1 
HAL, 01/19/2016, 30.88, 30.97, 29.37, 29.78, -1 
