Symbol, Date, Open, High, Low, Close, Volume 
HRL, 10/30/2015, 32.27, 34.08, 32.27, 33.77, -1 
HRL, 11/02/2015, 33.8, 34.05, 33.35, 33.77, -1 
HRL, 11/03/2015, 32.0, 33.9, 32.0, 33.88, -1 
HRL, 11/04/2015, 33.76, 34.0, 33.39, 33.61, -1 
HRL, 11/05/2015, 33.41, 33.86, 33.38, 33.81, -1 
HRL, 11/06/2015, 33.59, 33.67, 32.99, 33.3, -1 
HRL, 11/09/2015, 33.09, 33.37, 32.92, 33.29, -1 
HRL, 11/10/2015, 33.16, 33.61, 33.16, 33.54, -1 
HRL, 11/11/2015, 31.98, 33.9, 31.84, 33.67, -1 
HRL, 11/12/2015, 33.35, 33.62, 33.11, 33.22, -1 
HRL, 11/13/2015, 32.99, 33.38, 32.97, 33.08, -1 
HRL, 11/16/2015, 32.74, 33.92, 32.74, 33.91, -1 
HRL, 11/17/2015, 33.81, 34.01, 33.6, 33.82, -1 
HRL, 11/18/2015, 33.68, 34.25, 33.66, 34.22, -1 
HRL, 11/19/2015, 33.12, 34.59, 33.1, 34.41, -1 
HRL, 11/20/2015, 34.35, 34.6, 34.06, 34.08, -1 
HRL, 11/23/2015, 33.93, 34.72, 33.91, 34.64, -1 
HRL, 11/24/2015, 35.15, 35.82, 34.98, 35.65, -1 
HRL, 11/25/2015, 36.08, 36.98, 36.01, 36.77, -1 
HRL, 11/27/2015, 36.83, 37.6, 36.59, 37.51, -1 
HRL, 11/30/2015, 37.38, 37.71, 37.19, 37.46, -1 
HRL, 12/01/2015, 37.67, 38.21, 37.42, 37.74, -1 
HRL, 12/02/2015, 37.53, 38.04, 37.52, 37.74, -1 
HRL, 12/03/2015, 37.59, 38.49, 37.59, 37.88, -1 
HRL, 12/04/2015, 37.88, 38.84, 37.88, 38.77, -1 
HRL, 12/07/2015, 38.56, 38.91, 38.42, 38.71, -1 
HRL, 12/08/2015, 38.23, 38.95, 38.23, 38.85, -1 
HRL, 12/09/2015, 38.57, 39.32, 38.31, 38.51, -1 
HRL, 12/10/2015, 38.33, 38.79, 38.33, 38.52, -1 
HRL, 12/11/2015, 38.13, 38.9, 38.1, 38.72, -1 
HRL, 12/14/2015, 38.1, 39.06, 38.06, 38.99, -1 
HRL, 12/15/2015, 39.1, 39.34, 38.72, 39.01, -1 
HRL, 12/16/2015, 37.9, 39.99, 37.89, 39.92, -1 
HRL, 12/17/2015, 39.88, 40.1, 39.45, 39.74, -1 
HRL, 12/18/2015, 39.44, 39.7, 39.25, 39.4, -1 
HRL, 12/21/2015, 39.52, 39.89, 39.45, 39.83, -1 
HRL, 12/22/2015, 39.85, 40.26, 39.52, 40.25, -1 
HRL, 12/23/2015, 40.22, 40.36, 39.34, 39.87, -1 
HRL, 12/24/2015, 39.7, 40.08, 39.68, 39.9, -1 
HRL, 12/28/2015, 39.6, 40.01, 39.58, 40.0, -1 
HRL, 12/29/2015, 39.85, 40.32, 39.83, 40.24, -1 
HRL, 12/30/2015, 39.9, 40.02, 39.53, 39.81, -1 
HRL, 12/31/2015, 39.55, 39.85, 39.46, 39.53, -1 
HRL, 01/04/2016, 39.07, 39.16, 38.79, 39.12, -1 
HRL, 01/05/2016, 38.99, 39.95, 38.97, 39.9, -1 
HRL, 01/06/2016, 39.37, 40.27, 39.2, 40.06, -1 
HRL, 01/07/2016, 39.55, 39.69, 38.89, 39.31, -1 
HRL, 01/08/2016, 39.35, 39.9, 39.01, 39.09, -1 
