Symbol, Date, Open, High, Low, Close, Volume 
HSIC, 10/30/2015, 145.01, 152.38, 145.01, 151.69, -1 
HSIC, 11/02/2015, 145.0, 154.02, 145.0, 154.0, -1 
HSIC, 11/03/2015, 146.16, 153.63, 146.16, 152.37, -1 
HSIC, 11/04/2015, 147.36, 155.78, 147.36, 154.92, -1 
HSIC, 11/05/2015, 155.09, 155.42, 153.71, 154.21, -1 
HSIC, 11/06/2015, 151.01, 153.76, 151.0, 153.65, -1 
HSIC, 11/09/2015, 151.01, 153.27, 151.01, 152.88, -1 
HSIC, 11/10/2015, 151.0, 154.83, 151.0, 154.82, -1 
HSIC, 11/11/2015, 154.02, 155.8, 153.3, 153.81, -1 
HSIC, 11/12/2015, 152.0, 154.21, 152.0, 152.83, -1 
HSIC, 11/13/2015, 152.51, 153.08, 150.52, 151.01, -1 
HSIC, 11/16/2015, 145.68, 154.23, 145.68, 154.02, -1 
HSIC, 11/17/2015, 145.87, 155.12, 145.87, 154.18, -1 
HSIC, 11/18/2015, 129.6, 156.81, 129.6, 156.57, -1 
HSIC, 11/19/2015, 148.59, 157.34, 148.58, 154.97, -1 
HSIC, 11/20/2015, 147.14, 157.24, 147.14, 156.06, -1 
HSIC, 11/23/2015, 148.09, 156.78, 148.09, 155.48, -1 
HSIC, 11/24/2015, 149.04, 154.82, 149.04, 154.54, -1 
HSIC, 11/25/2015, 148.56, 156.13, 148.56, 155.4, -1 
HSIC, 11/27/2015, 147.54, 157.05, 147.53, 156.54, -1 
HSIC, 11/30/2015, 157.34, 157.34, 154.79, 156.43, -1 
HSIC, 12/01/2015, 142.01, 159.95, 142.01, 159.08, -1 
HSIC, 12/02/2015, 151.69, 159.91, 151.69, 159.1, -1 
HSIC, 12/03/2015, 155.21, 159.16, 155.21, 156.29, -1 
HSIC, 12/04/2015, 156.31, 158.34, 156.31, 158.33, -1 
HSIC, 12/07/2015, 154.56, 159.38, 154.56, 159.21, -1 
HSIC, 12/08/2015, 154.46, 158.53, 154.46, 157.7, -1 
HSIC, 12/09/2015, 154.46, 158.15, 154.23, 155.12, -1 
HSIC, 12/10/2015, 147.61, 156.05, 147.61, 154.73, -1 
HSIC, 12/11/2015, 144.9, 153.9, 144.89, 153.13, -1 
HSIC, 12/14/2015, 145.36, 154.5, 145.36, 153.8, -1 
HSIC, 12/15/2015, 153.81, 155.45, 152.62, 153.43, -1 
HSIC, 12/16/2015, 153.5, 155.86, 152.37, 154.89, -1 
HSIC, 12/17/2015, 155.1, 156.27, 154.73, 155.15, -1 
HSIC, 12/18/2015, 145.4, 155.08, 145.4, 152.14, -1 
HSIC, 12/21/2015, 144.39, 154.44, 144.38, 153.88, -1 
HSIC, 12/22/2015, 155.06, 155.5, 152.62, 154.74, -1 
HSIC, 12/23/2015, 146.86, 157.5, 146.86, 157.38, -1 
HSIC, 12/24/2015, 149.04, 157.71, 149.03, 157.05, -1 
HSIC, 12/28/2015, 148.47, 158.76, 148.46, 158.48, -1 
HSIC, 12/29/2015, 157.84, 161.0, 157.84, 160.47, -1 
HSIC, 12/30/2015, 157.85, 161.49, 157.85, 159.91, -1 
HSIC, 12/31/2015, 157.84, 160.39, 157.84, 158.13, -1 
HSIC, 01/04/2016, 151.62, 156.21, 151.62, 155.18, -1 
HSIC, 01/05/2016, 146.78, 156.86, 146.77, 155.75, -1 
HSIC, 01/06/2016, 145.7, 154.91, 145.69, 154.16, -1 
HSIC, 01/07/2016, 143.7, 153.89, 143.69, 151.61, -1 
