Symbol, Date, Open, High, Low, Close, Volume 
HUM, 10/30/2015, 171.69, 181.14, 171.69, 178.67, -1 
HUM, 11/02/2015, 177.19, 181.87, 177.0, 180.67, -1 
HUM, 11/03/2015, 179.0, 180.0, 176.95, 178.53, -1 
HUM, 11/04/2015, 171.5, 178.88, 171.5, 176.85, -1 
HUM, 11/05/2015, 173.1, 179.89, 173.1, 179.13, -1 
HUM, 11/06/2015, 176.02, 177.64, 174.31, 177.16, -1 
HUM, 11/09/2015, 175.51, 177.93, 175.11, 177.59, -1 
HUM, 11/10/2015, 176.13, 178.29, 175.58, 176.48, -1 
HUM, 11/11/2015, 176.22, 177.26, 170.61, 171.04, -1 
HUM, 11/12/2015, 164.08, 172.42, 162.8, 169.06, -1 
HUM, 11/13/2015, 167.7, 170.38, 166.77, 167.43, -1 
HUM, 11/16/2015, 162.89, 169.79, 162.89, 169.03, -1 
HUM, 11/17/2015, 162.8, 171.69, 162.8, 169.47, -1 
HUM, 11/18/2015, 162.83, 171.54, 162.83, 171.08, -1 
HUM, 11/19/2015, 165.04, 168.11, 163.31, 164.36, -1 
HUM, 11/20/2015, 164.27, 169.24, 164.27, 167.64, -1 
HUM, 11/23/2015, 162.56, 170.23, 162.56, 168.08, -1 
HUM, 11/24/2015, 166.13, 168.63, 166.13, 168.35, -1 
HUM, 11/25/2015, 166.84, 169.33, 166.84, 168.34, -1 
HUM, 11/27/2015, 165.45, 169.89, 165.45, 168.92, -1 
HUM, 11/30/2015, 165.45, 170.24, 165.45, 168.67, -1 
HUM, 12/01/2015, 168.48, 173.57, 168.24, 173.55, -1 
HUM, 12/02/2015, 170.04, 175.5, 170.04, 173.18, -1 
HUM, 12/03/2015, 172.48, 173.26, 168.2, 168.66, -1 
HUM, 12/04/2015, 164.87, 172.55, 164.87, 170.66, -1 
HUM, 12/07/2015, 168.02, 170.9, 168.01, 169.49, -1 
HUM, 12/08/2015, 166.12, 170.49, 166.12, 169.9, -1 
HUM, 12/09/2015, 168.02, 171.19, 168.02, 170.8, -1 
HUM, 12/10/2015, 170.02, 173.01, 170.0, 171.93, -1 
HUM, 12/11/2015, 168.02, 174.15, 168.02, 172.81, -1 
HUM, 12/14/2015, 172.52, 175.06, 171.84, 174.89, -1 
HUM, 12/15/2015, 173.5, 176.88, 173.5, 175.76, -1 
HUM, 12/16/2015, 166.71, 177.95, 166.7, 176.34, -1 
HUM, 12/17/2015, 175.52, 177.73, 175.2, 176.88, -1 
HUM, 12/18/2015, 175.54, 177.03, 174.86, 175.17, -1 
HUM, 12/21/2015, 167.27, 176.61, 166.81, 176.11, -1 
HUM, 12/22/2015, 175.46, 177.04, 174.22, 176.06, -1 
HUM, 12/23/2015, 167.25, 179.34, 167.25, 179.14, -1 
HUM, 12/24/2015, 177.9, 180.05, 177.9, 178.19, -1 
HUM, 12/28/2015, 167.62, 178.32, 165.9, 177.88, -1 
HUM, 12/29/2015, 165.51, 180.1, 165.51, 179.04, -1 
HUM, 12/30/2015, 177.9, 179.46, 177.49, 179.0, -1 
HUM, 12/31/2015, 177.5, 179.66, 177.5, 178.43, -1 
HUM, 01/04/2016, 175.03, 179.83, 175.03, 179.8, -1 
HUM, 01/05/2016, 169.86, 181.29, 169.85, 179.56, -1 
HUM, 01/06/2016, 176.8, 179.24, 175.01, 176.57, -1 
HUM, 01/07/2016, 174.47, 176.43, 173.5, 175.05, -1 
HUM, 01/08/2016, 172.13, 175.72, 172.12, 172.82, -1 
HUM, 01/11/2016, 163.02, 173.08, 163.02, 169.0, -1 
HUM, 01/12/2016, 161.34, 171.88, 160.8, 168.83, -1 
HUM, 01/13/2016, 165.82, 170.0, 163.49, 163.83, -1 
HUM, 01/14/2016, 158.56, 167.73, 157.43, 167.14, -1 
HUM, 01/15/2016, 157.81, 165.95, 157.8, 162.16, -1 
HUM, 01/19/2016, 162.16, 167.23, 162.16, 163.99, -1 
HUM, 01/20/2016, 161.58, 166.11, 157.43, 164.77, -1 
HUM, 01/21/2016, 164.35, 167.08, 163.02, 166.11, -1 
HUM, 01/22/2016, 165.13, 167.84, 165.09, 166.2, -1 
HUM, 01/25/2016, 165.04, 166.35, 162.87, 163.33, -1 
HUM, 01/26/2016, 154.73, 165.49, 154.73, 164.61, -1 
HUM, 01/27/2016, 155.3, 164.81, 155.3, 161.23, -1 
HUM, 01/28/2016, 158.44, 162.49, 158.33, 159.77, -1 
HUM, 01/29/2016, 154.12, 163.13, 154.12, 162.75, -1 
HUM, 02/01/2016, 158.01, 168.21, 158.01, 167.49, -1 
HUM, 02/02/2016, 165.37, 167.53, 164.18, 166.88, -1 
HUM, 02/03/2016, 158.41, 166.94, 158.34, 166.72, -1 
HUM, 02/04/2016, 157.65, 169.64, 157.21, 168.6, -1 
HUM, 02/05/2016, 166.95, 168.72, 163.21, 164.7, -1 
HUM, 02/08/2016, 162.29, 164.73, 155.99, 157.37, -1 
HUM, 02/09/2016, 154.48, 161.19, 154.48, 159.65, -1 
HUM, 02/10/2016, 144.76, 164.82, 144.76, 160.98, -1 
HUM, 02/11/2016, 158.04, 160.48, 157.0, 157.89, -1 
HUM, 02/12/2016, 151.15, 160.43, 151.06, 160.07, -1 
HUM, 02/16/2016, 160.46, 166.68, 160.46, 166.58, -1 
HUM, 02/17/2016, 158.15, 169.37, 158.13, 168.31, -1 
HUM, 02/18/2016, 159.74, 168.76, 159.74, 166.99, -1 
HUM, 02/19/2016, 166.27, 167.41, 164.31, 165.34, -1 
HUM, 02/22/2016, 158.64, 171.81, 158.61, 171.74, -1 
HUM, 02/23/2016, 170.52, 173.57, 169.8, 172.76, -1 
HUM, 02/24/2016, 170.56, 172.83, 169.55, 172.22, -1 
HUM, 02/25/2016, 165.3, 176.7, 165.3, 176.65, -1 
HUM, 02/26/2016, 175.47, 181.48, 175.47, 178.67, -1 
HUM, 02/29/2016, 174.29, 180.74, 174.29, 176.93, -1 
HUM, 03/01/2016, 176.46, 181.37, 176.46, 181.17, -1 
HUM, 03/02/2016, 179.41, 183.1, 179.41, 182.8, -1 
HUM, 03/03/2016, 179.85, 183.48, 179.85, 183.24, -1 
HUM, 03/04/2016, 179.89, 185.12, 179.89, 183.12, -1 
HUM, 03/07/2016, 179.87, 184.47, 179.87, 184.24, -1 
HUM, 03/08/2016, 182.67, 183.97, 182.01, 182.53, -1 
HUM, 03/09/2016, 179.68, 185.46, 179.68, 184.4, -1 
HUM, 03/10/2016, 184.23, 186.0, 183.5, 184.77, -1 
HUM, 03/11/2016, 184.6, 186.96, 184.58, 186.86, -1 
HUM, 03/14/2016, 185.05, 187.08, 185.05, 186.23, -1 
HUM, 03/15/2016, 185.01, 185.69, 183.02, 183.86, -1 
HUM, 03/16/2016, 180.03, 184.64, 180.03, 183.45, -1 
HUM, 03/17/2016, 181.05, 182.75, 179.12, 182.55, -1 
HUM, 03/18/2016, 172.61, 185.86, 172.61, 184.42, -1 
HUM, 03/21/2016, 183.17, 184.26, 182.66, 183.68, -1 
HUM, 03/22/2016, 178.41, 185.36, 178.41, 184.32, -1 
HUM, 03/23/2016, 183.36, 184.32, 182.33, 183.51, -1 
HUM, 03/24/2016, 176.19, 184.51, 176.19, 183.96, -1 
HUM, 03/28/2016, 183.29, 184.86, 182.82, 182.97, -1 
HUM, 03/29/2016, 173.96, 186.22, 173.96, 185.81, -1 
HUM, 03/30/2016, 177.85, 187.25, 177.85, 184.85, -1 
HUM, 03/31/2016, 184.08, 184.52, 182.46, 182.87, -1 
HUM, 04/01/2016, 181.28, 184.94, 181.28, 184.78, -1 
HUM, 04/04/2016, 183.58, 187.33, 183.54, 185.47, -1 
HUM, 04/05/2016, 176.53, 183.08, 176.53, 181.03, -1 
HUM, 04/06/2016, 180.25, 181.71, 179.79, 180.32, -1 
HUM, 04/07/2016, 178.49, 180.02, 171.9, 172.58, -1 
HUM, 04/08/2016, 170.46, 172.94, 169.71, 171.0, -1 
HUM, 04/11/2016, 170.39, 171.55, 167.3, 167.46, -1 
HUM, 04/12/2016, 165.91, 170.65, 165.91, 170.41, -1 
HUM, 04/13/2016, 169.73, 171.66, 168.52, 169.88, -1 
HUM, 04/14/2016, 165.9, 169.64, 165.9, 168.16, -1 
HUM, 04/15/2016, 168.05, 170.18, 166.64, 169.73, -1 
HUM, 04/18/2016, 168.64, 172.19, 168.64, 171.73, -1 
HUM, 04/19/2016, 169.6, 174.89, 169.0, 174.7, -1 
HUM, 04/20/2016, 169.39, 175.97, 169.39, 174.51, -1 
HUM, 04/21/2016, 173.27, 175.1, 172.27, 173.4, -1 
HUM, 04/22/2016, 172.63, 175.3, 172.63, 175.3, -1 
HUM, 04/25/2016, 174.51, 176.11, 173.62, 176.11, -1 
HUM, 04/26/2016, 172.67, 178.76, 172.67, 178.49, -1 
HUM, 04/27/2016, 173.51, 178.26, 173.51, 177.58, -1 
HUM, 04/28/2016, 174.79, 179.11, 174.79, 177.91, -1 
HUM, 04/29/2016, 172.39, 177.78, 172.39, 177.05, -1 
HUM, 05/02/2016, 176.32, 178.75, 176.32, 177.62, -1 
HUM, 05/03/2016, 174.19, 178.25, 174.19, 176.83, -1 
HUM, 05/04/2016, 169.6, 177.4, 169.6, 175.7, -1 
HUM, 05/05/2016, 170.74, 176.1, 170.74, 174.35, -1 
HUM, 05/06/2016, 170.87, 173.88, 169.6, 170.67, -1 
HUM, 05/09/2016, 169.95, 173.61, 169.95, 171.32, -1 
HUM, 05/10/2016, 171.31, 174.21, 171.3, 173.53, -1 
HUM, 05/11/2016, 170.72, 173.66, 169.66, 170.07, -1 
HUM, 05/12/2016, 169.29, 170.44, 165.54, 165.87, -1 
HUM, 05/13/2016, 164.65, 166.45, 160.65, 165.21, -1 
HUM, 05/16/2016, 163.15, 171.85, 163.15, 171.54, -1 
HUM, 05/17/2016, 170.43, 172.26, 168.44, 170.7, -1 
HUM, 05/18/2016, 165.33, 173.21, 165.33, 170.23, -1 
HUM, 05/19/2016, 168.51, 169.59, 167.32, 168.31, -1 
HUM, 05/20/2016, 167.78, 169.88, 167.78, 169.6, -1 
HUM, 05/23/2016, 161.61, 172.92, 161.61, 169.61, -1 
HUM, 05/24/2016, 164.0, 171.72, 164.0, 170.79, -1 
HUM, 05/25/2016, 169.67, 175.0, 169.63, 174.65, -1 
HUM, 05/26/2016, 167.55, 174.76, 167.55, 174.24, -1 
HUM, 05/27/2016, 173.21, 174.44, 172.48, 173.74, -1 
HUM, 05/31/2016, 172.86, 174.25, 171.31, 172.65, -1 
HUM, 06/01/2016, 171.88, 177.64, 171.45, 177.4, -1 
HUM, 06/02/2016, 171.74, 187.21, 171.74, 187.14, -1 
HUM, 06/03/2016, 179.32, 186.5, 179.32, 186.2, -1 
HUM, 06/06/2016, 183.02, 189.68, 183.02, 189.39, -1 
HUM, 06/07/2016, 183.02, 189.69, 183.02, 188.4, -1 
HUM, 06/08/2016, 185.45, 189.18, 185.45, 188.01, -1 
HUM, 06/09/2016, 186.45, 188.49, 186.45, 188.35, -1 
HUM, 06/10/2016, 186.38, 188.24, 185.95, 186.75, -1 
HUM, 06/13/2016, 185.14, 187.77, 184.63, 184.8, -1 
HUM, 06/14/2016, 183.6, 187.33, 183.6, 185.68, -1 
HUM, 06/15/2016, 183.65, 186.96, 183.65, 185.58, -1 
HUM, 06/16/2016, 184.09, 187.47, 184.0, 187.04, -1 
HUM, 06/17/2016, 183.06, 187.39, 183.06, 187.12, -1 
HUM, 06/20/2016, 185.31, 191.52, 185.31, 189.9, -1 
HUM, 06/21/2016, 189.91, 190.33, 188.56, 190.02, -1 
HUM, 06/22/2016, 187.7, 190.82, 187.31, 187.67, -1 
HUM, 06/23/2016, 183.06, 190.15, 183.06, 187.26, -1 
HUM, 06/24/2016, 183.26, 185.49, 182.45, 182.87, -1 
