Symbol, Date, Open, High, Low, Close, Volume 
IBM, 10/30/2015, 140.24, 141.25, 139.9, 140.09, -1 
IBM, 11/02/2015, 140.15, 140.41, 139.58, 140.33, -1 
IBM, 11/03/2015, 139.89, 142.78, 139.89, 141.98, -1 
IBM, 11/04/2015, 142.23, 142.55, 141.26, 141.63, -1 
IBM, 11/05/2015, 141.35, 142.35, 139.63, 139.92, -1 
IBM, 11/06/2015, 138.17, 139.44, 137.86, 138.25, -1 
IBM, 11/09/2015, 137.95, 138.05, 134.88, 135.28, -1 
IBM, 11/10/2015, 135.31, 135.73, 134.11, 135.43, -1 
IBM, 11/11/2015, 135.81, 136.02, 134.5, 135.0, -1 
IBM, 11/12/2015, 134.27, 134.62, 133.01, 133.03, -1 
IBM, 11/13/2015, 132.68, 132.96, 131.63, 131.74, -1 
IBM, 11/16/2015, 131.53, 134.08, 131.53, 133.71, -1 
IBM, 11/17/2015, 134.21, 134.81, 133.3, 133.8, -1 
IBM, 11/18/2015, 134.37, 135.89, 134.25, 135.77, -1 
IBM, 11/19/2015, 136.01, 137.72, 136.0, 136.74, -1 
IBM, 11/20/2015, 137.23, 138.9, 137.2, 138.53, -1 
IBM, 11/23/2015, 138.04, 138.83, 137.11, 138.49, -1 
IBM, 11/24/2015, 137.22, 139.29, 137.22, 138.63, -1 
IBM, 11/25/2015, 138.25, 138.32, 137.36, 138.0, -1 
IBM, 11/27/2015, 137.57, 138.77, 137.21, 138.49, -1 
IBM, 11/30/2015, 138.05, 139.89, 138.05, 139.37, -1 
IBM, 12/01/2015, 139.7, 141.35, 139.55, 141.27, -1 
IBM, 12/02/2015, 140.82, 141.03, 139.5, 139.73, -1 
IBM, 12/03/2015, 139.36, 140.54, 138.17, 139.0, -1 
IBM, 12/04/2015, 137.94, 141.01, 137.94, 140.37, -1 
IBM, 12/07/2015, 139.6, 140.39, 138.8, 139.55, -1 
IBM, 12/08/2015, 138.14, 139.04, 137.51, 138.07, -1 
IBM, 12/09/2015, 137.15, 139.82, 136.2, 136.62, -1 
IBM, 12/10/2015, 137.01, 137.83, 135.72, 136.8, -1 
IBM, 12/11/2015, 135.03, 135.43, 133.9, 134.54, -1 
IBM, 12/14/2015, 134.59, 136.12, 134.0, 136.03, -1 
IBM, 12/15/2015, 137.4, 138.95, 137.0, 137.81, -1 
IBM, 12/16/2015, 138.58, 139.59, 137.79, 139.26, -1 
IBM, 12/17/2015, 138.38, 139.48, 136.3, 136.72, -1 
IBM, 12/18/2015, 136.1, 136.96, 134.27, 134.89, -1 
IBM, 12/21/2015, 135.24, 135.7, 134.01, 135.49, -1 
IBM, 12/22/2015, 135.18, 138.18, 135.18, 137.95, -1 
IBM, 12/23/2015, 137.7, 139.29, 137.7, 138.49, -1 
IBM, 12/24/2015, 138.1, 138.87, 138.09, 138.22, -1 
IBM, 12/28/2015, 137.52, 138.01, 136.53, 137.56, -1 
IBM, 12/29/2015, 138.2, 140.05, 138.2, 139.7, -1 
IBM, 12/30/2015, 138.55, 140.43, 138.55, 139.33, -1 
IBM, 12/31/2015, 138.47, 139.03, 137.56, 137.57, -1 
IBM, 01/04/2016, 135.41, 135.95, 134.23, 135.93, -1 
IBM, 01/05/2016, 136.44, 136.83, 134.85, 135.83, -1 
IBM, 01/06/2016, 133.8, 135.57, 133.62, 135.2, -1 
IBM, 01/07/2016, 133.04, 135.0, 132.43, 132.74, -1 
IBM, 01/08/2016, 133.11, 133.8, 131.32, 131.56, -1 
IBM, 01/11/2016, 131.66, 133.78, 131.66, 133.26, -1 
IBM, 01/12/2016, 133.59, 133.72, 131.13, 132.92, -1 
IBM, 01/13/2016, 133.12, 134.25, 131.09, 131.19, -1 
IBM, 01/14/2016, 131.28, 133.78, 131.22, 132.83, -1 
IBM, 01/15/2016, 129.75, 130.87, 128.86, 129.96, -1 
IBM, 01/19/2016, 130.1, 132.04, 128.06, 128.12, -1 
IBM, 01/20/2016, 118.41, 123.92, 118.0, 121.81, -1 
IBM, 01/21/2016, 121.3, 125.04, 120.55, 122.86, -1 
IBM, 01/22/2016, 123.94, 124.7, 121.77, 122.54, -1 
IBM, 01/25/2016, 121.89, 124.21, 121.63, 122.06, -1 
IBM, 01/26/2016, 122.12, 123.61, 122.12, 122.6, -1 
IBM, 01/27/2016, 122.41, 123.35, 120.65, 120.97, -1 
IBM, 01/28/2016, 121.21, 122.79, 121.0, 122.2, -1 
IBM, 01/29/2016, 122.56, 124.73, 122.56, 124.69, -1 
IBM, 02/01/2016, 123.99, 125.27, 123.71, 124.81, -1 
IBM, 02/02/2016, 123.54, 124.01, 122.63, 122.95, -1 
IBM, 02/03/2016, 122.84, 125.4, 122.28, 124.68, -1 
IBM, 02/04/2016, 124.78, 128.47, 124.78, 127.63, -1 
IBM, 02/05/2016, 127.14, 128.61, 125.84, 128.55, -1 
IBM, 02/08/2016, 126.0, 127.45, 124.11, 127.02, -1 
IBM, 02/09/2016, 125.06, 126.9, 123.76, 124.03, -1 
IBM, 02/10/2016, 124.78, 125.01, 119.84, 120.16, -1 
IBM, 02/11/2016, 118.42, 119.62, 116.9, 117.81, -1 
IBM, 02/12/2016, 118.36, 121.03, 118.34, 121.01, -1 
IBM, 02/16/2016, 121.53, 123.08, 121.33, 122.65, -1 
IBM, 02/17/2016, 122.81, 126.54, 122.81, 126.07, -1 
IBM, 02/18/2016, 130.0, 133.97, 129.75, 132.47, -1 
IBM, 02/19/2016, 132.05, 133.62, 130.81, 133.08, -1 
IBM, 02/22/2016, 133.51, 134.25, 132.4, 133.75, -1 
IBM, 02/23/2016, 132.71, 133.39, 132.0, 132.37, -1 
IBM, 02/24/2016, 131.23, 133.47, 129.68, 132.8, -1 
IBM, 02/25/2016, 132.37, 134.5, 130.87, 134.5, -1 
IBM, 02/26/2016, 134.5, 134.87, 131.95, 131.99, -1 
IBM, 02/29/2016, 131.76, 133.32, 130.88, 131.0, -1 
IBM, 03/01/2016, 131.75, 134.62, 131.75, 134.31, -1 
IBM, 03/02/2016, 133.2, 137.42, 133.2, 136.28, -1 
IBM, 03/03/2016, 137.25, 137.96, 136.07, 137.8, -1 
IBM, 03/04/2016, 137.11, 139.37, 137.02, 137.77, -1 
IBM, 03/07/2016, 137.01, 140.5, 136.85, 140.11, -1 
IBM, 03/08/2016, 139.31, 140.35, 137.41, 139.02, -1 
IBM, 03/09/2016, 139.05, 142.11, 139.05, 140.41, -1 
IBM, 03/10/2016, 141.04, 141.4, 138.08, 140.2, -1 
IBM, 03/11/2016, 140.97, 142.92, 140.5, 142.3, -1 
IBM, 03/14/2016, 141.68, 143.17, 141.03, 142.81, -1 
IBM, 03/15/2016, 141.54, 143.31, 141.54, 142.92, -1 
IBM, 03/16/2016, 142.05, 144.87, 142.05, 144.82, -1 
IBM, 03/17/2016, 144.74, 147.31, 144.45, 147.04, -1 
IBM, 03/18/2016, 146.76, 147.49, 145.51, 147.13, -1 
IBM, 03/21/2016, 146.67, 148.7, 146.67, 148.6, -1 
IBM, 03/22/2016, 147.83, 149.27, 147.83, 148.11, -1 
IBM, 03/23/2016, 147.64, 147.98, 145.13, 145.45, -1 
IBM, 03/24/2016, 144.66, 148.2, 144.5, 147.96, -1 
IBM, 03/28/2016, 147.68, 148.65, 147.2, 148.36, -1 
IBM, 03/29/2016, 147.45, 149.74, 147.45, 149.36, -1 
IBM, 03/30/2016, 149.52, 150.4, 148.32, 148.39, -1 
IBM, 03/31/2016, 149.33, 153.09, 149.33, 151.46, -1 
IBM, 04/01/2016, 150.53, 152.93, 150.25, 152.51, -1 
IBM, 04/04/2016, 152.04, 153.52, 151.91, 152.08, -1 
IBM, 04/05/2016, 150.73, 151.6, 149.64, 149.97, -1 
IBM, 04/06/2016, 149.46, 150.14, 147.8, 150.0, -1 
IBM, 04/07/2016, 148.6, 149.59, 147.98, 148.21, -1 
IBM, 04/08/2016, 148.82, 149.98, 148.11, 149.36, -1 
IBM, 04/11/2016, 149.95, 151.94, 149.22, 149.28, -1 
IBM, 04/12/2016, 149.38, 150.09, 148.58, 149.6, -1 
IBM, 04/13/2016, 149.83, 151.22, 149.63, 151.19, -1 
IBM, 04/14/2016, 151.27, 152.75, 150.37, 151.13, -1 
IBM, 04/15/2016, 151.03, 152.05, 150.96, 151.7, -1 
IBM, 04/18/2016, 151.32, 153.13, 151.27, 152.61, -1 
IBM, 04/19/2016, 146.25, 146.92, 142.61, 143.95, -1 
IBM, 04/20/2016, 143.82, 147.16, 143.82, 146.12, -1 
IBM, 04/21/2016, 146.17, 150.08, 146.17, 149.31, -1 
IBM, 04/22/2016, 149.26, 150.99, 147.5, 148.5, -1 
IBM, 04/25/2016, 147.76, 148.89, 147.1, 148.82, -1 
IBM, 04/26/2016, 148.65, 149.78, 147.9, 149.15, -1 
IBM, 04/27/2016, 148.37, 150.76, 148.37, 150.51, -1 
IBM, 04/28/2016, 149.42, 150.0, 146.71, 147.1, -1 
IBM, 04/29/2016, 146.09, 147.3, 144.19, 145.94, -1 
IBM, 05/02/2016, 146.16, 146.85, 144.43, 145.27, -1 
IBM, 05/03/2016, 144.06, 144.78, 142.89, 144.1, -1 
IBM, 05/04/2016, 143.3, 144.97, 143.3, 144.25, -1 
IBM, 05/05/2016, 145.52, 147.28, 145.45, 146.46, -1 
IBM, 05/06/2016, 144.75, 147.94, 144.35, 147.26, -1 
IBM, 05/09/2016, 147.31, 148.11, 147.0, 147.37, -1 
IBM, 05/10/2016, 147.77, 150.03, 147.77, 149.95, -1 
IBM, 05/11/2016, 149.26, 151.03, 148.73, 148.93, -1 
IBM, 05/12/2016, 148.77, 149.35, 147.1, 148.89, -1 
IBM, 05/13/2016, 147.77, 149.81, 147.41, 147.7, -1 
IBM, 05/16/2016, 147.09, 149.96, 147.09, 149.39, -1 
IBM, 05/17/2016, 149.13, 149.5, 147.28, 147.95, -1 
IBM, 05/18/2016, 147.57, 148.51, 146.34, 147.31, -1 
IBM, 05/19/2016, 146.08, 146.61, 143.94, 144.9, -1 
IBM, 05/20/2016, 145.3, 147.49, 145.3, 147.25, -1 
IBM, 05/23/2016, 146.68, 147.92, 146.53, 146.79, -1 
IBM, 05/24/2016, 146.78, 148.74, 146.78, 148.3, -1 
IBM, 05/25/2016, 148.38, 152.06, 148.38, 151.63, -1 
IBM, 05/26/2016, 151.5, 152.51, 151.04, 152.44, -1 
IBM, 05/27/2016, 152.13, 152.92, 152.13, 152.8, -1 
IBM, 05/31/2016, 152.51, 153.75, 152.26, 153.51, -1 
IBM, 06/01/2016, 152.9, 153.09, 151.53, 152.51, -1 
IBM, 06/02/2016, 151.77, 153.47, 151.77, 153.47, -1 
IBM, 06/03/2016, 152.1, 153.04, 151.68, 152.88, -1 
IBM, 06/06/2016, 152.73, 153.92, 152.34, 152.67, -1 
IBM, 06/07/2016, 152.51, 153.91, 152.51, 153.35, -1 
IBM, 06/08/2016, 153.36, 154.09, 153.02, 154.0, -1 
IBM, 06/09/2016, 152.83, 153.61, 152.72, 153.43, -1 
IBM, 06/10/2016, 152.52, 153.2, 151.86, 152.4, -1 
IBM, 06/13/2016, 151.31, 152.49, 150.3, 151.27, -1 
IBM, 06/14/2016, 150.66, 151.77, 150.39, 151.05, -1 
IBM, 06/15/2016, 151.21, 151.79, 150.6, 150.75, -1 
IBM, 06/16/2016, 149.76, 151.28, 149.0, 151.09, -1 
IBM, 06/17/2016, 150.27, 152.72, 150.27, 151.91, -1 
IBM, 06/20/2016, 152.03, 154.66, 152.03, 153.62, -1 
IBM, 06/21/2016, 153.66, 154.56, 153.66, 154.03, -1 
IBM, 06/22/2016, 153.6, 154.7, 152.26, 152.93, -1 
IBM, 06/23/2016, 153.08, 155.46, 152.57, 155.27, -1 
IBM, 06/24/2016, 149.85, 150.6, 146.17, 146.62, -1 
IBM, 06/27/2016, 145.71, 146.18, 142.5, 143.47, -1 
IBM, 06/28/2016, 144.64, 145.7, 144.21, 145.67, -1 
IBM, 06/29/2016, 146.51, 148.45, 146.21, 148.41, -1 
IBM, 06/30/2016, 148.55, 151.87, 148.55, 151.82, -1 
IBM, 07/01/2016, 151.45, 152.97, 151.35, 152.3, -1 
IBM, 07/05/2016, 151.01, 151.97, 150.75, 151.64, -1 
IBM, 07/06/2016, 151.04, 152.41, 149.89, 152.34, -1 
IBM, 07/07/2016, 152.46, 153.68, 151.88, 152.59, -1 
IBM, 07/08/2016, 153.16, 154.59, 153.08, 154.43, -1 
IBM, 07/11/2016, 154.17, 155.97, 154.17, 155.26, -1 
IBM, 07/12/2016, 156.0, 157.11, 155.44, 157.02, -1 
IBM, 07/13/2016, 157.0, 158.34, 157.0, 158.03, -1 
IBM, 07/14/2016, 158.27, 161.38, 158.27, 160.28, -1 
IBM, 07/15/2016, 159.41, 159.92, 158.5, 159.76, -1 
IBM, 07/18/2016, 159.02, 160.74, 158.66, 160.0, -1 
IBM, 07/19/2016, 161.57, 162.1, 157.88, 159.55, -1 
IBM, 07/20/2016, 159.29, 161.7, 159.29, 161.38, -1 
IBM, 07/21/2016, 160.51, 161.84, 159.88, 160.4, -1 
IBM, 07/22/2016, 159.4, 162.16, 159.4, 162.05, -1 
IBM, 07/25/2016, 161.8, 162.86, 161.74, 162.6, -1 
IBM, 07/26/2016, 162.51, 163.53, 161.37, 162.11, -1 
IBM, 07/27/2016, 161.52, 162.52, 161.16, 161.85, -1 
IBM, 07/28/2016, 161.26, 161.8, 160.69, 161.38, -1 
IBM, 07/29/2016, 161.06, 161.57, 160.02, 160.61, -1 
IBM, 08/01/2016, 160.09, 161.63, 159.81, 161.44, -1 
IBM, 08/02/2016, 160.26, 161.37, 160.26, 160.57, -1 
IBM, 08/03/2016, 160.01, 160.86, 159.75, 160.62, -1 
IBM, 08/04/2016, 159.79, 161.64, 159.79, 161.53, -1 
IBM, 08/05/2016, 161.7, 163.5, 161.6, 163.5, -1 
IBM, 08/08/2016, 162.53, 163.27, 161.56, 162.07, -1 
IBM, 08/09/2016, 162.16, 162.74, 161.64, 161.77, -1 
IBM, 08/10/2016, 161.85, 162.65, 161.85, 162.06, -1 
IBM, 08/11/2016, 162.09, 164.93, 162.09, 163.44, -1 
IBM, 08/12/2016, 163.11, 163.44, 161.52, 161.94, -1 
