Symbol, Date, Open, High, Low, Close, Volume 
ICE, 10/30/2015, 249.0, 262.04, 249.0, 252.45, -1 
ICE, 11/02/2015, 250.07, 261.57, 250.02, 261.12, -1 
ICE, 11/03/2015, 252.59, 262.19, 252.59, 260.61, -1 
ICE, 11/04/2015, 255.13, 261.78, 255.13, 260.33, -1 
ICE, 11/05/2015, 259.02, 262.31, 259.02, 261.5, -1 
ICE, 11/06/2015, 261.02, 265.58, 260.75, 262.24, -1 
ICE, 11/09/2015, 258.15, 262.44, 258.15, 261.38, -1 
ICE, 11/10/2015, 259.23, 264.14, 258.92, 263.74, -1 
ICE, 11/11/2015, 256.14, 266.64, 256.14, 263.99, -1 
ICE, 11/12/2015, 261.02, 262.78, 259.79, 259.99, -1 
ICE, 11/13/2015, 257.7, 260.7, 256.3, 258.53, -1 
ICE, 11/16/2015, 252.54, 262.05, 252.54, 261.89, -1 
ICE, 11/17/2015, 259.02, 262.75, 259.02, 261.79, -1 
ICE, 11/18/2015, 252.52, 263.65, 252.52, 263.44, -1 
ICE, 11/19/2015, 252.52, 263.7, 252.5, 262.87, -1 
ICE, 11/20/2015, 252.56, 264.58, 252.56, 263.55, -1 
ICE, 11/23/2015, 262.01, 264.94, 262.01, 263.3, -1 
ICE, 11/24/2015, 260.18, 261.11, 257.79, 259.2, -1 
ICE, 11/25/2015, 252.54, 260.89, 252.54, 259.39, -1 
ICE, 11/27/2015, 252.52, 260.45, 252.52, 260.3, -1 
ICE, 11/30/2015, 252.54, 261.77, 252.54, 260.01, -1 
ICE, 12/01/2015, 252.52, 261.08, 252.52, 260.78, -1 
ICE, 12/02/2015, 252.52, 262.94, 252.5, 259.16, -1 
ICE, 12/03/2015, 252.54, 260.23, 252.54, 253.99, -1 
ICE, 12/04/2015, 252.54, 266.0, 252.54, 263.89, -1 
ICE, 12/07/2015, 261.69, 265.79, 261.69, 263.8, -1 
ICE, 12/08/2015, 252.52, 264.22, 252.5, 261.1, -1 
ICE, 12/09/2015, 252.54, 259.6, 250.09, 252.42, -1 
ICE, 12/10/2015, 251.02, 255.36, 251.01, 252.5, -1 
ICE, 12/11/2015, 248.37, 249.48, 242.73, 243.89, -1 
ICE, 12/14/2015, 236.89, 246.37, 236.88, 245.67, -1 
ICE, 12/15/2015, 247.21, 252.93, 246.32, 249.66, -1 
ICE, 12/16/2015, 250.3, 251.64, 245.56, 247.51, -1 
ICE, 12/17/2015, 244.62, 249.23, 244.0, 247.98, -1 
ICE, 12/18/2015, 246.15, 247.3, 244.01, 244.45, -1 
ICE, 12/21/2015, 245.23, 247.6, 244.74, 247.37, -1 
ICE, 12/22/2015, 246.58, 250.82, 246.58, 250.17, -1 
ICE, 12/23/2015, 249.11, 252.0, 248.5, 250.91, -1 
ICE, 12/24/2015, 248.69, 252.49, 248.69, 251.73, -1 
ICE, 12/28/2015, 249.11, 255.72, 249.11, 254.42, -1 
ICE, 12/29/2015, 254.42, 259.32, 254.4, 258.24, -1 
ICE, 12/30/2015, 255.96, 260.09, 255.96, 256.96, -1 
