Symbol, Date, Open, High, Low, Close, Volume 
IR, 10/30/2015, 56.04, 60.01, 56.0, 59.26, -1 
IR, 11/02/2015, 59.16, 60.35, 59.03, 60.19, -1 
IR, 11/03/2015, 59.54, 60.41, 59.5, 59.82, -1 
IR, 11/04/2015, 59.67, 60.23, 59.32, 59.54, -1 
IR, 11/05/2015, 53.59, 60.0, 53.58, 59.91, -1 
IR, 11/06/2015, 52.86, 60.1, 52.86, 60.04, -1 
IR, 11/09/2015, 59.61, 59.89, 58.63, 59.15, -1 
IR, 11/10/2015, 58.59, 59.05, 58.34, 58.88, -1 
IR, 11/11/2015, 58.68, 59.15, 58.45, 58.82, -1 
IR, 11/12/2015, 57.98, 58.37, 56.95, 57.05, -1 
IR, 11/13/2015, 50.01, 57.59, 49.72, 56.86, -1 
IR, 11/16/2015, 47.93, 57.71, 47.64, 57.68, -1 
IR, 11/17/2015, 52.02, 58.07, 52.02, 57.24, -1 
IR, 11/18/2015, 52.11, 58.06, 52.11, 58.02, -1 
IR, 11/19/2015, 57.74, 58.79, 57.7, 58.67, -1 
IR, 11/20/2015, 58.62, 59.43, 58.59, 58.69, -1 
IR, 11/23/2015, 58.32, 58.86, 58.31, 58.42, -1 
IR, 11/24/2015, 57.75, 58.66, 57.71, 58.51, -1 
IR, 11/25/2015, 58.28, 59.0, 58.24, 58.52, -1 
IR, 11/27/2015, 58.06, 58.83, 58.03, 58.54, -1 
IR, 11/30/2015, 58.25, 59.11, 58.22, 58.68, -1 
IR, 12/01/2015, 55.56, 59.01, 55.14, 58.97, -1 
IR, 12/02/2015, 58.65, 59.06, 57.96, 58.04, -1 
IR, 12/03/2015, 57.94, 58.18, 57.07, 57.64, -1 
IR, 12/04/2015, 57.5, 58.45, 57.47, 58.42, -1 
IR, 12/07/2015, 57.8, 58.04, 57.15, 57.25, -1 
IR, 12/08/2015, 56.46, 56.65, 55.25, 55.35, -1 
IR, 12/09/2015, 54.71, 55.78, 54.53, 54.94, -1 
IR, 12/10/2015, 54.71, 55.52, 54.62, 54.9, -1 
IR, 12/11/2015, 54.11, 55.1, 54.11, 54.55, -1 
IR, 12/14/2015, 54.46, 54.77, 53.61, 54.15, -1 
IR, 12/15/2015, 54.23, 54.77, 53.44, 53.51, -1 
IR, 12/16/2015, 52.83, 54.45, 52.83, 54.35, -1 
IR, 12/17/2015, 54.26, 54.8, 53.41, 53.41, -1 
IR, 12/18/2015, 53.06, 53.4, 52.55, 52.61, -1 
IR, 12/21/2015, 47.37, 53.19, 46.71, 53.16, -1 
IR, 12/22/2015, 53.18, 54.51, 53.18, 54.21, -1 
IR, 12/23/2015, 46.98, 56.07, 46.98, 55.64, -1 
IR, 12/24/2015, 55.27, 55.83, 55.27, 55.63, -1 
IR, 12/28/2015, 55.18, 55.68, 55.04, 55.51, -1 
IR, 12/29/2015, 55.51, 56.35, 55.51, 56.22, -1 
IR, 12/30/2015, 55.95, 56.47, 55.76, 55.83, -1 
IR, 12/31/2015, 55.35, 55.82, 55.26, 55.29, -1 
IR, 01/04/2016, 54.22, 55.22, 53.98, 55.14, -1 
IR, 01/05/2016, 55.05, 55.67, 54.42, 54.55, -1 
IR, 01/06/2016, 53.55, 54.21, 53.02, 53.38, -1 
IR, 01/07/2016, 52.11, 52.54, 51.53, 51.8, -1 
IR, 01/08/2016, 49.24, 52.24, 49.24, 51.29, -1 
IR, 01/11/2016, 50.65, 51.9, 50.65, 51.48, -1 
IR, 01/12/2016, 51.79, 52.6, 51.39, 52.33, -1 
IR, 01/13/2016, 52.37, 52.97, 51.31, 51.38, -1 
IR, 01/14/2016, 51.33, 52.4, 50.59, 52.04, -1 
IR, 01/15/2016, 50.3, 52.02, 50.3, 51.74, -1 
IR, 01/19/2016, 52.14, 52.53, 50.02, 50.56, -1 
IR, 01/20/2016, 49.41, 49.82, 47.07, 48.9, -1 
IR, 01/21/2016, 44.04, 49.67, 44.01, 48.82, -1 
IR, 01/22/2016, 44.04, 50.82, 44.01, 50.46, -1 
IR, 01/25/2016, 44.93, 50.42, 44.63, 48.82, -1 
IR, 01/26/2016, 48.87, 50.67, 48.83, 50.59, -1 
IR, 01/27/2016, 50.18, 51.06, 49.67, 50.02, -1 
IR, 01/28/2016, 50.46, 51.06, 49.49, 49.95, -1 
IR, 01/29/2016, 50.0, 51.51, 50.0, 51.44, -1 
IR, 02/01/2016, 45.13, 51.11, 45.0, 50.89, -1 
IR, 02/02/2016, 49.93, 49.99, 48.48, 48.79, -1 
IR, 02/03/2016, 42.01, 50.29, 42.01, 49.94, -1 
IR, 02/04/2016, 49.54, 51.91, 49.54, 51.29, -1 
IR, 02/05/2016, 50.81, 52.04, 50.81, 51.35, -1 
IR, 02/08/2016, 49.89, 50.27, 48.96, 49.46, -1 
IR, 02/09/2016, 49.04, 51.5, 48.89, 50.16, -1 
IR, 02/10/2016, 49.84, 50.56, 49.4, 49.53, -1 
IR, 02/11/2016, 48.29, 49.58, 48.29, 48.98, -1 
IR, 02/12/2016, 49.03, 51.43, 49.03, 51.29, -1 
IR, 02/16/2016, 51.59, 51.94, 50.96, 51.75, -1 
IR, 02/17/2016, 51.99, 53.54, 51.97, 52.46, -1 
IR, 02/18/2016, 52.24, 52.76, 51.91, 52.1, -1 
IR, 02/19/2016, 51.61, 52.06, 51.31, 52.03, -1 
IR, 02/22/2016, 52.3, 53.75, 52.3, 53.7, -1 
IR, 02/23/2016, 53.23, 54.82, 53.23, 53.42, -1 
IR, 02/24/2016, 51.25, 55.62, 51.25, 55.43, -1 
IR, 02/25/2016, 55.33, 56.48, 55.03, 56.47, -1 
IR, 02/26/2016, 56.69, 56.89, 56.03, 56.55, -1 
IR, 02/29/2016, 56.28, 56.73, 55.52, 55.56, -1 
IR, 03/01/2016, 55.69, 57.28, 55.5, 57.1, -1 
IR, 03/02/2016, 56.61, 57.22, 56.6, 57.2, -1 
IR, 03/03/2016, 56.85, 58.06, 56.85, 57.55, -1 
IR, 03/04/2016, 57.22, 57.89, 56.92, 57.43, -1 
IR, 03/07/2016, 55.01, 58.77, 54.96, 58.3, -1 
IR, 03/08/2016, 57.72, 58.0, 56.88, 57.2, -1 
IR, 03/09/2016, 57.0, 57.55, 56.95, 57.29, -1 
IR, 03/10/2016, 57.21, 57.69, 56.72, 57.41, -1 
IR, 03/11/2016, 57.75, 58.95, 57.75, 58.76, -1 
IR, 03/14/2016, 59.51, 59.58, 58.83, 59.1, -1 
IR, 03/15/2016, 56.45, 58.65, 56.45, 58.63, -1 
IR, 03/16/2016, 58.23, 59.38, 58.21, 59.22, -1 
IR, 03/17/2016, 58.81, 61.01, 58.81, 61.0, -1 
IR, 03/18/2016, 58.54, 61.79, 58.54, 61.7, -1 
IR, 03/21/2016, 61.16, 61.95, 61.14, 61.95, -1 
IR, 03/22/2016, 61.38, 61.97, 61.28, 61.57, -1 
IR, 03/23/2016, 61.12, 61.51, 60.78, 61.41, -1 
IR, 03/24/2016, 60.72, 61.35, 60.62, 61.31, -1 
IR, 03/28/2016, 60.26, 61.32, 60.26, 61.27, -1 
IR, 03/29/2016, 60.83, 62.22, 60.51, 62.07, -1 
IR, 03/30/2016, 62.13, 62.44, 61.77, 62.06, -1 
IR, 03/31/2016, 61.81, 62.23, 61.75, 62.0, -1 
