Symbol, Date, Open, High, Low, Close, Volume 
IVZ, 10/30/2015, 33.28, 33.76, 32.98, 33.18, -1 
IVZ, 11/02/2015, 33.06, 33.61, 33.06, 33.44, -1 
IVZ, 11/03/2015, 30.56, 33.95, 30.54, 33.66, -1 
IVZ, 11/04/2015, 30.82, 33.82, 30.81, 33.54, -1 
IVZ, 11/05/2015, 33.42, 34.0, 33.39, 33.88, -1 
IVZ, 11/06/2015, 31.37, 34.38, 31.36, 34.1, -1 
IVZ, 11/09/2015, 32.42, 34.23, 32.39, 33.44, -1 
IVZ, 11/10/2015, 32.54, 33.49, 32.54, 32.95, -1 
IVZ, 11/11/2015, 32.36, 33.61, 32.35, 33.3, -1 
IVZ, 11/12/2015, 31.22, 33.1, 31.22, 32.48, -1 
IVZ, 11/13/2015, 31.62, 32.29, 31.62, 31.72, -1 
IVZ, 11/16/2015, 31.51, 32.2, 31.45, 32.18, -1 
IVZ, 11/17/2015, 29.25, 32.57, 28.99, 32.16, -1 
IVZ, 11/18/2015, 29.42, 33.09, 29.38, 33.06, -1 
IVZ, 11/19/2015, 29.09, 33.42, 28.84, 33.19, -1 
IVZ, 11/20/2015, 29.94, 33.64, 29.94, 33.19, -1 
IVZ, 11/23/2015, 32.98, 33.65, 32.94, 33.08, -1 
IVZ, 11/24/2015, 32.71, 33.33, 32.69, 33.19, -1 
IVZ, 11/25/2015, 33.05, 33.78, 33.01, 33.59, -1 
IVZ, 11/27/2015, 32.04, 33.63, 32.0, 33.6, -1 
IVZ, 11/30/2015, 32.04, 33.85, 32.0, 33.69, -1 
IVZ, 12/01/2015, 33.75, 34.21, 33.56, 33.9, -1 
IVZ, 12/02/2015, 33.73, 34.1, 33.47, 33.6, -1 
IVZ, 12/03/2015, 32.04, 33.84, 32.0, 33.17, -1 
IVZ, 12/04/2015, 32.04, 34.01, 32.0, 33.82, -1 
IVZ, 12/07/2015, 33.54, 33.77, 33.33, 33.56, -1 
IVZ, 12/08/2015, 32.04, 33.15, 32.04, 32.85, -1 
IVZ, 12/09/2015, 32.56, 33.28, 32.25, 32.37, -1 
IVZ, 12/10/2015, 32.51, 33.18, 32.25, 32.79, -1 
IVZ, 12/11/2015, 32.0, 32.49, 31.39, 31.4, -1 
IVZ, 12/14/2015, 30.62, 31.66, 30.11, 30.39, -1 
IVZ, 12/15/2015, 30.43, 31.43, 30.43, 31.33, -1 
IVZ, 12/16/2015, 31.48, 31.95, 31.04, 31.89, -1 
IVZ, 12/17/2015, 32.03, 32.1, 31.15, 31.18, -1 
IVZ, 12/18/2015, 30.84, 31.04, 30.67, 30.73, -1 
IVZ, 12/21/2015, 28.76, 31.65, 28.73, 31.65, -1 
IVZ, 12/22/2015, 29.44, 31.85, 29.4, 31.73, -1 
IVZ, 12/23/2015, 31.73, 33.21, 31.73, 33.11, -1 
IVZ, 12/24/2015, 32.91, 33.15, 32.73, 32.92, -1 
IVZ, 12/28/2015, 32.6, 32.99, 32.58, 32.97, -1 
IVZ, 12/29/2015, 32.98, 33.6, 32.98, 33.55, -1 
IVZ, 12/30/2015, 33.16, 33.77, 33.16, 33.38, -1 
IVZ, 12/31/2015, 33.12, 33.69, 32.98, 33.49, -1 
IVZ, 01/04/2016, 31.88, 33.2, 31.88, 33.19, -1 
IVZ, 01/05/2016, 33.07, 33.54, 32.67, 33.1, -1 
IVZ, 01/06/2016, 32.11, 32.77, 32.11, 32.53, -1 
IVZ, 01/07/2016, 30.62, 31.89, 30.62, 31.51, -1 
IVZ, 01/08/2016, 31.63, 31.81, 30.05, 30.12, -1 
IVZ, 01/11/2016, 29.96, 30.25, 29.26, 29.92, -1 
IVZ, 01/12/2016, 29.48, 30.37, 29.19, 29.81, -1 
IVZ, 01/13/2016, 29.85, 30.12, 28.88, 29.09, -1 
IVZ, 01/14/2016, 29.03, 29.95, 28.37, 29.62, -1 
IVZ, 01/15/2016, 28.04, 29.24, 28.04, 28.76, -1 
IVZ, 01/19/2016, 28.35, 29.3, 28.35, 28.81, -1 
IVZ, 01/20/2016, 27.59, 28.54, 27.35, 28.22, -1 
IVZ, 01/21/2016, 28.33, 28.99, 28.1, 28.42, -1 
IVZ, 01/22/2016, 28.84, 29.53, 28.84, 29.47, -1 
IVZ, 01/25/2016, 26.71, 29.32, 26.71, 28.64, -1 
IVZ, 01/26/2016, 28.66, 29.27, 28.66, 29.16, -1 
IVZ, 01/27/2016, 28.97, 29.87, 28.75, 28.95, -1 
IVZ, 01/28/2016, 27.83, 29.81, 27.83, 28.54, -1 
IVZ, 01/29/2016, 28.47, 30.02, 28.47, 29.91, -1 
IVZ, 02/01/2016, 29.41, 29.63, 28.81, 29.1, -1 
IVZ, 02/02/2016, 28.04, 28.32, 27.63, 27.79, -1 
IVZ, 02/03/2016, 27.01, 28.11, 26.74, 27.56, -1 
IVZ, 02/04/2016, 26.07, 28.5, 26.04, 27.95, -1 
IVZ, 02/05/2016, 27.76, 28.26, 26.92, 27.06, -1 
IVZ, 02/08/2016, 26.26, 26.42, 25.43, 25.78, -1 
IVZ, 02/09/2016, 24.82, 25.94, 24.82, 25.65, -1 
IVZ, 02/10/2016, 23.95, 26.72, 23.95, 26.31, -1 
IVZ, 02/11/2016, 25.2, 25.59, 24.9, 25.38, -1 
IVZ, 02/12/2016, 25.61, 26.82, 25.45, 26.49, -1 
