Symbol, Date, Open, High, Low, Close, Volume 
JCI, 09/06/2016, 47.0, 48.96, 47.0, 48.96, -1 
JCI, 09/07/2016, 48.15, 48.92, 47.07, 47.22, -1 
JCI, 09/08/2016, 47.52, 47.97, 47.27, 47.88, -1 
JCI, 09/09/2016, 47.32, 47.69, 45.7, 45.7, -1 
JCI, 09/12/2016, 44.84, 46.39, 44.63, 46.1, -1 
JCI, 09/13/2016, 45.35, 45.77, 44.44, 44.84, -1 
JCI, 09/14/2016, 44.9, 44.98, 44.37, 44.54, -1 
JCI, 09/15/2016, 44.21, 44.77, 44.21, 44.26, -1 
JCI, 09/16/2016, 44.46, 44.9, 44.29, 44.54, -1 
JCI, 09/19/2016, 44.61, 44.75, 43.86, 44.2, -1 
JCI, 09/20/2016, 44.26, 44.44, 43.77, 43.91, -1 
JCI, 09/21/2016, 42.8, 44.59, 42.8, 44.53, -1 
JCI, 09/22/2016, 44.61, 45.35, 44.61, 44.95, -1 
JCI, 09/23/2016, 44.48, 44.89, 44.39, 44.39, -1 
JCI, 09/26/2016, 42.37, 44.53, 42.37, 44.3, -1 
JCI, 09/27/2016, 43.41, 45.04, 43.41, 44.99, -1 
JCI, 09/28/2016, 44.6, 46.36, 44.6, 46.21, -1 
JCI, 09/29/2016, 45.93, 46.61, 45.75, 45.92, -1 
JCI, 09/30/2016, 45.12, 46.78, 45.12, 46.52, -1 
JCI, 10/03/2016, 46.28, 46.86, 46.21, 46.32, -1 
JCI, 10/04/2016, 46.24, 46.51, 45.25, 45.44, -1 
JCI, 10/05/2016, 43.53, 46.43, 43.53, 45.93, -1 
JCI, 10/06/2016, 45.56, 45.93, 45.35, 45.65, -1 
JCI, 10/07/2016, 45.43, 45.94, 45.24, 45.24, -1 
JCI, 10/10/2016, 45.23, 45.65, 44.67, 44.73, -1 
JCI, 10/11/2016, 44.43, 44.8, 44.02, 44.24, -1 
JCI, 10/12/2016, 44.12, 44.44, 44.01, 44.19, -1 
JCI, 10/13/2016, 43.72, 43.92, 42.89, 43.49, -1 
JCI, 10/14/2016, 43.6, 44.3, 43.6, 43.89, -1 
JCI, 10/17/2016, 43.8, 44.81, 43.66, 43.73, -1 
JCI, 10/18/2016, 44.0, 44.26, 43.85, 43.95, -1 
JCI, 10/19/2016, 44.06, 44.8, 43.98, 44.38, -1 
JCI, 10/20/2016, 44.21, 44.57, 44.14, 44.18, -1 
JCI, 10/21/2016, 43.75, 44.15, 43.45, 44.06, -1 
JCI, 10/24/2016, 44.21, 44.71, 44.18, 44.38, -1 
JCI, 10/25/2016, 44.02, 44.33, 43.75, 43.91, -1 
JCI, 10/26/2016, 43.55, 44.18, 43.55, 44.09, -1 
JCI, 10/27/2016, 42.76, 44.4, 42.76, 44.0, -1 
JCI, 10/28/2016, 43.85, 44.2, 43.55, 43.74, -1 
