Symbol, Date, Open, High, Low, Close, Volume 
KORS, 10/30/2015, 38.91, 38.98, 38.02, 38.65, -1 
KORS, 11/02/2015, 38.75, 39.08, 37.9, 38.95, -1 
KORS, 11/03/2015, 38.85, 39.68, 38.53, 39.32, -1 
KORS, 11/04/2015, 39.9, 44.78, 39.51, 42.58, -1 
KORS, 11/05/2015, 42.94, 43.92, 42.9, 43.48, -1 
KORS, 11/06/2015, 43.13, 43.91, 42.97, 43.47, -1 
KORS, 11/09/2015, 43.51, 44.14, 42.37, 42.83, -1 
KORS, 11/10/2015, 41.69, 43.17, 41.69, 43.1, -1 
KORS, 11/11/2015, 42.91, 42.98, 41.24, 41.29, -1 
KORS, 11/12/2015, 40.96, 42.15, 40.81, 41.63, -1 
KORS, 11/13/2015, 40.62, 40.8, 38.96, 38.99, -1 
KORS, 11/16/2015, 38.39, 39.8, 38.39, 39.66, -1 
KORS, 11/17/2015, 39.27, 39.85, 38.69, 39.31, -1 
KORS, 11/18/2015, 38.58, 41.01, 38.58, 40.85, -1 
KORS, 11/19/2015, 40.64, 41.42, 40.54, 40.88, -1 
KORS, 11/20/2015, 41.12, 41.99, 40.92, 41.11, -1 
KORS, 11/23/2015, 41.05, 42.55, 40.97, 42.22, -1 
KORS, 11/24/2015, 41.77, 43.24, 41.77, 42.78, -1 
KORS, 11/25/2015, 42.81, 43.57, 42.44, 42.89, -1 
KORS, 11/27/2015, 42.85, 43.74, 42.49, 42.53, -1 
KORS, 11/30/2015, 42.31, 43.2, 42.16, 43.0, -1 
KORS, 12/01/2015, 43.1, 43.46, 42.58, 42.87, -1 
KORS, 12/02/2015, 42.62, 43.86, 42.62, 43.02, -1 
KORS, 12/03/2015, 42.32, 43.51, 42.06, 42.69, -1 
KORS, 12/04/2015, 42.46, 42.74, 41.85, 42.33, -1 
KORS, 12/07/2015, 41.94, 42.93, 41.1, 42.87, -1 
KORS, 12/08/2015, 42.27, 42.7, 41.71, 41.99, -1 
KORS, 12/09/2015, 41.51, 43.15, 41.51, 41.94, -1 
KORS, 12/10/2015, 41.75, 42.66, 41.57, 42.2, -1 
KORS, 12/11/2015, 41.43, 41.78, 40.18, 40.39, -1 
KORS, 12/14/2015, 40.19, 40.8, 39.49, 40.15, -1 
KORS, 12/15/2015, 40.25, 41.03, 39.91, 40.47, -1 
KORS, 12/16/2015, 40.3, 41.32, 40.3, 40.93, -1 
KORS, 12/17/2015, 40.74, 41.0, 38.97, 39.42, -1 
KORS, 12/18/2015, 39.41, 40.23, 39.06, 39.68, -1 
KORS, 12/21/2015, 39.62, 40.45, 39.62, 40.33, -1 
KORS, 12/22/2015, 40.23, 41.06, 39.8, 40.82, -1 
