Symbol, Date, Open, High, Low, Close, Volume 
K, 10/30/2015, 70.45, 71.17, 70.42, 70.51, -1 
K, 11/02/2015, 70.18, 70.75, 70.07, 70.58, -1 
K, 11/03/2015, 68.38, 68.95, 67.05, 68.06, -1 
K, 11/04/2015, 68.22, 69.18, 68.22, 68.66, -1 
K, 11/05/2015, 68.54, 69.43, 68.49, 69.37, -1 
K, 11/06/2015, 67.34, 68.84, 67.3, 67.92, -1 
K, 11/09/2015, 67.36, 67.66, 66.88, 67.46, -1 
K, 11/10/2015, 66.8, 67.67, 66.8, 67.31, -1 
K, 11/11/2015, 67.14, 67.98, 67.14, 67.63, -1 
K, 11/12/2015, 66.98, 67.42, 66.25, 66.3, -1 
K, 11/13/2015, 65.86, 66.7, 65.86, 66.1, -1 
K, 11/16/2015, 64.81, 66.94, 64.81, 66.91, -1 
K, 11/17/2015, 66.17, 67.29, 64.62, 66.04, -1 
K, 11/18/2015, 65.87, 66.46, 65.64, 66.29, -1 
K, 11/19/2015, 66.34, 67.05, 66.31, 66.46, -1 
K, 11/20/2015, 66.63, 66.94, 66.1, 66.26, -1 
K, 11/23/2015, 67.02, 69.18, 66.77, 68.58, -1 
K, 11/24/2015, 68.29, 68.86, 67.53, 67.87, -1 
K, 11/25/2015, 67.59, 69.52, 67.59, 69.18, -1 
K, 11/27/2015, 68.71, 69.45, 68.71, 69.29, -1 
K, 11/30/2015, 69.04, 69.34, 68.72, 68.77, -1 
K, 12/01/2015, 68.66, 69.98, 68.66, 69.36, -1 
K, 12/02/2015, 67.51, 69.58, 67.51, 68.9, -1 
K, 12/03/2015, 68.6, 69.52, 68.19, 68.52, -1 
K, 12/04/2015, 67.56, 70.38, 67.56, 70.18, -1 
K, 12/07/2015, 67.48, 70.9, 67.48, 70.51, -1 
K, 12/08/2015, 69.81, 71.01, 69.81, 70.83, -1 
K, 12/09/2015, 70.07, 71.19, 70.0, 70.6, -1 
K, 12/10/2015, 67.48, 71.38, 67.48, 70.74, -1 
K, 12/11/2015, 70.26, 70.55, 69.73, 70.13, -1 
K, 12/14/2015, 70.0, 71.17, 70.0, 71.08, -1 
K, 12/15/2015, 68.24, 71.73, 68.24, 71.51, -1 
K, 12/16/2015, 71.44, 72.07, 70.87, 71.96, -1 
K, 12/17/2015, 71.44, 72.25, 70.89, 71.61, -1 
K, 12/18/2015, 71.08, 71.36, 70.71, 70.78, -1 
K, 12/21/2015, 70.76, 71.38, 70.51, 71.04, -1 
K, 12/22/2015, 69.88, 72.5, 69.88, 72.2, -1 
K, 12/23/2015, 71.9, 73.19, 71.9, 73.06, -1 
K, 12/24/2015, 72.57, 73.12, 72.57, 72.88, -1 
K, 12/28/2015, 72.37, 72.99, 72.37, 72.88, -1 
K, 12/29/2015, 72.9, 73.59, 72.9, 73.51, -1 
K, 12/30/2015, 73.09, 73.55, 73.09, 73.17, -1 
K, 12/31/2015, 72.67, 72.89, 71.97, 72.27, -1 
K, 01/04/2016, 71.15, 71.61, 70.85, 71.59, -1 
K, 01/05/2016, 71.39, 72.6, 71.34, 71.86, -1 
K, 01/06/2016, 70.93, 72.29, 70.93, 72.0, -1 
K, 01/07/2016, 70.76, 71.26, 70.24, 70.38, -1 
K, 01/08/2016, 71.25, 72.38, 70.37, 71.48, -1 
K, 01/11/2016, 71.11, 71.88, 71.02, 71.55, -1 
K, 01/12/2016, 71.6, 72.14, 70.68, 71.45, -1 
K, 01/13/2016, 71.12, 72.23, 70.86, 70.91, -1 
K, 01/14/2016, 70.81, 72.29, 70.76, 71.66, -1 
K, 01/15/2016, 70.06, 71.17, 70.06, 70.67, -1 
K, 01/19/2016, 70.75, 71.55, 70.75, 71.22, -1 
K, 01/20/2016, 70.06, 70.88, 68.71, 70.1, -1 
K, 01/21/2016, 69.93, 70.44, 69.07, 69.96, -1 
K, 01/22/2016, 70.11, 71.81, 70.11, 71.6, -1 
K, 01/25/2016, 71.09, 71.6, 70.43, 70.52, -1 
K, 01/26/2016, 69.61, 71.49, 69.61, 71.2, -1 
K, 01/27/2016, 70.64, 72.33, 70.64, 71.56, -1 
K, 01/28/2016, 71.62, 73.23, 71.62, 72.77, -1 
K, 01/29/2016, 72.56, 73.89, 72.56, 73.42, -1 
K, 02/01/2016, 72.7, 74.14, 72.7, 73.59, -1 
K, 02/02/2016, 72.64, 73.25, 72.25, 72.36, -1 
K, 02/03/2016, 69.4, 73.05, 69.0, 72.32, -1 
K, 02/04/2016, 71.84, 72.25, 71.39, 71.81, -1 
K, 02/05/2016, 71.37, 72.58, 71.37, 71.83, -1 
K, 02/08/2016, 70.37, 71.93, 70.37, 71.32, -1 
K, 02/09/2016, 69.66, 71.68, 69.66, 71.42, -1 
K, 02/10/2016, 71.19, 72.46, 70.55, 70.84, -1 
K, 02/11/2016, 69.77, 74.51, 69.77, 73.68, -1 
K, 02/12/2016, 71.2, 75.0, 71.2, 74.97, -1 
K, 02/16/2016, 74.08, 75.32, 73.82, 75.18, -1 
K, 02/17/2016, 74.57, 76.24, 74.57, 75.75, -1 
K, 02/18/2016, 75.21, 75.99, 74.78, 75.77, -1 
K, 02/19/2016, 74.81, 75.76, 74.81, 75.51, -1 
K, 02/22/2016, 75.05, 75.41, 73.38, 73.83, -1 
K, 02/23/2016, 73.05, 74.58, 73.05, 74.13, -1 
K, 02/24/2016, 73.34, 74.23, 73.34, 73.91, -1 
K, 02/25/2016, 72.68, 74.96, 72.68, 74.9, -1 
K, 02/26/2016, 73.91, 74.84, 72.9, 73.43, -1 
K, 02/29/2016, 72.95, 74.51, 72.95, 74.02, -1 
K, 03/01/2016, 74.07, 74.62, 74.0, 74.17, -1 
K, 03/02/2016, 73.56, 75.13, 73.1, 75.08, -1 
K, 03/03/2016, 74.44, 74.89, 74.16, 74.82, -1 
K, 03/04/2016, 74.4, 75.49, 74.37, 75.21, -1 
K, 03/07/2016, 74.53, 75.17, 74.53, 74.87, -1 
K, 03/08/2016, 74.4, 75.12, 74.4, 74.84, -1 
K, 03/09/2016, 74.52, 75.92, 74.52, 75.17, -1 
K, 03/10/2016, 74.78, 75.6, 74.78, 75.23, -1 
K, 03/11/2016, 74.97, 75.69, 74.97, 75.52, -1 
K, 03/14/2016, 74.7, 75.42, 74.65, 74.95, -1 
